-0.8, 2.8, -3.3, -1.3, 4.3, -2.1, -5.5, -2.7, -0.1, -2.6, 3.2, -2.0, 4.7, -2.6, -2.0, -2.3, 4.6, 2.6
parameter ends

state | action | reward
[0.02] | [4.84 2.4 ] | 0.014546292106675263
0.005767685267609251 | [ 4.42 -1.7 ] | 0.0071870889571947275
-0.05601965835595416 | [21.12 -3.18] | -0.0017628650902798623
-0.158070264205297 | [29.58 -3.07] | -0.05424673921784309
-0.27017287284349206 | [31.26 -2.12] | -0.1333961668210158
-0.377590313020182 | [30.09 -1.11] | -0.2236798209788333
-0.4764639173252494 | [28.11 -0.18] | -0.2399092468827449
-0.5672163620559226 | [22.31 -1.11] | -0.2570691896131251
-0.6495616948670933 | [21.86  0.14] | -0.25820821190330423
-0.7249605819053571 | [16.04 -1.65] | -0.5161511027434663
-0.7623557214768238 | [12.32 10.38] | -1.183755996077103
-0.7040711870892651 | [3.82 8.67] | -0.7298703468861014
-0.6640565636125807 | [-1.26  4.88] | -0.44361556480970155
-0.6286702898862916 | [-7.01  4.46] | -0.2577242089232475
-0.5843046886872447 | [-12.5    3.94] | -0.04732773157224944
-0.5337193173837474 | [-17.63   3.48] | 0.15895091534310843
-0.4775854549988573 | [-22.33   3.22] | 0.3385429168178269
-0.41446332412570136 | [-26.64   3.17] | 0.4814925166788242
-0.3413417520608044 | [-30.74   3.36] | 0.5889571275062279
-0.2543823574370232 | [-34.78   3.76] | 0.6672501118257846
-0.1500969466145756 | [-38.71   4.37] | 0.7145417850974777
-0.02794049142132056 | [-41.58   5.12] | 0.701332821929895
0.10579767611611915 | [-41.04   5.81] | 0.6062281989882329
0.23862057279430696 | [-36.29   6.16] | 0.48471718514022033
0.3617883808282717 | [-30.65   6.3 ] | 0.3641738522251503
0.47438504413458676 | [-25.66   6.39] | 0.24386040160056668
0.5777870127805496 | [-21.24   6.42] | 0.12811810725436285
0.6733972990864512 | [-17.26   6.42] | 0.0034076022470064873
0.7607927763610219 | [-13.44   6.53] | -0.14849084536859847
0.8380723343565099 | [-9.59  6.81] | -0.3320828347510549
0.9032220023618482 | [-5.69  7.22] | -0.6260265917749862
0.92509657373817 | [18.42  5.67] | -0.5707460026319853
0.8841713881017111 | [22.86  4.52] | -0.7373227508385244
0.8266736904457206 | [24.48  2.39] | -0.8492760051593756
0.7555951237198114 | [25.91  0.24] | -0.8549218789514416
0.6745195084748493 | [27.12 -1.99] | -0.6796250148947922
0.5881186815998563 | [29.55 -3.1 ] | -0.3950180456289838
0.4980573099613905 | [31.71 -4.27] | -0.14200723514137206
0.4015252438264661 | [33.68 -5.39] | 0.08891168319966716
0.29616191181531254 | [35.58 -6.38] | 0.30506524704363813
0.18068945067174882 | [37.5  -7.09] | 0.4995671339298313
0.05581310240741115 | [39.36 -7.33] | 0.6311467803258041
-0.07526449660915865 | [40.57 -6.81] | 0.6356452304830207
-0.20522251039494116 | [40.03 -5.43] | 0.4921345181164986
-0.3249362417702764 | [37.73 -3.63] | 0.27955424778483773
-0.43120399904538337 | [34.77 -2.14] | 0.08185149086749666
-0.5264042355623731 | [31.91 -1.06] | -0.08797655059602767
-0.6130420230230565 | [29.37 -0.15] | -0.15528155643794492
-0.6930309158601904 | [22.85 -1.25] | -0.20334483008818677
-0.7659061647236964 | [22.66  0.19] | -0.21063757803671307
-0.833447703232538 | [15.23 -0.27] | -0.9937003885241037
-0.7978716304734234 | [8.46 9.8 ] | -0.9352021061031547
-0.7472609416655819 | [1.68 5.44] | -0.46139284580929485
-0.7203896577541821 | [-3.53  1.86] | -0.19609451070407707
-0.6970428992724963 | [-9.52  1.13] | -0.03396606418055298
-0.6648766329511586 | [-15.14   0.45] | 0.055409639680266395
-0.6233699602839539 | [-17.76   1.4 ] | 0.14892800871769818
-0.5729891504904933 | [-22.87   0.93] | 0.2508863336969662
-0.5134534768402457 | [-27.06   1.13] | 0.2856038697137213
-0.44017460790588964 | [-31.13   1.73] | 0.2554419328226854
-0.3478708954634461 | [-34.59   3.05] | 0.176880779276816
-0.23315712410795184 | [-36.81   4.95] | 0.08997382399637369
-0.10010551517399029 | [-36.22   6.78] | 0.035934137055356835
0.03869220042199055 | [-32.4    7.77] | 0.020094761252803614
0.17190609239757315 | [-27.66   8.  ] | 0.0022975362012615658
0.2956508660110663 | [-23.32   7.92] | -0.032310214929498766
0.40974529976431595 | [-19.42   7.74] | -0.08184249387164369
0.5151520506101498 | [-15.79   7.59] | -0.15165729676410683
0.6122536500501057 | [-12.26   7.56] | -0.2558720518201841
0.6996347466040747 | [-8.68  7.66] | -0.32168171485643837
0.7773133132954732 | [-1.78 10.68] | 0.8022168567963128
0.8784445479153873 | [ 2.16 12.67] | 0.18125932436683526
0.9098757118481846 | [20.    5.82] | -0.6837201793021187
0.867197487876569 | [22.52  4.04] | -0.8346084481815021
0.8078228873147314 | [24.51  2.18] | -0.8862203068253642
0.7361669498173316 | [26.07  0.1 ] | -0.8655059062807275
0.65486433963508 | [27.38 -2.05] | -0.6741315699726266
0.5683180166506385 | [29.78 -3.19] | -0.3871077831988492
0.4777728578077877 | [31.89 -4.38] | -0.12881582483391724
0.38047895684649535 | [33.83 -5.53] | 0.10929208239678506
0.27413535068841194 | [35.69 -6.53] | 0.3333104254910113
0.15760543878796152 | [37.56 -7.23] | 0.5334312476519922
0.03185090446664991 | [39.35 -7.42] | 0.663775982591663
-0.09954303571121118 | [40.42 -6.82] | 0.6580117623924007
-0.22886490069311782 | [39.73 -5.36] | 0.5015138896854023
-0.34728721373489513 | [37.4  -3.55] | 0.28205049485900446
-0.4522679256348988 | [34.45 -2.08] | 0.08202084259212966
-0.5464484823738254 | [31.64 -1.02] | -0.09013550759238616
-0.6321142448240198 | [29.14 -0.11] | -0.15388927885909648
-0.71118110347432 | [22.43 -1.33] | -0.19826726344055107
-0.7831421751767584 | [22.35  0.15] | -0.21329957606161487
-0.8495371044443039 | [15.14 -0.04] | -1.0411557360182537
-0.807589323065986 | [7.22 9.72] | -0.908008823797521
