-2.2, 4.2, -2.3, 4.2, 0.3, -0.1, 1.0, 6.5, 5.5, 5.1, -6.6, 4.1, -0.7, -2.3, -5.0, 4.7, -0.2, 2.9
parameter ends

state | action | reward
[0.09] | [-0.54  1.92] | -0.043741366980649614
0.11212129611071467 | [-27.04  20.31] | -0.07616818328438973
0.18235294498945115 | [-50.09  34.74] | -0.3073093917396378
0.2819486078715814 | [-57.23  38.8 ] | -0.43998814506403844
0.3882673828984212 | [-56.73  38.32] | -0.47968304570686
0.49222334533265155 | [-53.73  36.54] | -0.49922633593195087
0.5905156519177261 | [-49.74  34.23] | -0.5355676383007371
0.6806631038056434 | [-45.09  31.32] | -0.6039966575702314
0.7601475393141343 | [-39.91  27.75] | -0.705673876590138
0.8269466161418951 | [-34.44  23.67] | -0.0019755230872285368
0.8853673051445519 | [ 5.82 -6.53] | -0.27749822829600185
0.8591816741264948 | [ 14.93 -13.25] | -0.20808276363480832
0.8225492119399505 | [ 20.3 -16.5] | -0.10018249799582049
0.7792928579787652 | [ 25.39 -19.27] | -0.01329429135847994
0.7295731334759996 | [ 30.85 -22.2 ] | 0.020047871203563217
0.6714847448937075 | [ 37.27 -25.75] | -0.02224095663695827
0.6016573672660029 | [ 45.1  -30.23] | -0.15267091249822146
0.5159938128317884 | [ 54.51 -35.66] | -0.37335247980743075
0.4109967960079651 | [ 64.78 -41.48] | -0.6635225411220473
0.2869067053863677 | [ 73.1  -45.92] | -0.9477356692644633
0.15187786490900923 | [ 74.76 -46.37] | -1.08128451042841
0.019209362484456267 | [ 69.75 -43.13] | -1.0467538766694275
-0.10381024532467366 | [ 63.46 -39.61] | -0.9869807982302303
-0.2167124610617059 | [ 57.72 -36.84] | -0.9441616100012908
-0.32076004691609833 | [ 52.66 -34.71] | -0.9171311933668763
-0.417003288793856 | [ 47.84 -32.88] | -0.9127081287703039
-0.5046090368139272 | [ 42.68 -31.07] | -0.93909494832482
-0.5815183673429137 | [ 36.99 -29.13] | -0.9972103275648276
-0.6457872063666132 | [ 30.94 -27.08] | -0.3661316456170117
-0.6891412484611508 | [-10.56  10.07] | -0.34885826074673676
-0.6525710534844843 | [-17.95  16.59] | -0.19732973595956538
-0.6086139357962641 | [-22.52  22.11] | -0.02807962153269848
-0.559747825162094 | [-26.9   27.19] | 0.11745907909121986
-0.5054862800683081 | [-31.83  32.04] | 0.21634899782552108
-0.443466740013518 | [-37.93  36.9 ] | 0.25597387591423754
-0.3700925945129955 | [-45.62  42.01] | 0.23107060372650412
-0.28126323835091505 | [-55.    47.47] | 0.14003785159078974
-0.17371781211090315 | [-65.27  52.85] | -0.014802550276546644
-0.04819251277181137 | [-73.49  56.39] | -0.20689397567518775
0.0868217580876382 | [-75.    55.36] | -0.33314903518199046
0.21830996776208822 | [-70.05  50.61] | -0.34841358047453436
0.339697373181211 | [-64.    45.81] | -0.35298187595966246
0.4509115386348129 | [-58.54  41.81] | -0.37461331541760173
0.553382212688799 | [-53.76  38.56] | -0.41095989419911816
0.64810853444908 | [-49.2   35.56] | -0.46968716107680697
0.7341527493525024 | [-44.37  32.25] | -0.5582051119369357
0.8094411210052295 | [-39.12  28.36] | -0.675835349522282
0.8720905516442525 | [-33.61  24.01] | -0.6165174400837343
0.8824094356136242 | [ 9.85 -9.34] | -0.32724849024480535
0.8496286015570435 | [ 16.09 -13.53] | -0.22094757137571203
0.8088670899009762 | [ 21.32 -16.55] | -0.10087179421152957
0.762187498730855 | [ 26.34 -19.18] | -0.005875602820851811
0.7093331271277588 | [ 31.82 -22.03] | 0.033458325050001625
0.6481113410106227 | [ 38.31 -25.56] | -0.002191739208672022
0.5750392234836325 | [ 46.24 -30.03] | -0.12276799001019409
0.4861062103952614 | [ 55.72 -35.42] | -0.3288944032597293
0.37818309602221156 | [ 65.93 -41.14] | -0.6006703876345771
0.2522822994803425 | [ 73.8  -45.36] | -0.8659907000623329
0.11723611636563805 | [ 74.7  -45.56] | -0.986527136820233
-0.013943788226349105 | [ 69.28 -42.34] | -0.95709424604119
-0.13499304606390147 | [ 62.92 -38.99] | -0.9111850418240263
-0.24592614350805458 | [ 57.2  -36.37] | -0.8812857176161704
-0.3481772746595107 | [ 52.17 -34.34] | -0.8660372860382424
-0.4426943029365345 | [ 47.33 -32.59] | -0.8728567305306896
-0.5284808826464896 | [ 42.13 -30.8 ] | -0.9096308348143092
-0.6034444044796132 | [ 36.42 -28.89] | -0.9762775055332849
-0.6657188521568184 | [ 30.38 -26.85] | -0.5768081386661316
-0.6788846600138033 | [-11.79   9.96] | -0.34908828101199185
-0.6422921680185502 | [-17.64  16.2 ] | -0.19039245051699613
-0.5984454557101269 | [-22.38  21.82] | -0.021615616431670523
-0.5493091837165487 | [-26.87  26.99] | 0.1256088668401938
-0.4945264752165759 | [-31.87  31.91] | 0.22816975500927578
-0.43183476307197316 | [-38.    36.85] | 0.2733312050855744
-0.3577199122779299 | [-45.7   42.03] | 0.25578938521600963
-0.26817272801815245 | [-55.07  47.59] | 0.17344666692275967
-0.16005908156090856 | [-65.31  53.07] | 0.026590421432566402
-0.0342776225810405 | [-73.45  56.69] | -0.16199371100326876
0.10060777837882953 | [-74.88  55.71] | -0.29107704436526793
0.23166459427674516 | [-69.88  50.95] | -0.31223851054592444
0.35249207996443643 | [-63.83  46.11] | -0.3227206713982859
0.46312858536507473 | [-58.38  42.08] | -0.34951921220753546
0.5650563070334913 | [-53.61  38.79] | -0.390375345085219
0.6592596839125119 | [-49.07  35.76] | -0.4530595443500478
0.7447782164357172 | [-44.25  32.41] | -0.5449479880586039
0.819541641032201 | [-39.02  28.48] | -0.6652822664929089
0.8816873498562181 | [-33.52  24.11] | -0.6662364510892151
