-0.9, -0.6, -2.4, -2.8, -2.4, 2.9, 3.9, 2.9, -3.0, -0.5, -2.6, -6.1, -4.1, 0.8, -2.4, -0.5, 5.0, -5.7
parameter ends

state | action | reward
[-0.09] | [ 5.17 -5.71] | 0.058802068353207705
-0.11936100331449179 | [-0.7   8.06] | 0.052948526619768434
-0.15117958738410867 | [ 4.61 -5.91] | 0.06879543441926537
-0.18732891796774007 | [-1.11  7.54] | 0.04470969892056561
-0.21477819694069503 | [ 5.65 -8.69] | 0.03366416636600897
-0.23991425035548497 | [-0.07  4.74] | 0.1097966731609711
-0.28125793934489157 | [ 1.65 -1.9 ] | 0.18568020138974378
-0.33698077621860384 | [-2.44  8.31] | 0.14494182316432927
-0.3802603610462388 | [ 3.31 -5.82] | 0.13542897193688347
-0.4183823058887515 | [-0.6   4.06] | 0.1590138266914571
-0.45786369502814894 | [ 2.49 -4.75] | 0.18614172443725124
-0.5000807726978599 | [-0.59  3.47] | 0.20662206762609808
-0.5426860454611966 | [ 1.94 -4.16] | 0.23041952396096327
-0.5868059009679588 | [-0.4   2.53] | 0.2685772714466849
-0.6335143451490916 | [ 1.12 -2.86] | 0.3047999658448685
-0.6827319537234255 | [-0.48  2.17] | 0.3230180238245036
-0.7314492161089048 | [ 0.9  -2.89] | 0.3307743516878712
-0.7790675553763111 | [-0.04  0.46] | 0.3262760887847265
-0.8291534098032215 | [ 0.46 -1.77] | 0.2508678091838701
-0.87480468867721 | [ 0.69 -2.21] | 0.06959248279833705
-0.9193289751262502 | [ 0.53 -2.58] | -0.12935755973742355
-0.9599868596574453 | [ 0.53 -4.74] | -0.3620689054653399
-0.9926273920821077 | [  1.16 -10.11] | -1.399444696497799
-0.9453939408621957 | [  6.46 -28.06] | -1.7251885923726478
-0.8797056817702287 | [  6.35 -27.33] | -0.7220425680567841
-0.850831319539178 | [  3.38 -18.06] | -0.23395352957150906
-0.8380526462231515 | [  3.57 -17.96] | -0.2841267014674866
-0.8241965434138344 | [  3.77 -18.1 ] | -0.2999005439582343
-0.8100994567957969 | [  3.89 -18.05] | -0.29377288520270045
-0.7963963274531894 | [  3.97 -17.95] | -0.2832274619427687
-0.7832067098146173 | [  4.04 -17.85] | -0.27265974632562506
-0.7705172086060577 | [  4.1  -17.75] | -0.2627651060769359
-0.7582943816081574 | [  4.16 -17.66] | -0.25356461963388544
-0.7465054806938973 | [  4.21 -17.58] | -0.2449953533274603
-0.7351208823711461 | [  4.26 -17.5 ] | -0.23699490445845245
-0.7241139084646058 | [  4.3  -17.43] | -0.22950873981148215
-0.7134604482076049 | [  4.35 -17.36] | -0.22248923280669985
-0.7031386334374892 | [  4.39 -17.3 ] | -0.2158945093303707
-0.6931285670566671 | [  4.42 -17.24] | -0.20968757082374798
-0.6834120925305013 | [  4.46 -17.19] | -0.20383559656488745
-0.6739725963729857 | [  4.49 -17.14] | -0.19830936779992508
-0.6647948379343082 | [  4.52 -17.09] | -0.1930827856218069
-0.6558648020529866 | [  4.54 -17.04] | -0.1881324645564595
-0.6471695709774344 | [  4.57 -17.  ] | -0.18343738822560077
-0.6386972126075693 | [  4.59 -16.96] | -0.17897861626750222
-0.6304366826211718 | [  4.62 -16.92] | -0.17473903380972414
-0.6223777384636441 | [  4.64 -16.88] | -0.17070313644100135
-0.6145108635152234 | [  4.66 -16.85] | -0.16685684493698746
-0.6068272000229437 | [  4.68 -16.81] | -0.16318734503519386
-0.5993184896083859 | [  4.69 -16.78] | -0.15968294838749353
-0.5919770203463762 | [  4.71 -16.75] | -0.15633297148882586
-0.5847955795620156 | [  4.73 -16.72] | -0.15312762992325635
-0.5777674116198289 | [  4.74 -16.7 ] | -0.1500579457092677
-0.5708861800842557 | [  4.75 -16.67] | -0.14711566588663147
-0.564145933718975 | [  4.77 -16.65] | -0.14429319078259784
-0.5575410758667747 | [  4.78 -16.62] | -0.1415835106389857
-0.551066336814291 | [  4.79 -16.6 ] | -0.13898014948324727
-0.5447167487989634 | [  4.8  -16.58] | -0.13647711529427445
-0.5384876233606045 | [  4.81 -16.56] | -0.1340688556533679
-0.5323745307783833 | [  4.82 -16.53] | -0.13175021818785104
-0.5263732813668643 | [  4.83 -16.52] | -0.12951641521307686
-0.5204799084329116 | [  4.84 -16.5 ] | -0.12736299206143148
-0.5146906527194927 | [  4.85 -16.48] | -0.12528579865697637
-0.5090019481833252 | [  4.86 -16.46] | -0.1232809639538523
-0.5034104089713843 | [  4.87 -16.44] | -0.12134487290705973
-0.4979128174769643 | [  4.88 -16.43] | -0.11947414568748395
-0.4925061133696246 | [  4.88 -16.41] | -0.11766561888982302
-0.4871873835052228 | [  4.89 -16.4 ] | -0.11591632851386693
-0.48195385263261653 | [  4.9  -16.38] | -0.11422349452679592
-0.4768028748226993 | [  4.9  -16.37] | -0.1125845068376047
-0.47173192555340476 | [  4.91 -16.36] | -0.11099691253518808
-0.4667385943913265 | [  4.91 -16.34] | -0.10945840425909897
