5.1, 0.4, -1.5, -0.0, 5.8, -0.6, 3.0, -3.1, 6.1, 2.9, -2.2, -0.9, 0.4, -0.5, 4.3, 1.3, -2.4, -3.2
parameter ends

state | action | reward
[0.06] | [-2.87 -3.07] | -0.046316591211775504
0.07364919678796573 | [-12.42  -6.5 ] | -0.013577355970481625
0.11804603161728362 | [-19.68  -9.2 ] | 0.03420284546244795
0.18387814057471197 | [-24.01 -10.97] | 0.10775960813091112
0.2627780732149344 | [-26.01 -11.99] | 0.19971583671091214
0.3485512922522244 | [-26.53 -12.5 ] | 0.29788519354000215
0.4373293750511933 | [-26.22 -12.7 ] | 0.3932730101622379
0.5268668790648224 | [-25.47 -12.71] | 0.4808253760788677
0.6158761747519365 | [-24.48 -12.59] | 0.5580483924759021
0.7036005906878328 | [-23.36 -12.38] | 0.6238687666798629
0.7895768996275847 | [-22.19 -12.09] | 0.6780232883526154
0.8735109204797172 | [-20.99 -11.76] | 0.7207704201844596
0.9552141643867816 | [-19.79 -11.38] | 0.7527461788023261
1.0345721246846515 | [-18.62 -10.98] | 0.7748726607067337
1.111528634200344 | [-17.48 -10.55] | 0.7882816668556628
1.1860781849799258 | [-16.37 -10.1 ] | 0.7942420803763988
1.2582620196517742 | [-15.32  -9.65] | 0.7940906646469519
1.328165873199058 | [-14.31  -9.2 ] | 0.789169627268632
1.3959183730362585 | [-13.36  -8.74] | 0.7807746004671564
1.461689748912996 | [-12.46  -8.3 ] | 0.7701155754886315
1.52569089108646 | [-11.6   -7.86] | 0.7582918046635193
1.5881730458018208 | [-10.8   -7.43] | 0.7462802821328581
1.6494286230297248 | [-10.03  -7.02] | 0.7349363908004489
1.709793766443462 | [-9.3  -6.61] | 0.6760253228283469
1.7668539100727962 | [-9.73 -5.08] | -0.040896310170806464
1.7778185061939964 | [-2.1  -1.69] | -0.07360254334619502
1.7722807961561893 | [-1.03 -1.52] | -0.03427456739622609
1.7700499608372733 | [-1.69 -1.8 ] | -0.01565679562229269
1.769969150283609 | [-1.88 -1.87] | -0.011740095054918352
1.7703647261183286 | [-1.89 -1.87] | -0.01146034766282216
1.7707969761262718 | [-1.86 -1.86] | -0.011533275738324477
1.7712104344988524 | [-1.83 -1.84] | -0.011531644923270518
1.7716079058093068 | [-1.8  -1.83] | -0.011488760708514166
1.7719930036972253 | [-1.77 -1.82] | -0.011436552717085515
1.7723671029458186 | [-1.75 -1.81] | -0.011383929246950255
1.7727308373320172 | [-1.72 -1.8 ] | -0.011332355635431939
1.7730846799655602 | [-1.7  -1.79] | -0.011281891937206854
1.7734290615644075 | [-1.68 -1.78] | -0.011232458202901934
1.773764385722807 | [-1.66 -1.77] | -0.011183988555128043
1.7740910308575006 | [-1.64 -1.76] | -0.011136430062064795
1.7744093518303619 | [-1.62 -1.75] | -0.011089736459328653
1.7747196817808844 | [-1.6  -1.75] | -0.011043865965761243
1.7750223338803335 | [-1.58 -1.74] | -0.010998778875699822
1.7753176029128996 | [-1.56 -1.73] | -0.010954429048934615
1.775605766569734 | [-1.55 -1.72] | -0.010910769411696985
1.7758870866059544 | [-1.53 -1.72] | -0.01086775778576127
1.7761618100625929 | [-1.52 -1.71] | -0.010825356390199896
1.776430170395848 | [-1.5 -1.7] | -0.010783531401837297
1.7766923884871324 | [-1.49 -1.7 ] | -0.010742252503398364
1.7769486735552367 | [-1.48 -1.69] | -0.010701492456606246
1.7771992239851795 | [-1.46 -1.69] | -0.010661226726303962
1.7774442280834808 | [-1.45 -1.68] | -0.010621433154756837
1.777683864767694 | [-1.44 -1.68] | -0.010582091679500192
1.777918304197011 | [-1.43 -1.67] | -0.010543184088262703
1.7781477083499329 | [-1.42 -1.67] | -0.010504693805669828
1.778372231554306 | [-1.41 -1.66] | -0.010466605707191063
1.7785920209744086 | [-1.4  -1.66] | -0.010428905956559232
1.778807217059236 | [-1.39 -1.66] | -0.010391581863421422
1.7790179539556796 | [-1.38 -1.65] | -0.010354621758488166
1.7792243598898794 | [-1.37 -1.65] | -0.010318014883848207
1.7794265575196768 | [-1.36 -1.64] | -0.010281751296441313
1.7796246642607874 | [-1.35 -1.64] | -0.01024582178295725
1.7798187925890325 | [-1.34 -1.64] | -0.010210217784731152
1.7800090503207326 | [-1.33 -1.63] | -0.010174931331310104
1.7801955408731482 | [-1.32 -1.63] | -0.010139954981647156
1.7803783635066674 | [-1.32 -1.63] | -0.010105281771939317
1.780557613550269 | [-1.31 -1.62] | -0.010070905169327894
1.7807333826116454 | [-1.3  -1.62] | -0.010036819030703303
1.7809057587732338 | [-1.29 -1.62] | -0.0100030175660392
1.7810748267752872 | [-1.29 -1.61] | -0.009969495305709706
1.7812406681870108 | [-1.28 -1.61] | -0.009936247071316694
