4.7, 3.3, 2.7, -0.4, -2.4, -1.0, 3.6, 1.1, -3.8, -0.6, 2.7, 1.8, -0.6, -3.1, -2.3, 4.8, 4.1, -1.8
parameter ends

state | action | reward
[-0.03] | [ 3.96 -2.67] | 0.1085284768296988
-0.06449796879674802 | [ -0.49 -33.73] | -0.009383153022058138
-0.11962048780735389 | [  4.43 -32.54] | -0.06882142723712853
-0.185572969928875 | [  0.7  -48.04] | -0.2563103533030022
-0.2713929641869148 | [  0.56 -49.87] | -0.36428946752777047
-0.3554659523520409 | [  1.61 -48.01] | -0.4202289718510036
-0.44010466662555536 | [  1.13 -48.85] | -0.4847021653597344
-0.526693143345104 | [  1.53 -47.76] | -0.5557052981575497
-0.6091968977576686 | [  2.43 -45.63] | -0.6537708882093948
-0.6832438090634791 | [  3.59 -42.86] | -0.46513138368086204
-0.7556088922517334 | [ -3.42 -22.89] | 0.23682111839617154
-0.8045425536867934 | [ 8.69 -0.98] | -0.39856632291833655
-0.7771029084780914 | [10.37 -0.9 ] | -0.38351056568517433
-0.753979103185671 | [ 9.92 -2.29] | -0.34080612521823417
-0.7355495806962997 | [ 9.83 -2.65] | -0.31728614905607505
-0.7189267580396501 | [ 9.88 -2.68] | -0.3005723665367263
-0.703248719707558 | [ 9.96 -2.66] | -0.2863705562931343
-0.6882957100678179 | [10.03 -2.62] | -0.2735411749136257
-0.6739858218200284 | [10.11 -2.59] | -0.2617775834343685
-0.6602643171463063 | [10.18 -2.56] | -0.2509382069952398
-0.6470848843678669 | [10.25 -2.52] | -0.24091867432389366
-0.6344065792977673 | [10.31 -2.49] | -0.23163105457084798
-0.6221929142988722 | [10.37 -2.46] | -0.22299954941477673
-0.6104112410010664 | [10.43 -2.43] | -0.2149584156791886
-0.5990322346127357 | [10.49 -2.4 ] | -0.2074503668020648
-0.5880294586683965 | [10.54 -2.38] | -0.20042526146288678
-0.5773789978950323 | [10.59 -2.35] | -0.19383902508587533
-0.5670591474647557 | [10.64 -2.32] | -0.1876527601923217
-0.5570501486789649 | [10.69 -2.3 ] | -0.18183200876131952
-0.5473339630176346 | [10.73 -2.27] | -0.17634613722764178
-0.5378940780607195 | [10.78 -2.25] | -0.17116782096942998
-0.5287153400339691 | [10.82 -2.22] | -0.1662726099918915
-0.5197838087126211 | [10.86 -2.2 ] | -0.1616385612609054
-0.5110866311934792 | [10.9  -2.17] | -0.15724592604625837
-0.5026119316652496 | [10.94 -2.15] | -0.15307688290257593
-0.49434871480382847 | [10.98 -2.13] | -0.14911530869844702
-0.4862867808201222 | [11.02 -2.11] | -0.14534658151395083
-0.478416650513299 | [11.06 -2.09] | -0.14175741034846456
-0.47072949894776933 | [11.09 -2.07] | -0.13833568747813596
-0.4632170965898144 | [11.13 -2.04] | -0.13507036002460154
-0.45587175691909027 | [11.16 -2.02] | -0.13195131788063186
-0.4486862896786544 | [11.19 -2.  ] | -0.12896929561309456
-0.44165395905055027 | [11.22 -1.99] | -0.1261157863512944
-0.4347684461470024 | [11.25 -1.97] | -0.12338296598678482
-0.42802381529361977 | [11.28 -1.95] | -0.12076362627273532
-0.4214144836536555 | [11.31 -1.93] | -0.11825111562765642
-0.414935193803728 | [11.34 -1.91] | -0.11583928662828771
-0.40858098892340283 | [11.37 -1.89] | -0.11352244932653421
-0.40234719030524585 | [11.4  -1.88] | -0.11129532965085269
-0.3962293769296787 | [11.43 -1.86] | -0.10915303225792806
-0.3902233668812366 | [11.45 -1.84] | -0.10709100728927683
-0.3843252004105344 | [11.48 -1.82] | -0.10510502056248665
-0.3785311244700876 | [11.51 -1.81] | -0.10319112679036825
-0.3728375785727134 | [11.53 -1.79] | -0.10134564547550394
-0.3672411818390518 | [11.56 -1.78] | -0.09956513917372233
-0.3617387211161951 | [11.58 -1.76] | -0.09784639385951205
-0.35632714006285904 | [11.61 -1.74] | -0.09618640116024638
-0.35100352910824867 | [11.63 -1.73] | -0.09458234225515379
-0.3457651162020119 | [11.65 -1.71] | -0.09303157326000416
-0.34060925828164823 | [11.67 -1.7 ] | -0.09153161194021311
-0.3355334333916096 | [11.7  -1.69] | -0.09008012561369319
-0.33053523339526214 | [11.72 -1.67] | -0.08867492012124618
-0.32561235722698 | [11.74 -1.66] | -0.08731392975619999
-0.32076260463703327 | [11.76 -1.64] | -0.0859952080575643
-0.31598387038670406 | [11.78 -1.63] | -0.08471691938162207
-0.3112741388552936 | [11.8  -1.61] | -0.08347733117633285
-0.306631479024438 | [11.82 -1.6 ] | -0.08227480689124556
-0.3020540398084905 | [11.84 -1.59] | -0.0811077994628085
-0.29754004570270787 | [11.86 -1.57] | -0.07997484532143015
-0.29308779272363183 | [11.88 -1.56] | -0.0788745588722598
-0.28869564461843494 | [11.9  -1.55] | -0.07780562740663435
-0.28436202932212495 | [11.92 -1.54] | -0.07676680640554565
-0.28008543564341076 | [11.94 -1.52] | -0.0757569152004279
-0.2758644101617445 | [11.96 -1.51] | -0.07477483295996645
-0.27169755431959514 | [11.98 -1.5 ] | -0.07381949497477416
-0.2675835216953955 | [12.   -1.49] | -0.07288988921452373
-0.26352101544385736 | [12.01 -1.48] | -0.07198505313449595
-0.2595087858914756 | [12.03 -1.46] | -0.07110407071082805
-0.25554562827606714 | [12.05 -1.45] | -0.0702460696855426
-0.25163038062011267 | [12.07 -1.44] | -0.06941021900434549
-0.24776192172850783 | [12.08 -1.43] | -0.06859572643161331
-0.24393916930209092 | [12.1  -1.42] | -0.06780183632850485
-0.24016107815900625 | [12.12 -1.41] | -0.06702782758132789
-0.23642663855658783 | [12.13 -1.39] | -0.0662730116684982
-0.23273487460702366 | [12.15 -1.38] | -0.06553673085538426
-0.22908484278058022 | [12.16 -1.37] | -0.06481835650729126
-0.225475630490644 | [12.18 -1.36] | -0.06411728751174274
-0.2219063547552702 | [12.2  -1.35] | -0.06343294880181415
-0.21837616093032922 | [12.21 -1.34] | -0.06276478997315535
-0.21488422150970124 | [12.23 -1.33] | -0.06211228398778771
-0.2114297349883071 | [12.24 -1.32] | -0.06147492595844317
-0.20801192478406666 | [12.26 -1.31] | -0.06085223200766575
-0.20463003821515616 | [12.27 -1.3 ] | -0.06024373819639465
-0.20128334552919694 | [12.29 -1.29] | -0.059648999517119355
-0.19797113898124152 | [12.3  -1.28] | -0.059067588947178375
-0.19469273195764367 | [12.31 -1.27] | -0.058499096558000306
-0.1914474581430989 | [12.33 -1.26] | -0.0579431286765323
-0.1882346707283278 | [12.34 -1.25] | -0.05739930709530683
-0.185053741656046 | [12.36 -1.24] | -0.05686726832788664
-0.18190406090302028 | [12.37 -1.23] | -0.05634666290670516
-0.17878503579616012 | [12.38 -1.22] | -0.05583715472052013
-0.17569609036072464 | [12.4  -1.21] | -0.05533842038888395
-0.17263666469885341 | [12.41 -1.2 ] | -0.05485014867126323
-0.16960621439674306 | [12.42 -1.2 ] | -0.05437203990859503
-0.16660420995890005 | [12.44 -1.19] | -0.05390380549523064
-0.16363013626799824 | [12.45 -1.18] | -0.05344516737933224
-0.16068349206896446 | [12.46 -1.17] | -0.05299585759001177
-0.15776378947599845 | [12.48 -1.16] | -0.0525556177894963
-0.15487055350131468 | [12.49 -1.15] | -0.052124198848838225
-0.1520033216044675 | [12.5  -1.14] | -0.051701360445733174
-0.14916164326119116 | [12.51 -1.13] | -0.051286870683112086
-0.14634507955074755 | [12.52 -1.13] | -0.0508805057272602
-0.14355320276083755 | [12.54 -1.12] | -0.05048204946433886
-0.14078559600918658 | [12.55 -1.11] | -0.05009129317420641
-0.13804185288096646 | [12.56 -1.1 ] | -0.04970803522053101
-0.1353215770812652 | [12.57 -1.09] | -0.04933208075629927
-0.13262438210186092 | [12.58 -1.08] | -0.04896324144375898
-0.12994989090159992 | [12.6  -1.08] | -0.048601335188080325
-0.12729773559971702 | [12.61 -1.07] | -0.048246185883865325
-0.12466755718147524 | [12.62 -1.06] | -0.047897623173859025
-0.12205900521553503 | [12.63 -1.05] | -0.04755548221914582
-0.11947173758249661 | [12.64 -1.04] | -0.047219603480231645
-0.11690542021408984 | [12.65 -1.04] | -0.04688983250837074
-0.11435972684251408 | [12.66 -1.03] | -0.04656601974664839
-0.11183433875945785 | [12.68 -1.02] | -0.04624802034022875
-0.10932894458435331 | [12.69 -1.01] | -0.045935693955328684
-0.10684324004144356 | [12.7  -1.01] | -0.045628904606431306
-0.10437692774526429 | [12.71 -1.  ] | -0.045320256809704404
-0.1019301916897241 | [12.72 -0.99] | -0.04500488758838013
-0.09950351519777438 | [12.73 -0.98] | -0.04470326782847341
-0.0970960332617794 | [12.74 -0.97] | -0.04441563712914176
-0.0947069299299423 | [12.75 -0.97] | -0.0441351559337876
-0.09233580978312496 | [12.76 -0.96] | -0.043859390169748824
-0.08998242053389398 | [12.77 -0.95] | -0.04358807895130006
-0.08764652246947074 | [12.78 -0.95] | -0.043321284412305996
