1.1, 0.7, -0.7, 0.2, -1.2, 2.0, 0.7, -0.6, -0.6, 2.4, 0.8, -1.3, -5.4, -5.0, -4.6, -2.5, 1.5, -0.6
parameter ends

state | action | reward
[-0.06] | [ 1.51 -1.13] | 0.036502775390935265
-0.09408988717357493 | [-3.26 -3.52] | -0.01678170387575029
-0.13240018604344936 | [ 6.08 -0.11] | -0.08375418287142274
-0.1700840154099979 | [-1.26 -3.33] | -0.1599849821890389
-0.2026830737381032 | [ 7.62 -0.05] | -0.2330336599002381
-0.2329319810263027 | [ 0.05 -3.4 ] | -0.2764829074035076
-0.2777040310036304 | [ 2.26 -2.89] | -0.3762816860342283
-0.3331770020585054 | [-1.58 -5.02] | -0.5216837830852529
-0.3747135091908266 | [ 7.12 -1.73] | -0.6596455011294713
-0.4068864022894442 | [ 2.17 -4.42] | -0.697742193964975
-0.45730528937299997 | [-1.3  -6.61] | -0.8731092210869176
-0.4891877435660267 | [ 5.15 -4.11] | -0.12355968502480913
-0.5303446573981261 | [-14.92 -12.95] | 0.05361889552840115
-0.5693768872203575 | [-6.21 -8.76] | -0.14942926216247782
-0.576107183202565 | [ 0.81 -5.37] | -0.17354422775199563
-0.5794072382337441 | [-3.74 -7.52] | -0.19199627372710812
-0.5797270688896883 | [ 2.32 -4.58] | -0.1810305809766702
-0.580130367127067 | [-3.45 -7.32] | -0.1795920879483475
-0.5803242464125153 | [ 2.46 -4.45] | -0.16939600008714228
-0.5806248635166689 | [-3.23 -7.15] | -0.1684971723346046
-0.5807290626886001 | [ 2.57 -4.34] | -0.15943022300562945
-0.5809411377794296 | [-3.04 -7.01] | -0.1589881304545323
-0.580965639613589 | [ 2.66 -4.24] | -0.1508232588538931
-0.581098934134114 | [-2.88 -6.89] | -0.15073357508547308
-0.5810519244874093 | [ 2.74 -4.16] | -0.14330137008123817
-0.5811145523714163 | [-2.74 -6.78] | -0.1434885603184626
-0.5810029623839433 | [ 2.81 -4.09] | -0.13665994542086377
-0.5810018574750859 | [-2.61 -6.68] | -0.13706729640249649
-0.580831736730891 | [ 2.86 -4.03] | -0.13074206847003908
-0.5807729864382244 | [-2.5 -6.6] | -0.1313263379422448
-0.5805497384696077 | [ 2.91 -3.98] | -0.12542552008419458
-0.580438791939935 | [-2.4  -6.52] | -0.14216575569730663
-0.577287068106211 | [ 3.83 -3.51] | -0.15702594730403502
-0.5704447842877947 | [ 1.44 -4.64] | -0.15455180527561602
-0.5633509010737894 | [ 1.95 -4.39] | -0.1517887449449807
-0.5561174579205707 | [ 1.88 -4.42] | -0.14620323422618617
-0.5493267097810696 | [ 1.85 -4.42] | -0.1419490969670025
-0.5427709031228325 | [ 1.85 -4.42] | -0.1382631582454634
-0.5363736704646546 | [ 1.86 -4.41] | -0.1348303636214212
-0.5301145588299998 | [ 1.86 -4.4 ] | -0.131575125476561
-0.5239854308209222 | [ 1.87 -4.39] | -0.12847594727696676
-0.5179804192178167 | [ 1.87 -4.38] | -0.12552083145600654
-0.5120942460850868 | [ 1.88 -4.37] | -0.1226997546130268
-0.5063219900673512 | [ 1.88 -4.36] | -0.120003653616445
-0.5006590428130444 | [ 1.89 -4.35] | -0.1174242638951927
-0.49510108324297464 | [ 1.9  -4.35] | -0.11495403694692857
-0.4896440540489942 | [ 1.9  -4.34] | -0.11258606644311073
-0.4842841401761707 | [ 1.91 -4.33] | -0.11031402165809726
-0.4790177493872689 | [ 1.91 -4.32] | -0.10813208861012033
-0.4738414947506407 | [ 1.92 -4.32] | -0.10603491821664719
-0.4687521788402379 | [ 1.92 -4.31] | -0.1040175805658437
-0.4637467794510094 | [ 1.92 -4.3 ] | -0.10207552448640395
-0.45882243665721284 | [ 1.93 -4.29] | -0.10020454171371897
-0.4539764410635803 | [ 1.93 -4.29] | -0.09840073505413334
-0.4492062231185761 | [ 1.94 -4.28] | -0.09666049003631315
-0.44450934337549486 | [ 1.94 -4.28] | -0.09498044961201788
-0.4398834836013103 | [ 1.95 -4.27] | -0.093357491530264
-0.43532643864536974 | [ 1.95 -4.26] | -0.0917887080609178
-0.43083610899053976 | [ 1.96 -4.26] | -0.09027138778782519
-0.42641049391850727 | [ 1.96 -4.25] | -0.08880299922903664
-0.4220476852288269 | [ 1.97 -4.25] | -0.08738117607368852
-0.41774586145817044 | [ 1.97 -4.24] | -0.08600370385220453
-0.4135032825522134 | [ 1.97 -4.24] | -0.08466850788000803
-0.4093182849478233 | [ 1.98 -4.23] | -0.0833736423348665
-0.4051892770277919 | [ 1.98 -4.23] | -0.08211728034537494
-0.40111473491437377 | [ 1.99 -4.22] | -0.08089770498286138
-0.39709319857142794 | [ 1.99 -4.22] | -0.07971330106205307
-0.39312326818807725 | [ 1.99 -4.21] | -0.07856254766691237
-0.38920360081955246 | [ 2.   -4.21] | -0.07744401132781513
-0.3853329072633243 | [ 2.  -4.2] | -0.07635633978472946
-0.3815099491507877 | [ 2.  -4.2] | -0.07529825627842125
-0.3777335362366808 | [ 2.01 -4.19] | -0.07426855431817328
-0.3740025238701301 | [ 2.01 -4.19] | -0.07326609288018733
-0.370315810632733 | [ 2.02 -4.18] | -0.07228979199582776
-0.36667233613045175 | [ 2.02 -4.18] | -0.07133862869318007
-0.3630710789273056 | [ 2.02 -4.17] | -0.07041163325929195
-0.359511054609938 | [ 2.03 -4.17] | -0.06950788579390275
-0.3559913139731144 | [ 2.03 -4.17] | -0.06862651302838935
-0.3525109413170811 | [ 2.03 -4.16] | -0.0677666853864006
-0.34906905284850753 | [ 2.04 -4.16] | -0.06692761426495457
-0.3456647951774463 | [ 2.04 -4.15] | -0.06610854951693705
-0.3422973439033875 | [ 2.04 -4.15] | -0.06530877711775492
-0.3389659022840638 | [ 2.05 -4.15] | -0.06452761700055566
-0.33566969998118756 | [ 2.05 -4.14] | -0.06376442104601017
-0.3324079918777792 | [ 2.05 -4.14] | -0.06301857121382787
-0.3291800569621753 | [ 2.06 -4.13] | -0.06228947780450546
-0.32598519727419806 | [ 2.06 -4.13] | -0.06157657784080057
-0.3228227369093241 | [ 2.06 -4.13] | -0.0608793335593721
-0.319692021077014 | [ 2.07 -4.12] | -0.06019723100395454
-0.31659241520966097 | [ 2.07 -4.12] | -0.059529778712121666
-0.3135233041188872 | [ 2.07 -4.12] | -0.05887650648845932
-0.31048409119616 | [ 2.07 -4.11] | -0.05823696425756194
-0.3074741976549289 | [ 2.08 -4.11] | -0.05761072099083303
-0.30449306181168784 | [ 2.08 -4.11] | -0.05699736370159665
-0.3015401384035583 | [ 2.08 -4.1 ] | -0.05639649650349104
-0.2986148979401591 | [ 2.09 -4.1 ] | -0.05580773972753132
-0.2957168260876922 | [ 2.09 -4.1 ] | -0.055230729093576854
-0.2928454230833148 | [ 2.09 -4.09] | -0.05466511493237527
-0.2900002031780072 | [ 2.1  -4.09] | -0.054110561454541614
-0.2871806941062664 | [ 2.1  -4.09] | -0.05356674606325469
-0.28438643658107016 | [ 2.1  -4.08] | -0.05303335870758781
-0.2816169838126626 | [ 2.1  -4.08] | -0.05251010127371612
-0.27887190104980825 | [ 2.11 -4.08] | -0.05199668701142626
-0.27615076514225084 | [ 2.11 -4.08] | -0.05149283999355852
-0.2734531641231974 | [ 2.11 -4.07] | -0.050998294606160156
-0.2707786968107239 | [ 2.11 -4.07] | -0.0505127950673776
-0.26812697242706873 | [ 2.12 -4.07] | -0.050036094973153936
-0.26549761023484825 | [ 2.12 -4.06] | -0.049567956868044175
-0.2628902391892881 | [ 2.12 -4.06] | -0.04910815183948744
-0.2603044976056217 | [ 2.13 -4.06] | -0.04865645913411932
-0.257740032840858 | [ 2.13 -4.06] | -0.048212665794662365
-0.2551965009891713 | [ 2.13 -4.05] | -0.047776566316147746
-0.25267356659021095 | [ 2.13 -4.05] | -0.04734796232029477
-0.250170902349671 | [ 2.14 -4.05] | -0.04692666224687255
-0.24768818887149782 | [ 2.14 -4.05] | -0.04651248106108996
-0.2452251144011536 | [ 2.14 -4.04] | -0.04610523997599373
-0.24278137457938417 | [ 2.14 -4.04] | -0.045704766188999005
-0.24035667220597443 | [ 2.15 -4.04] | -0.04531089263170976
-0.23795071701300297 | [ 2.15 -4.04] | -0.044923457732281416
-0.23556322544713587 | [ 2.15 -4.03] | -0.04454230518953746
-0.23319392046052473 | [ 2.15 -4.03] | -0.044167283758228246
-0.23084253130990084 | [ 2.15 -4.03] | -0.04379824704473721
-0.22850879336347718 | [ 2.16 -4.03] | -0.04343505331268938
-0.22619244791529225 | [ 2.16 -4.02] | -0.04307756529787005
-0.2238932420066518 | [ 2.16 -4.02] | -0.042725650031965684
-0.2216109282543406 | [ 2.16 -4.02] | -0.04237917867460862
-0.21934526468529414 | [ 2.17 -4.02] | -0.042038026353282035
-0.21709601457743974 | [ 2.17 -4.01] | -0.04170207201068614
-0.21486294630642744 | [ 2.17 -4.01] | -0.04137119825911128
-0.21264583319798874 | [ 2.17 -4.01] | -0.04104529124146596
-0.2104444533856759 | [ 2.18 -4.01] | -0.040724240498627745
-0.20825858967374292 | [ 2.18 -4.01] | -0.04040793884275545
-0.20608802940494578 | [ 2.18 -4.  ] | -0.040096282236258336
-0.2039325643330496 | [ 2.18 -4.  ] | -0.03978916967611358
-0.20179199049983979 | [ 2.18 -4.  ] | -0.039486503083308214
-0.19966610811644614 | [ 2.19 -4.  ] | -0.039188187197076146
-0.1975547214487973 | [ 2.19 -3.99] | -0.03889412947372302
-0.19545763870703292 | [ 2.19 -3.99] | -0.038604239989827656
-0.19337467193870825 | [ 2.19 -3.99] | -0.03831843134952687
-0.19130563692563468 | [ 2.2  -3.99] | -0.03803661859579156
-0.18925035308420726 | [ 2.2  -3.99] | -0.03775871912537483
-0.18720864336907705 | [ 2.2  -3.98] | -0.03748465260736352
-0.18518033418003296 | [ 2.2  -3.98] | -0.037214340905074965
-0.18316525527196412 | [ 2.2  -3.98] | -0.036947708001180565
-0.18116323966778097 | [ 2.21 -3.98] | -0.036684679925903386
-0.17917412357417647 | [ 2.21 -3.98] | -0.036425184688108944
-0.17719774630011711 | [ 2.21 -3.97] | -0.036169152209192
-0.17523395017795693 | [ 2.21 -3.97] | -0.035916514259604876
-0.1732825804870719 | [ 2.21 -3.97] | -0.03566720439790661
-0.17134348537991861 | [ 2.22 -3.97] | -0.03542115791223798
-0.16941651581042505 | [ 2.22 -3.97] | -0.03517831176405477
-0.1675015254646231 | [ 2.22 -3.96] | -0.03493860453410334
-0.16559837069344005 | [ 2.22 -3.96] | -0.034701976370449986
-0.16370691044756724 | [ 2.22 -3.96] | -0.034468368938522016
