-0.4, 2.4, -1.7, -1.9, 1.5, -5.2, 3.1, 2.9, -3.0, -2.5, 5.5, -4.4, 1.0, -1.0, -1.0, -0.9, 1.4, 5.2
parameter ends

state | action | reward
[0.09] | [0.95 5.62] | -0.09134054570577352
0.07496362814665593 | [-5.29  5.52] | -0.05199961745792328
0.07835947195073859 | [3.48 2.8 ] | -0.08777514525812534
0.09502945326200442 | [-2.93  2.7 ] | -0.1775045655360282
0.12314685215594323 | [5.29 0.18] | -0.2567549259490051
0.14801786778421816 | [-1.73  1.2 ] | -0.32499527037164816
0.17387531844112933 | [ 5.54 -1.09] | -0.3206294798958332
0.1919459280831968 | [-0.86  0.96] | -0.3149541383009935
0.2039276983740341 | [ 4.76 -1.05] | -0.3079571631448266
0.2100342957067201 | [-1.1   0.72] | -0.28005695887695486
0.21468001020065478 | [ 5.28 -1.08] | -0.2561915179546111
0.21730155496261264 | [-0.41  0.61] | -0.23241686873761938
0.2068955272221946 | [ 2.02 -0.52] | -0.23755854310479407
0.18492565165883773 | [-3.74  0.65] | -0.23014261271493802
0.16631106701893097 | [ 2.87 -1.15] | -0.19083786603328207
0.1474572370074774 | [-2.79  0.61] | -0.14997635908645626
0.13014768642994481 | [ 3.84 -1.17] | -0.11278177435217807
0.11223700943342779 | [-2.06  0.75] | -0.08552814492173287
0.09612907565985147 | [ 4.54 -1.22] | -0.062019891757449055
0.07967187336198384 | [-1.56  0.87] | -0.046309992109250055
0.06524236693333957 | [ 5.07 -1.3 ] | -0.03401043261875771
0.0507187737524726 | [-1.2   0.93] | -0.02554891876173876
0.03825346970779897 | [ 5.48 -1.4 ] | -0.02007122730799269
0.02580975162647412 | [-0.93  0.96] | -0.011603072919127206
0.01366036889610919 | [ 5.32 -1.41] | -0.004507700693113284
-5.790992471861427e-05 | [-1.17  1.07] | -0.004811114850056755
-0.011394046988108756 | [ 5.68 -1.57] | -0.005996929785594488
-0.02250369270499003 | [-0.94  1.04] | -0.002381845342205962
-0.03299894156805135 | [ 5.54 -1.61] | 0.0011366632120986663
-0.04479889386424095 | [-1.14  1.11] | -0.0013262366856040516
-0.05433813574337453 | [ 5.85 -1.76] | -0.003336555738602033
-0.06376187820285178 | [-0.92  1.07] | 0.0010960340921085132
-0.07306034859989094 | [ 5.57 -1.76] | 0.006593409655777746
-0.08412211911748434 | [-1.23  1.16] | 0.002227653531218445
-0.09290527978447402 | [ 5.86 -1.91] | 3.6361566555383716e-05
-0.1016340386918157 | [-1.01  1.12] | -0.0041154679977871075
-0.1083543206406821 | [ 6.09 -2.04] | -0.0066054740129157285
-0.115167845696618 | [-0.84  1.08] | 0.007665770381267122
-0.12416980547090635 | [ 5.18 -1.86] | 0.024682126943999856
-0.137048488666899 | [-1.69  1.33] | 0.0163401323157357
-0.14723019030772744 | [ 5.53 -2.06] | 0.014568564886657517
-0.15728185757971225 | [-1.42  1.27] | 0.006846394768125355
-0.16500533400111553 | [ 5.8  -2.22] | 0.004850661635807147
-0.17278604057774993 | [-1.2   1.21] | -0.002039002037235331
-0.17852589471848337 | [ 6.   -2.35] | -0.0039178384725547044
-0.18448939002921122 | [-1.02  1.16] | -0.009927693917339742
-0.18863752480391532 | [ 6.15 -2.46] | -0.011515379708692158
-0.193154338995986 | [-0.88  1.11] | -0.0008024801814400208
-0.19887337567237323 | [ 5.53 -2.31] | 0.0138527913057863
-0.20760369872083992 | [-1.45  1.3 ] | 0.00470379705955428
-0.21410517908219096 | [ 5.75 -2.47] | 0.0032655982610554314
-0.2207967679738736 | [-1.25  1.23] | -0.004733527656631452
-0.2255287788345011 | [ 5.92 -2.59] | -0.005780234736615153
-0.23061539276061882 | [-1.09  1.17] | -0.012718595632476806
-0.23395021083658268 | [ 6.05 -2.69] | -0.013308664524925455
-0.23777744484074928 | [-0.96  1.12] | -0.01380452435923034
-0.2409056122770151 | [ 5.93 -2.7 ] | -0.00869193474446026
-0.24541218303089357 | [-1.07  1.15] | -0.015532648102603365
-0.24823589041976427 | [ 6.04 -2.79] | -0.01566887004269366
-0.2516173022848638 | [-0.96  1.09] | -0.015035337973171747
-0.25449459635478505 | [ 5.87 -2.78] | -0.008510475291857975
-0.2589252520895552 | [-1.1   1.13] | -0.01562871884324286
-0.26168000324097845 | [ 5.98 -2.87] | -0.01544960830107104
-0.26501423539446906 | [-0.99  1.08] | -0.02031534960324303
-0.2670196119311489 | [ 6.02 -2.93] | -0.018439077329684857
-0.26988122056626057 | [-0.95  1.05] | -0.016010420127204675
-0.27252293187066867 | [ 5.78 -2.88] | -0.007377815215075098
-0.27696849100762055 | [-1.15  1.11] | -0.01491925990411121
-0.27973775972889203 | [ 5.9  -2.98] | -0.014373479736134016
-0.283103855510348 | [-1.04  1.05] | -0.0209748008372954
-0.284934799007129 | [ 5.98 -3.06] | -0.019969580128162877
-0.2874621221509522 | [-0.95  1.  ] | -0.016948810564546713
-0.28985440546606245 | [ 5.73 -3.01] | -0.007340572647229737
-0.2941272258687195 | [-1.16  1.07] | -0.015055815684487439
-0.2967524227293683 | [ 5.84 -3.1 ] | -0.014141956932567142
-0.3000045030557163 | [-1.05  1.01] | -0.020925786424601623
-0.30174316662377826 | [ 5.92 -3.18] | -0.019553110184260654
-0.30420328203012065 | [-0.97  0.95] | -0.013895715074746294
-0.3065027603007764 | [ 5.75 -3.09] | -0.0014151312683107877
-0.31065860634753684 | [-1.1   1.07] | -0.009705460585949283
-0.3131692476527665 | [ 5.83 -3.17] | -0.008785647768601114
-0.3163220506970963 | [-1.01  1.02] | -0.01610566904691567
-0.31796307173900895 | [ 5.9  -3.24] | -0.014648641291956028
-0.3203408955702749 | [-0.93  0.97] | -0.0058603819178195205
-0.3232095141014101 | [ 5.52 -3.09] | 0.010150558112153181
-0.32851024449668415 | [-1.25  1.14] | 0.00010461565553080386
-0.33201837742178636 | [ 5.62 -3.19] | 0.0008745907157744022
-0.33607976574171844 | [-1.13  1.08] | -0.007956791046243677
-0.3385188398799567 | [ 5.7  -3.27] | -0.00651852301542153
-0.3416257187573611 | [-1.03  1.03] | -0.01436681096394541
-0.3432389849367181 | [ 5.75 -3.33] | -0.012365405985072731
-0.34561068290272534 | [-0.96  0.99] | -0.011595432186156397
-0.34754845208279295 | [ 5.58 -3.28] | -0.0020287979914674036
-0.3511299469216463 | [-1.1   1.05] | -0.01055632846345445
-0.353167380219022 | [ 5.64 -3.35] | -0.008568183766284836
-0.3559256478717672 | [-1.02  1.01] | -0.016212117580053594
-0.35725055180026305 | [ 5.69 -3.41] | -0.013712853351432151
-0.359375006896193 | [-0.96  0.97] | -0.008646510408961616
-0.3614527647526857 | [ 5.47 -3.3 ] | 0.00511044538045561
-0.3654891540195435 | [-1.14  1.09] | -0.004346500817750595
-0.3679296785547396 | [ 5.53 -3.38] | -0.0024430139171620294
-0.37105186204033797 | [-1.05  1.04] | -0.010896587390860685
-0.3727032526131083 | [ 5.57 -3.44] | -0.008392424818843211
-0.3751232537229213 | [-0.99  1.  ] | -0.013422503554730916
-0.37650146771329634 | [ 5.53 -3.45] | -0.008074885516637154
-0.37899853129152694 | [-1.01  1.  ] | -0.015800510242776823
-0.3801189701010473 | [ 5.57 -3.5 ] | -0.012724225898311028
-0.3820716505197223 | [-0.96  0.96] | -0.006581659169065442
-0.38412064420885794 | [ 5.32 -3.37] | 0.008757819421298378
-0.38823191880612856 | [-1.15  1.1 ] | -0.001197762879900901
-0.3907652946666937 | [ 5.37 -3.44] | 0.0010306330251178934
-0.3939782168007593 | [-1.07  1.06] | -0.007897330424746395
-0.3957374714154383 | [ 5.4 -3.5] | -0.0050403871620757915
-0.3982612395408402 | [-1.01  1.02] | -0.013153080535723673
-0.3994255008386841 | [ 5.43 -3.55] | -0.009787115364364572
-0.40142071309360267 | [-0.96  0.99] | -0.007497133875622
-0.4032241998832026 | [ 5.22 -3.46] | 0.00499528998150987
-0.40683287226890763 | [-1.12  1.08] | -0.004479120140076629
-0.40896330976598705 | [ 5.26 -3.53] | -0.0015536307676839523
-0.4118244740357908 | [-1.05  1.03] | -0.010143850969658082
-0.4133101397281621 | [ 5.29 -3.58] | -0.0066738717462893615
-0.4155971702128739 | [-1.  1.] | -0.01410274226115123
-0.41661859276426894 | [ 5.31 -3.62] | -0.009792739657073182
-0.41852206283038684 | [-0.96  0.97] | -0.005686129938526041
-0.42036337808895224 | [ 5.1 -3.5] | 0.00876806795698452
-0.42408937265359264 | [-1.12  1.09] | -0.001112147741968509
-0.42634786288380977 | [ 5.13 -3.57] | 0.0019289643464315141
-0.4293217966617608 | [-1.05  1.05] | -0.007034308195808214
-0.4309325366220836 | [ 5.15 -3.62] | -0.0034156514010999957
-0.433329323803242 | [-1.    1.01] | -0.011654933382085312
-0.43444234796352343 | [ 5.17 -3.66] | -0.007573692733466469
-0.43639640684038256 | [-0.96  0.98] | -0.004973972814463377
-0.4381943648939825 | [ 4.97 -3.56] | 0.008576164633615163
-0.4417711404941864 | [-1.11  1.08] | -0.0012018558289727797
-0.4439360839049853 | [ 4.99 -3.62] | 0.0022366938198042138
-0.44682778485551783 | [-1.05  1.04] | -0.00668599158483106
-0.4484026295733454 | [ 5.01 -3.67] | -0.002706639260640475
-0.45076788755872355 | [-1.  1.] | -0.0109544723367279
-0.45188886386321175 | [ 5.02 -3.71] | -0.006544038755827753
-0.45384974831436775 | [-0.96  0.97] | -0.003096037377086323
-0.45572449437835694 | [ 4.82 -3.6 ] | 0.011514249054574054
-0.4594005118734321 | [-1.11  1.08] | 0.0014788361823298403
-0.4616868719121952 | [ 4.84 -3.66] | 0.005049054752497733
-0.46468272668225 | [-1.05  1.04] | -0.00411569034819069
-0.4663837525805273 | [ 4.85 -3.71] | 9.394967408628274e-06
-0.46885668531836966 | [-1.    1.01] | -0.008223744820015526
-0.47013523279903907 | [ 4.85 -3.74] | -0.0034384453056560066
-0.4722577419458823 | [-0.97  0.98] | -0.0022401034536222632
-0.4741244705188543 | [ 4.68 -3.66] | 0.010754041320515753
-0.47761308107146105 | [-1.09  1.07] | 0.0009635688567802546
-0.47977787645000647 | [ 4.69 -3.71] | 0.004925193991295053
-0.4826622332264668 | [-1.03  1.03] | -0.004075245038338962
-0.48430682442299294 | [ 4.7  -3.76] | 0.00038962785765986286
-0.4867255974418098 | [-0.99  0.99] | -0.0042772904207689574
-0.4883351004542904 | [ 4.63 -3.75] | 0.003848925283742379
-0.4910680576862925 | [-1.01  1.01] | -0.004921098927447525
-0.4925994752823014 | [ 4.63 -3.79] | -0.00023758300514055853
-0.4949148029832092 | [-0.97  0.97] | 0.0006253544113807544
-0.4969346488914736 | [ 4.49 -3.7 ] | 0.013631809805447977
-0.5004860962901131 | [-1.06  1.06] | 0.0037073891539635808
-0.5027558936980823 | [ 4.49 -3.76] | 0.0078099109903042654
-0.5057230660770666 | [-1.01  1.02] | -0.0013267978026430375
-0.507490229036877 | [ 4.49 -3.8 ] | 0.0032797039895816633
-0.5100065554369261 | [-0.97  0.99] | 0.0027403856080371
-0.5121732476743376 | [ 4.33 -3.73] | 0.01477280179127846
-0.515793528618531 | [-1.07  1.05] | 0.004865327841021955
-0.5181646993573095 | [ 4.33 -3.78] | 0.009127989299314151
-0.5212185231119284 | [-1.01  1.01] | -1.1522516328077193e-05
-0.523102095986922 | [ 4.33 -3.83] | 0.004733869004177021
-0.5257172775823385 | [-0.97  0.98] | 0.005314942770167087
-0.5280753042251715 | [ 4.17 -3.75] | 0.018445169563666347
-0.5319200772485548 | [-1.06  1.06] | 0.008256516545922825
-0.5345262212946432 | [ 4.17 -3.8 ] | 0.012446264292436561
-0.5377803769166565 | [-1.01  1.02] | 0.003072250027849911
-0.5398783551100346 | [ 4.16 -3.84] | 0.007770090551047075
-0.5426744188406306 | [-0.96  0.98] | 0.009001565664381438
-0.5453264091259248 | [ 3.98 -3.75] | 0.022872551667516148
-0.5495181357690694 | [-1.08  1.07] | 0.01235030149200844
-0.5524768278515079 | [ 3.97 -3.81] | 0.016431752240494934
-0.5560387705988326 | [-1.02  1.03] | 0.006784572702683903
-0.5584554327672233 | [ 3.96 -3.85] | 0.011398158317549095
-0.5615271667199202 | [-0.97  0.99] | 0.010871439184725672
-0.564319218715352 | [ 3.8  -3.78] | 0.023332196341346364
-0.5684840386830401 | [-1.05  1.06] | 0.013014982984452427
-0.5714686784856459 | [ 3.78 -3.84] | 0.017254657113507564
-0.5750439828142137 | [-1.    1.01] | 0.008439053155311564
-0.5775892588074122 | [ 3.76 -3.87] | 0.013770984142749635
-0.580831153129202 | [-0.96  0.97] | 0.01579493973433064
-0.5840180536396717 | [ 3.57 -3.77] | 0.03050227058855283
-0.5887103591383059 | [-1.06  1.08] | 0.019581810111414785
-0.5922105619335325 | [ 3.55 -3.83] | 0.023440063636212267
-0.5962341459802655 | [-1.    1.02] | 0.013613696240729271
-0.599171927639482 | [ 3.53 -3.87] | 0.018151012635271725
-0.6026968021591117 | [-0.95  0.98] | 0.021627331919877223
-0.60636678811315 | [ 3.3  -3.74] | 0.03770545697643795
-0.6116569054206925 | [-1.09  1.1 ] | 0.02628249015098235
-0.6157513127908147 | [ 3.27 -3.81] | 0.02979963293436821
-0.6202988356461822 | [-1.02  1.04] | 0.019451154806800045
-0.6237532437722744 | [ 3.25 -3.86] | 0.023564715699557155
-0.6277162122386436 | [-0.96  0.99] | 0.0242505821610483
-0.6316072608581884 | [ 3.05 -3.77] | 0.03787237092529496
-0.6368615396262405 | [-1.06  1.07] | 0.026883054899355847
-0.6409933748872323 | [ 3.02 -3.83] | 0.030525265856568524
-0.6455606204539474 | [-0.99  1.01] | 0.02289949560376966
-0.6493250071412193 | [ 2.95 -3.85] | 0.029191076932200542
-0.6537707691711534 | [-0.97  0.99] | 0.027242865040617324
-0.657897450754798 | [ 2.81 -3.79] | 0.03837426771864796
-0.663093691262275 | [-1.01  1.03] | 0.027784848680192504
-0.6672368554428695 | [ 2.78 -3.85] | 0.03143669671840717
-0.671793822232676 | [-0.95  0.97] | 0.036257985708705455
-0.6766313525262054 | [ 2.55 -3.7 ] | 0.05320818989627842
-0.683005561068103 | [-1.06  1.11] | 0.041207516195986234
-0.6882448871141358 | [ 2.5  -3.76] | 0.04380956549875008
-0.6937791291269481 | [-0.98  1.03] | 0.03687489416823131
-0.6986412758046424 | [ 2.39 -3.77] | 0.04352353224325837
-0.7041618280564762 | [-0.98  1.02] | 0.03812527616905634
-0.7091534934002225 | [ 2.26 -3.75] | 0.04597109597830559
-0.7148972481402004 | [-0.99  1.01] | 0.03805461436782999
-0.7198880941005052 | [ 2.18 -3.78] | 0.04351437749460367
-0.7254028548094371 | [-0.96  0.98] | 0.04456376947129067
-0.7309017378198611 | [ 2.   -3.68] | 0.05767498572497949
-0.7375324270614053 | [-1.01  1.06] | 0.04633945941726436
-0.743138016361793 | [ 1.95 -3.74] | 0.04865611950313225
-0.7489723068497733 | [-0.94  0.98] | 0.05376756802570444
-0.7551745484097718 | [ 1.7  -3.57] | 0.07028411569450264
-0.7627899480143456 | [-1.04  1.11] | 0.05807656304112271
-0.7693377300469889 | [ 1.64 -3.64] | 0.059523635550899893
-0.7760192589684923 | [-0.96  1.02] | 0.056252798322562574
-0.7824078319700681 | [ 1.46 -3.59] | 0.06513451153977427
-0.7895688406248055 | [-0.99  1.04] | 0.05526450699422097
-0.7958668333890844 | [ 1.39 -3.64] | 0.05802122302975556
-0.802397204152625 | [-0.94  0.96] | 0.06469346939353166
-0.809391139013264 | [ 1.16 -3.45] | 0.08162880001702168
-0.8177435776633784 | [-1.01  1.11] | 0.06932183015942206
-0.8250674161094799 | [ 1.08 -3.51] | 0.06979419640088808
-0.8324252379477386 | [-0.93  1.01] | 0.0717073476253885
-0.8399500874434107 | [ 0.83 -3.38] | 0.05232712702906079
-0.8458200078892638 | [-0.6   0.64] | 0.12242901581996189
-0.8568650066090276 | [ 0.41 -2.13] | 0.11101332128519982
-0.8664226961702042 | [0.22 0.63] | 0.2324706412054997
-0.8862245230480233 | [-1.    0.16] | 0.01443442908008398
-0.888918356652693 | [ 1.17 -2.78] | 0.07075589159025823
-0.895617682360896 | [-0.1   1.38] | 0.19954636147182533
-0.9139791964056914 | [-1.21 -0.36] | -0.03445449390851448
-0.9127966517274484 | [ 1.46 -2.47] | 0.02766707936447923
-0.9168953754952911 | [0.49 1.4 ] | 0.22805114739237226
-0.9397651297183343 | [-2.18  1.32] | 0.0797339633138096
-0.9482220475434223 | [-1.62 -2.37] | -0.2344660408213327
-0.9294243371904342 | [ 2.23 -3.74] | -0.14870100866577185
-0.9186428318064097 | [1.44 0.16] | 0.1604659146131116
-0.9368828060389344 | [-1.12  2.25] | 0.10601861827180374
-0.9497336770019361 | [-1.01 -1.09] | -0.1839198498802726
-0.9361860064866001 | [ 2.69 -2.43] | -0.18892063786151606
-0.9269804889089355 | [2.12 0.81] | 0.03190505850193931
-0.9414360298678409 | [-1.85  2.37] | 0.08024038270925754
-0.953239685386546 | [-2.1  -0.28] | -0.13685037203170006
-0.9403777155973722 | [ 0.58 -2.39] | -0.23060275796392354
-0.9238949030450191 | [ 1.44 -0.38] | -0.09528958957030742
-0.9274738431630406 | [-0.08  1.97] | 0.02803829313063384
-0.9407810481792162 | [-2.33  1.52] | 0.036345289935790205
-0.9421241457352229 | [-2.4  -0.98] | -0.21349385684517128
-0.9193367678384404 | [ 1.97 -2.72] | -0.29118514981678173
-0.8987934058475135 | [1.88 0.18] | -0.10186523517157299
-0.902834655054417 | [-0.87  2.22] | -0.019061963202492288
-0.908150974379786 | [-1.49  0.27] | -0.13551118938697737
-0.8920639940865944 | [ 0.18 -1.91] | -0.2668534538329132
-0.8669761761864878 | [ 1.99 -0.95] | -0.23002233758248888
-0.8576501119834979 | [1.5  1.61] | -0.02558342109220879
-0.871708116456646 | [-3.1  3.3] | 0.12482166015472317
-0.8863686997667248 | [-3.22  1.13] | 0.04488032074940028
-0.8780712256985062 | [-2.26 -1.58] | -0.25244947088143005
-0.8435793405133643 | [ 2.8  -3.23] | -0.3094295721646086
-0.8138205029116907 | [ 2.33 -0.09] | -0.09607831243365533
-0.8128246150760644 | [-0.07  2.14] | 0.033098518453188994
-0.8223338804779199 | [-1.98  1.46] | -0.007420884751176163
-0.8161205342751666 | [-1.14 -1.42] | -0.264039916045767
-0.7833530719434159 | [ 3.52 -2.77] | -0.26467681573098045
-0.7577506824796353 | [2.48 0.59] | -0.02540013146296039
-0.7617144073491829 | [-1.24  2.26] | -0.004354171592536807
-0.7618405122901191 | [-0.35 -0.69] | -0.15885882288988473
-0.7426869542178898 | [ 1.9  -0.87] | -0.0854538858407882
-0.7377517420880231 | [0.48 2.16] | 0.07981838666062292
-0.7529246235336521 | [-2.51  2.31] | 0.04619862530133275
-0.7556797556391851 | [-1.29 -0.81] | -0.20567850175841296
-0.7294146709106001 | [ 3.1  -2.28] | -0.18112446955466277
-0.7109510028454481 | [1.62 1.18] | 0.06687290180618582
-0.7225657911401395 | [-2.65  2.31] | 0.047740574999298964
-0.7268174697717708 | [-1.01 -1.1 ] | -0.21439287628760711
-0.7011105209434715 | [ 3.54 -2.25] | -0.14658994208380724
-0.6858056271628921 | [1.59 1.44] | 0.1081616366098161
-0.7016275290660586 | [-2.66  2.47] | 0.05747230477012945
-0.7082558157600397 | [-0.8  -1.09] | -0.18197724700415935
-0.6870703847658041 | [ 3.06 -1.74] | -0.0747801805123196
-0.6797760200170808 | [0.92 1.97] | 0.1642195482838789
-0.7019628175393462 | [-3.01  2.74] | 0.0913442854825985
-0.7127521154502477 | [-1.15 -0.86] | -0.18227574264567678
-0.6917453246938996 | [ 3.15 -2.16] | -0.10076759783943381
-0.6811176085383275 | [1.02 1.62] | 0.162419645704337
-0.7020154939709206 | [-3.11  2.58] | 0.08824492931581715
-0.7124030807994589 | [-1.1  -1.14] | -0.18966717362224073
-0.6911991998337017 | [ 3.31 -2.23] | -0.08759091306203712
-0.681629785092649 | [1.05 1.64] | 0.17995152595701147
-0.7037318083974939 | [-3.04  2.57] | 0.09307479591214553
-0.7147494802491141 | [-1.01 -1.2 ] | -0.1892450039101491
-0.6939763183190841 | [ 3.35 -2.28] | -0.07992558013281491
-0.6850487099878332 | [1.05 1.64] | 0.19022902151285984
-0.7077793558780607 | [-3.02  2.56] | 0.0973087926636676
-0.7191981637361835 | [-1.   -1.24] | -0.18754824505754
-0.6988409621443402 | [ 3.32 -2.31] | -0.07478204311166095
-0.6903970516754453 | [1.03 1.62] | 0.19709236911906483
-0.7135020247954211 | [-3.01  2.55] | 0.1016032246800886
-0.7252489924869673 | [-1.03 -1.26] | -0.18578400783443696
-0.7052410142101371 | [ 3.27 -2.35] | -0.07257323463728367
-0.697021083242844 | [1.03 1.6 ] | 0.2007599651142245
-0.7202024415861982 | [-3.01  2.52] | 0.10465338113764258
