-0.9, 2.1, -1.8, 1.8, 2.1, -1.8, 4.4, -1.1, 1.4, 1.5, 1.4, 0.8, 0.2, 2.3, -1.5, 2.3, 2.3, 3.8
parameter ends

state | action | reward
[-0.03] | [2.52 3.7 ] | 0.03315977206593298
-0.04587223144374429 | [1.43 7.71] | 0.0752893852114119
-0.08964588116246003 | [ 0.73 10.75] | 0.12064449852206188
-0.1488334654996115 | [-0.26 12.01] | 0.0480105055185246
-0.18941339391645723 | [-3.69 10.35] | -0.2614552796143885
-0.17731212338729038 | [-7.91  6.64] | -0.6298456025444289
-0.11248754557009295 | [-9.42  3.36] | -0.8298520582239772
-0.020221655638744687 | [-9.    1.06] | -0.8905132867356448
0.08138084746093478 | [-7.76 -0.42] | -0.7760613793202618
0.1817759194629008 | [-3.44 -3.18] | -0.49952305823169857
0.2807109934997135 | [ 0.99 -6.16] | -0.2364612416000076
0.353745003016901 | [ 4.67 -4.33] | -0.07885304444694433
0.3888595793248602 | [ 7.28 -3.37] | 0.04280045340570688
0.39605424157568564 | [ 9.42 -2.48] | 0.16233170892702706
0.378214745554265 | [11.37 -1.42] | 0.2941421615106007
0.33709544821207027 | [13.3 -0.3] | 0.3776216848548459
0.27333749829693327 | [13.74  1.89] | 0.3389974600116389
0.18830314380965313 | [11.59  5.6 ] | 0.30004474173148216
0.08786574754171562 | [10.21  8.22] | 0.34238778572586726
-0.021268909117433135 | [ 9.19 10.06] | 0.41873715444984744
-0.13364324903451397 | [ 8.35 11.17] | 0.49565043801868397
-0.24540291727597996 | [ 7.61 11.72] | 0.5580277138409302
-0.35449983478320496 | [ 6.96 11.89] | 0.6063050728264946
-0.4602246656333354 | [ 6.42 11.84] | 0.6449277204180502
-0.5624599212228003 | [ 6.   11.63] | 0.6764646878136417
-0.6611904955684027 | [ 5.69 11.34] | 0.7012964350172518
-0.7563374605177121 | [ 5.47 10.97] | 0.7188345033754668
-0.8477688099790935 | [ 5.31 10.57] | 0.7286098218356974
-0.9353589331174006 | [ 5.19 10.14] | 0.7307802042407535
-1.0190363676891954 | [5.09 9.69] | 0.7261941233755841
-1.0988077024021934 | [5.   9.25] | 0.7162419816223115
-1.1747642173802935 | [4.9  8.81] | 0.7026436087361498
-1.2470795505512118 | [4.8  8.39] | 0.6872488810813661
-1.3160036220758526 | [4.69 7.98] | 0.6718766886588279
-1.381855274731559 | [4.57 7.59] | 0.6581975098701127
-1.4450146889521556 | [4.45 7.22] | 0.6476578716662306
-1.505916212320123 | [4.32 6.86] | 0.6414426904920854
-1.5650422928250773 | [4.19 6.52] | 0.6404706414481991
-1.6229194206536175 | [4.04 6.2 ] | 0.18626841816623327
-1.6540169744773185 | [-0.51  5.58] | -0.4879124683075304
-1.6476538923943536 | [-2.18  5.19] | -0.5046546454795164
-1.6315431577964115 | [3.98 0.15] | -0.1754585495703495
-1.6255884165380168 | [5.55 0.58] | 0.13041606547739693
-1.6391870880467496 | [4.69 1.34] | -0.1906867645677526
-1.6372683400412547 | [2.55 2.15] | -0.2261391454124196
-1.6309033070452277 | [4.02 0.81] | -0.2089713140849298
-1.6242476474958565 | [3.97 0.91] | -0.19756194072429537
-1.6185677779249064 | [3.91 0.99] | -0.1919156615187868
-1.6132859569302425 | [3.89 1.01] | -0.18863817257319695
-1.6081318242259344 | [3.89 1.01] | -0.1858716193644122
-1.6030551961744324 | [3.89 1.  ] | -0.18318293079499848
-1.5980554002539844 | [3.89 1.  ] | -0.1805534783695629
-1.593132817670581 | [3.89 1.  ] | -0.1779989545292047
-1.5882857371232801 | [3.88 1.  ] | -0.17552151263981786
-1.5835119074175192 | [3.88 1.  ] | -0.17311816229175875
-1.5788090939513886 | [3.88 1.  ] | -0.17078531709680925
-1.5741751650890405 | [3.88 1.  ] | -0.16851963185288296
-1.5696080891771393 | [3.88 1.  ] | -0.166318017080642
-1.5651059258618312 | [3.88 1.  ] | -0.16417759138510887
-1.5606668197635025 | [3.87 1.  ] | -0.16209565458802724
-1.556288995373287 | [3.87 1.  ] | -0.16006967131181166
-1.5519707524765876 | [3.87 1.01] | -0.1580972579274274
-1.5477104619184394 | [3.87 1.01] | -0.15617617097377123
-1.5435065616628934 | [3.87 1.01] | -0.1543042966541245
-1.5393575531218164 | [3.87 1.01] | -0.15247964128050026
-1.535261997731867 | [3.86 1.01] | -0.15070032256966528
-1.5312185137599847 | [3.86 1.01] | -0.14896456170357844
-1.5272257733194048 | [3.86 1.01] | -0.1472706760759451
-1.5232824995797873 | [3.86 1.02] | -0.145617072655526
-1.5193874641565155 | [3.86 1.02] | -0.14400224190470373
