-2.9, -0.5, -3.2, -2.9, 1.3, 2.8, -1.0, 3.4, 2.7, 2.4, -8.3, -7.0, -1.0, 2.2, -0.8, -2.6, -1.9, 2.5
parameter ends

state | action | reward
[-0.06] | [-2.41  2.09] | -0.054910902074042665
-0.026956271724260697 | [-19.4  -29.87] | -0.21273426085581865
0.04665040728629606 | [-20.93 -27.19] | -0.10583409865734279
0.13054533516907188 | [-21.92 -24.26] | 0.058695515357740105
0.22074070066012397 | [-22.21 -20.83] | 0.24099787003555967
0.3138261354552907 | [-22.04 -17.55] | 0.40993678132773365
0.40736730827025647 | [-21.59 -14.69] | 0.5537113791797943
0.4998664827497368 | [-21.01 -12.3 ] | 0.6716204574032435
0.5905375486414984 | [-20.4  -10.35] | 0.767015820270224
0.6790638455655389 | [-19.81  -8.77] | 0.8437402149804558
0.7653772421761976 | [-19.26  -7.49] | 0.9048108097660503
0.8495136651756896 | [-18.75  -6.44] | 0.9521885615569272
0.931542077145687 | [-18.27  -5.57] | 0.9870460795009796
1.0115335446563665 | [-17.82  -4.83] | 1.010116475184464
1.0895508945952899 | [-17.38  -4.21] | 1.0219758890736947
1.1656484690301017 | [-16.96  -3.69] | 1.0232318641284284
1.2398764746475583 | [-16.56  -3.26] | 1.014629221525596
1.312287124903542 | [-16.16  -2.9 ] | 0.9970938343018847
1.3829412314963119 | [-15.78  -2.62] | 0.9717332759655747
1.4519146885933576 | [-15.42  -2.42] | 0.9398092423909468
1.5193047366553256 | [-15.08  -2.28] | 0.9026935007424326
1.5852361362848981 | [-14.75  -2.2 ] | 0.8618313271530542
1.6498671578980537 | [-14.46  -2.19] | 0.8187099114273644
1.7133959195304846 | [-14.19  -2.23] | 0.7748235619161757
1.776068098423692 | [-13.96  -2.34] | 0.8750046777161397
1.8377524516580832 | [-10.11  -2.78] | 0.2584233898993022
1.848029707485678 | [-5.5  1.6] | 0.2303354890552274
1.853307098182363 | [-6.05 -0.32] | 0.26329551296519416
1.859103032768752 | [-6.16  0.02] | 0.25943213497761175
1.8660945817187589 | [-6.09  0.1 ] | 0.24833899445615865
1.8724915085479388 | [-5.91  0.21] | 0.235608555153225
1.877597038269425 | [-5.66  0.24] | 0.2223549731869113
1.8809697820457707 | [-5.38  0.28] | 0.20803162081176324
1.8823638864689665 | [-5.05  0.33] | 0.19151448235881136
1.8814720969667043 | [-4.66  0.39] | 0.1714342352629236
1.8779301036779013 | [-4.2   0.45] | 0.1461218365358254
1.871298863160338 | [-3.65  0.52] | 0.1133308376821691
1.8610703924205283 | [-2.99  0.61] | 0.07010411344074217
