-0.3, -5.0, 1.4, 3.4, 0.0, 5.1, -1.2, -4.3, 1.1, 2.6, 3.1, 0.1, -1.3, -1.4, 2.1, -7.3, 1.8, 3.1
parameter ends

state | action | reward
[0.07] | [1.96 3.52] | -0.1237846873670771
0.04673675549228421 | [ 1.07 -1.72] | -0.168738243563913
-0.01755674003504056 | [-12.99  24.26] | -0.18533569803776864
-0.06535749934679319 | [ 4.41 -4.11] | -0.08320072651402537
-0.10764143564511663 | [-10.23  21.84] | -0.11894302589613649
-0.141308240284095 | [ 5.96 -4.82] | -0.054015704955001964
-0.17216765676428447 | [-8.56 20.52] | -0.091035427210009
-0.19773552558375668 | [ 6.81 -4.95] | -0.042720908992617435
-0.22168023104751938 | [-7.44 19.72] | -0.07819056754995225
-0.24202056944438274 | [ 7.31 -4.86] | -0.038480506336304815
-0.26135635341844254 | [-6.64 19.23] | -0.07219327604174554
-0.27805664240891714 | [ 7.64 -4.66] | -0.03731699091365047
-0.2941261492071566 | [-6.04 18.9 ] | -0.06954759910066173
-0.30816654242185504 | [ 7.85 -4.43] | -0.03754044376436133
-0.3218164216442711 | [-5.57 18.69] | -0.06859922624612905
-0.3338416605858722 | [ 8.   -4.19] | -0.03836917565816296
-0.3456380478034051 | [-5.2  18.53] | -0.06850904104386121
-0.35609362999171196 | [ 8.1  -3.96] | -0.03941510954585095
-0.3664335924690279 | [-4.89 18.42] | -0.06882590029544494
-0.37564014608909335 | [ 8.17 -3.73] | -0.04048341363971994
-0.384811964461577 | [-4.62 18.34] | -0.0693039101134131
-0.3930069474190561 | [ 8.21 -3.51] | -0.0414781496199812
-0.40122572795182304 | [-4.4  18.27] | -0.06980830267176022
-0.4085891874258531 | [ 8.23 -3.3 ] | -0.0423551736008545
-0.4160191086477057 | [-4.2  18.21] | -0.07026641521102994
-0.4226902743805026 | [ 8.25 -3.11] | -0.04309801107813706
-0.42945904077377883 | [-4.03 18.16] | -0.07064112482487192
-0.43554738365464446 | [ 8.25 -2.93] | -0.0437050576644168
-0.4417559354528006 | [-3.87 18.11] | -0.07091576227043149
-0.44734880096098695 | [ 8.24 -2.75] | -0.04418238790802357
-0.45307806387567184 | [-3.72 18.06] | -0.07108549805923967
-0.45824602943884657 | [ 8.23 -2.59] | -0.04453953596003983
