1.7, -4.1, -0.6, -1.6, -2.9, -7.2, -0.5, -0.3, -2.9, 0.1, -3.5, 0.5, 5.1, -0.8, -2.6, 3.8, 2.5, 5.7
parameter ends

state | action | reward
[0.03] | [2.8  4.89] | -0.03046608822730846
0.009630194526261803 | [5.41 7.1 ] | -0.036033666559157365
-0.03656869896904711 | [7.23 8.74] | 0.0015760712080754198
-0.10331701137713087 | [8.26 9.58] | 0.07651640345603328
-0.1823402875248648 | [8.69 9.78] | 0.171400112937054
-0.26772857313526593 | [8.76 9.58] | 0.2716687343532577
-0.3558912666779087 | [8.61 9.17] | 0.3685925543485411
-0.4447756377685525 | [8.33 8.66] | 0.4575710768190733
-0.5332035156672422 | [7.97 8.1 ] | 0.5363056963491685
-0.6204697208016305 | [7.57 7.53] | 0.6037525146526515
-0.7061278362855633 | [7.15 6.96] | 0.6596225503019981
-0.7898817137573315 | [6.7 6.4] | 0.7041421336687271
-0.871531425960259 | [6.25 5.85] | 0.7379220287651574
-0.9509465519748335 | [5.8  5.31] | 0.7618675111447183
-1.028053072102305 | [5.35 4.79] | 0.7771023068859726
-1.1028269389613825 | [4.91 4.28] | 0.7848979155659586
-1.1752908098176031 | [4.48 3.8 ] | 0.786607788264906
-1.2455121854008817 | [4.07 3.33] | 0.7836087625658908
-1.3136021485338871 | [3.69 2.89] | 0.7772526501714144
-1.3797144379665418 | [3.34 2.47] | 0.7688302200201793
-1.4440449264387687 | [3.02 2.07] | 0.759548753307035
-1.5068317992629265 | [2.75 1.7 ] | 0.7505233138307367
-1.5683569118737737 | [2.53 1.35] | 0.7427811450383018
-1.6289489901462368 | [2.37 1.03] | 0.737278317508781
-1.6889895786409503 | [0.53 1.36] | 0.09141740875952384
-1.7013885934975006 | [-8.04 -3.51] | -0.22262440260529584
-1.6848214150061014 | [-10.51  -4.46] | -0.42142049151436617
-1.652680406349611 | [-12.34  -5.06] | -0.5683189676458462
-1.609169372915559 | [-13.37  -5.34] | -0.6616483461801127
-1.5584291855633945 | [-13.76  -5.39] | -0.7128615705022859
-1.5035605861168364 | [-13.7   -5.29] | -0.7360916979583401
-1.446500370464243 | [-13.39  -5.11] | -0.742888418079203
-1.3882733105598928 | [-12.94  -4.89] | -0.7412437807764783
-1.3292814706676934 | [-12.42  -4.67] | -0.7363179540527146
-1.269514213865904 | [-11.88  -4.47] | -0.7312866587255794
-1.2086834411500573 | [-11.36  -4.29] | -0.727769321949444
-1.1463322347417253 | [-10.87  -4.14] | -0.7260787536230423
-1.0819202083257984 | [-10.41  -4.01] | -0.7253781279701603
-1.0148949339282818 | [-10.    -3.91] | -0.7238267303773851
-0.9447557821979332 | [-9.64 -3.81] | -0.718780846717475
-0.8711089865810475 | [-9.31 -3.7 ] | -0.707082781859969
-0.7937111064117324 | [-9.02 -3.58] | -0.6854435679629347
-0.712498059795368 | [-8.75 -3.41] | -0.6509006686557582
-0.6275972161702602 | [-8.49 -3.2 ] | -0.6013013986593925
-0.5393202578766073 | [-8.24 -2.94] | -0.5357235928253151
-0.4481354040253866 | [-7.98 -2.61] | -0.45471569851700167
-0.3546204215866364 | [-7.71 -2.24] | -0.36025500465875826
-0.2594029006743293 | [-7.42 -1.83] | -0.25540773373725784
-0.16309952255471194 | [-7.12 -1.38] | -0.14379770322805693
-0.0662678140784003 | [-6.79 -0.91] | -0.02754157444560565
0.03132857053550112 | [-7.39  0.23] | 0.1347371276955523
0.1388780122876777 | [-20.05  10.02] | 0.3445214604134998
0.2636830429111049 | [-35.92  22.07] | 0.39990783174638095
0.3945842141279878 | [-43.36  27.93] | 0.3031714448659135
0.517571149714069 | [-44.75  28.83] | 0.15280957723440197
0.6278845579539115 | [-43.57  27.32] | -0.008207044293854493
