-5.7, 1.0, 1.9, 1.1, 2.0, -1.1, 2.2, -5.4, 3.4, 5.9, -0.2, 0.5, -6.7, -1.4, -1.3, 3.2, 4.9, -0.0
parameter ends

state | action | reward
[0.01] | [4.83 0.24] | -0.03722700320074417
-0.013729231562331428 | [-2.38  0.84] | -0.019081493023140356
-0.02223362720526814 | [10.66  6.52] | -0.039066843363857455
-0.014686707108465183 | [5.88 9.94] | -0.06812321221074621
-0.04003522560698482 | [ 1.88 12.08] | -0.068199173010051
-0.09174207945882296 | [-0.8  12.93] | -0.15609114442648353
-0.11979347030294055 | [10.12 15.26] | -0.28275698975116687
-0.13483037847330498 | [ 4.86 14.43] | -0.21517095533885613
-0.17987955524322274 | [ 1.32 13.75] | -0.11338648719911255
-0.24593020938356971 | [-0.71 12.75] | -0.2613095555611522
-0.2867433941995712 | [ 9.   14.56] | -0.3972658695421972
-0.31427325378332044 | [ 4.63 13.27] | -0.20423195284766937
-0.36832970231001283 | [ 1.72 11.9 ] | -0.01326811161357012
-0.4403202808996804 | [ 0.06 10.28] | -0.04959257022935169
-0.5028890013589244 | [ 4.71 10.91] | -0.0565899511302371
-0.5617260036046476 | [2.3  9.07] | 0.17080735185712326
-0.6354667668897657 | [0.92 7.16] | 0.33725926279090657
-0.7161051822459428 | [0.71 5.55] | 0.5857053711038201
-0.8034641669105533 | [-0.97 -2.26] | 0.7493025692138309
-0.8809378545584594 | [ 6.25 -2.86] | 0.8968199652355763
-0.9561815107345278 | [  2.12 -10.26] | 1.4615995480299049
-1.0570351157383104 | [  0.23 -16.67] | 1.6163448712756865
-1.1586734130945495 | [  2.28 -18.92] | 1.6983038991609356
-1.2593481306175158 | [  0.86 -23.67] | 1.7410768370977023
-1.3612742622471092 | [  0.68 -26.21] | 1.5379446549124909
-1.4538395621595503 | [  1.29 -26.68] | -0.38568666669012985
-1.4359193150292386 | [22.97  0.71] | -1.0638067788657675
-1.3794067600752733 | [20.26  1.51] | -0.755645947172533
-1.3448453518360612 | [17.82  2.6 ] | -0.49760752826857624
-1.328333653058319 | [16.35  4.38] | -0.2951235321126705
-1.3262573183954873 | [15.39  5.98] | -0.12837197705636297
-1.3359302262215738 | [14.83  6.92] | 0.005203504599970606
-1.3546319637491295 | [14.59  7.16] | 0.10940241106498566
-1.3799547440046755 | [14.57  6.87] | 0.18937993529348596
-1.4100448674010038 | [14.71  6.27] | 0.24915826711936684
-1.4435682723668988 | [14.93  5.5 ] | 0.29103814913345155
-1.4795544479706744 | [15.21  4.66] | 0.3161349860465046
-1.5172502878914973 | [15.5   3.83] | 0.3251340661181567
-1.5560228112776284 | [15.8   3.04] | 0.31882494005994155
-1.595305411498205 | [16.07  2.34] | 0.29839163572121813
-1.6345747154070516 | [16.32  1.73] | 0.29560429991181597
-1.6589085135632458 | [21.89 -5.42] | 0.22156787160749292
-1.6708843223556946 | [22.93 -6.41] | 0.19299664008419867
-1.6769773215573105 | [23.64 -7.06] | 0.15150694902538106
-1.6766457464458604 | [24.14 -7.27] | 0.09061324195545244
-1.6693297671636238 | [24.45 -7.17] | 0.011193191693750923
-1.6548130286289344 | [24.57 -6.87] | -0.08535494785084945
-1.6331596751570547 | [24.5  -6.48] | -0.19756144761666916
-1.6046039604914557 | [24.27 -6.07] | -0.3239217626170854
-1.5694544780348838 | [23.87 -5.71] | -0.46310036687581313
-1.5280236363876007 | [23.33 -5.43] | -0.6139222002810699
-1.480590828793788 | [22.64 -5.26] | -0.7751467715452062
-1.4274013876208198 | [21.81 -5.21] | -0.944894604233323
-1.3687029380394398 | [20.83 -5.28] | -1.1194309939071814
-1.304823212912933 | [19.71 -5.45] | -1.2917111522046867
-1.2362831199077253 | [18.45 -5.71] | -1.4513017819924074
-1.1638999785262978 | [17.06 -6.  ] | -1.5858340684203989
-1.0888126539091427 | [15.59 -6.28] | -1.6847435979862055
-1.012359191117169 | [14.09 -6.52] | -1.743589513884888
-0.9358244862192054 | [12.64 -6.73] | -1.7655930088272929
-0.8601916699505561 | [11.27 -6.9 ] | -1.759419357379331
-0.7860581584557047 | [10.01 -7.06] | -1.7346225352429991
-0.713718964813913 | [ 8.84 -7.19] | -1.6991438138521824
-0.6432587431018097 | [ 7.74 -7.28] | -1.658586189200526
-0.57462057180351 | [ 6.69 -7.33] | -1.615079043833914
-0.5076919012918985 | [ 5.69 -7.34] | -1.5685715441041284
-0.44238238623788256 | [ 4.72 -7.34] | -0.6775131940919471
-0.4137908946477882 | [5.23 6.72] | -0.19194723976194522
-0.40587953346062516 | [5.7  8.76] | 0.03031666267755761
-0.40857933688536496 | [ 6.39 10.55] | 0.24941030164390351
-0.42246640734185353 | [ 7.23 12.15] | 0.46424702593885697
-0.44778781592248157 | [ 8.12 13.54] | 0.6704519108515544
-0.4843157634652907 | [ 8.98 14.67] | 0.8623472817531703
-0.5313341015738726 | [ 9.77 15.46] | 1.0327727283386012
-0.5876320330128105 | [10.45 15.8 ] | 1.173548638023698
-0.6515416502263023 | [11.   15.58] | 1.2772563046382328
-0.7210175630513345 | [11.43 14.81] | 1.340303230391794
-0.7938060755521693 | [11.78 13.6 ] | 1.3659325885242448
-0.8678111720234377 | [12.08 12.13] | 1.363127495516602
-0.9414349875861675 | [12.39 10.59] | 1.3409962980935064
-1.01368808994184 | [12.69  9.12] | 1.3065467568393272
-1.0840892618281834 | [13.01  7.76] | 1.264690424653525
-1.1525190357362138 | [13.35  6.49] | 1.2181178760589482
-1.2190795009398012 | [13.71  5.31] | 1.1674046087843388
-1.283962688082957 | [14.08  4.2 ] | 1.1116231960019223
-1.3473443335577269 | [14.47  3.16] | 1.0492457895457938
-1.4093192274655955 | [14.86  2.2 ] | 0.9789252817628282
-1.4698773705810566 | [15.24  1.35] | 0.899950086547939
-1.5289087344720376 | [15.61  0.62] | 0.8090189075841783
-1.5851821905317824 | [16.27 -0.42] | 0.7036655910009476
-1.6350520615183057 | [17.77 -2.29] | 0.6048374189163968
-1.6758501248185034 | [19.49 -4.24] | 0.534134356505751
-1.708223424098415 | [20.95 -5.8 ] | 0.4854301859047856
-1.7334705640904553 | [22.22 -7.16] | 0.43916486818782646
-1.751845142765588 | [23.26 -8.17] | 0.3857142470742661
-1.763104253587735 | [24.05 -8.69] | 0.31949893972007204
-1.7668949594331667 | [24.58 -8.77] | 0.23695812172547387
-1.762900499110586 | [24.91 -8.5 ] | 0.13708009345783323
-1.7509770786417154 | [25.05 -8.03] | 0.02100713206769765
-1.731227884413471 | [25.01 -7.46] | -0.11011624145849688
-1.7039236968863587 | [24.81 -6.87] | -0.2554449795276707
-1.6694090178107501 | [24.45 -6.33] | -0.41428763060771245
-1.6280378639867674 | [23.94 -5.87] | -0.585883220152634
-1.580146405519803 | [23.28 -5.52] | -0.7689545393601444
-1.526065263787349 | [22.47 -5.27] | -0.9608675488475238
-1.466172929397941 | [21.5  -5.11] | -1.155998957310596
-1.4009930059311426 | [20.37 -5.04] | -1.3447611422695014
-1.3313062405292115 | [19.09 -5.03] | -1.5144592659028107
-1.2582100779934828 | [17.68 -5.04] | -1.6522622755521343
-1.1830505098119652 | [16.21 -5.06] | -1.7499312682446686
-1.1072042416145607 | [14.74 -5.08] | -1.8070528354758073
-1.0318106425924325 | [13.32 -5.11] | -1.8303674325753299
-0.9576214262531464 | [11.99 -5.16] | -1.829499879021856
-0.8850458804687013 | [10.75 -5.22] | -1.8131954960981342
-0.8142504446154938 | [ 9.58 -5.26] | -1.7883412751182213
-0.7452353777814513 | [ 8.47 -5.28] | -1.758786738760974
-0.6779117205858507 | [ 7.41 -5.27] | -1.7253637975883303
-0.6121879266679396 | [ 6.38 -5.24] | -1.10396961323536
-0.5696108831926044 | [6.2  5.86] | -0.2853887049382881
-0.5576753392414462 | [6.49 7.84] | -0.02828151565162179
-0.5562266629748297 | [7.04 9.38] | 0.2238575397590174
-0.5657933938813638 | [ 7.77 10.7 ] | 0.47183338443180173
-0.5867892380809444 | [ 8.59 11.83] | 0.7096078885441478
-0.6191672033664812 | [ 9.4  12.76] | 0.9295690355669508
-0.6623908277236711 | [10.16 13.43] | 1.1227891729298627
-0.7154199992343924 | [10.81 13.74] | 1.279491196913181
-0.7767327446108094 | [11.33 13.62] | 1.3908854710767173
-0.8443964077255288 | [11.72 13.03] | 1.4526261506378264
-0.9161868443287104 | [12.03 12.02] | 1.4682489314108556
-0.9899006748014394 | [12.29 10.74] | 1.448808865999471
-1.0637344236927748 | [12.55  9.37] | 1.4067910352122242
-1.1364886074880123 | [12.82  8.04] | 1.3515710620318995
-1.2075202168032 | [13.11  6.8 ] | 1.2895002932889748
-1.2765992111195161 | [13.42  5.66] | 1.224175002000141
-1.3437650654719866 | [13.76  4.61] | 1.1567074138480045
-1.409190783289186 | [14.13  3.62] | 1.0863621699607853
-1.4730655523456304 | [14.51  2.69] | 1.0115257088565128
-1.5355151404805556 | [14.91  1.84] | 0.9306095979953438
-1.5965651383344017 | [15.3   1.08] | 0.8426137795116472
-1.656137459630601 | [15.69  0.44] | 0.7442353586655136
-1.7124610185916773 | [16.57 -0.75] | 0.6366877323231239
-1.7609459285474787 | [18.4  -2.95] | 0.5461302937406696
-1.799588302615494 | [20.1  -4.78] | 0.487847462894043
-1.8298388682440123 | [21.55 -6.35] | 0.44725727372678126
-1.852745500446551 | [22.81 -7.7 ] | 0.4063480810174922
-1.8684152502452744 | [23.83 -8.63] | 0.35570002837410997
-1.8765897374076024 | [24.59 -9.06] | 0.2896247738274228
-1.8769265761635672 | [25.11 -9.03] | 0.2049884317946569
-1.8691528810926368 | [25.43 -8.68] | 0.10158113870656514
-1.853228392575778 | [25.55 -8.14] | -0.019770145809192882
-1.8293426013646878 | [25.51 -7.52] | -0.15837406252932315
-1.7978165532977748 | [25.3  -6.89] | -0.31363332145526146
