1.8, -3.3, 2.4, 4.8, -1.9, 1.5, 1.0, 0.1, 2.2, 0.7, -0.3, -3.6, -2.4, -0.9, 2.5, 1.4, 1.5, -2.3
parameter ends

state | action | reward
[0.06] | [ 1.86 -2.42] | -0.10511355902569366
0.027337975484864472 | [-10.73  -3.04] | -0.18855245882945487
-0.010202235153793994 | [-9.02 -5.85] | -0.20470495574605763
-0.008122994140010829 | [-7.44 -8.37] | -0.2126503770723514
0.027079936508731434 | [ -5.77 -10.56] | -0.17204464667542
0.08750222873856861 | [ -4.15 -12.27] | -0.07990171370098567
0.16493983916470645 | [ -2.64 -13.55] | 0.04652317030927858
0.25287729332492526 | [ -1.28 -14.53] | 0.1869589224865067
0.3467818863714326 | [ -0.07 -15.33] | 0.11487816000577913
0.4235791599797583 | [ -3.18 -14.57] | 0.08583062266719567
0.4928922868714395 | [ -1.   -15.72] | 0.28280014868663755
0.5745850203908125 | [  0.74 -16.6 ] | -0.05980419101164538
0.6251819221936158 | [ -5.74 -14.33] | -0.2774910729834228
0.6588810110144534 | [ -2.36 -15.64] | 0.05441831293321983
0.7158824746565969 | [  0.35 -16.77] | -0.11156323834659036
0.7596376278553099 | [ -3.45 -15.27] | -0.19817881393653416
0.7964737488450196 | [ -0.21 -16.51] | 0.46831061500313464
0.8621671351030448 | [  9.62 -15.07] | 0.5808499935884102
0.9182238702290241 | [  6.95 -12.69] | 0.04454824362335034
0.934673312318333 | [  4.52 -10.66] | -0.4006649748354481
0.9183205194193813 | [ 2.67 -8.45] | -0.7632627713901509
0.8732838408854274 | [ 1.32 -6.2 ] | -1.0200940518828554
0.804924232124373 | [ 0.48 -4.06] | -1.0642910567076127
0.7271967026007138 | [ 0.88 -3.19] | -1.0658793214005007
0.6425773314562025 | [ 0.56 -1.36] | -1.0293555263820353
0.5527030581696439 | [ 1.06 -0.42] | -0.9917810253740852
0.45621257526407755 | [0.86 1.6 ] | -0.8557109904051449
0.35537236805591793 | [3.26 3.48] | -0.6296242232777399
0.25390149584669935 | [4.88 5.57] | -0.4168060672960713
0.1499678277843914 | [6.45 7.5 ] | -0.18783496664035415
0.044796816616792134 | [7.94 9.32] | 0.04736136846939601
-0.061010704293268284 | [ 9.34 11.07] | 0.28358788261974355
-0.16715053378494524 | [10.65 12.75] | 0.5175156299899267
-0.2734413655548795 | [11.88 14.39] | 0.7462600388989344
-0.37973631631393867 | [13.04 15.97] | 0.9666709899210695
-0.4858756955394995 | [14.13 17.52] | 1.1738632755748153
-0.591654942664499 | [15.12 19.  ] | 1.360060786462269
-0.696774397224185 | [15.97 20.38] | 1.5164408312485107
-0.800805772036036 | [16.61 21.63] | 1.6160734449341652
-0.900966341205889 | [18.97 21.87] | 1.3728944351492627
-0.9667194574319123 | [20.32 21.78] | 1.3323841672468386
-1.0309737835797232 | [19.   22.23] | 1.3303166429651652
-1.0980081482266846 | [17.78 22.54] | 1.3025894064018184
-1.165587268513677 | [16.63 22.74] | 1.2575836011734458
-1.2325259934897914 | [15.49 22.86] | 1.2037811243300427
-1.2984049137867915 | [14.34 22.94] | 1.1450516065837364
-1.3631369028663383 | [13.21 23.  ] | 1.0816792947683902
-1.426717890086456 | [12.08 23.04] | 1.0128165456370175
-1.4891389955584315 | [10.96 23.06] | 0.9373813911433727
-1.5503399259160975 | [ 9.87 23.06] | 0.8545863505857234
-1.610190925758454 | [ 8.81 23.04] | 0.764232840437501
-1.668496272977488 | [ 7.8 23. ] | 0.6667772034929947
-1.7250097729754281 | [ 6.84 22.95] | 0.5633083517485897
-1.779456574170502 | [ 5.96 22.88] | 0.4743715318282189
-1.8298326067320931 | [ 0.62 19.07] | 0.48700473773605046
-1.8587042480177907 | [-1.9 16.4] | 0.24427098270438663
-1.8707945301788957 | [-0.11 15.14] | 0.004463118970560079
-1.8691275192078942 | [ 0.13 14.84] | -0.021556353455394837
-1.8668703296613844 | [-0.09 14.82] | -0.034837442752333116
-1.8644762185874546 | [-0.07 14.51] | -0.07500830865061071
-1.8599664715920792 | [-0.1  14.21] | -0.1131887335864894
-1.8534100352663658 | [-0.1  13.87] | -0.15194394377672513
-1.8447356110799147 | [-0.1  13.54] | -0.18820897980765366
-1.8340899817701497 | [-0.11 13.2 ] | -0.2234613360785673
-1.8215317727131282 | [-0.12 12.86] | -0.2577295584957849
-1.8071261578259454 | [-0.12 12.5 ] | -0.29161268093276793
-1.79090656462948 | [-0.13 12.13] | -0.32540402497622184
-1.7728937432217615 | [-0.14 11.75] | -0.3594903912654999
-1.7530890416380849 | [-0.15 11.36] | -0.394202202399506
-1.731477444479314 | [-0.16 10.95] | -0.4298949573183887
-1.708025520896442 | [-0.17 10.52] | -0.4669296209029775
-1.6826807616654675 | [-0.18 10.07] | -0.5056966033963533
-1.6553694766125069 | [-0.2  9.6] | -0.5466036791292919
-1.6259949568331429 | [-0.21  9.1 ] | -0.5900467747479401
-1.5944363181628227 | [-0.23  8.57] | -0.636414612903075
-1.560547059557279 | [-0.24  8.  ] | -0.6860956522892694
-1.5241527787825833 | [-0.26  7.39] | -0.739468844841391
-1.485048583263082 | [-0.28  6.74] | -0.7968840118323087
-1.442996570966657 | [-0.3   6.04] | -0.8586236688302545
-1.397723909516913 | [-0.33  5.29] | -0.924844251010242
-1.3489221239149929 | [-0.36  4.47] | -0.9954884053782647
-1.2962485754203343 | [-0.39  3.58] | -1.0701562458637854
-1.2393316746666356 | [-0.42  2.62] | -1.1479256367798651
-1.17778195637004 | [-0.47  1.58] | -1.227117118057502
-1.111211723668484 | [-0.52  0.45] | -1.3007203088882835
-1.0394073153691608 | [-0.6  -0.76] | -1.29043444187856
-0.9644424358876739 | [-2.01 -2.38] | -1.3227968917797088
-0.8812884205274244 | [-2.78 -4.85] | -1.3741658975136053
-0.787333496238577 | [-3.82 -7.06] | -1.309467806638073
-0.6875098916883366 | [-4.96 -9.07] | -1.1744004304034308
-0.5846735040468513 | [ -6.11 -10.94] | -0.9987154961215454
-0.48034500095961147 | [ -7.2  -12.71] | -0.7990590129846517
-0.37532240541173023 | [ -8.23 -14.41] | -0.5844364457098042
-0.2700553572424237 | [ -9.17 -16.04] | -0.36016926712135555
-0.16484616629718665 | [-10.05 -17.62] | -0.13011884164798995
-0.05995416728595074 | [-10.85 -19.15] | 0.10146619131054879
0.04435658454720646 | [-11.58 -20.61] | 0.32808585344129376
0.14779009064311344 | [-12.18 -21.97] | 0.5422126732952988
0.24997690362773878 | [-12.61 -23.2 ] | 0.736260929886581
0.35048657633305946 | [-12.82 -24.27] | 0.9039911215984315
