-0.7, 2.0, -0.1, 4.2, -4.2, 5.3, -4.5, 5.8, 2.4, 0.7, -1.3, -1.7, -2.0, -0.1, -0.1, 2.6, -0.7, -1.1
parameter ends

state | action | reward
[-0.] | [-0.81 -0.94] | -0.03671094122662749
0.00846491943294813 | [-1.65 -4.83] | -0.027634335902846245
0.044713113087139295 | [-2.35 -8.21] | 0.00731912856184378
0.10434917487191367 | [ -2.85 -10.45] | 0.07680314115996273
0.17875195304335437 | [ -3.16 -11.7 ] | 0.16818475213846923
0.2612251254697198 | [ -3.34 -12.32] | 0.26706890373018166
0.34749625514235505 | [ -3.4 -12.6] | 0.36391358020121173
0.43506816640563895 | [ -3.38 -12.73] | 0.45359410847514997
0.5225138356667617 | [ -3.28 -12.78] | 0.5336046716474075
0.6090048566667379 | [ -3.12 -12.82] | 0.6028186893264621
0.6940430110898411 | [ -2.9  -12.86] | 0.6608624148886134
0.777317002008408 | [ -2.63 -12.93] | 0.7078325633954097
0.8586280781340038 | [ -2.31 -13.03] | 0.7441667427773481
0.9378520249745536 | [ -1.96 -13.16] | 0.7705704933152966
1.0149200146695518 | [ -1.57 -13.32] | 0.7879602502027881
1.0898090849405204 | [ -1.16 -13.51] | 0.7974085038595605
1.1625374144177276 | [ -0.72 -13.73] | 0.7365286651183082
1.2294574505931821 | [  0.19 -14.8 ] | 0.42037489094967095
1.276930100336828 | [  2.48 -18.34] | -0.22531126172182275
1.2884670816781563 | [  5.96 -23.59] | -0.9893978931869893
1.2595201272827063 | [  9.37 -27.91] | -1.5592941379905956
1.1996558859502553 | [  8.9  -20.56] | -0.5345010902074432
1.1681697657173462 | [  6.93 -11.95] | -0.6550725030402434
1.12163417070115 | [  8.34 -13.59] | -0.9377702210230886
1.0565134809399481 | [  9.32 -14.05] | -1.0878273373905722
0.9786074532023491 | [  9.99 -13.73] | -1.1618116820741324
0.8909284742184461 | [ 10.49 -13.06] | -1.1892358641315637
0.7949617741803037 | [ 10.86 -12.14] | -1.1777188553582423
0.6917935802631228 | [ 11.09 -11.01] | -1.126841153998122
0.5827356017534617 | [11.12 -9.72] | -1.03624668099646
