2.1, 2.4, -1.3, 5.0, 3.0, 1.9, 1.3, -4.2, 1.7, -5.0, -2.5, -3.3, 2.1, 0.5, -0.5, 2.1, -4.4, 1.8
parameter ends

state | action | reward
[-0.01] | [-3.88  1.66] | 0.08059790722772436
0.02185850300317047 | [-19.47  10.32] | 0.011111259431767162
0.10602989570134852 | [-27.33  14.81] | -0.07978984773302038
0.21143737959570985 | [-28.51  15.66] | -0.1409207484711334
0.31939272332256946 | [-26.94  14.94] | -0.18687601441982468
0.4233546940507995 | [-24.59  13.72] | -0.2391689699115947
0.5208859645507037 | [-21.98  12.45] | -0.3167267365533858
0.6098216028034441 | [-19.18  11.34] | -0.4303541237576739
0.6878416930527782 | [-16.26  10.46] | -0.5771283486268213
0.753089250527822 | [-13.19   7.37] | 0.14236031905867882
0.8032535571559619 | [ 6.93 -0.6 ] | -0.306038254359664
0.7678663057565899 | [10.82 -1.07] | -0.20566789173622665
0.7231053902687241 | [13.16 -3.52] | -0.025211224339890956
0.6733753532875953 | [15.26 -5.94] | 0.13490566278006613
0.6182892961839404 | [17.39 -8.25] | 0.2521829550305919
0.5555885858927732 | [ 19.78 -10.48] | 0.3176514844625471
0.4817802116680621 | [ 22.59 -12.7 ] | 0.33291468972714205
0.39286054288161226 | [ 25.88 -15.04] | 0.3057498423122971
0.2856041095210477 | [ 29.33 -17.45] | 0.2434364481091042
0.16056891524139869 | [ 31.71 -19.32] | 0.14593130880090344
0.025788664482635157 | [ 30.97 -19.19] | 0.03845615800284527
-0.10582599003029813 | [ 27.22 -16.97] | -0.0436730500978158
-0.22731686902027173 | [ 23.05 -14.37] | -0.117097480222758
-0.33852014931266267 | [ 19.29 -11.91] | -0.18923736898489477
-0.44088376462980955 | [15.95 -9.58] | -0.25957719902794213
-0.5355325650573853 | [12.83 -7.37] | -0.3437534991561484
-0.6216448044558572 | [ 9.64 -5.21] | -0.4575129445362211
-0.697172155171656 | [ 6.29 -3.06] | -0.6025281753445387
-0.7601934057569921 | [ 2.86 -0.93] | -0.5884374061853828
-0.7720420312989749 | [-17.86   6.27] | -0.38611919015148677
-0.7340820615318056 | [-20.39   7.26] | -0.21891575307967978
-0.6893860537799842 | [-22.19   8.04] | -0.0356832634536589
-0.6397379618557937 | [-23.79   8.86] | 0.128077935359596
-0.584593721059995 | [-25.54   9.85] | 0.2501122772289788
-0.5215758506415623 | [-27.69  11.17] | 0.3218623217492568
-0.4471247238355945 | [-30.39  12.91] | 0.34526973416273943
-0.3572389380402659 | [-33.67  15.12] | 0.32778391653856864
-0.2488355288036953 | [-37.14  17.64] | 0.27410259575559537
-0.12289791353238363 | [-39.5   19.84] | 0.17866322462698125
0.011963955228999144 | [-38.78  20.39] | 0.06621485755995407
0.14285472453088044 | [-35.24  19.14] | -0.0227454660308353
0.2634641011850651 | [-31.39  17.49] | -0.10224754093465668
0.37387780415065225 | [-27.93  15.92] | -0.17888091924862834
0.47559622651902933 | [-24.87  14.39] | -0.2532425579894235
0.5696003256455955 | [-21.99  12.99] | -0.3421809906041582
0.6549209317439993 | [-19.1   11.82] | -0.4610067851931051
0.7294869116492205 | [-16.12  10.92] | -0.6100445527323656
0.7914417123399957 | [-13.13  10.23] | -0.5841884622940904
0.7964465926532458 | [8.11 0.93] | -0.4783833662415105
0.7547490102878425 | [10.91  1.92] | -0.6431609510981849
0.6952428172211911 | [13.26  2.81] | -0.6891070165954114
0.6228083962398193 | [15.38  2.63] | -0.6465786795102246
0.5404501739906428 | [17.4   2.02] | -0.5577313378648948
0.4492008669960524 | [19.34  1.25] | -0.4371119440987524
0.3494342948880742 | [21.17  0.44] | -0.2766814600846349
0.24189011649471623 | [22.9  -0.74] | 0.013531284601647674
0.12784387104978565 | [25.59 -4.58] | 0.3977708959444893
0.0068164821483674976 | [28.24 -8.67] | 0.7751772077770434
-0.12033543390113413 | [ 30.09 -12.44] | 1.1142989542659725
-0.25121231936991706 | [ 31.12 -15.67] | 1.3786632314431677
-0.38350414679677963 | [ 31.19 -17.99] | 1.5086434255066632
-0.5135854318111309 | [ 29.83 -18.86] | 1.4471466647998037
-0.6356368332343707 | [ 26.76 -18.  ] | 1.1992008467204898
-0.7441561930522033 | [ 22.47 -15.74] | 0.8550122648528049
-0.8380562550425583 | [ 18.05 -12.75] | 0.5235327093091858
-0.9199218861875783 | [14.04 -9.81] | 0.22437893531244596
-0.9907390222469159 | [10.26 -7.21] | -0.05554137993887979
-1.0497764563617555 | [ 6.59 -4.95] | -1.2651164220467674
-1.0074433215199452 | [-18.81   0.47] | -1.6011772301950697
-0.9246415748544224 | [-21.14   3.45] | -1.2194221255193172
-0.8464753868599173 | [-22.63   6.15] | -0.8206931510894233
-0.7735319341691789 | [-24.03   8.52] | -0.4928890945854212
-0.7027368472903455 | [-25.76  10.94] | -0.2692004702458941
-0.6289784257503812 | [-28.22  13.59] | -0.1780371772569056
-0.5452492206868441 | [-31.63  16.59] | -0.2199833685391953
-0.4442948510396582 | [-35.75  19.79] | -0.35359977875109394
-0.3224634762616779 | [-39.26  22.51] | -0.4919883026554554
-0.1852885932434915 | [-39.91  23.45] | -0.5461286790583724
-0.04560360501911097 | [-37.41  22.29] | -0.5236214207398515
0.08710257344192546 | [-33.82  20.41] | -0.4919955866581954
0.21006003510472449 | [-30.26  18.56] | -0.47575453104864923
0.32336858473246094 | [-26.97  16.78] | -0.4776596555407983
0.42801625212999234 | [-23.94  14.98] | -0.5046958185014736
0.5240424412566155 | [-20.95  13.31] | -0.5694587678010319
0.6097876551661311 | [-17.89  11.95] | -0.07400676571038237
0.6997912973270813 | [-13.66  -4.5 ] | 0.75894994548196
0.8033819397683761 | [-11.55  -8.44] | 0.34480766503686644
0.8374308095574899 | [ 7.98 -3.47] | 0.0038601608670251536
0.8137989368900147 | [10.75 -5.16] | 0.10400955699052268
0.7815570918026749 | [13.13 -7.04] | 0.18932327090585968
0.7415351730482836 | [15.42 -8.94] | 0.22946669263739014
0.6923096002520732 | [ 17.88 -10.77] | 0.20498892719830009
0.630622862296496 | [ 20.75 -12.52] | 0.10855372938925698
0.5520811959164212 | [ 24.14 -14.22] | -0.05245622991665684
0.45250061537502656 | [ 27.83 -15.84] | -0.24911045597043452
0.33113270072443474 | [ 30.64 -17.  ] | -0.42731622508755013
0.1955177829307469 | [ 30.51 -16.75] | -0.519553350346011
0.05936400319265962 | [ 27.39 -14.96] | -0.5327511721774583
-0.06858655077852407 | [ 23.54 -12.8 ] | -0.5315762742781751
-0.18664581977970918 | [ 19.9  -10.72] | -0.5366574409132497
-0.29546087030834234 | [16.59 -8.69] | -0.5491786686590422
-0.39616294959448395 | [13.5  -6.63] | -0.5809574511652573
-0.48833177458198174 | [10.35 -4.53] | -0.6469619491852985
-0.5700168663516152 | [ 7.01 -2.41] | -0.6090054212129832
-0.6435072699811439 | [5.45 2.41] | 0.4544806227793236
-0.7354629180805332 | [-7.02  5.99] | -0.1203820774026408
-0.7206939130506749 | [-18.24   7.53] | -0.07809358161244395
-0.6882627213685923 | [-20.39   8.23] | 0.06930859636601254
-0.6487718017206604 | [-22.24   9.03] | 0.20214811318418957
-0.6024590214132235 | [-24.15  10.08] | 0.2943374183379873
