-2.9, 4.5, -2.9, -0.5, 0.2, 2.6, 1.2, -2.7, -1.3, -1.1, -1.8, -1.0, 3.6, -2.2, 3.5, 2.0, -3.0, 3.1
parameter ends

state | action | reward
[0.01] | [-3.33  3.05] | -0.05876181443475979
0.0472119200136468 | [-4.1  18.13] | -0.06986254068393632
0.13422124320865939 | [-4.43 27.14] | -0.1244926110271437
0.24148398470594665 | [-4.37 30.54] | -0.1809277289138541
0.35060097140806457 | [-4.12 31.57] | -0.23620886794680523
0.45509255772864354 | [-3.8  31.89] | -0.3023473938786432
0.5524099975691054 | [-3.44 31.99] | -0.39428625165882236
0.6404383730950178 | [-3.05 31.98] | -0.5205984858800743
0.7170826626557089 | [-2.63 31.87] | -0.6773962535157637
0.7807477600962521 | [-2.19 31.65] | -0.2666412161748904
0.8100286798995717 | [-0.54 11.97] | -0.38040501542085947
0.783380922063509 | [ 0.85 12.35] | -0.4966245841216751
0.7483592850414109 | [ 4.09 11.76] | -0.6267076112021306
0.6958027898268259 | [ 6.88 10.37] | -0.6676406444739997
0.6287418579396549 | [9.17 8.65] | -0.638080948464875
0.5502057836238735 | [11.2   6.76] | -0.5604652214623718
0.4617413557689804 | [13.07  4.75] | -0.4466581755682159
0.36411699162556516 | [14.8   2.68] | -0.3022616342474398
0.2580836421200774 | [16.32  0.62] | -0.12486077870232772
0.1450169831565797 | [17.33 -1.6 ] | 0.20203535240179668
0.02552993271305062 | [15.49 -7.86] | 0.634115225338667
-0.10094963311468572 | [ 13.46 -13.68] | 1.0217061935093115
-0.23192176065194228 | [ 10.78 -19.04] | 1.3439409802392865
-0.364577558372219 | [  7.75 -23.87] | 1.5592319073705512
-0.49640712720264685 | [  4.61 -27.86] | 1.607559010569668
-0.6234050624652053 | [  1.42 -30.46] | 1.4511387952126225
-0.7399550776975534 | [ -1.75 -31.34] | 0.7873964396668229
-0.812678416249713 | [ -8.85 -21.39] | 0.07153721175649569
-0.834125915567232 | [-13.72 -15.74] | -0.4668543071130785
-0.8191752914379117 | [-17.93 -11.67] | -0.886596860705334
-0.7751200680036151 | [-21.37  -8.55] | -1.172306157702547
-0.7091353358947443 | [-23.86  -6.12] | -1.323150877501556
-0.6276720906658947 | [-25.48  -4.18] | -1.3570530494025792
-0.535735694859581 | [-26.42  -2.59] | -1.2993290362498835
-0.436839737198736 | [-26.88  -1.25] | -1.1742706252514434
-0.33329053842668466 | [-27.02  -0.09] | -0.9245637829986342
-0.22640687956371633 | [-24.75   3.37] | -0.4818291981674589
-0.11430093960625465 | [-20.64   9.37] | 0.03930429371146077
0.006552863570893002 | [-17.06  15.08] | 0.5193054560561522
0.13641417111350918 | [-13.09  20.77] | 0.901858442100532
0.27212858973630377 | [-9.   25.98] | 1.077257258992254
0.40683984289129604 | [-5.46 29.71] | 0.9864558355481946
0.5317262023885765 | [-2.96 31.49] | 0.7309706214111577
0.6423562919338234 | [-1.58 32.05] | 0.4582823854125689
0.7405022447041569 | [-0.95 32.25] | 0.20504122264145197
0.8274980768138489 | [-0.39 32.3 ] | -0.09519002017472905
0.896991995864385 | [ 1.32 31.49] | -0.5600924196851537
0.9318234786736344 | [ 5.88 29.36] | -1.0900502153206428
0.9264742468027775 | [ 9.84 28.16] | -1.5376732500343986
0.8881245030145131 | [13.16 27.  ] | -1.8458147376906573
0.8239581057949747 | [15.67 25.52] | -1.9862078439698774
0.7412929075402911 | [15.47 21.86] | -0.9778017188254904
0.6757742833518567 | [5.7  8.83] | -0.6637024062112082
0.605012986670219 | [8.85 7.75] | -0.681006686246599
0.5213845713604222 | [11.43  6.21] | -0.607743447760548
0.4274802197848231 | [13.44  4.21] | -0.48006213359288474
0.32462596351157674 | [15.16  2.09] | -0.319816331808798
0.21402116373502966 | [16.57  0.04] | -0.08552915352693383
0.09717811429311705 | [16.47 -3.62] | 0.28315039859976415
-0.026468769824551232 | [14.67 -9.84] | 0.7026317010293749
-0.1564079613310254 | [ 12.32 -15.52] | 1.07016161882425
-0.2891953608812553 | [  9.39 -20.65] | 1.3564665987650317
-0.4221351521346799 | [  6.27 -25.14] | 1.512433967251601
-0.552354161838126 | [  3.08 -28.6 ] | 1.4837012448674478
-0.6751768847269728 | [ -0.14 -30.55] | 1.061318267308123
-0.7680114508758835 | [ -5.75 -25.43] | 0.39496263918370844
-0.8137658562524455 | [-11.38 -18.28] | -0.20648177351989971
-0.8174200402532745 | [-15.86 -13.59] | -0.6822392198264773
-0.7882145305238311 | [-19.72 -10.04] | -1.0349121068808518
-0.73322550128592 | [-22.7  -7.3] | -1.251281225817634
-0.6594161835118664 | [-24.76  -5.15] | -1.3401683168799066
-0.5726043818459423 | [-26.04  -3.41] | -1.324009203405955
-0.4770850479865008 | [-26.74  -1.98] | -1.228112877764203
-0.3757846321073658 | [-27.04  -0.76] | -1.0540838189247494
-0.2706666149361575 | [-26.45   0.95] | -0.6740436366860499
