-0.2, 1.5, 3.3, -2.3, 5.2, 1.7, 3.6, -0.5, -2.6, 1.5, 2.3, -0.2, -4.0, -1.4, -1.0, 0.2, -0.7, 1.4
parameter ends

state | action | reward
[0.07] | [-0.85  1.27] | 0.09908697916134948
0.1003636803671738 | [16.54  3.96] | 0.0657465291878957
0.1357385128665915 | [5.78 4.13] | -0.0702096671852154
0.13259508290874147 | [-3.1  4.1] | -0.1302150651330083
0.14433977393697958 | [14.29  6.19] | -0.2501973773201434
0.16271094905184094 | [3.07 5.89] | -0.3814836751121148
0.1426399229672635 | [-5.62  5.59] | -0.46285990657363224
0.13564201973575377 | [10.07  7.15] | -0.5631600467943864
0.1357068160288125 | [0.01 6.87] | -0.6401276897946696
0.1208149647141356 | [2.59 7.38] | -0.7043166126224474
0.09203998279418509 | [-5.82  7.01] | -0.7705749823654229
0.07492065077528913 | [8.71 8.29] | -0.8509864142872763
0.06396425700926513 | [-1.75  7.59] | -0.2930458920234357
0.03509888953356096 | [5.03 5.97] | -0.11534163988776547
0.002384701923597101 | [-4.82  5.37] | -0.1374000437048438
-0.024087092875536138 | [7.09 5.97] | -0.13244674309988277
-0.04878933302260568 | [-3.25  5.29] | -0.12413572261430962
-0.07011792009873268 | [8.16 5.85] | -0.11229196338409003
-0.09083633940847873 | [-2.31  5.14] | -0.10376615420606042
-0.1089198034219114 | [8.9  5.73] | -0.09595740844016454
-0.1266960844943899 | [-1.58  5.01] | -0.08909419489245932
-0.1422460019172394 | [9.47 5.63] | -0.08438106291177776
-0.1576746715435716 | [-1.   4.9] | -0.07821474401205382
-0.17124610678962274 | [9.88 5.54] | -0.07530206058045501
-0.18489851215559275 | [-0.55  4.8 ] | -0.02555717455184739
-0.20608650825507588 | [5.72 5.12] | 0.028351091436213716
-0.23558612828258435 | [-3.98  4.3 ] | 0.019397425409614734
-0.26095016314139263 | [7.16 4.95] | 0.028168514620863214
-0.2853927188765428 | [-2.62  4.11] | 0.0195846043719351
-0.3065561849749567 | [8.2 4.8] | 0.024229660514858142
-0.32719583269277774 | [-1.57  3.95] | 0.016471240335120353
-0.34512764167170984 | [8.98 4.68] | 0.018969037150732816
-0.36281571430847714 | [-0.73  3.81] | 0.053513480287092616
-0.3836666005602212 | [7.04 4.34] | 0.09795494964098657
-0.40927570842347755 | [-2.16  3.43] | 0.08015129364597079
-0.43136843167181615 | [8.13 4.19] | 0.08297687574019434
-0.45290112539906013 | [-1.01  3.26] | 0.06799547151178148
-0.4715787902826465 | [8.94 4.06] | 0.06902831857035044
-0.48998424000542357 | [-0.09  3.13] | 0.22085622698594434
-0.5235787366147587 | [1.77 3.11] | 0.3726676486967905
-0.5708864422016602 | [-5.24  2.11] | 0.3068202188040295
-0.6099708488167398 | [4.79 2.89] | 0.30018698117313036
-0.6461193536212323 | [-2.44  1.87] | 0.25186332860230515
-0.6768276579592674 | [6.59 2.68] | 0.24456275792591337
-0.7058389687156728 | [-0.52  1.67] | 0.3030046778879881
-0.7390390218007716 | [4.47 2.06] | 0.3789072736866428
-0.7775047666002964 | [-1.62  1.04] | 0.3171690635511331
-0.8100987750363161 | [6.43 1.86] | 0.3028341957592888
-0.8406380939197861 | [0.42 0.85] | 0.5366686907657603
-0.8885965136221851 | [-0.45  0.4 ] | 0.4526232076768449
-0.92903281567926 | [3.64 0.7 ] | 0.5130449709850766
-0.9729441152582428 | [-0.71 -0.29] | 0.4783127607678181
