5.4, -0.6, -1.8, 1.7, 4.9, -1.5, 3.3, -4.6, -1.4, -3.5, 6.6, 0.8, -4.5, -7.5, -0.4, -1.0, -1.6, 4.0
parameter ends

state | action | reward
[0.09] | [-0.08  5.15] | -0.043231736139355076
0.10663324907418509 | [11.17 17.07] | -0.12620460430292355
0.11318538468720828 | [-0.55  5.65] | -0.1458176239975551
0.12423409007598082 | [17.39 23.81] | -0.32566582895685575
0.13449384861786132 | [3.13 9.01] | -0.38351611579911116
0.10837543852105955 | [-8.58 -3.07] | -0.34501377217641216
0.08615858348160046 | [4.11 7.33] | -0.3214766552075034
0.06490837680576937 | [-7.59 -4.29] | -0.29531537108782885
0.04676440824738358 | [5.49 7.25] | -0.2798257607373812
0.02933227929888184 | [-6.55 -4.69] | -0.25980575218400015
0.014315196271354838 | [6.66 7.45] | -0.25152760998264095
-0.00021305957676188286 | [-5.66 -4.86] | -0.2341317178548193
-0.012808002494358803 | [7.64 7.71] | -0.23142736212864118
-0.025071935551596092 | [-4.9  -4.94] | -0.2149486376448074
-0.035743195312468036 | [8.45 7.96] | -0.2165661641793522
-0.04620238596485814 | [-4.26 -5.  ] | -0.20015143604323005
-0.05531717434188201 | [9.15 8.19] | -0.20518285851906362
-0.06431146179734237 | [-3.71 -5.04] | -0.18840044434568204
-0.07214757151829772 | [9.75 8.39] | -0.19617831454460674
-0.07993653443249787 | [-3.23 -5.09] | -0.1788158430176532
-0.08671054292698628 | [10.28  8.56] | -0.1888352982039557
-0.09349781495111723 | [-2.81 -5.14] | -0.17080108709503325
-0.0993824368754096 | [10.75  8.7 ] | -0.18267644895435994
-0.10533014992963496 | [-2.44 -5.2 ] | -0.1639457185036327
-0.1104646898684246 | [11.16  8.83] | -0.17737670621680823
-0.11570362695911554 | [-2.11 -5.27] | -0.157960757199176
-0.12020174154231053 | [11.54  8.93] | -0.17270943486823107
-0.12483869309304003 | [-1.82 -5.34] | -0.15263863444167197
-0.128794195740256 | [11.87  9.01] | -0.16851396222669524
-0.13291777607025004 | [-1.55 -5.41] | -0.1478294179924594
-0.1364091803972018 | [12.18  9.08] | -0.16467464000475965
-0.14009354531902576 | [-1.32 -5.5 ] | -0.14342322592248058
-0.14318693759327503 | [12.46  9.14] | -0.16110893502874668
-0.14649439564690614 | [-1.1  -5.58] | -0.1393392857214295
-0.1492455933802274 | [12.72  9.18] | -0.15776067171841088
-0.15222886755262685 | [-0.9  -5.67] | -0.11248021581316488
-0.15763480444724504 | [10.57  6.29] | -0.046509005939619735
-0.16878580814703706 | [ -4.46 -10.55] | -0.014897662554576993
-0.18043857147015124 | [9.38 4.72] | -0.01132995485534376
-0.19179508288958447 | [-4.13 -9.95] | -0.014967392319820444
-0.20201038996083462 | [9.59 5.27] | -0.014180886842513948
-0.21200226552229295 | [-3.85 -9.43] | -0.015783797778095604
-0.22098680804373075 | [9.76 5.75] | -0.01725633323249336
-0.22980931695813603 | [-3.61 -8.98] | -0.017029421435804347
-0.23773382077275046 | [9.9  6.16] | -0.020346253616030666
-0.24554965595316147 | [-3.41 -8.58] | -0.01848736283842463
-0.2525576397697074 | [10.01  6.51] | -0.023320036967816506
-0.25950349790802274 | [-3.23 -8.24] | -0.020013995611601516
-0.26571635662812226 | [10.11  6.81] | -0.026100824456037303
-0.27190774287465264 | [-3.08 -7.94] | -0.021516947048817785
-0.27742869259842884 | [10.19  7.07] | -0.028647836063536818
-0.28296374754006653 | [-2.94 -7.67] | -0.022938779231267827
-0.28788098329068323 | [10.26  7.3 ] | -0.030943789213519396
-0.2928435330349985 | [-2.82 -7.45] | -0.024244595086296113
-0.29723281397909285 | [10.32  7.5 ] | -0.03298453933275909
-0.30169492902313005 | [-2.71 -7.25] | -0.02541405177695872
-0.3056217766107222 | [10.37  7.67] | -0.03477232812014895
-0.3096460399551021 | [-2.62 -7.07] | -0.026435659654046505
-0.3131676485840057 | [10.42  7.82] | -0.03631544828041369
-0.3168085992501876 | [-2.54 -6.92] | -0.02730621007689825
-0.319974972254571 | [10.46  7.95] | -0.03762697923020766
-0.3232801950422602 | [-2.47 -6.79] | -0.028028414588114895
-0.32613507198672015 | [10.49  8.06] | -0.03872290451798275
-0.3291461184099503 | [-2.4  -6.67] | -0.028608686287308262
-0.33172778073811 | [10.52  8.16] | -0.03962048879722196
-0.33448096303197944 | [-2.35 -6.57] | -0.029055690898804415
-0.33682293499496335 | [10.55  8.25] | -0.04033731025878238
-0.3393500125634334 | [-2.29 -6.49] | -0.029379308814163303
-0.34148167324322776 | [10.58  8.32] | -0.04089052466810019
-0.3438104530861641 | [-2.25 -6.42] | -0.02958991706502913
-0.34575756952721853 | [10.6   8.38] | -0.04129652045122427
-0.3479124208932405 | [-2.21 -6.35] | -0.02969790836953984
-0.3496976105491383 | [10.62  8.44] | -0.04157073773655414
-0.3516999052560947 | [-2.17 -6.3 ] | -0.029713460781123795
-0.35334303047477794 | [10.63  8.49] | -0.04172757610024076
-0.35521152164521735 | [-2.14 -6.25] | -0.0296463379975188
-0.3567300317944745 | [10.65  8.53] | -0.041780325993946224
-0.3584811824297686 | [-2.11 -6.21] | -0.029505743785036096
-0.35989041238373326 | [10.66  8.56] | -0.04174115413211443
-0.36153868115639226 | [-2.09 -6.18] | -0.029300246762444068
-0.36285211174529436 | [10.67  8.59] | -0.04162113493823498
-0.36441020185044315 | [-2.06 -6.15] | -0.029037764990548675
-0.36563968758060394 | [10.68  8.62] | -0.04143031006537169
-0.3671187638615704 | [-2.04 -6.13] | -0.028725577997886116
-0.36827473222961804 | [10.69  8.64] | -0.04117775542653428
-0.3696846107840215 | [-2.03 -6.11] | -0.028370313603046905
-0.3707762364560766 | [10.69  8.66] | -0.04087162970863382
-0.3721255501235748 | [-2.01 -6.09] | -0.02797796287764103
-0.37316090735805557 | [10.7   8.68] | -0.040519235688829015
-0.37445725025106946 | [-1.99 -6.08] | -0.027553922937777697
-0.3754434463798181 | [10.7   8.69] | -0.0401270876134327
-0.37669350040497607 | [-1.98 -6.07] | -0.02710303228204143
