3.5, 3.8, 4.4, -3.1, -0.6, -1.9, -0.6, -1.2, 4.0, -0.0, -3.8, -2.7, -4.5, -2.9, 0.4, -4.7, -4.5, 3.1
parameter ends

state | action | reward
[0.07] | [-4.35  3.5 ] | 0.13250611381766608
0.11008747297522563 | [-0.76 -7.3 ] | 0.22638429920286385
0.1776941897192648 | [-4.33  0.03] | 0.3316768809838031
0.26115615679235493 | [-3.91 -1.97] | 0.47417762903686206
0.3561353207764231 | [-6.72  4.2 ] | 0.6171323658314125
0.4617632369945524 | [-3.15 -3.45] | 0.7293427344370337
0.5692049785345146 | [-6.25  3.68] | 0.7984436438801013
0.6754177633421752 | [-2.99 -2.03] | 0.8593911476104824
0.7790874293401687 | [-6.1   4.92] | 0.8710369505965233
0.8782992804397385 | [-3.02  0.36] | 0.7250556518943565
0.9693253096742169 | [-2.58  0.63] | 0.5837646372353329
1.051433925359891 | [-1.76  0.2 ] | -0.22655421951000237
1.0662152407950738 | [-3.65  3.72] | -1.1817392054166924
1.0054025516591976 | [-2.2   0.81] | -1.2470794148387458
0.9477330960215693 | [-1.62 -0.54] | -1.0696755250478291
0.9003362873338508 | [-3.97  2.75] | -1.0126576473730486
0.8566738448390163 | [-2.69  0.35] | -1.0954116921032344
0.8109227041978458 | [-3.02  0.54] | -1.0978829702240602
0.7658621806030504 | [-3.92  1.68] | -0.3309510829260401
0.7471644428886678 | [-9.77 10.83] | -0.16415376756349556
0.7352474942812457 | [-9.37  9.85] | -0.21544316012289164
0.7218526113359446 | [-9.18  9.27] | -0.22647178299089643
0.7083118468857079 | [-9.21  9.07] | -0.22167356592159349
0.6951748612229294 | [-9.29  8.95] | -0.21400357886209248
0.6825268495337302 | [-9.37  8.86] | -0.2063457676982803
0.6703490603705664 | [-9.46  8.77] | -0.19912601855510828
0.6586092135200386 | [-9.53  8.69] | -0.19235601884541764
0.6472766300850374 | [-9.61  8.61] | -0.18599943419301893
0.6363237025314153 | [-9.68  8.54] | -0.18002038487430985
0.6257256041829232 | [-9.75  8.47] | -0.1743871251452935
0.6154599153573431 | [-9.81  8.4 ] | -0.16907146723085634
0.6055063124426959 | [-9.88  8.34] | -0.1640482150810039
0.5958463095454326 | [-9.94  8.28] | -0.15929475479725835
0.5864630401250038 | [-10.     8.22] | -0.15479072768073912
0.5773410706684345 | [-10.05   8.16] | -0.15051775525789846
0.5684662407408535 | [-10.11   8.1 ] | -0.14645920422061479
0.5598255249943562 | [-10.16   8.05] | -0.14259998423639395
0.5514069135794458 | [-10.21   8.  ] | -0.13892637331564497
0.5431993080640638 | [-10.26   7.95] | -0.13542586642858484
0.5351924304869637 | [-10.31   7.9 ] | -0.1320870438239323
0.5273767435884372 | [-10.36   7.86] | -0.12889945611006198
