-2.9, -6.3, 1.3, 4.1, 3.1, 4.4, 6.2, -2.3, -0.2, -1.5, 0.0, -3.3, -4.7, -1.5, -2.2, 4.4, 4.7, -0.5
parameter ends

state | action | reward
[-0.08] | [ 4.24 -0.55] | -0.013568003547434003
-0.10882633507547826 | [ -3.15 -13.7 ] | -0.03251696018847794
-0.14522578163083258 | [  2.71 -14.34] | -0.07592911958091059
-0.19088788569107573 | [ -4.92 -25.35] | -0.22254201419878195
-0.23421875819344293 | [  1.03 -20.55] | -0.30723988294867793
-0.27698816779833785 | [ -5.74 -25.77] | -0.4583427582178356
-0.31345415313354796 | [ -0.28 -21.18] | -0.6224379893817737
-0.32216680696180805 | [ -0.03 -20.75] | -0.7358567671285361
-0.325497284557196 | [ -1.2  -20.93] | -0.8798849782265187
-0.30984244180515025 | [  2.94 -18.99] | -0.9362702361429563
-0.2977254612551249 | [ -4.39 -21.33] | -1.0222198659966737
-0.2857853090310408 | [  0.68 -16.98] | -0.4361623230496162
-0.26457601662898383 | [-1.54 -1.44] | -0.23612717821137064
-0.23761071445249526 | [ 4.5 -2.3] | -0.24776130000401875
-0.2146344473997887 | [-2.03 -3.75] | -0.23681607864718798
-0.19296861540281648 | [ 4.29 -3.61] | -0.22142245768328409
-0.17395338808317004 | [-2.41 -4.27] | -0.20176182152998298
-0.15565984033133132 | [ 4.2  -3.98] | -0.18931953499442655
-0.13947106325973607 | [-2.71 -4.53] | -0.1731926859456087
-0.12376531933564652 | [ 4.11 -4.27] | -0.16482589722207258
-0.1098164824895851 | [-2.97 -4.75] | -0.15146935701398356
-0.09619671629810223 | [ 4.04 -4.51] | -0.14597085444721156
-0.08408006045130029 | [-3.2  -4.94] | -0.1346074916580134
-0.07217937704436715 | [ 3.98 -4.72] | -0.13116024327199813
-0.06158970320933284 | [-3.41 -5.09] | -0.1212695018280215
-0.051129251980577016 | [ 3.92 -4.89] | -0.1193240909815429
-0.04183061273877146 | [-3.58 -5.23] | -0.11054501416797935
-0.03259309753528043 | [ 3.86 -5.05] | -0.10972019019585504
-0.0243988646947115 | [-3.74 -5.34] | -0.1017945856278067
-0.01621038325687741 | [ 3.82 -5.18] | -0.1018189611149023
-0.008969240709185897 | [-3.87 -5.43] | -0.09455768565615498
-0.0016881676581670408 | [ 3.78 -5.3 ] | -0.09523432999728271
0.004724372414322021 | [-3.99 -5.51] | -0.08849652780813819
0.011214825915938989 | [ 3.74 -5.39] | -0.0896801534790194
0.016902300291260344 | [-4.1  -5.58] | -0.08335945597699969
0.02269944927871321 | [ 3.71 -5.48] | -0.0849412536806317
0.027748778940062387 | [-4.19 -5.64] | -0.0789562677097003
0.032934464247540346 | [ 3.68 -5.55] | -0.08085346652981991
0.03741933177628691 | [-4.27 -5.69] | -0.07514108159048255
0.04206327713573558 | [ 3.66 -5.62] | -0.07728997006686698
0.04604690398333013 | [-4.34 -5.73] | -0.07180031965663355
0.050209332858956755 | [ 3.64 -5.67] | -0.07415140214108748
0.05374668647625361 | [-4.4  -5.76] | -0.0688449808550887
0.057479959262971655 | [ 3.62 -5.71] | -0.07135968020641745
0.06061903549885255 | [-4.45 -5.78] | -0.06620517055935236
0.0639688961752768 | [ 3.61 -5.75] | -0.06885328121222126
0.06675177860040332 | [-4.5 -5.8] | -0.06382586007080523
0.06975844188513453 | [ 3.6  -5.78] | -0.06658359320434408
0.07222224244297572 | [-4.53 -5.82] | -0.06166336215397823
0.0749211491727804 | [ 3.59 -5.81] | -0.06451186774035123
0.0770986566978206 | [-4.57 -5.83] | -0.059682817242000065
0.07952109813178292 | [ 3.58 -5.83] | -0.06260707010855868
0.08144132751075671 | [-4.59 -5.84] | -0.057856290548637654
0.08361498449009644 | [ 3.58 -5.85] | -0.060844246694228464
0.08530366006243104 | [-4.61 -5.84] | -0.056161323416489994
0.08725309543678769 | [ 3.57 -5.86] | -0.0592032685699055
0.08873309083104998 | [-4.63 -5.84] | -0.054579745296697874
0.09048014767577574 | [ 3.57 -5.87] | -0.05766778994016123
0.09177183539684168 | [-4.64 -5.84] | -0.05309676760199323
0.09333596408086231 | [ 3.57 -5.88] | -0.05622445709559422
0.09445750926485535 | [-4.65 -5.83] | -0.051700288179004
0.09585605139244961 | [ 3.57 -5.88] | -0.054862300770313795
0.096823668916029 | [-4.66 -5.83] | -0.050380345896461426
0.09807210512816919 | [ 3.57 -5.88] | -0.053572257470551575
0.09890028492021274 | [-4.66 -5.82] | -0.04912869096438639
0.10001245148988716 | [ 3.58 -5.88] | -0.05234680473399378
0.10071415597774533 | [-4.66 -5.81] | -0.04793846266323839
0.10170243476824924 | [ 3.58 -5.87] | -0.051179674277845554
0.10228927644264155 | [-4.66 -5.8 ] | -0.04680395195501167
0.10316477895674249 | [ 3.58 -5.87] | -0.050065626806290085
0.10364719153951389 | [-4.65 -5.79] | -0.04572035851991982
0.10441991030639566 | [ 3.59 -5.86] | -0.04900022709883291
0.10480728241063846 | [-4.65 -5.77] | -0.044683594164358215
0.10548621222360492 | [ 3.59 -5.85] | -0.04797968045589441
0.10578699820359123 | [-4.64 -5.76] | -0.04369014743868665
0.10638024238514068 | [ 3.59 -5.85] | -0.047000713263133
0.10660206095191306 | [-4.63 -5.75] | -0.04273697585294994
0.10711692576740342 | [ 3.6  -5.84] | -0.04606047757711287
0.10726664768077557 | [-4.63 -5.73] | -0.04182142276261229
0.10770972601110225 | [ 3.61 -5.82] | -0.04515648260802156
0.10779355151075762 | [-4.62 -5.71] | -0.04094116066986152
0.10817079637369643 | [ 3.61 -5.81] | -0.044286549853020815
0.10819432394169501 | [-4.6 -5.7] | -0.040094142893720736
0.10851111450864805 | [ 3.62 -5.8 ] | -0.043448745214658996
0.10847940330078536 | [-4.59 -5.68] | -0.03927853892577313
0.10874060531883274 | [ 3.62 -5.78] | -0.042641336228657234
0.10865823107277767 | [-4.58 -5.66] | -0.038492705707534824
0.10886824921283951 | [ 3.63 -5.77] | -0.04186276134022144
0.10873935335724351 | [-4.57 -5.64] | -0.03773515747295139
0.10890217813875142 | [ 3.63 -5.75] | -0.04111159605170787
0.10873051229625942 | [-4.55 -5.63] | -0.03700453261406503
0.10884976241735536 | [ 3.64 -5.74] | -0.04038653158939449
0.10863872796226165 | [-4.54 -5.61] | -0.03629957380699112
0.10871768786259686 | [ 3.64 -5.72] | -0.03968635661031333
0.10847037108009937 | [-4.52 -5.59] | -0.035619112689131205
0.10851202424198447 | [ 3.65 -5.71] | -0.03900994366164013
0.10823122764677577 | [-4.51 -5.57] | -0.0349620582956844
0.10823828640543907 | [ 3.65 -5.69] | -0.03835623864586302
0.10792655679592457 | [-4.49 -5.55] | -0.03432738766469601
0.10790148903858938 | [ 3.66 -5.67] | -0.037724252108924994
0.1075611426685856 | [-4.48 -5.53] | -0.03371413800185874
0.10750619582001536 | [ 3.67 -5.66] | -0.037113052341743856
0.10713934122491617 | [-4.46 -5.51] | -0.033121400257122166
0.10705656434978578 | [ 3.67 -5.64] | -0.036521758428522996
0.106665123073213 | [-4.45 -5.49] | -0.03254831295068081
0.10655638633479082 | [ 3.68 -5.62] | -0.03594953548742433
0.10614211119683367 | [-4.43 -5.47] | -0.031994059282746276
0.10600912312384503 | [ 3.68 -5.6 ] | -0.035395594323359786
0.10557361443072352 | [-4.41 -5.45] | -0.03145786546997635
0.10541793719682838 | [ 3.68 -5.58] | -0.034859186338825884
0.1049626570188234 | [-4.4  -5.43] | -0.03093899593950829
0.10478572006231553 | [ 3.69 -5.56] | -0.03433959830733059
0.10431200513208502 | [-4.38 -5.41] | -0.030436748973627883
0.10411511746635828 | [ 3.69 -5.55] | -0.03383614982217612
0.10362419082121348 | [-4.36 -5.39] | -0.02995045438282169
0.10340855214925461 | [ 3.7  -5.53] | -0.03334819110408148
0.10290153364342458 | [-4.35 -5.37] | -0.029479471507712542
0.10266824439645408 | [ 3.7  -5.51] | -0.03287510110101619
0.10214616019650499 | [-4.33 -5.35] | -0.02902318747739156
0.10189623060467241 | [ 3.71 -5.49] | -0.032416286275727374
0.10136002175872129 | [-4.31 -5.33] | -0.028581016260191005
0.10109438003685312 | [ 3.71 -5.47] | -0.03197118054123434
0.10054491018608651 | [-4.3  -5.31] | -0.028152398971134925
0.10026440989657229 | [ 3.71 -5.45] | -0.03153924149855612
0.09970247229122892 | [-4.28 -5.29] | -0.027736801176307113
0.09940789904885747 | [ 3.72 -5.43] | -0.031119950173855743
0.09883422289711323 | [-4.26 -5.27] | -0.027333710468712448
0.0985263004559962 | [ 3.72 -5.41] | -0.03071280999166211
0.09794155667114819 | [-4.24 -5.25] | -0.026942635061457307
0.0976209524405058 | [ 3.73 -5.39] | -0.03031734485658982
0.09702575885369334 | [-4.23 -5.23] | -0.02656310340265039
0.09669308888966212 | [ 3.73 -5.37] | -0.029933098443489396
0.09608801496967306 | [-4.21 -5.21] | -0.026194663318409625
0.09574384849895937 | [ 3.73 -5.35] | -0.029559633241495555
0.09512941962905627 | [-4.19 -5.19] | -0.02583688114411115
0.09477428315115527 | [ 3.74 -5.33] | -0.02919652980106483
0.0941509845070198 | [-4.18 -5.17] | -0.025489341019083817
0.09378536551631003 | [ 3.74 -5.31] | -0.028843386082533347
0.09315364558388683 | [-4.16 -5.15] | -0.025151644225282592
0.092777995948016 | [ 3.74 -5.29] | -0.028499816738093403
0.09213826971556176 | [-4.14 -5.13] | -0.024823408492813982
0.09175300874315036 | [ 3.75 -5.27] | -0.028165452426979452
0.09110566059896906 | [-4.13 -5.11] | -0.02450426733667304
0.09071117782653787 | [ 3.75 -5.25] | -0.027839939161087925
0.0900565641907515 | [-4.11 -5.09] | -0.024193869420813585
0.0896532219158059 | [ 3.75 -5.23] | -0.027522937677729422
0.08899167363168241 | [-4.09 -5.07] | -0.02389187794719115
0.0885798092162005 | [ 3.75 -5.21] | -0.027214122837533213
0.08791163372401858 | [-4.08 -5.04] | -0.023597970067989846
0.08749156169017935 | [ 3.76 -5.19] | -0.026913183045596742
0.08681704500432956 | [-4.06 -5.02] | -0.023311836319735917
0.08638905894215376 | [ 3.76 -5.17] | -0.02661981969484846
0.08570846745012704 | [-4.04 -5.  ] | -0.023033180078119022
0.08527284175476237 | [ 3.76 -5.15] | -0.02633374662738979
0.08458642385482062 | [-4.02 -4.98] | -0.02276171702768701
0.084143415309443 | [ 3.76 -5.13] | -0.026054689599224728
0.08345140290204667 | [-4.01 -4.96] | -0.022497174625140896
0.08300125212072305 | [ 3.77 -5.11] | -0.025782385783310692
0.08230386196773377 | [-3.99 -4.94] | -0.022239291639222517
0.0818467947115994 | [ 3.77 -5.08] | -0.025516583295045886
0.08114422967534525 | [-3.97 -4.92] | -0.021987817661446585
0.08068045805353678 | [ 3.77 -5.06] | -0.0252570407385952
0.07997290822710565 | [-3.96 -4.9 ] | -0.021742512682092374
0.07950263179334434 | [ 3.77 -5.04] | -0.02500352678158741
0.07879027553200188 | [-3.94 -4.88] | -0.021503146658815885
0.07831368228618239 | [ 3.77 -5.02] | -0.024755819731195356
0.07759668714892053 | [-3.92 -4.86] | -0.021269499096592696
0.0771139544523282 | [ 3.78 -5.  ] | -0.02451370712412109
0.07639247806176794 | [-3.91 -4.84] | -0.02104135864384762
0.07590377347377646 | [ 3.78 -4.98] | -0.024276985332622403
0.0751779643018727 | [-3.89 -4.82] | -0.02081852270411168
0.07468344634522768 | [ 3.78 -4.96] | -0.024045459185962677
0.07395344443151611 | [-3.87 -4.79] | -0.020600797062783786
0.07345326329263649 | [ 3.78 -4.94] | -0.02381894160681102
0.07271920090112155 | [-3.86 -4.77] | -0.02038799558095964
0.07221349906993882 | [ 3.78 -4.92] | -0.02359725339498991
0.07147550128682635 | [-3.84 -4.75] | -0.020179940065553473
0.07096441413756782 | [ 3.78 -4.9 ] | -0.023380223226085125
0.0702225994100535 | [-3.82 -4.73] | -0.0199764600655247
0.06970625573036776 | [ 3.79 -4.87] | -0.023167687126623482
0.06896073636500767 | [-3.81 -4.71] | -0.019777392292677907
0.06843925884733228 | [ 3.79 -4.85] | -0.022959487822822883
0.06769014147515189 | [-3.79 -4.69] | -0.019582580102630934
0.06716364717251821 | [ 3.79 -4.83] | -0.02275547444047616
0.06641103317548556 | [-3.77 -4.67] | -0.01939187320279313
0.06587963391980109 | [ 3.79 -4.81] | -0.02255550222935345
0.06512361982179232 | [-3.75 -4.65] | -0.019205127380435748
0.06458742260770789 | [ 3.79 -4.79] | -0.022359432299209156
0.06382810043308695 | [-3.74 -4.63] | -0.01902220424199209
0.06328720777044256 | [ 3.79 -4.77] | -0.02216713136682613
0.0625246653730903 | [-3.72 -4.6 ] | -0.018842970963140172
0.061979175610657994 | [ 3.79 -4.74] | -0.02197847151361538
0.06121349697602423 | [-3.7  -4.58] | -0.01866730004929317
0.060663504599019404 | [ 3.8  -4.72] | -0.02179332995343073
0.05989477012153714 | [-3.69 -4.56] | -0.018495069106203035
0.05934036602514487 | [ 3.8 -4.7] | -0.021611588810296775
0.0585686527631323 | [-3.67 -4.54] | -0.018326160620287205
0.05800992450409261 | [ 3.8  -4.68] | -0.02143313490564193
0.05723530641407518 | [-3.65 -4.52] | -0.018160461748354687
0.05667233844218653 | [ 3.8  -4.66] | -0.02125785955470372
0.05589488659439808 | [-3.64 -4.5 ] | -0.017997864116382135
0.05532776046563297 | [ 3.8  -4.64] | -0.021085658371832423
0.05454754324229549 | [-3.62 -4.48] | -0.017838263627007588
0.05397633781507018 | [ 3.8  -4.61] | -0.02091643108420769
0.053193421092909615 | [-3.6  -4.45] | -0.017681560275426465
0.052618212708914106 | [ 3.8  -4.59] | -0.020750081353829115
0.05183266002723913 | [-3.59 -4.43] | -0.017527657973348272
0.051253522678108586 | [ 3.8  -4.57] | -0.020586516607286182
0.05046539539366147 | [-3.57 -4.41] | -0.017376464380674785
0.049882400874658304 | [ 3.81 -4.55] | -0.020425647873117788
0.049091758304341045 | [-3.55 -4.39] | -0.01722789074467031
0.04850497635611487 | [ 3.81 -4.53] | -0.020267389626391324
0.047711875908596144 | [-3.54 -4.37] | -0.017081851746202196
0.047121374347995244 | [ 3.81 -4.5 ] | -0.020111659640200577
0.04632587164511525 | [-3.52 -4.35] | -0.016938265352878706
0.04573171648593951 | [ 3.81 -4.48] | -0.01995837885862583
0.04493386547438495 | [-3.5  -4.32] | -0.01679705270171206
0.044336121038328964 | [ 3.81 -4.46] | -0.019807471368707995
0.04353597409006502 | [-3.48 -4.3 ] | -0.01665813812013078
0.04293470310539126 | [ 3.81 -4.44] | -0.019658864293970523
0.04213231110978289 | [-3.47 -4.28] | -0.016521448951431705
0.04152757480362605 | [ 3.81 -4.41] | -0.019512487631871342
0.04072298725351696 | [-3.45 -4.26] | -0.016386915396279494
0.040114845438050876 | [ 3.81 -4.39] | -0.01936827403860363
0.039308110511717294 | [-3.43 -4.24] | -0.01625447026358671
0.03869662166703522 | [ 3.81 -4.37] | -0.019226158672479333
0.037887786305087635 | [-3.42 -4.21] | -0.016124048860934284
0.037273007655796 | [ 3.81 -4.35] | -0.019086079088529537
0.03646211763225622 | [-3.4  -4.19] | -0.015995588890660006
0.0358441052182791 | [ 3.82 -4.32] | -0.018947975138368125
0.03503120520630062 | [-3.38 -4.17] | -0.01586903035053282
0.03441001394835237 | [ 3.82 -4.3 ] | -0.018811788874369822
0.033595147581011606 | [-3.36 -4.15] | -0.01574431543893056
0.03297083134115605 | [ 3.82 -4.28] | -0.01867746445822865
0.03215404126770662 | [-3.35 -4.13] | -0.015621388464164516
0.031526652905387136 | [ 3.82 -4.26] | -0.018544948073536814
0.030707980843335852 | [-3.33 -4.1 ] | -0.015500195757841907
0.03007757226722791 | [ 3.82 -4.23] | -0.018414187842313093
0.029257059050561373 | [-3.31 -4.08] | -0.015380685592073564
0.02862368126657101 | [ 3.82 -4.21] | -0.018285133745195595
0.027801366890433887 | [-3.3  -4.06] | -0.0152628081003673
0.027165070046138468 | [ 3.82 -4.19] | -0.018157737545257454
0.026340993708240616 | [-3.28 -4.04] | -0.015146515202040075
0.02570182713404455 | [ 3.82 -4.17] | -0.01803195271516814
0.02487602727305014 | [-3.26 -4.02] | -0.015031760529946129
0.02423403952030622 | [ 3.82 -4.14] | -0.01790773436766385
0.023406553851437993 | [-3.24 -3.99] | -0.014918499361445457
0.022761792727763994 | [ 3.82 -4.12] | -0.017785039189052037
0.02193265827583637 | [-3.23 -3.97] | -0.01480668855242211
0.02128517087783951 | [ 3.82 -4.1 ] | -0.017663825375724213
0.020454424007917412 | [-3.21 -3.95] | -0.014696286474212065
0.019804256751521122 | [ 3.83 -4.07] | -0.01754405257347632
0.018971933197384876 | [-3.19 -3.93] | -0.014587252953307896
0.018319131845937885 | [ 3.83 -4.05] | -0.017425681819516373
0.017485266736520733 | [-3.18 -3.9 ] | -0.014479549213754671
0.01682987642685365 | [ 3.83 -4.03] | -0.017308675487038763
0.01599450431080455 | [-3.16 -3.88] | -0.014373137822031656
0.015336569577386643 | [ 3.83 -4.01] | -0.017192997232277716
0.01449972444589924 | [-3.14 -3.86] | -0.014267982634580668
0.013839289243413563 | [ 3.83 -3.98] | -0.017078611944239777
0.01300100455179315 | [-3.12 -3.84] | -0.01416404874987164
0.012338112278426681 | [ 3.83 -3.96] | -0.016965485700862787
0.01149842097037031 | [-3.11 -3.81] | -0.014061302461514172
0.010833114490824493 | [ 3.83 -3.94] | -0.016853585722987615
0.009992049019768084 | [-3.09 -3.79] | -0.013959711211109992
0.009324370684150783 | [ 3.83 -3.91] | -0.016742880327102118
0.008481963029551617 | [-3.07 -3.77] | -0.01385924354341685
0.007811954689136723 | [ 3.83 -3.89] | -0.016633338882523614
0.006968236371630119 | [-3.05 -3.75] | -0.013759869063777077
0.006295939393551652 | [ 3.83 -3.87] | -0.016524931772646065
0.005450941490840141 | [-3.04 -3.72] | -0.013661558400424462
0.004776396775046666 | [ 3.83 -3.84] | -0.016417630358744113
0.003930149938664622 | [-3.02 -3.7 ] | -0.013564283167444026
0.0032533979343519755 | [ 3.83 -3.82] | -0.01631140694186914
0.0024059324035611415 | [-3.   -3.68] | -0.01346801592519404
0.0017270131204263702 | [ 3.84 -3.8 ] | -0.01620623472521428
0.0008783587330862884 | [-2.98 -3.66] | -0.013372730144056206
0.00019731175145570054 | [ 3.84 -3.77] | -0.016102087779452993
-0.0006525020459620529 | [-2.97 -3.63] | -0.013278400170101038
-0.0013356375657050576 | [ 3.84 -3.75] | -0.015998941009942567
-0.0021865817087321528 | [-2.95 -3.61] | -0.013185001192248524
-0.002871767017371492 | [ 3.84 -3.73] | -0.0158967701252883
-0.0037238128147451905 | [-2.93 -3.59] | -0.01309250921085809
-0.0044110095660647676 | [ 3.84 -3.7 ] | -0.01579555160731239
-0.005264128691478711 | [-2.91 -3.57] | -0.013000901230903101
-0.0059532989244931315 | [ 3.84 -3.68] | -0.015695262910290178
-0.0068074633989123525 | [-2.9  -3.54] | -0.012910157014242377
-0.00749856943944764 | [ 3.84 -3.66] | -0.015595884244607063
-0.008353751534557323 | [-2.88 -3.52] | -0.01282025751586413
-0.009046755971599396 | [ 3.84 -3.63] | -0.015497396916718495
-0.009902928186998354 | [-2.86 -3.5 ] | -0.0127311842988062
-0.01059779387390606 | [ 3.84 -3.61] | -0.015399782796680032
-0.011454928937859283 | [-2.84 -3.47] | -0.012642919505349882
-0.012151618993442439 | [ 3.84 -3.59] | -0.015303024304367443
-0.013009689863325288 | [-2.83 -3.45] | -0.012555445837656005
-0.01370816767272356 | [ 3.84 -3.56] | -0.015207104389467086
-0.014567147535279894 | [-2.81 -3.43] | -0.012468746537225269
-0.01526737675069631 | [ 3.84 -3.54] | -0.015112006511986718
-0.016127239022142956 | [-2.79 -3.4 ] | -0.012382805365202268
-0.016829183563454954 | [ 3.85 -3.51] | -0.015017714634321373
-0.0176899018889199 | [-2.77 -3.38] | -0.012297606676721707
-0.0183935259398489 | [ 3.85 -3.49] | -0.014924213543687625
-0.019255074176041775 | [-2.76 -3.36] | -0.012213137643444295
-0.01996034207544614 | [ 3.85 -3.47] | -0.01483149067104251
-0.020822694191814872 | [-2.74 -3.34] | -0.012129386847047719
-0.021529570393519153 | [ 3.85 -3.44] | -0.014739534673396625
-0.02239270043884905 | [-2.72 -3.31] | -0.012046343201439238
-0.023101149521569213 | [ 3.85 -3.42] | -0.0146483345028025
-0.02396503163302885 | [-2.7  -3.29] | -0.011963995934986026
-0.024675018309512454 | [ 3.85 -3.4 ] | -0.014557879406567383
-0.025539626720714786 | [-2.69 -3.27] | -0.011882334751041477
-0.026251115837739022 | [ 3.85 -3.37] | -0.01446815911548125
-0.027116424876698138 | [-2.67 -3.24] | -0.011801350754828393
-0.027829381368437184 | [ 3.85 -3.35] | -0.014379164898148073
-0.028695365404609607 | [-2.65 -3.22] | -0.011721035677282894
-0.029409754286014514 | [ 3.85 -3.32] | -0.014290888452054673
-0.030276387729956583 | [-2.63 -3.2 ] | -0.011641382323901496
-0.03099217406540275 | [ 3.85 -3.3 ] | -0.014203322640304585
-0.0318594313326466 | [-2.62 -3.17] | -0.0115623844242057
-0.032576580212870396 | [ 3.86 -3.28] | -0.014116461176780672
-0.03344443570254375 | [-2.6  -3.15] | -0.011484035953856343
-0.034162912254646696 | [ 3.86 -3.25] | -0.014030297891921057
-0.035031340363038524 | [-2.58 -3.13] | -0.01140633102048403
-0.03575110976408535 | [ 3.86 -3.23] | -0.01394482673538207
-0.03662008489700208 | [-2.56 -3.1 ] | -0.011329263860356154
-0.03734111238655523 | [ 3.86 -3.21] | -0.013860041814630084
-0.03821060896841928 | [-2.55 -3.08] | -0.011252829021990575
-0.038932859850876966 | [ 3.86 -3.18] | -0.013775937636310938
-0.039802852320834615 | [-2.53 -3.06] | -0.011177021800311696
-0.04052629194555576 | [ 3.86 -3.16] | -0.013692509302508881
-0.04139675474426843 | [-2.51 -3.03] | -0.011101837647978806
-0.042121348514378446 | [ 3.86 -3.13] | -0.01360975203702448
-0.04299225609285523 | [-2.49 -3.01] | -0.011027272089480476
-0.04371796947727557 | [ 3.86 -3.11] | -0.01352766112444736
-0.04458929630781073 | [-2.48 -2.99] | -0.010953320718513841
-0.045316094852434256 | [ 3.86 -3.09] | -0.013446231907510235
-0.04618781543875004 | [-2.46 -2.97] | -0.010879979194231407
-0.046915664776862015 | [ 3.87 -3.06] | -0.013365459783742779
-0.047787753663544735 | [-2.44 -2.94] | -0.010807243237561666
-0.04851661952555967 | [ 3.87 -3.04] | -0.01328534020228601
-0.04938905130685318 | [-2.42 -2.92] | -0.010735108627764407
-0.050118899529426685 | [ 3.87 -3.01] | -0.013205868661036832
-0.050991648857440675 | [-2.41 -2.9 ] | -0.01066357119923154
