0.8, 0.5, -1.2, -4.9, 0.0, -0.9, 0.7, 4.9, -2.0, 1.1, 0.3, 1.0, 1.1, -2.7, 4.4, 1.2, -1.3, 2.5
parameter ends

state | action | reward
[-0.08] | [-1.45  2.25] | -0.10098130754094382
-0.04340035295027813 | [14.01 15.1 ] | -0.1939881637737345
-0.002192145202214545 | [13.15 11.38] | -0.19068998604700046
-0.0009226010359587589 | [12.11  7.85] | -0.18885014529455685
-0.03335572530431864 | [10.79  4.61] | -0.14449279306718904
-0.09186484070172943 | [9.45 2.11] | -0.052658023574130755
-0.16803878645541892 | [8.22 0.34] | 0.1429491498274774
-0.259512256131178 | [ 3.22 -2.97] | 0.5834763184303228
-0.37297716381193957 | [-8.7  -9.39] | 0.6730826244527441
-0.46361393313360005 | [-9.36 -6.5 ] | 0.36911045772541656
-0.5058048200835206 | [-10.92  -5.41] | 0.09037456689483722
-0.512614392934805 | [-12.32  -4.57] | -0.17526189295504352
-0.488518298194082 | [-13.02  -3.48] | -0.3838742880621038
-0.4387746503211567 | [-13.1   -2.17] | -0.5018296006754649
-0.3703211399795195 | [-12.75  -0.72] | -0.5461376675503459
-0.2872971258802655 | [-9.95  2.22] | -0.562353585001224
-0.17990560253424143 | [ 6.3  13.79] | -0.40342134688166
-0.09099596698056946 | [ 7.3  10.91] | -0.2565551523469165
-0.051321323782315416 | [8.7  8.72] | -0.22439393331724053
-0.04952327286860897 | [9.34 6.21] | -0.20251789592356378
-0.08089448205069434 | [9.09 3.55] | -0.14569124405963135
-0.13836904826869553 | [8.39 1.36] | -0.04767978907660633
-0.21351428684464618 | [ 7.56 -0.22] | 0.21500739674859043
-0.3082572669821855 | [-0.9  -5.41] | 0.3367146575793263
-0.38693715786101157 | [-3.33 -3.61] | 0.15426055052015228
-0.4233704652169957 | [-5.34 -2.46] | -0.04169783782920006
-0.42542853605651193 | [-7.36 -1.52] | -0.22442657428882576
-0.39666565850651914 | [-8.9  -0.42] | -0.41122679122066325
-0.3377080531000136 | [-5.6  3.3] | -0.6547731231050745
-0.24210244421984325 | [ 7.52 12.6 ] | -0.6041581678174336
-0.16076293472158956 | [7.62 9.54] | -0.41813093204648155
-0.12772220213723975 | [8.34 7.1 ] | -0.33700658333767564
-0.13290882485376593 | [8.52 4.45] | -0.25148368139939575
-0.17148181098579937 | [8.05 1.89] | -0.13048778996129912
-0.23560896075230042 | [ 7.22 -0.15] | 0.15954974533861452
-0.3238064116549801 | [ 0.59 -4.43] | 0.6041793447397694
