2.5, 0.6, 0.4, -3.5, 2.2, -1.0, -2.9, -0.4, -0.0, -0.9, 0.7, -3.0, 1.6, -0.6, 0.7, -3.4, -1.8, 1.3
parameter ends

state | action | reward
[-0.03] | [-1.66  1.71] | -0.08975073792748503
0.0009278011585253897 | [ -3.11 -11.11] | -0.12128992912399399
0.07068554939994612 | [-3.69 -6.33] | 0.0006292796364262034
0.1523824440012294 | [-4.41 -2.27] | 0.17348160450524433
0.24181540795523204 | [-5.12  1.29] | 0.30153072514209384
0.34457791440478136 | [-5.39 -7.37] | 0.42910865658515146
0.45166378398089846 | [-5.68 -1.84] | 0.6496880930746698
0.5555242550430736 | [-6.17  2.38] | 0.7450601711080758
0.6596905708144605 | [-5.61 -4.64] | 0.8300517169017879
0.7627760273675336 | [-6.08  0.55] | 0.9149654036638377
0.8629321611319639 | [-5.31 -2.82] | 1.002941711562773
0.9608946065496878 | [-5.99  2.13] | 0.9907953447043848
1.0537204353753675 | [-4.32 -3.03] | 0.36039929124847436
1.0837154796706188 | [ 0.93 13.85] | -0.26015356282204577
1.0582727774331129 | [ 3.23 10.44] | -0.6985632378478048
1.0103875715662776 | [5.15 7.21] | -1.039482786553926
0.9442406736573888 | [6.7  4.46] | -1.2678326018237398
0.864263524912285 | [7.8  2.63] | -1.3835570295373785
0.7742814987516717 | [8.49 1.59] | -1.398346028980989
0.6773413163060169 | [8.82 1.03] | -1.3312213621685454
0.5756574042267287 | [8.89 0.74] | -1.173979473449766
0.47138808019048617 | [8.53 1.28] | -0.9826284595353987
0.3647953630935815 | [8.32 0.98] | -0.7825527462921923
0.2556592876247095 | [7.96 0.88] | -0.5454514412017906
0.14437821364532574 | [7.43 1.08] | -0.2963562585438347
0.030982798419668924 | [6.91 0.96] | -0.04889825304930966
-0.08422049009270031 | [6.3  0.95] | 0.19576023605361892
-0.2006484088131204 | [5.64 0.91] | 0.4246436621069076
-0.3175085558487117 | [4.95 0.85] | 0.6903680162514335
-0.43643459069618723 | [3.74 3.34] | 1.0238824808622662
-0.5589022018361602 | [2.95 2.85] | 1.0861636937309629
-0.6745909830182574 | [2.44 1.74] | 1.1166080305029542
-0.7846241872258215 | [2.01 0.87] | 1.133094595760742
-0.889834664333796 | [1.65 0.12] | 1.2284588167455506
-0.9941505435741516 | [0.85 1.27] | 1.178363377418128
-1.091014313026509 | [ 0.94 -1.13] | 1.295179184849573
-1.1878835347985857 | [-0.59  3.19] | 0.9766921048425785
-1.2618633003082949 | [ 0.53 -3.57] | 0.7289872540060235
-1.319112997254587 | [-0.7   0.38] | 0.5860470622236651
-1.364849886414006 | [-0.06 -3.72] | 0.3721326914391272
-1.396129803545322 | [-0.87 -1.11] | 0.31957571670919704
-1.4191153349778147 | [-1.17 -0.66] | 0.030575898802062684
-1.4217983566995398 | [-1.09 -1.62] | -0.2656720777879704
-1.4041224674058728 | [-1.15 -1.39] | -0.4912940971128293
-1.3703316920849544 | [-1.15 -1.12] | -0.6720771026446053
-1.3243429887951483 | [-1.14 -0.75] | -0.8332612776876949
-1.2687464239166821 | [-1.01 -1.19] | -0.9491420728017056
-1.206406117995295 | [-1.06 -0.38] | -1.0648326123035314
-1.1374997731998238 | [-0.89 -2.16] | -1.1099766979443741
-1.0651944338162038 | [-1.14 -0.38] | -1.1448789792119873
-0.989033127021819 | [-1.14 -2.18] | -1.1566047950618614
-0.908745148188847 | [-1.47 -0.38] | -1.1467766799283554
-0.8242020207301017 | [-1.68 -2.2 ] | -1.0989409954170413
-0.7361557238222313 | [-2.11 -0.17] | -1.034549973110325
-0.6433054629785003 | [-2.5  -3.32] | -0.9246473349580785
-0.5466434658513137 | [-3.05 -0.88] | -0.798539310501506
-0.4483308305195618 | [-3.57  0.09] | -0.6495429198518715
-0.34316056405416784 | [-4.29 -5.05] | -0.45571645540425637
-0.23370040300344874 | [-4.84 -2.01] | -0.2777810810563698
-0.125499329854405 | [-5.32  0.08] | -0.06390259296094482
-0.0117359972399864 | [-6.22 -5.11] | 0.15276551556350004
0.10374324733486866 | [-6.41 -1.48] | 0.29397907730781725
0.21330597969244472 | [-6.55  1.06] | 0.5814622897003419
0.33356854489600135 | [ -7.98 -10.05] | 0.7763313581183652
0.45396822725079766 | [-7.24 -3.78] | 0.8158840466151794
0.5619088771736209 | [-7.    0.54] | 1.0021498290079793
0.6731366697009635 | [-7.74 -6.22] | 1.1198956386081287
0.7830135129524612 | [-7.24 -0.7 ] | 1.168503549282996
0.8862626487318149 | [-7.19  1.4 ] | 1.3084812956538394
0.9920059145628517 | [-7.26 -7.05] | 1.3591640534138616
1.0956173960539473 | [-6.88 -1.14] | 1.4164345614256943
1.1944777647747276 | [-6.92  3.38] | 1.4330986436484197
