1.2, 0.7, -0.5, 0.7, -1.3, 1.0, -0.2, -4.1, 0.5, 0.6, 6.3, -1.3, -0.3, 1.7, -2.9, 0.6, 3.3, -2.3
parameter ends

state | action | reward
[0.05] | [ 2.96 -1.83] | -0.13625274014504313
0.01707586083304534 | [2.73 5.39] | -0.15883610910007442
-0.05598006178868606 | [-3.72  6.31] | -0.05758846411342462
-0.09604583261062398 | [-2.51 -1.92] | -0.05100157471229956
-0.08434359667077561 | [ 5.43 -4.95] | -0.1056143993606639
-0.09053284350809965 | [5.06 2.22] | -0.09397275275831149
-0.14052262331761084 | [-2.18  4.11] | -0.01594095642622003
-0.16753075783039686 | [-1.56 -2.97] | -0.056954428629773894
-0.14685371420733312 | [ 6.31 -5.72] | -0.1148441545520811
-0.14335903358237612 | [6.03 1.08] | -0.0789475504474952
-0.18409385202285364 | [-1.46  3.19] | -0.0018018718547434434
-0.20580674170194468 | [-1.11 -3.35] | -0.06230745328382767
-0.1819359126922256 | [ 6.71 -5.97] | -0.12333484173428068
-0.17439516633021543 | [6.52 0.56] | -0.09092696577492929
-0.21309587668549873 | [0.55 3.34] | 0.02388932731807102
-0.26776084937043354 | [-4.55  2.96] | 0.0985547026256999
-0.2956398544799607 | [-4.07 -2.8 ] | -0.01606344584011886
-0.28041938961511964 | [ 4.23 -5.18] | -0.0875077926599669
-0.27730257476584014 | [4.73 0.41] | -0.011580975848529493
-0.31702336082743754 | [-0.34  3.03] | 0.07916610006909126
-0.35709793500575515 | [-2.89 -0.08] | 0.04040904634891093
-0.3647865498722058 | [ 1.16 -3.54] | -0.009651525251586687
-0.37634973439452607 | [2.28 1.11] | 0.1185191380003829
-0.42260534672425865 | [-4.83  2.54] | 0.20240416077802706
-0.45652669842585447 | [-5.26 -2.01] | 0.025034521767346274
-0.45232562161305356 | [ 3.07 -3.94] | -0.05860070911544176
-0.45460922507143636 | [4.57 0.19] | 0.058275583126778906
-0.49243954590333927 | [0.69 2.34] | 0.23812284020330188
-0.5484130239834614 | [-5.27  2.34] | 0.3150212434737486
-0.589160156973963 | [-6.28 -1.41] | 0.10904276694530309
-0.5957167243120391 | [ 2.09 -2.99] | -0.017288535981808482
-0.6037900440114866 | [4.35 0.14] | 0.09788661991610481
-0.6402438418386546 | [0.9  1.78] | 0.3322823185337927
-0.6967597991891775 | [-5.82  2.08] | 0.4603898752771648
-0.7449043255415105 | [-7.36 -0.98] | 0.22933808372729406
-0.7623479608519349 | [ 1.14 -2.18] | 0.03433161135650603
-0.7760574794889126 | [4.14 0.13] | 0.12784749547323604
-0.81106776935056 | [0.91 1.27] | 0.4108433857922256
-0.8652123802033578 | [-6.13  1.34] | 0.5955084391122971
-0.9155675199786152 | [-8.2  -1.13] | 0.33167859790980275
-0.9381269759658717 | [ 0.81 -1.88] | 0.025210900380499265
-0.9501302695888247 | [ 4.86 -0.28] | 0.015438929704178787
-0.9752752918586691 | [3.8 0.8] | 0.2418940740919299
-1.0152874685767506 | [ 1.31 -0.97] | -0.35321508333799306
-0.9983533898559296 | [12.15 -2.56] | -0.7970323560701116
-0.9599879835445484 | [16.91 -2.21] | -1.0606886874591908
-0.9137841699012351 | [20.16 -1.98] | -1.259284672162418
-0.8616421310535258 | [22.19 -1.86] | -1.3945026032522798
-0.8057169950250339 | [23.32 -1.79] | -1.4808789255375483
-0.747724116178976 | [23.89 -1.77] | -1.5343902397146494
-0.6887745987987659 | [24.13 -1.77] | -1.4160794757314494
-0.6348733525023808 | [10.6  -2.37] | -0.24009485998446708
-0.6216170514524318 | [ 3.85 -2.67] | -0.1971556096022359
-0.6099102486190944 | [ 5.52 -2.64] | -0.26060452227960373
-0.5961141044211732 | [ 6.09 -2.65] | -0.2685407427979307
-0.582158941909526 | [ 6.15 -2.67] | -0.25941364942036177
-0.5686422130752011 | [ 6.1 -2.7] | -0.24784237927506575
-0.5556445834591273 | [ 6.03 -2.72] | -0.23675514004771697
-0.54314276711229 | [ 5.97 -2.73] | -0.2265021476596711
-0.5311015057212012 | [ 5.91 -2.75] | -0.21703403960196424
-0.5194877947812802 | [ 5.86 -2.77] | -0.20826676952474513
-0.508272039057247 | [ 5.81 -2.78] | -0.2001253923536779
-0.4974276706965392 | [ 5.77 -2.79] | -0.1925455186917903
-0.4869307341479254 | [ 5.73 -2.8 ] | -0.18547144447206287
-0.4767595459864524 | [ 5.69 -2.81] | -0.1788546451378871
-0.4668944125573934 | [ 5.66 -2.82] | -0.17265262924188524
-0.45731739140117744 | [ 5.62 -2.83] | -0.16682802178745954
-0.44801208781575297 | [ 5.59 -2.83] | -0.16134781336834075
-0.4389634803605124 | [ 5.56 -2.84] | -0.15618273863779408
-0.43015777045090287 | [ 5.54 -2.85] | -0.15130675841424274
-0.4215822521346751 | [ 5.51 -2.85] | -0.14669662571476125
-0.4132251988662907 | [ 5.49 -2.86] | -0.1423315202212958
-0.4050757646697514 | [ 5.46 -2.86] | -0.13819273887879416
-0.397123897538128 | [ 5.44 -2.86] | -0.1342634327932899
-0.38936026328610834 | [ 5.42 -2.87] | -0.1305283825222604
-0.38177617836941263 | [ 5.4  -2.87] | -0.12697380535969732
-0.3743635504268268 | [ 5.39 -2.87] | -0.1235871894109511
-0.367114825498362 | [ 5.37 -2.88] | -0.1203571502002436
-0.3600229410355399 | [ 5.35 -2.88] | -0.11727330631137632
-0.3530812839539792 | [ 5.34 -2.88] | -0.11432617117106361
-0.34628365308977493 | [ 5.33 -2.88] | -0.1115070585764607
-0.3396242255139055 | [ 5.31 -2.88] | -0.10880799996802468
-0.3330975262365251 | [ 5.3  -2.89] | -0.10622167177506989
-0.3266984008981984 | [ 5.29 -2.89] | -0.10374133142859933
-0.3204219911001336 | [ 5.28 -2.89] | -0.10136076085624891
-0.3142637120720227 | [ 5.26 -2.89] | -0.09907421645618208
-0.3082192324156431 | [ 5.25 -2.89] | -0.09687638469778632
-0.3022844556960813 | [ 5.24 -2.89] | -0.09476234262314827
-0.2964555036812624 | [ 5.24 -2.89] | -0.0927275226284477
-0.29072870105518883 | [ 5.23 -2.89] | -0.0907676809929385
-0.2851005614515667 | [ 5.22 -2.89] | -0.08887886969764273
-0.279567774672839 | [ 5.21 -2.89] | -0.08705741113881846
-0.27412719497552857 | [ 5.2  -2.89] | -0.08529987539463346
-0.26877583031656 | [ 5.19 -2.89] | -0.08360305974884177
-0.26351083246720725 | [ 5.19 -2.89] | -0.08196397021395055
