-2.9, 2.0, 1.1, 0.1, -4.2, 1.6, -0.8, -2.5, 1.1, 1.6, -4.4, 2.5, -7.0, -2.0, -0.1, 2.3, 7.3, -2.5
parameter ends

state | action | reward
[-0.04] | [ 7.2  -2.48] | -0.05543617313146422
-0.07550274071620375 | [ -6.89 -18.84] | -0.13017996945928736
-0.1154982384098122 | [ -1.19 -14.33] | -0.23897597610337096
-0.11534050126535149 | [  3.52 -10.42] | -0.331467972651215
-0.12716269318453066 | [ -5.37 -20.7 ] | -0.47913733435391426
-0.14331936631752829 | [  1.83 -14.37] | -0.5672599721877756
-0.16317339858948138 | [ -3.96 -21.17] | -0.6982093847537665
-0.18175961102949484 | [  3.19 -15.02] | -0.7725891858601215
-0.20000152853039357 | [ -1.29 -20.11] | -0.8852968003751315
-0.21458450061250486 | [  5.4  -14.49] | -0.9572174034259738
-0.22667059170224377 | [  1.51 -18.58] | -0.92664245132837
-0.26764732298760646 | [  4.64 -13.85] | -0.04057895945788256
-0.3328929949936605 | [  5.39 -12.7 ] | 0.09812114526091699
-0.4131198870569196 | [  3.8  -15.24] | 0.14999627452447392
-0.5003698819301925 | [  3.18 -16.63] | 0.23614860569531176
-0.5903488225923418 | [  3.16 -17.38] | 0.32428297591312616
-0.680237492735218 | [  3.44 -17.8 ] | 0.07636404294093911
-0.728778384366814 | [17.62 -3.42] | -0.5687959456882778
-0.692614344258776 | [18.48 -2.75] | -0.46508632308382286
-0.6669188168917516 | [17.27 -4.13] | -0.3928303317777124
-0.6484930278116566 | [16.94 -4.57] | -0.3636353991341255
-0.6323792631827475 | [16.9  -4.69] | -0.34608396347021697
-0.617243611142925 | [16.91 -4.76] | -0.33162403486894754
-0.6027976024373444 | [16.92 -4.8 ] | -0.31857936878173054
-0.5889560149023509 | [16.93 -4.84] | -0.30659996349636554
-0.5756681218502978 | [16.94 -4.88] | -0.2955444753621062
-0.5628915392631153 | [16.95 -4.91] | -0.2853089912519795
-0.5505886627402682 | [16.96 -4.94] | -0.27580531915171436
-0.5387258666442368 | [16.96 -4.96] | -0.26695737862644675
-0.5272729809668874 | [16.97 -4.99] | -0.25869927702252427
-0.5162028405795114 | [16.97 -5.01] | -0.25097369507272604
-0.5054908997555198 | [16.97 -5.03] | -0.2437305398139104
-0.49511490533725716 | [16.97 -5.04] | -0.23692583740655035
-0.48505461922365145 | [16.97 -5.06] | -0.2305208229691994
-0.47529158168054125 | [16.97 -5.07] | -0.22448118856726046
-0.46580890848362255 | [16.97 -5.09] | -0.21877645823477265
-0.4565911162425567 | [16.96 -5.1 ] | -0.21337946562249732
-0.44762397132629694 | [16.96 -5.11] | -0.20826591508342573
-0.43889435865668325 | [16.96 -5.11] | -0.20341401100963408
-0.4303901673097154 | [16.95 -5.12] | -0.19880414332008406
-0.42210019040109087 | [16.95 -5.13] | -0.19441861939550098
-0.4140140371644854 | [16.95 -5.14] | -0.19024143463077228
-0.40612205548035807 | [16.94 -5.14] | -0.1862580752513819
-0.39841526339715344 | [16.94 -5.15] | -0.182455348209924
-0.3908852884190618 | [16.93 -5.15] | -0.17882123391119753
-0.3835243135253764 | [16.92 -5.16] | -0.1753447582619527
-0.3763250290440978 | [16.92 -5.16] | -0.17201588114398375
-0.3692805896331664 | [16.91 -5.16] | -0.16882539889754794
-0.3623845757316084 | [16.91 -5.16] | -0.16576485879971029
-0.35563095893398516 | [16.9  -5.17] | -0.16282648384740278
-0.34901407081804386 | [16.89 -5.17] | -0.1600031064224015
-0.3425285748199664 | [16.89 -5.17] | -0.15728810963585088
-0.3361694408061819 | [16.88 -5.17] | -0.1546753753328725
-0.32993192203703814 | [16.87 -5.17] | -0.152159237889801
-0.32381153425709064 | [16.87 -5.17] | -0.14973444306351882
-0.3178040366804909 | [16.86 -5.17] | -0.14739611125890345
-0.31190541466886385 | [16.85 -5.17] | -0.14513970466970566
-0.3061118639239119 | [16.85 -5.17] | -0.14296099782390084
-0.30041977603841136 | [16.84 -5.17] | -0.14085605112821034
-0.29482572526778456 | [16.83 -5.17] | -0.13882118706098773
-0.289326456400485 | [16.83 -5.17] | -0.13685296870880234
-0.28391887361938545 | [16.82 -5.17] | -0.13494818038138395
-0.2786000302585049 | [16.81 -5.17] | -0.13310381007365535
-0.273367119370025 | [16.81 -5.17] | -0.13131703357236832
-0.26821746502582894 | [16.8  -5.16] | -0.12958520002997886
-0.26314851428593966 | [16.79 -5.16] | -0.12790581884991697
-0.2581578297733937 | [16.79 -5.16] | -0.12627654774606098
-0.2532430828013888 | [16.78 -5.16] | -0.12469518185543371
-0.24840204700411003 | [16.77 -5.16] | -0.12315964379716349
-0.24363259242755478 | [16.77 -5.16] | -0.12166797458302321
-0.23893268004104024 | [16.76 -5.15] | -0.12021832529554916
-0.2343003566339404 | [16.75 -5.15] | -0.11880894945904108
-0.22973375006564034 | [16.74 -5.15] | -0.11743819603707745
-0.22523106483975933 | [16.74 -5.15] | -0.11610450299714195
-0.220790577976424 | [16.73 -5.14] | -0.11480639138957101
-0.21641063515881645 | [16.72 -5.14] | -0.11354245989332726
-0.2120896471324051 | [16.72 -5.14] | -0.11231137978628364
-0.20782608633722485 | [16.71 -5.14] | -0.11111189030183233
-0.20361848375533154 | [16.7  -5.13] | -0.1099427943376921
-0.19946542595713532 | [16.7  -5.13] | -0.10880295448602553
-0.19536555233173844 | [16.69 -5.13] | -0.10769128935721435
-0.19131755248768864 | [16.68 -5.13] | -0.1066067701721274
-0.1873201638117128 | [16.68 -5.12] | -0.10554841760038222
-0.18337216917404386 | [16.67 -5.12] | -0.10451529882400663
-0.17947239476990068 | [16.66 -5.12] | -0.10350652480801176
-0.17561970808753627 | [16.66 -5.12] | -0.10252124776106056
-0.17181301599404997 | [16.65 -5.11] | -0.10155865877092965
-0.16805126293086525 | [16.64 -5.11] | -0.10061798560085057
-0.16433342921141741 | [16.64 -5.11] | -0.09969849063418493
-0.16065852941417907 | [16.63 -5.1 ] | -0.09879946895579675
-0.15702561086468636 | [16.63 -5.1 ] | -0.09792024655969066
-0.15343375220071476 | [16.62 -5.1 ] | -0.09706017867334389
-0.1498820620151954 | [16.61 -5.1 ] | -0.09621864818984183
-0.14636967757187253 | [16.61 -5.09] | -0.09539506419997312
-0.14289576358906977 | [16.6  -5.09] | -0.09458886061676713
-0.13945951108727792 | [16.59 -5.09] | -0.09379949488586617
-0.13606013629658434 | [16.59 -5.08] | -0.09302644677546161
-0.13269687962025434 | [16.58 -5.08] | -0.09226921724017839
-0.12936900465103518 | [16.58 -5.08] | -0.09152732735366759
-0.12607579723699633 | [16.57 -5.07] | -0.09080031730507296
-0.12281656459394195 | [16.56 -5.07] | -0.09008774545502707
-0.11959063446163724 | [16.56 -5.07] | -0.08938918744701907
-0.11639735430127701 | [16.55 -5.07] | -0.08870423537043554
-0.11323609053180109 | [16.55 -5.06] | -0.08803249697175432
-0.11010622780282177 | [16.54 -5.06] | -0.0873735949107599
-0.10700716830207674 | [16.53 -5.06] | -0.08672716605871171
-0.10393833109545757 | [16.53 -5.05] | -0.08609286083581016
-0.10089915149779297 | [16.52 -5.05] | -0.0854703425853856
-0.09788908047268205 | [16.52 -5.05] | -0.08485928698246104
-0.09490758405978336 | [16.51 -5.04] | -0.08425938147448045
-0.09195414282806519 | [16.5  -5.04] | -0.0836703247522437
-0.0890282513536176 | [16.5  -5.04] | -0.08309182624906063
-0.08612941772071471 | [16.49 -5.04] | -0.08252360566651358
-0.08325716304489515 | [16.49 -5.03] | -0.08196539252505777
-0.08041102101690445 | [16.48 -5.03] | -0.08141692573804796
-0.07759053746641441 | [16.48 -5.03] | -0.08087795320776452
-0.07479526994449848 | [16.47 -5.02] | -0.08034823144205566
-0.07202478732390448 | [16.46 -5.02] | -0.07982752519050547
-0.06927866941622113 | [16.46 -5.02] | -0.07931560709884161
-0.06655650660508934 | [16.45 -5.01] | -0.07881225738061813
-0.06385789949465782 | [16.45 -5.01] | -0.078317263505122
-0.06118245857252837 | [16.44 -5.01] | -0.077830419900639
-0.05852980388648115 | [16.44 -5.  ] | -0.07735152767209273
-0.0558995647343088 | [16.43 -5.  ] | -0.07688039433238832
-0.053291379366125755 | [16.43 -5.  ] | -0.07641683354657049
-0.050704894698556956 | [16.42 -5.  ] | -0.07596066488818373
-0.04813976604024101 | [16.42 -4.99] | -0.07551171360706933
-0.04559565682811361 | [16.41 -4.99] | -0.07506981040807657
-0.04307223837396879 | [16.41 -4.99] | -0.07463479123999392
-0.04056918962081939 | [16.4  -4.98] | -0.07420649709424434
-0.038086196908606935 | [16.4  -4.98] | -0.0737847738127651
-0.03562295374883238 | [16.39 -4.98] | -0.07336947190458555
-0.033179160607704976 | [16.39 -4.97] | -0.07296044637069413
-0.030754524697423673 | [16.38 -4.97] | -0.07255755653671116
-0.028348759775229222 | [16.38 -4.97] | -0.07216066589298183
-0.025961585949882425 | [16.37 -4.97] | -0.07176964194173355
-0.023592729495240036 | [16.37 -4.96] | -0.07138435605087337
-0.02124192267062065 | [16.36 -4.96] | -0.07100468331417582
-0.018908903547664186 | [16.36 -4.96] | -0.07063050241746296
-0.016593415843405568 | [16.35 -4.95] | -0.07026169551049843
-0.014295208759297493 | [16.35 -4.95] | -0.06989814808438165
-0.012014036825929286 | [16.34 -4.95] | -0.06953974885403766
-0.009749659753201613 | [16.34 -4.95] | -0.06918638964567093
-0.007501842285728368 | [16.33 -4.94] | -0.06883796528890254
-0.005270354063249164 | [16.33 -4.94] | -0.06849437351334317
-0.003054969485845499 | [16.32 -4.94] | -0.06815551484941783
-0.000855467583762471 | [16.32 -4.93] | -0.0678212925332281
0.0013283681083505684 | [16.31 -4.93] | -0.06749161241527782
0.003496749672959063 | [16.31 -4.93] | -0.06716638287284271
0.005649884927093046 | [16.3  -4.93] | -0.06684551472587136
0.007787977535889683 | [16.3  -4.92] | -0.06652892115618315
0.009911227122383955 | [16.29 -4.92] | -0.06621651762988376
0.012019829373694219 | [16.29 -4.92] | -0.0659082218228084
0.01411397614374532 | [16.28 -4.91] | -0.06560395354886311
0.016193855552662242 | [16.28 -4.91] | -0.06530363469111265
0.018259652082964196 | [16.27 -4.91] | -0.06500718913556687
0.020311546672681837 | [16.27 -4.91] | -0.06471454270744575
0.022349716805513356 | [16.27 -4.9 ] | -0.06442562310987812
0.024374336598134257 | [16.26 -4.9 ] | -0.06414035986492371
0.02638557688476583 | [16.26 -4.9 ] | -0.06385868425676341
0.02838360529910616 | [16.25 -4.9 ] | -0.0635805292770589
0.03036858635372156 | [16.25 -4.89] | -0.06330582957228525
0.03234068151699116 | [16.24 -4.89] | -0.06303452139302056
0.03430004928769665 | [16.24 -4.89] | -0.06276654254509062
0.0362468452673417 | [16.24 -4.88] | -0.06250183234248277
0.03818122223028324 | [16.23 -4.88] | -0.06224033156195258
0.040103330191755 | [16.23 -4.88] | -0.061981982399259034
0.04201331647385694 | [16.22 -4.88] | -0.06172672842699091
0.04391132576958531 | [16.22 -4.87] | -0.06147451455383157
0.04579750020497053 | [16.21 -4.87] | -0.06122528698532918
0.04767197939939122 | [16.21 -4.87] | -0.060978993185959326
0.04953490052412771 | [16.21 -4.87] | -0.060735581842605274
0.0513863983592157 | [16.2  -4.86] | -0.06049500282920105
0.053226605348660416 | [16.2  -4.86] | -0.06025720717269238
0.05505565165406567 | [16.19 -4.86] | -0.06002214702006982
0.056873665206734245 | [16.19 -4.86] | -0.0597897756066017
0.05868077175828965 | [16.18 -4.85] | -0.059560047225091686
0.06047709492987097 | [16.18 -4.85] | -0.05933291719619839
0.062262756259947566 | [16.18 -4.85] | -0.05910834183973045
0.06403787525080046 | [16.17 -4.85] | -0.05888627844692046
0.06580256941371465 | [16.17 -4.84] | -0.05866668525357779
0.0675569543129248 | [16.16 -4.84] | -0.05844952141418238
0.06930114360835594 | [16.16 -4.84] | -0.05823474697677101
0.07103524909719741 | [16.16 -4.84] | -0.05802232285868768
0.0727593807543495 | [16.15 -4.83] | -0.05781221082306311
0.07447364677177837 | [16.15 -4.83] | -0.05760437345611957
0.07617815359681444 | [16.14 -4.83] | -0.057398774145161105
0.07787300596942859 | [16.14 -4.83] | -0.05719537705726954
0.07955830695851838 | [16.14 -4.82] | -0.05699414711868113
0.08123415799723532 | [16.13 -4.82] | -0.056795049994813676
0.08290065891738452 | [16.13 -4.82] | -0.05659805207093277
0.0845579079829243 | [16.13 -4.82] | -0.05640312043339643
0.08620600192259567 | [16.12 -4.81] | -0.05621022285149817
0.08784503596170665 | [16.12 -4.81] | -0.05601932775987125
0.08947510385309904 | [16.11 -4.81] | -0.05583040424142523
0.09109629790732239 | [16.11 -4.81] | -0.05564342201083051
0.09270870902203893 | [16.11 -4.8 ] | -0.05545835139844002
0.09431242671068381 | [16.1 -4.8] | -0.05527516333480449
0.09590753913040194 | [16.1 -4.8] | -0.05509382933553564
0.09749413310928416 | [16.1 -4.8] | -0.054914321486715864
0.09907229417292295 | [16.09 -4.79] | -0.05473661243069252
0.10064210657030932 | [16.09 -4.79] | -0.05456067535231867
0.10220365329908872 | [16.08 -4.79] | -0.05438648396557017
0.10375701613019601 | [16.08 -4.79] | -0.05421401250060659
0.10530227563188747 | [16.08 -4.79] | -0.05404323569114222
0.1068395111931871 | [16.07 -4.78] | -0.05387412876226068
0.10836880104676512 | [16.07 -4.78] | -0.05370666741852334
0.10989022229126395 | [16.07 -4.78] | -0.05354082783243805
0.11140385091308845 | [16.06 -4.78] | -0.05337658663327441
0.11290976180767519 | [16.06 -4.77] | -0.053213920896187095
0.11440802880025669 | [16.06 -4.77] | -0.05305280813162709
0.1158987246661333 | [16.05 -4.77] | -0.052893226275094386
0.117381921150468 | [16.05 -4.77] | -0.0527351536771541
0.11885768898761763 | [16.04 -4.76] | -0.052578569093724443
0.12032609792001138 | [16.04 -4.76] | -0.05242345167665831
0.1217872167165923 | [16.04 -4.76] | -0.0522697809645727
0.1232411131908321 | [16.03 -4.76] | -0.05211753687392695
0.12468785421833076 | [16.03 -4.76] | -0.0519666996903594
0.1261275057540135 | [16.03 -4.75] | -0.051817250060260146
0.12756013284893505 | [16.02 -4.75] | -0.05166916898255142
0.12898579966670312 | [16.02 -4.75] | -0.051522437800729445
0.13040456949953 | [16.02 -4.75] | -0.051377038195094635
0.13181650478392345 | [16.01 -4.74] | -0.05123295217517646
0.13322166711602612 | [16.01 -4.74] | -0.051090162072405076
0.13462011726661272 | [16.01 -4.74] | -0.05094865053294432
0.1360119151957546 | [16.   -4.74] | -0.050808400510727214
0.13739712006716 | [16.   -4.74] | -0.050669395260666585
0.13877579026219866 | [16.   -4.73] | -0.05053161833205429
0.14014798339361953 | [15.99 -4.73] | -0.050395053562141565
0.14151375631896906 | [15.99 -4.73] | -0.05025968506986027
0.1428731651537179 | [15.99 -4.73] | -0.05012549724971704
0.14422626528410412 | [15.98 -4.73] | -0.049992474765873415
0.1455731113796997 | [15.98 -4.72] | -0.04986060254632309
0.14691375740570767 | [15.98 -4.72] | -0.04972986577728887
0.14824825663499713 | [15.97 -4.72] | -0.04960024989769177
0.1495766616598813 | [15.97 -4.72] | -0.04947174059380367
0.15089902440364727 | [15.97 -4.71] | -0.049344323794033446
