7.5, -4.4, 2.0, 1.3, 2.7, 3.0, 0.5, -4.4, 2.4, 2.6, 1.2, -3.6, 3.8, -0.8, -4.4, 2.5, 4.2, 0.8
parameter ends

state | action | reward
[-0.03] | [4.73 0.8 ] | 0.03704923478564413
-0.04469747209050173 | [7.83 6.2 ] | 0.0602173610053643
-0.09430542607434975 | [ 6.91 11.32] | 0.12012308202544536
-0.16372269584172092 | [ 5.87 14.73] | 0.20601355096404958
-0.24458065652302996 | [ 4.91 16.71] | 0.30264651679736815
-0.3310130358445248 | [ 4.08 17.76] | 0.3985053999718691
-0.41956593447848206 | [ 3.39 18.31] | 0.48738809716163295
-0.5083440168092104 | [ 2.78 18.59] | 0.5664492506933176
-0.5963102609402404 | [ 2.24 18.73] | 0.6345125386690862
-0.6828760958473408 | [ 1.75 18.81] | 0.691209013504703
-0.7676888781860821 | [ 1.29 18.85] | 0.7366307503067778
-0.8505275141477558 | [ 0.86 18.89] | 0.7385099681345949
-0.9290142192157764 | [-0.78 19.08] | 0.3112519581866264
-0.9761723648443622 | [-15.7   20.89] | -0.5178736702710669
-0.9721030775455615 | [-28.05  22.14] | -1.3412339488774947
-0.9207303506901277 | [-36.98  22.22] | -1.9924559227462284
-0.8313091121988838 | [-42.81  21.13] | -2.189490841708766
-0.7250843099911588 | [-15.87  10.87] | -0.6055574703148032
-0.6728010404337156 | [-3.48  4.2 ] | -0.6786420825019583
-0.6011526121854941 | [-9.49  2.73] | -0.8466089206990536
-0.5085741835744623 | [-12.75   0.78] | -0.8537602234052235
-0.4040626623353694 | [-14.14  -1.28] | -0.6950748682522729
-0.29660770030267936 | [-10.59  -4.48] | -0.43976926870291744
-0.1902798852538159 | [-7.57 -7.45] | -0.19758441802673374
-0.08440670730514116 | [ -4.85 -10.27] | 0.03769133795965211
0.021345169768882434 | [ -2.26 -12.99] | 0.26825567294603814
0.1271406453281454 | [  0.27 -15.63] | 0.51126375019346
0.21439842336945047 | [  9.89 -15.  ] | 0.6944995557677127
0.26411234750490775 | [ 21.54 -13.29] | 0.7633305295718139
0.275620536853565 | [ 32.07 -11.94] | 0.737968708754841
0.2512556023407102 | [ 42.64 -10.34] | 0.6490255147198458
0.19125374335279632 | [53.32 -8.75] | 0.5242196962641852
0.09822844318612277 | [63.02 -7.36] | 0.3715305513002594
-0.01967394734510793 | [68.42 -6.1 ] | 0.20988174859375652
-0.1471327247701469 | [66.6 -4.8] | 0.1069552547251792
-0.2703684217541394 | [61.23 -3.76] | 0.042840618364594574
-0.3849456443375115 | [55.93 -3.07] | -0.02497112450059974
-0.4909026935377955 | [51.24 -2.59] | -0.09694143613390285
-0.5893252987000428 | [47.04 -2.23] | -0.18063155885057708
-0.6801185482441372 | [43.03 -1.98] | -0.29187283311066936
-0.7615485371148869 | [38.99 -1.76] | -0.4369137729448658
-0.8314274238763925 | [34.91 -1.56] | -0.5757000595771624
-0.8798309369321939 | [5.53 0.95] | -0.2898694959379342
-0.8571908690543826 | [-9.42  2.64] | -0.1285902734082137
-0.8275981966689581 | [-15.19   2.9 ] | -0.02148238919240829
-0.7897693213990595 | [-20.51   3.16] | 0.08532477515914234
-0.7452410838633695 | [-25.74   3.44] | 0.15759501206332271
-0.6932793994453217 | [-31.25   3.77] | 0.17193430260037273
-0.631319405322866 | [-37.39   4.12] | 0.11689875364560623
-0.5556207397603491 | [-44.41   4.45] | -0.008521709932064525
-0.4621628439819 | [-52.26   4.71] | -0.19362628936741733
-0.3485891648237163 | [-59.84   4.86] | -0.40774039414589214
-0.21828905744242014 | [-63.97   4.91] | -0.5831330556887797
-0.0826325410556834 | [-61.43   4.79] | -0.6388096127381958
0.04645426222824485 | [-55.48   4.77] | -0.6312702562378184
0.16530455619430307 | [-49.9    5.05] | -0.6289928362824893
0.2744428228724949 | [-45.09   5.5 ] | -0.6349904543873041
0.3753076302181923 | [-40.83   5.99] | -0.652287408207168
0.46832764480754585 | [-36.83   6.66] | -0.6957628240859071
0.5520187111193418 | [-32.84   7.65] | -0.7744296437263098
0.6241836134668517 | [-28.82   8.93] | -0.7223501046771799
0.6885583079306565 | [-8.22 -3.6 ] | -0.21572019918530935
0.6822908527718311 | [16.77  1.71] | -0.42757355077873427
0.6409420795940981 | [15.21  8.81] | -0.6705734380540724
0.5774738903046549 | [16.79 11.62] | -0.5794279350088367
0.5044151025674128 | [19.66 12.38] | -0.4948935139627388
0.421675253217234 | [21.66 13.78] | -0.37933361720725856
0.32977543881651555 | [23.64 14.97] | -0.229296852630201
0.2292485056204142 | [25.49 16.02] | -0.052379101550897506
0.1208263561211406 | [27.03 16.86] | 0.14375959152239992
0.00601788264139811 | [28.07 17.4 ] | 0.34618031109053354
-0.11278773505596992 | [28.48 17.61] | 0.5356464546700883
-0.23283093996377552 | [28.24 17.55] | 0.6938826038151433
-0.35172334649377496 | [27.48 17.35] | 0.8134747287318506
-0.4679578780742663 | [26.4  17.13] | 0.8977673754051685
-0.5808741253100194 | [25.17 16.94] | 0.9533894144801258
-0.6902493408678377 | [23.86 16.79] | 0.9854721673790788
-0.7959048026285805 | [22.54 16.69] | 0.9964864962425022
-0.8975092356798774 | [21.21 16.61] | 0.987638041992231
-0.9945952391091498 | [19.88 16.57] | 0.9608958602940193
-1.0866971951432807 | [18.58 16.55] | 0.9201214130579065
-1.1735006403664363 | [17.32 16.57] | 0.8709947989008245
-1.2549413711350919 | [16.1  16.61] | 0.8202316328816541
-1.3312445407328364 | [14.95 16.67] | 0.7746510656038872
-1.4029183859551355 | [13.85 16.73] | 0.7403657918268295
-1.4707187965166388 | [12.83 16.78] | 0.7221364937736435
-1.5355948873913499 | [11.88 16.82] | -0.3260860994033896
-1.5304271376599474 | [ 1.42 16.08] | -0.7540123030195154
-1.4950998015690593 | [ 1.95 15.77] | -0.6424820051740433
-1.4667790895229211 | [ 2.38 15.65] | -0.5805907482229133
-1.442295286965437 | [ 2.55 15.51] | -0.5492543637012797
-1.419562254174706 | [ 2.66 15.36] | -0.5263022154865561
-1.398005223639048 | [ 2.76 15.22] | -0.5059544078788695
-1.3774543821884868 | [ 2.85 15.08] | -0.4871341058285128
-1.3578163892474124 | [ 2.94 14.95] | -0.46960773112663806
-1.339014668977497 | [ 3.03 14.83] | -0.4532493279555909
-1.3209816613087988 | [ 3.12 14.72] | -0.4379494545761267
-1.303657477612704 | [ 3.21 14.61] | -0.4236101252453355
