-3.5, 2.5, -0.8, 2.8, -1.2, -0.5, 0.8, -0.9, 2.2, 6.6, 2.0, -1.0, -1.3, 0.1, 0.4, 1.0, 1.1, -1.6
parameter ends

state | action | reward
[0.04] | [ 0.79 -2.3 ] | -0.08314763188502756
0.015806088946550376 | [-3.85  6.14] | -0.08861771427583559
0.0010592551518094268 | [ 2.45 -5.01] | -0.09087114188951036
-0.012853132282758698 | [-3.12  5.5 ] | -0.09079116079293803
-0.022766887477821282 | [ 2.96 -5.38] | -0.09260227282636538
-0.032451085460828505 | [-2.61  5.05] | -0.08949746631570517
-0.03927364336728687 | [ 3.27 -5.55] | -0.09156819882224798
-0.04626960419105622 | [-2.25  4.73] | -0.08707483592131267
-0.05109007259230581 | [ 3.48 -5.61] | -0.08951719133812312
-0.05634492740058104 | [-1.98  4.51] | -0.0843812423590804
-0.05985633833937889 | [ 3.61 -5.6 ] | -0.08714968947136965
-0.06396648411404543 | [-1.78  4.36] | -0.08173837916001923
-0.06661727493252122 | [ 3.7  -5.56] | -0.08475982464164762
-0.06996822454602981 | [-1.62  4.26] | -0.07926558768742094
-0.07205454487503202 | [ 3.76 -5.5 ] | -0.08247143498195673
-0.07490184045351311 | [-1.5   4.19] | -0.07699891226486441
-0.07662314489414501 | [ 3.8  -5.43] | -0.0803296621397313
-0.07913928586079927 | [-1.39  4.14] | -0.07493700681940785
-0.08063162655254086 | [ 3.83 -5.34] | -0.07834356507832489
-0.08293451743715104 | [-1.31  4.1 ] | -0.07306334721267169
-0.0842913722446692 | [ 3.84 -5.26] | -0.07650632853128046
-0.086462183809255 | [-1.23  4.08] | -0.07135660773498484
-0.08774798321777075 | [ 3.86 -5.17] | -0.07480487207055156
-0.0898427652978883 | [-1.17  4.06] | -0.06979523337318917
-0.09110186421723057 | [ 3.86 -5.08] | -0.07322431454262057
-0.09315925625154897 | [-1.11  4.04] | -0.06835928750359122
-0.09442199410749073 | [ 3.87 -4.99] | -0.07175007778901829
-0.09646845234014051 | [-1.05  4.03] | -0.06703116473328764
-0.09775529968310306 | [ 3.87 -4.9 ] | -0.07036879183854629
-0.09980868494771976 | [-1.    4.02] | -0.06586159260346622
-0.10120554550964742 | [ 3.86 -4.79] | -0.06915879101237232
-0.10341048104303635 | [-0.95  4.03] | -0.06572745353433662
-0.10597061116089185 | [ 3.74 -4.35] | -0.06919590727665262
-0.11014283912475167 | [-1.    4.32] | -0.06549854489600179
-0.11352387557902471 | [ 3.75 -4.27] | -0.06768439854300705
-0.11746061761261839 | [-0.91  4.25] | -0.06560986673579178
-0.12259154383944551 | [ 3.54 -3.54] | -0.06809489828269827
-0.129923452417036 | [-1.    4.74] | -0.06534627925780415
-0.1362041544150386 | [ 3.6  -3.51] | -0.06583241914260683
-0.14266415966197973 | [-0.85  4.55] | -0.0647484273082189
-0.15142689628551034 | [ 3.26 -2.4 ] | -0.06503371281157944
-0.16321461355344474 | [-1.01  5.29] | -0.06333835689997025
-0.1736255435424115 | [ 3.37 -2.41] | -0.0615420607703343
-0.18381093329410872 | [-0.77  4.96] | -0.0597933274358454
-0.19759539818514016 | [ 2.9  -0.84] | -0.043605161413087144
-0.21489003423094558 | [-0.75  5.94] | -0.0289465958407167
-0.23469124478768016 | [2.76 0.56] | 0.09172853634615002
-0.25376901089385673 | [1.31 6.38] | 0.2353425369617794
-0.30267794479596916 | [ 0.9  10.67] | 0.41304020443138867
-0.3696430343260391 | [ 1.   12.61] | 0.5813825746495752
-0.4468433684523392 | [ 1.05 13.63] | 0.7311914631636381
-0.5299629532160703 | [ 1.17 13.63] | 0.8546087117326712
-0.6152458818954138 | [ 1.28 13.05] | 0.9528908905853708
-0.7007188153968611 | [ 1.36 12.18] | 1.0303752051663309
-0.7854459797366762 | [ 1.4  11.17] | 1.0912986418099146
-0.8690280868448484 | [ 1.4  10.11] | 1.138410825379532
-0.9513102431026317 | [1.37 9.02] | 1.1728992412023962
-1.032228370581203 | [1.33 7.93] | 1.1949208291025741
-1.111738633762108 | [1.27 6.85] | 1.2042351790546095
-1.1897925782678227 | [1.21 5.77] | 1.200688945214896
-1.2663347552918371 | [1.15 4.72] | 1.1844917393575334
-1.3413095319685056 | [1.08 3.69] | 1.1563194442790283
-1.4146703955969187 | [1.01 2.7 ] | 1.117305280582442
-1.4863889630874365 | [0.94 1.75] | 1.054962803961284
-1.555715570219981 | [0.97 0.83] | 1.0069458002209013
-1.6234426996808733 | [ 0.75 -0.01] | 1.036111912027869
-1.6913761258848357 | [ 0.23 -0.93] | 1.1134638628175193
-1.7580631051658233 | [-0.07 -1.9 ] | 1.1581802236840248
-1.820152584407169 | [ 0.06 -2.63] | 0.9842220762482525
-1.8662763279588193 | [ 3.85 -2.75] | 0.3022246098062271
-1.8685968606220313 | [ 4.83 -2.86] | 0.2761007245033768
-1.8646094657923282 | [ 4.94 -2.89] | 0.24209044271999208
-1.8548352667024426 | [ 5.27 -2.75] | 0.15479719447159088
-1.8375565457290532 | [ 5.68 -2.52] | 0.03528610303638642
-1.812405981170568 | [ 6.04 -2.28] | -0.10778844036344382
-1.7795602081362834 | [ 6.33 -2.11] | -0.2710780035270292
-1.7393585503589595 | [ 6.52 -2.03] | -0.45247256498604405
-1.6921824597342738 | [ 6.61 -2.07] | -0.6495587442561059
-1.6384422311711326 | [ 6.61 -2.23] | -0.8585131822199238
-1.5786243090071654 | [ 6.5  -2.52] | -1.0723548903441635
-1.513387507097664 | [ 6.31 -2.91] | -1.2797846542989189
-1.4436690177013556 | [ 6.03 -3.38] | -1.4665857931092665
-1.3707135356781366 | [ 5.7  -3.86] | -1.6193891929421589
-1.2959536355487766 | [ 5.33 -4.33] | -1.7306951477777954
-1.2207546095019879 | [ 4.96 -4.74] | -1.8015126774263566
-1.146161536128425 | [ 4.6  -5.09] | -1.8395835109783525
-1.072819496363611 | [ 4.27 -5.38] | -1.85430513646687
-1.001056077242296 | [ 3.97 -5.62] | -1.8539764068536853
-0.9309822295036893 | [ 3.7  -5.82] | -1.8448778068549445
-0.8625769650947561 | [ 3.45 -5.98] | -1.8300139917164653
-0.7957644203897702 | [ 3.23 -6.11] | -1.8098678056815347
-0.7304881936300202 | [ 3.02 -6.23] | -0.7592642641499323
-0.7015694451653733 | [4.97 3.02] | -0.1693540462039415
-0.6932634390013271 | [5.2  4.67] | 0.1083525313255364
-0.6955794607179544 | [5.38 6.25] | 0.3832538430763689
-0.7091014170423139 | [5.51 7.73] | 0.6505551122379946
-0.7340870867369605 | [5.6  9.03] | 0.9015924273093067
-0.7703144077039368 | [ 5.64 10.07] | 1.1264919285293917
-0.8170700433608294 | [ 5.59 10.75] | 1.3143178596638267
-0.8731439757475185 | [ 5.45 10.98] | 1.4542237394569542
-0.9368677852090503 | [ 5.21 10.71] | 1.5383626424283905
-1.006199902602229 | [4.87 9.94] | 1.5662733212532356
-1.0788902857321525 | [4.47 8.8 ] | 1.5470576232612918
-1.152840567303318 | [4.07 7.44] | 1.4958995815966039
-1.2264450984247748 | [3.7  6.03] | 1.4263283240875568
-1.2987042928384744 | [3.37 4.67] | 1.347658096157208
-1.3691274995733784 | [3.08 3.39] | 1.2656461222860418
-1.4375879807881484 | [2.82 2.22] | 1.1830204903728754
-1.5041829548820917 | [2.57 1.13] | 1.1000410448355722
-1.569101637558316 | [2.35 0.14] | 0.9786111201199026
-1.6285154422545471 | [ 2.36 -1.05] | 0.8031304437192502
-1.6751670178078113 | [ 2.71 -2.18] | 0.6458716711128708
-1.7078114948131025 | [ 3.1  -2.85] | 0.5366579983433559
-1.7291335720865082 | [ 3.47 -3.34] | 0.4455562211471815
-1.740211228204033 | [ 3.86 -3.68] | 0.3436105407116103
-1.7413119631024105 | [ 4.28 -3.81] | 0.21393157455214443
-1.7323046098807455 | [ 4.73 -3.78] | 0.053108542132208295
-1.7131548761734916 | [ 5.15 -3.65] | -0.13512128493307213
-1.6841337218409713 | [ 5.51 -3.52] | -0.34543220863336205
-1.645771465795132 | [ 5.76 -3.43] | -0.571903873922014
-1.5987987217098856 | [ 5.91 -3.44] | -0.8072008857652725
-1.5441383566881288 | [ 5.94 -3.55] | -1.0407270399450994
-1.4829515501863815 | [ 5.85 -3.76] | -1.2584838478404448
-1.4166724536609003 | [ 5.67 -4.03] | -1.4460197901131084
-1.3469348663472902 | [ 5.42 -4.34] | -1.5929941708501911
-1.275362328795497 | [ 5.13 -4.64] | -1.696907455914002
-1.2033075540976605 | [ 4.83 -4.91] | -1.763136857344512
-1.1317103595513383 | [ 4.53 -5.15] | -1.800544086683342
-1.0611372466889901 | [ 4.25 -5.36] | -1.8178503154395755
-0.9918774375598529 | [ 3.99 -5.53] | -1.8224114033283165
-0.9240332694977402 | [ 3.75 -5.68] | -1.8192368024302354
-0.8575979867864201 | [ 3.53 -5.8 ] | -1.8100747517262739
-0.7925417114476525 | [ 3.33 -5.9 ] | -1.1567496127620902
-0.7501782655165086 | [4.96 2.07] | -0.2626320251976037
-0.7381744647119395 | [5.22 3.81] | 0.024437239310683007
-0.7366300796760868 | [5.4  5.35] | 0.3075716960947226
-0.746085360410925 | [5.55 6.81] | 0.5855597316290886
-0.7669711350833416 | [5.64 8.13] | 0.8495553185523051
-0.79925075307899 | [5.68 9.21] | 1.0893642053580923
-0.8423955725633886 | [5.65 9.98] | 1.2937040308697225
-0.8953709660066091 | [ 5.54 10.34] | 1.451013965787007
-0.9566574025042153 | [ 5.32 10.23] | 1.5517911770073671
-1.0243236031482854 | [5.   9.62] | 1.5928909661526864
-1.0961476625697746 | [4.62 8.6 ] | 1.5810252504961217
-1.169922613977528 | [4.21 7.33] | 1.5311152461173634
-1.2438371662164995 | [3.83 5.95] | 1.4587610180797548
-1.3166835323695893 | [3.49 4.6 ] | 1.3751490221172884
-1.3878128802571847 | [3.19 3.32] | 1.2873608238528913
-1.4569918746113757 | [2.92 2.14] | 1.1990892041352244
-1.524257843214372 | [2.68 1.06] | 1.1112633926043392
-1.5897818737419562 | [2.45 0.06] | 0.9794596792457776
-1.64919268816442 | [ 2.49 -1.16] | 0.7927314395147904
-1.6951091678691055 | [ 2.86 -2.29] | 0.6295548480890203
-1.7266516257574664 | [ 3.25 -2.95] | 0.515513455339425
-1.746508697101052 | [ 3.64 -3.45] | 0.41815699600388145
-1.7557462435654045 | [ 4.03 -3.78] | 0.30757096641648657
-1.754625571974908 | [ 4.47 -3.91] | 0.1674499359206195
-1.7430568088871714 | [ 4.92 -3.86] | -0.004326731827081431
-1.721113714260102 | [ 5.33 -3.72] | -0.203330289725427
-1.6891845161003762 | [ 5.67 -3.58] | -0.42350753112305545
-1.6479194044288268 | [ 5.91 -3.49] | -0.6577863931373502
-1.5981853253423188 | [ 6.03 -3.49] | -0.8969182964267551
-1.5410738361984053 | [ 6.04 -3.59] | -1.1279695654080224
-1.4779431403554808 | [ 5.93 -3.78] | -1.3359334106195415
-1.41039722374685 | [ 5.73 -4.01] | -1.5077221244814367
-1.340132708720551 | [ 5.48 -4.27] | -1.6367054783689443
-1.268683355530202 | [ 5.19 -4.52] | -1.7247498250957065
-1.1972052747181101 | [ 4.9  -4.75] | -1.7795677333310578
-1.1264450050668688 | [ 4.61 -4.96] | -1.810042319970427
-1.0568233888366034 | [ 4.35 -5.13] | -1.824206740895227
-0.9885318596135467 | [ 4.1  -5.29] | -1.828333882737421
-0.9216155055129429 | [ 3.87 -5.41] | -1.825744896541794
