2.0, -0.9, 1.1, -0.8, 0.8, 7.9, 2.1, -5.0, 1.6, -3.3, 2.4, 5.2, 0.5, 5.1, -0.2, -0.1, 3.6, 0.6
parameter ends

state | action | reward
[-0.08] | [ 3.22 -0.13] | 0.11850677646561922
-0.11073611323789592 | [3.99 0.08] | 0.27240442871776965
-0.18172896709731914 | [ 4.4 -1. ] | 0.4319002900779592
-0.2839248645692659 | [5.47 0.11] | 0.5183572608040556
-0.39486777390534444 | [ 5.08 -2.49] | 0.5510351947413694
-0.5060020297043138 | [ 5.29 -1.81] | 0.48383344136523687
-0.6139778188061352 | [ 5.06 -1.74] | 0.36173186899346815
-0.7141338273726965 | [ 4.67 -1.85] | 0.20614351617363105
-0.8044379676921689 | [ 4.24 -1.87] | 0.019690270022330866
-0.8832110047490775 | [ 3.82 -1.68] | -0.19297284487224775
-0.9490781670755457 | [ 3.43 -1.3 ] | -1.0544506872293782
-0.9364834892720896 | [ 2.72 -4.53] | -0.4692588914997226
-0.9038282806858569 | [  2.73 -10.75] | -0.29875689784684256
-0.883189437346844 | [  2.75 -10.27] | -0.3083992515209516
-0.8653990778818931 | [  2.75 -10.12] | -0.30423516032206593
-0.8487215903124684 | [  2.76 -10.22] | -0.29267327499858087
-0.8328566274998143 | [  2.77 -10.37] | -0.2802705405033115
-0.8177122625395937 | [  2.78 -10.53] | -0.2685648770897586
-0.8032255911235481 | [  2.79 -10.67] | -0.25772888081842027
-0.7893423187676001 | [  2.8 -10.8] | -0.24769996142790862
-0.7760144883009167 | [  2.81 -10.92] | -0.23839535959499947
-0.7631996053708267 | [  2.82 -11.04] | -0.22974090055891183
-0.7508598722329163 | [  2.84 -11.15] | -0.22167214115324957
-0.7389615257807949 | [  2.85 -11.25] | -0.21413288666242514
-0.7274742830676001 | [  2.86 -11.34] | -0.20707387617192982
-0.7163708782870046 | [  2.88 -11.43] | -0.20045173598742017
-0.7056266743048354 | [  2.89 -11.52] | -0.19422812595046154
-0.6952193348405099 | [  2.9 -11.6] | -0.18836903175748393
-0.6851285462700448 | [  2.91 -11.67] | -0.18284417348181053
-0.6753357802911195 | [  2.93 -11.74] | -0.177626508416612
-0.6658240904452457 | [  2.94 -11.81] | -0.1726918111401022
-0.6565779368557594 | [  2.95 -11.88] | -0.16801831717879565
-0.6475830346084605 | [  2.97 -11.94] | -0.16358641932286397
-0.6388262220445643 | [  2.98 -12.  ] | -0.15937840774658724
-0.630295345905321 | [  2.99 -12.06] | -0.15537824674415232
-0.6219791608032763 | [  3.   -12.11] | -0.15157138220741492
-0.6138672409261591 | [  3.01 -12.16] | -0.14794457502386696
-0.6059499022282446 | [  3.03 -12.21] | -0.14448575641761213
-0.5982181336479819 | [  3.04 -12.26] | -0.14118390193799402
-0.5906635361229702 | [  3.05 -12.31] | -0.1380289213537616
-0.5832782683643751 | [  3.06 -12.35] | -0.13501156216160345
-0.5760549985106637 | [  3.07 -12.39] | -0.1321233247870908
-0.5689868609114785 | [  3.08 -12.44] | -0.1293563878598517
-0.5620674174015982 | [  3.1  -12.48] | -0.126703542195496
-0.555290622516249 | [  3.11 -12.51] | -0.12415813232475108
-0.5486507921757547 | [  3.12 -12.55] | -0.12171400458332188
-0.5421425754322018 | [  3.13 -12.59] | -0.11936546092052172
-0.5357609289255516 | [  3.14 -12.62] | -0.11710721770587748
-0.5295010937431194 | [  3.15 -12.65] | -0.11493436891479096
-0.5233585744159567 | [  3.16 -12.69] | -0.11284235316040848
-0.5173291198195287 | [  3.17 -12.72] | -0.11082692411148651
-0.5114087057751078 | [  3.18 -12.75] | -0.10888412389801999
-0.5055935191732562 | [  3.19 -12.78] | -0.10701025915887528
-0.49987994346229725 | [  3.2  -12.81] | -0.10520187943064334
-0.4942645453632753 | [  3.21 -12.83] | -0.10345575761544758
-0.4887440626890342 | [  3.22 -12.86] | -0.10176887229840993
-0.48331539315906086 | [  3.23 -12.89] | -0.10013839171389023
-0.477975584113951 | [  3.24 -12.91] | -0.09856165918421933
-0.4727218230440145 | [  3.25 -12.94] | -0.09703617987574391
-0.467551428855872 | [  3.26 -12.96] | -0.0955596087354878
-0.46246184380907684 | [  3.27 -12.98] | -0.09412973948762748
-0.4574506260619914 | [  3.27 -13.01] | -0.09274449458288611
