-0.3, 1.1, 1.0, 1.8, -2.1, -2.1, 3.1, -1.9, -1.8, 1.9, -0.3, -3.6, -3.7, -0.6, -3.6, -5.9, 4.6, -4.1
parameter ends

state | action | reward
[0.04] | [ 5.63 -3.5 ] | -0.006686541892248033
0.004035643107479428 | [ 2.57 24.  ] | -0.07959271645330585
-0.06790560762586718 | [-2.51 16.5 ] | 0.06311193666092264
-0.10833417830893428 | [  1.64 -12.44] | 0.09214269409328674
-0.14495376289992778 | [-0.3  14.16] | 0.11424900654877354
-0.19060031144471296 | [-2.21e-03 -5.04e+00] | 0.13569769077566604
-0.22435400770421488 | [2.9  8.23] | 0.18098532185161878
-0.2750534572620181 | [-2.5   4.52] | 0.24525882922839506
-0.3067192635985938 | [  0.06 -19.31] | 0.12921955539724306
-0.3161326108198721 | [ 2.95 -3.84] | 0.1990958437663542
-0.3575194463491481 | [ 2.69 19.19] | 0.29922716038962627
-0.4280561347538759 | [-1.68 12.19] | 0.36405997764808756
-0.4778208079733503 | [ -0.29 -10.28] | 0.239038861092519
-0.4998717044225426 | [ 4.05 -0.14] | 0.27298679013742333
-0.5359929764448785 | [2.3  9.65] | 0.4761120982525461
-0.5970156462550282 | [-2.09  4.06] | 0.5322074238141019
-0.6444705712570055 | [ -1.67 -15.23] | 0.2386105211715178
-0.6557573023533644 | [ 4.56 -9.67] | 0.17115628722534162
-0.6704440370957672 | [ 6.19 10.66] | 0.3890763668251805
-0.7134710590354112 | [1.34 4.92] | 0.6872376462261829
-0.7759195941551734 | [-2.57 -0.93] | 0.6233517550850655
-0.8278550707182349 | [3.42 2.64] | 0.5938939075387646
-0.8742904165516704 | [-0.89 -3.01] | 0.5556254668018175
-0.9159099902109488 | [4.7  2.91] | 0.5424371440089074
-0.9554183287234959 | [ 0.29 -3.  ] | 0.6559610042469389
-1.0050451292325533 | [4.76 9.89] | 0.7471308584153108
-1.0626860351273355 | [0.9  2.66] | 1.075921237257522
-1.134341289800669 | [-2.06 -4.69] | 0.910923055798472
-1.1917971690449682 | [3.71 1.71] | 0.83774230522921
-1.2426787839860127 | [ 0.12 -6.57] | 0.38351996096306556
-1.2583092783975738 | [ 5.53 -6.07] | -0.121341214932583
-1.245738305817386 | [9.83 2.9 ] | -0.08817821616220863
-1.2361963535376868 | [ 5.35 -5.13] | -0.061433795685044396
-1.2285827201720245 | [9.72 3.3 ] | -0.0643328125933664
-1.2211897352763041 | [ 5.27 -5.15] | -0.050549354467144265
-1.2146636570288605 | [9.67 3.2 ] | -0.056725101769112406
-1.208054833631789 | [ 5.21 -5.26] | -0.04403032067847235
-1.202231003290392 | [9.63 3.11] | -0.05051940790857975
-1.1962602284760102 | [ 5.17 -5.34] | -0.038444668682252776
-1.191031849841864 | [9.61 3.03] | -0.0451620979478444
-1.1856074156309016 | [ 5.14 -5.41] | -0.0336088836605645
-1.1808904833573375 | [9.59 2.97] | -0.040516245974088906
-1.1759376785475983 | [ 5.11 -5.46] | -0.02940283826406638
-1.1716635358289325 | [9.57 2.92] | -0.03646881639606704
-1.167120931679396 | [ 5.09 -5.5 ] | -0.02572737375779754
-1.163232948483412 | [9.56 2.89] | -0.032927180380540044
-1.1590495363424185 | [ 5.07 -5.53] | -0.022500786599177647
-1.1555005722185223 | [9.55 2.85] | -0.029814514087945148
