2.2, -0.2, 4.0, 2.2, -4.3, 0.0, -0.9, -0.1, -0.8, -1.9, -0.6, -5.9, 4.5, 0.5, 4.0, -2.5, 0.6, -1.6
parameter ends

state | action | reward
[0.09] | [ 0.56 -2.07] | -0.07889629582659527
0.07424096267920924 | [ 0.45 11.  ] | -0.13095952860672463
0.03468592631877422 | [5.5  5.72] | -0.10038153663406554
-0.01653694038045094 | [11.7   6.27] | -0.04622026782021024
-0.08751130764423502 | [16.07  6.18] | 0.050421505389732155
-0.1700311890654392 | [18.59  5.84] | 0.16482341883446994
-0.2579816292122158 | [19.75  5.5 ] | 0.2794431583913849
-0.34771006176455116 | [20.08  5.26] | 0.3860615857024571
-0.4372834851248853 | [19.94  5.13] | 0.48194417186320404
-0.5257365924998311 | [19.53  5.09] | 0.5666434516934526
-0.6126042929690193 | [18.97  5.11] | 0.6403521966830186
-0.6976637552331091 | [18.33  5.18] | 0.7033144875483954
-0.7808056412550343 | [17.63  5.29] | 0.7557426877473393
-0.861975675941498 | [16.9   5.41] | 0.7978763521955696
-0.9411495360083528 | [16.14  5.55] | 0.8300533151346144
-1.0183232842688337 | [15.38  5.7 ] | 0.8527548221100285
-1.0935109042338684 | [14.63  5.85] | 0.8666201351840492
-1.166744885777424 | [13.88  6.02] | 0.8724370607339984
-1.2380779469277141 | [13.15  6.18] | 0.87111716340522
-1.307585055570123 | [12.44  6.36] | 0.8636634973229697
-1.3753654805067752 | [11.78  6.54] | 0.8511368172764261
-1.44154491134884 | [11.15  6.74] | 0.8346244015493545
-1.506277873539687 | [10.59  6.94] | 0.8152141473669229
-1.5697508033625525 | [10.09  7.17] | 0.793975503252161
-1.632186287117604 | [9.67 7.42] | 0.7719479729706616
-1.6938491495553276 | [9.34 7.7 ] | 0.7965859554634642
-1.7563790160383803 | [ 6.36 12.33] | 0.33923027496475633
-1.776185899049346 | [-6.01  2.51] | -0.13968985821601226
-1.7630934962380622 | [-8.58 -1.3 ] | -0.4094838384317406
-1.7321363636476828 | [-11.89  -2.7 ] | -0.5688551669022296
-1.689275071519161 | [-14.18  -3.65] | -0.6781271283832697
-1.638590273893594 | [-15.56  -4.27] | -0.7460901000798887
-1.5831612125281433 | [-16.32  -4.67] | -0.7859634866644181
-1.5249029131835732 | [-16.71  -4.95] | -0.8095919198566118
-1.4647896177309179 | [-16.93  -5.2 ] | -0.8257190544113585
-1.4031324633655615 | [-17.12  -5.46] | -0.8402463106057895
-1.3397915245600847 | [-17.36  -5.75] | -0.8564755984088807
-1.2743337685291956 | [-17.7   -6.09] | -0.8748046659603599
-1.2061825115906293 | [-18.16  -6.47] | -0.8931377828914386
-1.1347422954646356 | [-18.77  -6.9 ] | -0.9072118126780487
-1.059511615561167 | [-19.51  -7.32] | -0.9111351208593177
-0.9801815416779606 | [-20.34  -7.71] | -0.898371884099107
-0.8967051809172928 | [-21.22  -8.02] | -0.863106458498802
-0.8093209781816374 | [-22.11  -8.22] | -0.8016376078783906
-0.7185218286195342 | [-22.94  -8.31] | -0.7132853046312422
-0.6249783320133933 | [-23.66  -8.27] | -0.6004631849080598
-0.5294398649447264 | [-24.25  -8.14] | -0.4679501565284791
-0.4326419711551657 | [-24.68  -7.94] | -0.3217471677514976
-0.3352403175138629 | [-24.94  -7.71] | -0.16800161644894968
-0.2377794769568508 | [-25.05  -7.48] | -0.012293046207464117
-0.1406924351494844 | [-25.01  -7.26] | 0.14068894682537536
-0.04431709893529999 | [-24.83  -7.07] | 0.2870579472735379
0.051096224486599964 | [-24.54  -6.93] | 0.4237254861310089
0.1453878296918738 | [-24.14  -6.85] | 0.5488132194784796
0.2384548905434383 | [-23.63  -6.84] | 0.6614056261894595
0.330222789064484 | [-23.04  -6.9 ] | 0.7611493341942279
0.4206275708703069 | [-22.36  -7.02] | 0.8479114331161983
0.5096041742013432 | [-21.61  -7.18] | 0.9215587505596898
0.5970793968966592 | [-20.8   -7.38] | 0.9819000764454281
0.6829700117956354 | [-19.93  -7.6 ] | 1.0287609232615689
0.7671855737108949 | [-19.01  -7.83] | 1.0621138594343216
0.8496343119298326 | [-18.05  -8.07] | 1.0821951931821658
0.9302302609991362 | [-17.06  -8.32] | 1.0895736471116149
1.0089003021041465 | [-16.06  -8.56] | 1.085166456236178
1.0855904560510496 | [-15.05  -8.8 ] | 1.070212607908418
1.1602712266979758 | [-14.05  -9.03] | 1.046216325146851
