4.3, -5.7, -0.8, 3.2, -1.5, 1.6, -3.4, 1.1, 1.9, -0.8, 0.8, 1.2, 2.4, -2.0, 1.9, 1.8, -3.2, 3.2
parameter ends

state | action | reward
[-0.03] | [-3.92  3.75] | 0.0533305581776023
0.0005231165795411153 | [-7.37 19.9 ] | -0.007284495111299957
0.08543079464807651 | [-8.97 28.27] | -0.1042994943387012
0.1911871850715161 | [-8.9  29.57] | -0.1821430387903075
0.2984692303735051 | [-8.12 27.97] | -0.24440351584000114
0.4009449653106348 | [-7.15 25.66] | -0.3035312648170769
0.49699550606929893 | [-6.13 23.18] | -0.37731987581752857
0.5849503080682307 | [-5.05 20.56] | -0.48028775302904614
0.662562513624867 | [-3.91 17.78] | -0.6140119464307755
0.7278324371257358 | [-2.73 14.92] | -0.46817954129443656
0.7591297001110234 | [ 0.37 -6.31] | -0.3697018615486872
0.7231833581209784 | [-0.37 -8.86] | -0.04995969897378147
0.7006677287517674 | [-3.93 -7.85] | 0.35486267252168247
0.7061709165717795 | [-8.46 -5.53] | 0.7684937848352569
0.7426456310581467 | [-11.43  -4.65] | 0.9119121832075336
0.7763418689406698 | [-10.25  -8.15] | 1.1062901210488452
0.8162625482744472 | [-11.68  -8.61] | 1.3169842968381325
0.867938176147688 | [-12.62  -9.29] | 1.4729387832885528
0.9286876441649652 | [-13.   -10.15] | 1.569526456947012
0.9960283488654852 | [-12.81 -11.07] | 1.6068343122274293
1.0676094689790014 | [-12.13 -11.96] | 1.5928042758596883
1.1412382119193374 | [-11.07 -12.8 ] | 1.5418578754646106
1.2151105258670862 | [ -9.79 -13.59] | 1.4686485531385731
1.2880093014822407 | [ -8.43 -14.34] | 1.3840481985966004
1.359268700461287 | [ -7.06 -15.06] | 1.2950880425176376
1.4286388459350536 | [ -5.72 -15.74] | 1.2054502505148692
1.4961410980704175 | [ -4.42 -16.37] | 1.1160534458939602
1.5619293262154978 | [ -3.14 -16.95] | 1.0259312182363505
1.626173171994828 | [ -1.87 -17.49] | 0.9333076355558648
1.6889808270911237 | [ -0.62 -18.  ] | 0.7940515296682941
1.7480566457197941 | [  1.   -19.16] | 0.2794622836216839
1.7834618839748968 | [  5.6  -25.39] | -0.5281090719937587
1.7816254243748528 | [  9.68 -30.04] | -1.292268038477188
1.7456998189027053 | [ 13.54 -33.75] | -1.1764908959228726
1.7043458853318847 | [ 14.23 -17.88] | -0.5307354407800242
1.671115186211798 | [ 15.66 -19.15] | -0.8990059369774133
1.6199370071275154 | [ 17.13 -21.16] | -1.189241073423288
1.5553401463196026 | [ 18.33 -22.04] | -1.391204223031412
1.481143402694244 | [ 19.35 -22.44] | -1.5510658218771527
1.3990712805743246 | [ 20.26 -22.63] | -1.687632098240912
1.3098008864358412 | [ 21.11 -22.7 ] | -1.804460654526315
1.2136335371791134 | [ 21.86 -22.67] | -1.8959906898227286
1.1109563204175323 | [ 22.44 -22.47] | -1.9506603064805794
1.002588673897684 | [ 22.75 -22.04] | -1.9556267720187837
0.8899482620298682 | [ 22.67 -21.3 ] | -1.903555584899262
0.7749214309285541 | [ 22.14 -20.21] | -1.798023321257068
0.6594409145183618 | [ 21.21 -18.82] | -1.6528339756175217
0.5450070157928194 | [ 19.98 -17.23] | -1.4849634036643236
0.4324726417607845 | [ 18.58 -15.54] | -1.3065044385664768
0.3221995925323501 | [ 17.1  -13.81] | -1.1242846461494118
0.21434887628435012 | [ 15.57 -12.08] | -0.9429334384383663
0.10909823297527713 | [ 14.03 -10.36] | -0.7674603728283607
0.006710496079111141 | [12.5  -8.65] | -0.6025051785978043
-0.09249170411496857 | [11.   -6.95] | -0.38094642153827624
-0.1497386996956781 | [-1.74  7.27] | -0.05275631049409423
-0.1189431463181268 | [-3.48 11.65] | 0.19443296484136208
-0.07953859093734644 | [-4.43 14.61] | 0.4542679239930413
-0.034501120295707406 | [-5.47 17.3 ] | 0.7151158147869413
0.016134785374562255 | [-6.62 19.98] | 0.973414981222829
0.07428823472444218 | [-7.91 22.87] | 1.2346687501409384
0.143267318225445 | [-9.4  26.19] | 1.5105427289585887
0.22710158288099896 | [-11.14  30.02] | 1.808601207348969
0.3294228288433058 | [-13.09  34.16] | 2.1020987895177963
0.4508096866922894 | [-14.87  37.54] | 2.2815739132744963
0.5846878385263022 | [-15.46  38.01] | 2.222639976821572
0.7182081639842468 | [-14.39  34.89] | 2.0096640011358193
0.8425198686867208 | [-12.75  30.9 ] | 1.7688915661247608
0.9564899100576935 | [-11.11  27.32] | 1.5298412637263585
1.0612702961289966 | [-9.55 24.18] | 1.2983067703389228
1.1582429014654796 | [-8.08 21.34] | 1.0587198106216895
1.247045394251249 | [-6.63 18.52] | 0.7930827173894998
1.325748105430289 | [-5.18 15.62] | 0.49950087713175556
1.3922582053858585 | [-3.74 12.66] | 0.06336711838487182
1.4222654550399718 | [ 1.27 -8.78] | -0.36301706500997505
1.3919560576077725 | [  2.5  -13.34] | -0.3963033251079271
1.3526294470893299 | [  3.19 -16.02] | -0.40036846113118296
1.3072606719911606 | [  3.87 -18.46] | -0.42846688631235286
1.2559653130745208 | [  4.69 -20.96] | -0.518477141667558
1.1968328637449348 | [  5.75 -23.76] | -0.6958630295263913
1.1265519221415554 | [  7.13 -27.05] | -0.9736984715927889
1.0411251894764577 | [  8.9 -30.9] | -1.347161057107935
0.937069158581138 | [ 10.96 -35.03] | -1.7690287286331874
0.8142405724339856 | [ 12.86 -38.3 ] | -2.1122329383404708
0.6799142806280971 | [ 13.61 -38.5 ] | -2.2158983145865903
0.5471321446586261 | [ 12.81 -35.29] | -2.1191997877559685
0.4239543872912589 | [ 11.49 -31.4 ] | -1.9800708997807734
0.31106770410301265 | [ 10.18 -27.94] | -1.8449766336642741
0.20718372052592535 | [  8.92 -24.92] | -1.7157131577783287
0.11106905704151997 | [  7.73 -22.15] | -1.5981161302247895
0.023347526664021588 | [  6.62 -19.42] | -1.5010297686120961
-0.053986276081856445 | [  5.61 -16.63] | -1.428346185063482
-0.11893144100054642 | [  4.71 -13.81] | -0.9002609437698703
-0.15200089491237873 | [-1.5   8.57] | -0.12845426929927223
-0.11593209032178974 | [-3.28 12.72] | 0.13067078324282203
-0.07218628707642835 | [-4.38 15.43] | 0.40243522017344896
-0.023420770843426773 | [-5.52 17.94] | 0.6749634731431822
0.030683411700939897 | [-6.74 20.52] | 0.9460509231107428
0.09235378430026767 | [-8.08 23.39] | 1.2224571413880703
0.16508386978477238 | [-9.61 26.73] | 1.5157512610372956
0.25291617402229344 | [-11.38  30.59] | 1.8295436351595382
0.35918599748096297 | [-13.32  34.67] | 2.1245375984286197
0.48356619555821734 | [-14.92  37.73] | 2.2741483410872005
0.6182103382286489 | [-15.16  37.56] | 2.1740775036290514
0.7501273471610267 | [-13.87  34.09] | 1.944367540008947
0.8720553330370148 | [-12.19  30.14] | 1.6993047282662435
0.9837055469739875 | [-10.57  26.63] | 1.4597826488381556
1.0864909313561066 | [-9.04 23.57] | 1.2281247825826853
1.1815386311452092 | [-7.58 20.75] | 0.9867464262050925
1.2680585401123725 | [-6.14 17.93] | 0.7193646305970558
1.3440194003676922 | [-4.7  15.03] | 0.4261326119495872
1.407490752974728 | [-3.29 12.09] | -0.09390583226438749
1.4220098450987755 | [  2.24 -10.39] | -0.44012435534296523
1.3875281893058664 | [  3.01 -13.74] | -0.4527881750261883
1.345311501542536 | [  3.6  -16.35] | -0.4484479627584317
1.297522132510097 | [  4.23 -18.76] | -0.4734582025586508
1.2439459698033009 | [  5.01 -21.26] | -0.5639953057703828
1.1824289798873808 | [  6.06 -24.08] | -0.7434968632843947
1.1095241767611312 | [  7.44 -27.41] | -1.022747667052215
1.02123375526574 | [  9.19 -31.29] | -1.3933069633904254
0.9143244469345343 | [ 11.19 -35.39] | -1.8012979633284905
0.7893880008532027 | [ 12.94 -38.4 ] | -2.113468367370264
0.6546276622633509 | [ 13.42 -38.14] | -2.182760917449598
0.523050897482455 | [ 12.47 -34.7 ] | -2.076168743835342
0.401545609566022 | [ 11.14 -30.85] | -1.9398897226803087
0.2902660361887169 | [  9.85 -27.45] | -1.8086291644022894
0.18777986889891518 | [  8.61 -24.47] | -1.683350349469073
0.09302139916108582 | [  7.43 -21.73] | -1.5707631606568597
0.00685688994554666 | [  6.35 -19.  ] | -1.4794642847128874
-0.06866011677680356 | [  5.36 -16.21] | -1.4121650505786738
-0.13162376782508844 | [  4.49 -13.4 ] | -0.7810301126705137
-0.1473587268810704 | [-2.25  9.56] | -0.10610003937728534
-0.11001384821424375 | [-3.42 12.88] | 0.15516839121103831
-0.06569579068929407 | [-4.52 15.58] | 0.4283101072280708
-0.01631074252537819 | [-5.66 18.1 ] | 0.7020319786563401
0.038595216862883794 | [-6.89 20.71] | 0.9748876047735792
0.1013431190815197 | [-8.25 23.61] | 1.2542107811220546
0.17547006405635027 | [-9.79 26.99] | 1.5514967634826609
0.2649867885619984 | [-11.58  30.89] | 1.8682386341216721
0.373027973317065 | [-13.5   34.95] | 2.1585244335372566
0.49872495729221117 | [-15.01  37.82] | 2.288494569771562
0.6335803426472421 | [-15.08  37.32] | 2.1681844076792163
0.764668195982466 | [-13.69  33.71] | 1.931739036363959
0.885526101347618 | [-12.    29.79] | 1.6843862149988176
0.9961778687507127 | [-10.39  26.32] | 1.443961236938747
1.0981070394425352 | [-8.86 23.29] | 1.2110811524364402
1.1923171069253686 | [-7.41 20.47] | 0.9671890355106935
1.2778648996553403 | [-5.97 17.66] | 0.6969994774023704
1.3526834589716408 | [-4.53 14.75] | 0.4019778145037349
1.4149035802557701 | [-3.14 11.82] | -0.17394158596394074
1.421092892409552 | [  2.63 -10.86] | -0.47194415842858134
1.3846029595726 | [  3.27 -13.97] | -0.476147946205148
1.3409141928878718 | [  3.81 -16.54] | -0.468012598794835
1.2919158501906307 | [  4.41 -18.94] | -0.4925347178035048
1.2371836641568306 | [  5.18 -21.44] | -0.5847025340336123
1.17441655766492 | [  6.22 -24.28] | -0.7666797877010402
1.1000913175260636 | [  7.6  -27.63] | -1.047866937702335
1.010219113659283 | [  9.35 -31.53] | -1.4176209253342789
0.9017326885838352 | [ 11.32 -35.6 ] | -1.8180674416142122
0.7756780460956009 | [ 12.97 -38.45] | -2.1125782527417676
0.6407740612159226 | [ 13.32 -37.92] | -2.1633832591215345
0.509925429364513 | [ 12.29 -34.37] | -2.052201096256343
0.3893504678368591 | [ 10.96 -30.55] | -1.9175589988727866
0.2789466657735153 | [  9.67 -27.18] | -1.7883257025692363
0.17721926172224203 | [  8.44 -24.23] | -1.6652606495240727
0.0832100252750185 | [  7.28 -21.49] | -1.5554736316696307
-0.002089660757951424 | [  6.2  -18.76] | -1.467340357595119
-0.07660187503573258 | [  5.23 -15.98] | -1.4029044166669018
-0.13847616528606144 | [  4.37 -13.18] | -0.7391448371288805
-0.14361972969722872 | [-2.3 10. ] | -0.07824826177852401
-0.10617327711541083 | [-3.42 13.15] | 0.1832764944708174
-0.06191246320697384 | [-4.55 15.82] | 0.4552702291116901
-0.012520222424596472 | [-5.72 18.34] | 0.727351612220551
0.0426169708968321 | [-6.97 20.95] | 0.9989277027011715
0.10593005374507587 | [-8.35 23.89] | 1.2779333550940135
0.1810125695034927 | [-9.92 27.31] | 1.5758017613669018
0.2718581674387794 | [-11.73  31.24] | 1.8919742440336498
0.3814136195864845 | [-13.64  35.27] | 2.1742944484251274
0.5082712914113352 | [-15.09  37.95] | 2.283628829395565
0.64328456881995 | [-15.    37.11] | 2.1469800717084397
0.7736435012266756 | [-13.56  33.39] | 1.9081992208111689
0.893638002031855 | [-11.87  29.49] | 1.6615596168855375
1.0035267824353549 | [-10.27  26.06] | 1.4224338050265424
1.1048282427742762 | [-8.75 23.06] | 1.1897953007300208
1.1984074861751397 | [-7.29 20.25] | 0.9443565496120385
1.2831778265006515 | [-5.85 17.43] | 0.6719966921976441
1.357041833908598 | [-4.42 14.52] | 0.3755909688772978
1.4181892657376758 | [-3.03 11.58] | -0.20523041317850452
1.4210760386946182 | [  2.84 -11.92] | -0.4887873734859836
1.3815746725680562 | [  3.42 -14.77] | -0.47851146181254517
1.336077324783204 | [  3.94 -17.18] | -0.4681843076501217
1.2858129858545515 | [  4.54 -19.51] | -0.5008677702472913
1.2297765180958744 | [  5.35 -22.01] | -0.6078817614410252
1.1652776768275166 | [  6.45 -24.9 ] | -0.8080925018848985
1.0885891172949897 | [  7.89 -28.33] | -1.1077552365333394
0.9957232275723755 | [  9.7  -32.28] | -1.4905683249352006
0.884010425829365 | [ 11.67 -36.27] | -1.8865624018052662
0.7556247647441136 | [ 13.18 -38.69] | -2.147048941741367
0.6205307729554793 | [ 13.24 -37.48] | -2.1582353507053216
0.49121611652483677 | [ 12.1  -33.73] | -2.0360937805501402
0.37239967738340946 | [ 10.76 -29.97] | -1.9013362162549734
0.26355066937941357 | [  9.48 -26.68] | -1.7722287889324813
0.16311559925711816 | [  8.26 -23.78] | -1.6500427742873292
0.0704307214722128 | [  7.11 -21.06] | -1.542660462402765
-0.013236724886934954 | [  6.05 -18.32] | -1.4578290114186998
-0.08576343520300471 | [  5.1  -15.52] | -1.396152618340901
-0.1454272199126878 | [  4.25 -12.73] | -0.5425851386359745
-0.13613121185375604 | [-2.41 10.36] | -0.048135348519075596
-0.0981492189839923 | [-3.52 13.41] | 0.21508302335202506
-0.053525847683946456 | [-4.65 16.06] | 0.4873110424527133
-0.003719468126066704 | [-5.83 18.59] | 0.7593540217982047
0.05208325755501611 | [-7.1  21.24] | 1.0317052081429032
0.11645494576654145 | [-8.5  24.23] | 1.3130475414983585
0.19306620870118046 | [-10.1   27.72] | 1.61455865375256
0.28588471779983443 | [-11.93  31.7 ] | 1.9323319250973912
0.3975754499975131 | [-13.84  35.67] | 2.204695163401126
0.5259564918172107 | [-15.17  38.05] | 2.286249052724704
0.6610444832613918 | [-14.89  36.76] | 2.129255182783945
0.7903513536645973 | [-13.37  32.92] | 1.887282777248822
0.909165900946135 | [-11.7   29.07] | 1.640713799931826
1.0180175139575447 | [-10.1  25.7] | 1.402435406401311
1.118458077857392 | [-8.59 22.73] | 1.168993643067079
1.211145843386527 | [-7.14 19.93] | 0.9204468855273812
1.2948099021629735 | [-5.7  17.09] | 0.6444225512477628
1.3673267834089968 | [-4.27 14.17] | 0.34567720507972083
1.4269762443361262 | [-2.89 11.24] | -0.2917985288014413
1.4176717756272346 | [  2.73 -11.6 ] | -0.47171983058622285
1.3797000152383492 | [  3.34 -14.51] | -0.4701412873027459
1.3350960177999056 | [  3.89 -17.02] | -0.4652009351548504
1.2853073549736715 | [  4.51 -19.4 ] | -0.5005271833266489
1.2295113129399684 | [  5.33 -21.94] | -0.6086678276640162
1.1651288590604107 | [  6.43 -24.85] | -0.8094867249210538
1.088485746882924 | [  7.89 -28.31] | -1.1097984422716274
0.995614370990648 | [  9.7  -32.28] | -1.4933704555984915
0.8838590328444791 | [ 11.68 -36.27] | -1.8897100914412792
0.7554290758361346 | [ 13.19 -38.69] | -2.1493917798548945
0.6203380558916749 | [ 13.25 -37.47] | -2.159452689778859
0.4910614499532677 | [ 12.1  -33.71] | -2.0369587582515116
0.372277964224953 | [ 10.77 -29.95] | -1.9020404731401381
0.2634515262057505 | [  9.49 -26.66] | -1.7727450318531115
0.1630304640141747 | [  8.27 -23.77] | -1.650415094850152
0.07036392902892488 | [  7.11 -21.05] | -1.5429591040545962
-0.013271015014645764 | [  6.05 -18.31] | -1.4580991917964852
-0.08574995120973836 | [  5.1  -15.51] | -1.396391502904438
-0.14535553062191145 | [  4.26 -12.71] | -0.5386249176685893
-0.13594634524374988 | [-2.41 10.42] | -0.04388298826434837
-0.09791675835011036 | [-3.52 13.46] | 0.21928492287576093
-0.053289865915534654 | [-4.66 16.11] | 0.49120869360534863
-0.003488070375214907 | [-5.84 18.63] | 0.76283280535072
0.052333128861320535 | [-7.11 21.28] | 1.03479011992173
0.11676738762589715 | [-8.51 24.28] | 1.315856157839911
0.1934967312271262 | [-10.11  27.77] | 1.617191951795297
0.28648811802488205 | [-11.95  31.75] | 1.9345641145170434
0.39837804638193497 | [-13.86  35.72] | 2.205395814593939
0.5269039112796463 | [-15.18  38.07] | 2.283947409455829
0.6619968520994275 | [-14.88  36.73] | 2.125282568638731
0.791208007274058 | [-13.36  32.87] | 1.8834122402787492
0.9099220760406099 | [-11.68  29.03] | 1.637164353257654
1.0186895990689742 | [-10.09  25.67] | 1.3992165952917268
1.1190627918755522 | [-8.58 22.7 ] | 1.1658686376605751
1.2116782813206373 | [-7.13 19.9 ] | 0.9171341078328759
1.2952473353111909 | [-5.69 17.07] | 0.6408332426285714
1.3676441176627128 | [-4.26 14.15] | 0.3419239440375461
1.4271572094156249 | [-4.48 10.45] | -0.220303842586692
1.4196558571549927 | [  3.2  -11.51] | -0.5210979621366087
1.379821011113813 | [  3.7  -14.43] | -0.5121317716532571
1.3336712715938324 | [  4.15 -16.93] | -0.4988721944240616
1.2826402407845099 | [  4.71 -19.3 ] | -0.5249504479061536
1.2258963365524964 | [  5.46 -21.82] | -0.6229558829258007
1.1608597547444417 | [  6.52 -24.71] | -0.8126456228493538
1.0838648404000575 | [  7.92 -28.12] | -1.1007574125799051
0.9909518305420755 | [  9.67 -32.06] | -1.4719560061783243
0.8794221081563719 | [ 11.59 -36.05] | -1.8594008232551726
0.7512917921420398 | [ 13.07 -38.55] | -2.1191129190128084
0.6162946301418435 | [ 13.13 -37.46] | -2.13508893910459
0.4869503037800455 | [ 11.99 -33.74] | -2.0161130102547573
0.36815181656157414 | [ 10.65 -29.97] | -1.8838186025575043
0.2593737605837143 | [  9.38 -26.66] | -1.7572634376491716
0.15903994777684366 | [  8.16 -23.76] | -1.6374299597531403
0.06644503745848045 | [  7.02 -21.05] | -1.5321354119807113
-0.017181772139725705 | [  5.97 -18.32] | -1.44917037690538
-0.08973161122769649 | [  5.02 -15.53] | -1.3892274038991939
-0.1494744136043035 | [  4.19 -12.74] | -0.5652524018596234
-0.13911082458584476 | [-2.62 10.15] | -0.07184995054190103
-0.09996263694253063 | [-3.67 13.22] | 0.19417332427415457
-0.05427886117989565 | [-4.75 15.89] | 0.4701138445864953
-0.0035962245525416915 | [-5.9  18.42] | 0.7461934701946453
0.052827651002993234 | [-7.14 21.06] | 1.0224220452185746
0.11751153432749 | [-8.52 24.02] | 1.3071608103252204
0.19408693405176908 | [-10.09  27.47] | 1.6115896259226714
0.2865105892841859 | [-11.9   31.41] | 1.9328933562793291
0.39753969364581887 | [-13.79  35.41] | 2.2127637206220556
0.5253257635537611 | [-15.13  37.93] | 2.3068339918868914
0.6603109794801736 | [-14.9   36.86] | 2.154729364293979
0.7898949347407408 | [-13.39  33.06] | 1.9091883932522993
0.9089619378917679 | [-11.69  29.19] | 1.658866020616524
1.0179770687837417 | [-10.09  25.79] | 1.417451860805307
1.1185093190071114 | [-8.57 22.81] | 1.1824657459374168
1.2113114214765366 | [-7.12 20.01] | 0.9341968558782567
1.2951944052371667 | [-5.69 17.18] | 0.6593087123511663
1.3680539006488819 | [-4.26 14.27] | 0.36147378319403894
1.4281389027724871 | [-2.88 11.35] | -0.3175654797740033
1.4190016573513407 | [  3.01 -11.1 ] | -0.5057173414235052
1.3807361657572428 | [  3.56 -14.11] | -0.5039942710507891
1.3356001584022492 | [  4.05 -16.67] | -0.4928074920609329
1.2853109802532685 | [  4.61 -19.07] | -0.5165839554641464
1.2292874260389706 | [  5.36 -21.58] | -0.6094181324841995
1.1651195218240489 | [  6.4  -24.45] | -0.7924347860229761
1.0892326509517898 | [  7.78 -27.83] | -1.0737154984211479
0.9976683048388361 | [  9.51 -31.74] | -1.4403667529655058
0.8875543617841793 | [ 11.44 -35.77] | -1.8306794031059024
0.7604192415337663 | [ 12.98 -38.46] | -2.1055852046091785
0.6254729067601555 | [ 13.17 -37.66] | -2.1383625298350393
0.49544089914428396 | [ 12.08 -34.02] | -2.0237459770360178
0.37586541838271637 | [ 10.74 -30.22] | -1.8913547576838639
0.26640161806223833 | [  9.46 -26.89] | -1.7646539721572472
0.1654957522765883 | [  8.24 -23.96] | -1.6443363807944098
0.07230946896567843 | [  7.1  -21.24] | -1.5378840673492529
-0.012045749449577904 | [  6.04 -18.51] | -1.4533846187470196
-0.08547711935059786 | [  5.08 -15.73] | -1.3921702126565259
-0.14619646724921123 | [  4.24 -12.94] | -0.6833238814192368
-0.13446503589738742 | [-1.83  9.73] | -0.06267059535202578
-0.10083172139077862 | [-3.04 12.93] | 0.19333825002584137
-0.05936168964146139 | [-4.27 15.68] | 0.46057031919571595
-0.01198931342036747 | [-5.51 18.26] | 0.7288172113132907
0.041665511133873415 | [-6.8  20.92] | 0.9971074843735083
0.10387851791081588 | [-8.22 23.9 ] | 1.2730734431415434
0.17816440008849746 | [-9.82 27.35] | 1.568076675878894
0.26849245712792724 | [-11.66  31.31] | 1.8816772936703479
0.377804053900779 | [-13.61  35.36] | 2.161809328588416
0.5046405955172092 | [-15.09  38.02] | 2.2699484486967942
0.6397189656848701 | [-15.03  37.13] | 2.1357648967815135
0.7701824346682633 | [-13.61  33.4 ] | 1.9013677095699186
0.8903555331842861 | [-11.94  29.51] | 1.6580258947864324
1.00046299775136 | [-10.34  26.09] | 1.4212548580946323
1.1019924388467133 | [-8.83 23.09] | 1.1900142361595223
1.1957950626400151 | [-7.37 20.28] | 0.9449728627128219
1.2807705447871824 | [-5.93 17.45] | 0.6723278583141142
1.3548094556805323 | [-4.49 14.54] | 0.3753799370224904
1.4160960977683592 | [-3.09 11.6 ] | -0.009914266038467585
1.4252837943116032 | [  3.33 -11.58] | -0.544898386547313
1.384280999979292 | [  3.81 -14.49] | -0.5291021625955069
1.337390918119818 | [  4.23 -16.95] | -0.509373090544851
1.2859860550063 | [  4.74 -19.28] | -0.5294426388425691
1.2291814481699204 | [  5.47 -21.76] | -0.6217583156739475
1.164362590412087 | [  6.49 -24.61] | -0.8060435787121625
1.0878382154794712 | [  7.87 -27.99] | -1.0893422779801785
0.9956041029707232 | [  9.6  -31.91] | -1.4575376660139099
0.8848311637000957 | [ 11.52 -35.91] | -1.8466636565600623
0.757229696523412 | [ 13.04 -38.52] | -2.1153431766778716
0.6222182182561976 | [ 13.17 -37.59] | -2.140883209783233
0.4924403417420418 | [ 12.06 -33.92] | -2.024079884364538
0.3731632032371245 | [ 10.72 -30.12] | -1.891389324957871
0.26396269953774354 | [  9.44 -26.8 ] | -1.7644000949811027
0.1632746745547683 | [  8.22 -23.89] | -1.643936990440891
0.07031688752696291 | [  7.07 -21.16] | -1.5376473665309205
-0.013748427942590201 | [  6.02 -18.44] | -1.45350508413054
-0.08682123933526542 | [  5.07 -15.65] | -1.3925769387535132
-0.1471379938910097 | [  4.23 -12.86] | -0.5877515719406442
-0.1390546818595033 | [-2.45  9.65] | -0.09653145723311923
-0.10159395803048707 | [-3.51 12.83] | 0.16698369644794728
-0.05698629925718342 | [-4.61 15.57] | 0.442380735795248
-0.007083224013585491 | [-5.76 18.13] | 0.7189954960640141
0.048573490157612115 | [-7.   20.78] | 0.9957137956719802
0.11231016820169168 | [-8.37 23.72] | 1.2801091458332
0.18765789309133427 | [-9.93 27.14] | 1.5834071268081513
0.27857558075073774 | [-11.73  31.06] | 1.9050674959711698
0.38801518379089606 | [-13.63  35.1 ] | 2.1933754431373043
0.5146704447534549 | [-15.06  37.83] | 2.3086768756599962
0.6495757972096321 | [-14.99  37.08] | 2.172752861372981
0.7799306641835783 | [-13.53  33.39] | 1.9300529670096227
0.8998860149013486 | [-11.83  29.49] | 1.6796814642524303
1.0096918723199244 | [-10.22  26.05] | 1.4375018505902786
1.1108864513495487 | [-8.7  23.04] | 1.2027282459446247
1.2043647355721798 | [-7.25 20.24] | 0.9562334663896892
1.289070519830986 | [-5.81 17.42] | 0.6835269052797355
1.3629204635322085 | [-4.38 14.51] | 0.38697543014875746
1.424100868222276 | [-3.   11.58] | -0.22782537911042905
1.4261615409566482 | [  3.19 -11.78] | -0.5269412871649253
1.3854676994355646 | [  3.69 -14.66] | -0.5131204870308262
1.338912848831381 | [  4.15 -17.08] | -0.4972930191572635
1.2877817717399438 | [  4.7 -19.4] | -0.5227872720606591
1.2311190202753246 | [  5.46 -21.88] | -0.6213312183662903
1.1662722834185364 | [  6.52 -24.74] | -0.8120308012849042
1.0895430356203102 | [  7.92 -28.13] | -1.1014033622179473
