-2.0, 4.8, 2.4, -0.0, 1.3, 1.5, -4.6, -1.5, -0.9, -3.9, -1.5, -0.7, -2.5, 1.0, -2.8, 0.4, -2.8, 0.2
parameter ends

state | action | reward
[-0.07] | [-2.71 -0.59] | -0.024413317946500483
-0.0492977918853115 | [-0.01  1.08] | -0.07243290113510967
-0.004390771493459459 | [-3.37  2.52] | -0.1459462200108108
0.06896884358863589 | [-5.13  5.43] | -0.24178707540432445
0.16699267203768015 | [-6.12  6.78] | -0.32082362832832223
0.2683927207455335 | [-6.51  7.33] | -0.3933979961921916
0.3652570913419616 | [-6.68  7.58] | -0.46716871567132523
0.45466322294615347 | [-6.7   7.76] | -0.5527337350585314
0.5346626099782089 | [-6.49  7.9 ] | -0.6578852323943661
0.6035317450284972 | [-6.02  8.01] | -0.8307688938338382
0.6525754564331073 | [-7.34  7.82] | -1.479187288312078
0.5886026030232094 | [-5.06  6.22] | -0.30755166744216206
0.5611945702572153 | [-3.09  5.66] | -0.22049526338114522
0.5435801628176121 | [-3.65  5.64] | -0.2685425541253997
0.5263499936510161 | [-3.91  5.55] | -0.27127259115314717
0.5096186548827029 | [-4.03  5.44] | -0.2593991102111635
0.49360508894280014 | [-4.1   5.33] | -0.24570602181871223
0.47831247127244036 | [-4.15  5.23] | -0.23278394202918246
0.46368977479203743 | [-4.2   5.14] | -0.22091324908071053
0.4496824929066111 | [-4.25  5.05] | -0.21001347621795474
0.43624136881442505 | [-4.29  4.97] | -0.1999765216806012
0.4233227418402443 | [-4.32  4.89] | -0.19070697668622189
0.4108878205247727 | [-4.36  4.81] | -0.18212296692667562
0.3989019835893419 | [-4.38  4.74] | -0.17415382883111563
0.38733420003789104 | [-4.41  4.67] | -0.16673819465120585
0.3761565484029356 | [-4.43  4.61] | -0.15982250188336156
0.3653438144135501 | [-4.45  4.55] | -0.15335979396240826
0.35487315182465207 | [-4.47  4.49] | -0.1473087376243466
0.3447237947858317 | [-4.49  4.43] | -0.14163281050158438
0.33487681261284236 | [-4.5   4.38] | -0.1362996252306593
0.3253148996711815 | [-4.52  4.33] | -0.13128036404596
0.3160221945045614 | [-4.53  4.28] | -0.12654930338102555
0.30698412345435 | [-4.54  4.23] | -0.12208341222284051
0.29818726489415065 | [-4.55  4.18] | -0.11786201123127907
0.2896192309011323 | [-4.56  4.13] | -0.11386648218264195
0.28126856374328124 | [-4.57  4.09] | -0.11008001929519705
0.2731246450102302 | [-4.57  4.05] | -0.10648741557326259
0.2651776155781571 | [-4.58  4.01] | -0.10307487856089871
0.2574183048944192 | [-4.58  3.97] | -0.09982987089867651
0.24983816830897265 | [-4.59  3.93] | -0.09674097188247008
0.24242923137800576 | [-4.59  3.89] | -0.09379775687376281
0.23518404022902134 | [-4.6   3.85] | -0.09099069193894908
0.22809561721247662 | [-4.6   3.82] | -0.08831104152575492
0.22115742117827156 | [-4.6   3.78] | -0.08575078733759534
0.2143633118100504 | [-4.6   3.75] | -0.0833025568568476
0.20770751752978012 | [-4.61  3.71] | -0.08095956020788973
0.20118460655207954 | [-4.61  3.68] | -0.07871553424938302
0.19478946072445638 | [-4.61  3.65] | -0.07656469295094613
0.1885172518377249 | [-4.61  3.62] | -0.07450168324765592
0.18236342013185475 | [-4.61  3.59] | -0.07252154568172997
0.17632365475751 | [-4.61  3.56] | -0.07061967923831143
0.17039387598353808 | [-4.61  3.53] | -0.06879180986471062
0.16457021896645524 | [-4.61  3.5 ] | -0.06703396223205765
0.15884901892019732 | [-4.61  3.47] | -0.06534243435760065
0.15322679754361435 | [-4.61  3.44] | -0.06371377475626383
0.1477002505798285 | [-4.61  3.42] | -0.06214476183322168
0.142266236396037 | [-4.6   3.39] | -0.06063238526596878
0.13692176548492807 | [-4.6   3.36] | -0.059173829156198635
0.13166399079987307 | [-4.6   3.34] | -0.05776645675894654
0.12649019884567048 | [-4.6   3.31] | -0.05640779661999451
0.12139780145504875 | [-4.6   3.29] | -0.055095529972834206
0.11638432818854434 | [-4.6   3.26] | -0.053827479264266107
0.1114474193018924 | [-4.59  3.24] | -0.052601597692768176
0.10658481923082323 | [-4.59  3.22] | -0.05141595965731359
0.10179437054824438 | [-4.59  3.19] | -0.050268752025916144
0.09707400835329358 | [-4.59  3.17] | -0.049158266143238045
0.09242175505574436 | [-4.58  3.15] | -0.04808289050560998
0.08783571552279858 | [-4.58  3.13] | -0.04704110403962253
0.08331407255846486 | [-4.58  3.1 ] | -0.04603146992726191
0.07885508268854123 | [-4.58  3.08] | -0.045052629926644355
0.07445707222674007 | [-4.57  3.06] | -0.04410329914278581
0.07011843359974776 | [-4.57  3.04] | -0.04318226120749794
0.06583762191103336 | [-4.57  3.02] | -0.042288363831695604
0.06161315172503055 | [-4.56  3.  ] | -0.04142051469716479
0.057443594054947866 | [-4.56  2.98] | -0.04057767765801598
0.05332757353892738 | [-4.56  2.96] | -0.03975886922513218
0.04926376579059416 | [-4.56  2.94] | -0.03896315530931626
0.04525089491122928 | [-4.55  2.92] | -0.03818964820141937
0.04128773115187812 | [-4.55  2.91] | -0.03743750376957934
0.03737308871468004 | [-4.55  2.89] | -0.03670591885569202
0.03350582368358606 | [-4.54  2.87] | -0.03599412885485105
0.029684832075435496 | [-4.54  2.85] | -0.03530140546306021
0.02590904800308602 | [-4.54  2.83] | -0.034627054579698766
0.022177441942954634 | [-4.53  2.81] | -0.03397041435256052
0.018489019099927735 | [-4.53  2.8 ] | -0.03333085335446599
0.014842817863146094 | [-4.53  2.78] | -0.032707768881056934
0.011237908346670827 | [-4.52  2.76] | -0.03210058536074084
0.007673391009492544 | [-4.52  2.75] | -0.031508752868177295
0.004148395349762378 | [-4.52  2.73] | -0.030931745733611224
0.000662078668506435 | [-4.51  2.71] | -0.03036906124095445
-0.0027863751015677002 | [-4.51  2.7 ] | -0.02982021840808356
-0.006197756506240942 | [-4.51  2.68] | -0.029284756843425238
-0.009572831622705873 | [-4.5   2.67] | -0.028762235673376404
-0.012912343058749184 | [-4.5   2.65] | -0.0282522325354089
-0.016217010901451046 | [-4.5   2.63] | -0.027754342632373325
-0.01948753361843219 | [-4.49  2.62] | -0.027268177843627797
-0.02272458891446878 | [-4.49  2.6 ] | -0.026793365889153965
-0.025928834546100104 | [-4.49  2.59] | -0.026329549542939368
-0.029100909096677726 | [-4.48  2.57] | -0.025876385892369864
-0.03224143271414008 | [-4.48  2.56] | -0.0254335456405033
-0.03535100781364134 | [-4.48  2.55] | -0.02500071244837382
-0.03843021974702552 | [-4.47  2.53] | -0.024577582314699
-0.041479637441006224 | [-4.47  2.52] | -0.02416386299055595
-0.044499814005789805 | [-4.46  2.5 ] | -0.023759273426685004
-0.047491287315770216 | [-4.46  2.49] | -0.023363543251484833
-0.05045458056381965 | [-4.46  2.47] | -0.02297641227755798
-0.05339020279060192 | [-4.45  2.46] | -0.02259763003517621
-0.05629864939024733 | [-4.45  2.45] | -0.02222695533083362
-0.05918040259364535 | [-4.45  2.43] | -0.021864155829490382
-0.06203593193053221 | [-4.44  2.42] | -0.02150900765886943
-0.06486569467148069 | [-4.44  2.41] | -0.021161295034643098
-0.06767013625083249 | [-4.44  2.39] | -0.020820809905116207
-0.07044969067154976 | [-4.43  2.38] | -0.020487351614309566
-0.07320478089290612 | [-4.43  2.37] | -0.020160726582308997
-0.07593581920188272 | [-4.43  2.36] | -0.01984074800186457
-0.07864320756908322 | [-4.42  2.34] | -0.019527235550346828
-0.08132733798993771 | [-4.42  2.33] | -0.019220015116108855
-0.08398859281191715 | [-4.42  2.32] | -0.018918918538394454
-0.08662734504844181 | [-4.41  2.31] | -0.018623783360138462
-0.08924395868012824 | [-4.41  2.29] | -0.01833445259283595
-0.09183878894398154 | [-4.41  2.28] | -0.01805077449276521
-0.09441218261110831 | [-4.4   2.27] | -0.017772602348071816
-0.09696447825349218 | [-4.4   2.26] | -0.01749979427599071
-0.09949600650034446 | [-4.4   2.25] | -0.01723221302967455
-0.10200709028451543 | [-4.39  2.23] | -0.01696972581414436
-0.10449804507942495 | [-4.39  2.22] | -0.01671220411080314
-0.10696917912694698 | [-4.39  2.21] | -0.016459523510167138
-0.1094207936566591 | [-4.38  2.2 ] | -0.01621156355221144
-0.11185318309684633 | [-4.38  2.19] | -0.015968207574062067
-0.11426663527762931 | [-4.38  2.18] | -0.015729342564612198
-0.11666143162656646 | [-4.37  2.17] | -0.01549485902566123
-0.11903784735706217 | [-4.37  2.16] | -0.015264650839290453
-0.12139615164989688 | [-4.37  2.14] | -0.015038615141113196
-0.12373660782817712 | [-4.36  2.13] | -0.014816652199138036
-0.12605947352599076 | [-4.36  2.12] | -0.014598665297944211
-0.12836500085103594 | [-4.36  2.11] | -0.014384560627863453
-0.13065343654148165 | [-4.35  2.1 ] | -0.01417424717899243
-0.13292502211730292 | [-4.35  2.09] | -0.013967636639729969
-0.13517999402632283 | [-4.35  2.08] | -0.013764643299668892
-0.13741858378518132 | [-4.34  2.07] | -0.01356518395656171
-0.13964101811544166 | [-4.34  2.06] | -0.01336917782723731
-0.14184751907503426 | [-4.34  2.05] | -0.013176546462218362
-0.14403830418522778 | [-4.33  2.04] | -0.012987213663911056
-0.14621358655330902 | [-4.33  2.03] | -0.012801105408139193
-0.14837357499114445 | [-4.33  2.02] | -0.01261814976891672
-0.15051847412978878 | [-4.33  2.01] | -0.012438276846272012
-0.15264848453029703 | [-4.32  2.  ] | -0.012261418697020972
-0.15476380279088953 | [-4.32  1.99] | -0.012087509268269096
-0.15686462165061435 | [-4.32  1.98] | -0.011916484333633973
-0.15895113008964254 | [-4.31  1.97] | -0.011748281431968157
-0.16102351342632637 | [-4.31  1.96] | -0.011582839808490824
-0.16308195341114634 | [-4.31  1.95] | -0.011420100358244445
-0.1651266283176649 | [-4.3   1.94] | -0.011260005571792669
-0.1671577130306004 | [-4.3   1.93] | -0.01110249948292065
-0.16917537913113107 | [-4.3   1.92] | -0.01094752761847611
-0.17117979497953187 | [-4.29  1.91] | -0.010795036950017795
-0.1731711257952441 | [-4.29  1.9 ] | -0.0106449758473931
-0.17514953373447242 | [-4.29  1.9 ] | -0.010497294034019885
-0.17711517796540144 | [-4.29  1.89] | -0.010351942543849897
-0.17906821474111798 | [-4.28  1.88] | -0.010208873679982893
-0.18100879747032234 | [-4.28  1.87] | -0.010068040974776048
-0.18293707678590937 | [-4.28  1.86] | -0.009929399151442619
-0.1848532006114952 | [-4.27  1.85] | -0.009792904087070326
-0.18675731422596342 | [-4.27  1.84] | -0.009658512776975955
-0.18864956032610034 | [-4.27  1.83] | -0.009526183300368186
-0.19053007908738828 | [-4.26  1.82] | -0.00939587478724913
-0.19239900822301997 | [-4.26  1.82] | -0.009267547386484769
-0.19425648304119647 | [-4.26  1.81] | -0.009141162235044333
-0.19610263650076934 | [-4.26  1.8 ] | -0.009016681428322428
-0.19793759926528237 | [-4.25  1.79] | -0.008894067991498823
-0.1997614997554691 | [-4.25  1.78] | -0.00877328585191156
-0.20157446420025857 | [-4.25  1.77] | -0.008654299812400786
-0.20337661668633888 | [-4.24  1.76] | -0.008537075525584832
-0.20516807920632893 | [-4.24  1.76] | -0.0084215794689904
-0.2069489717056031 | [-4.24  1.75] | -0.008307778921086698
-0.20871941212781547 | [-4.24  1.74] | -0.00819564193810425
-0.21047951645916577 | [-4.23  1.73] | -0.008085137331648926
-0.21222939877144845 | [-4.23  1.72] | -0.00797623464708367
-0.21396917126392526 | [-4.23  1.72] | -0.007868904142636066
-0.21569894430405942 | [-4.23  1.71] | -0.007763116769192607
-0.21741882646714902 | [-4.22  1.7 ] | -0.007658844150774271
-0.21912892457489366 | [-4.22  1.69] | -0.00755605856566793
-0.2208293437329301 | [-4.22  1.68] | -0.007454732928158443
-0.22252018736736884 | [-4.21  1.68] | -0.007354840770888579
-0.22420155726036384 | [-4.21  1.67] | -0.007256356227763796
-0.22587355358474615 | [-4.21  1.66] | -0.007159254017437706
-0.2275362749377499 | [-4.21  1.65] | -0.0070635094273169595
-0.2291898183738602 | [-4.2   1.65] | -0.006969098298068948
-0.23083427943680937 | [-4.2   1.64] | -0.006875997008676683
-0.23246975219074814 | [-4.2   1.63] | -0.006784182461893376
-0.23409632925061746 | [-4.2   1.62] | -0.006693632070213662
-0.23571410181174543 | [-4.19  1.62] | -0.006604323742274877
-0.23732315967869178 | [-4.19  1.61] | -0.006516235869671859
-0.2389235912933646 | [-4.19  1.6 ] | -0.0064293473141937355
-0.2405154837624301 | [-4.19  1.59] | -0.006343637395451654
-0.24209892288403628 | [-4.18  1.59] | -0.0062590858789032516
-0.2436739931738724 | [-4.18  1.58] | -0.006175672964218219
-0.24524077789058243 | [-4.18  1.57] | -0.0060933792740291825
-0.24679935906055256 | [-4.17  1.56] | -0.006012185843004211
-0.2483498175020908 | [-4.17  1.56] | -0.005932074107268386
-0.24989223284901685 | [-4.17  1.55] | -0.005853025894130251
-0.2514266835736788 | [-4.17  1.54] | -0.005775023412109972
-0.25295324700941385 | [-4.16  1.54] | -0.005698049241302798
-0.2544719993724689 | [-4.16  1.53] | -0.005622086323988661
-0.2559830157833959 | [-4.16  1.52] | -0.005547117955529727
-0.25748637028793864 | [-4.16  1.51] | -0.005473127775569566
-0.2589821358774233 | [-4.15  1.51] | -0.0054000997594256216
-0.2604703845086684 | [-4.15  1.5 ] | -0.0053280182098111705
-0.26195118712342724 | [-4.15  1.49] | -0.005256867748722676
-0.26342461366737574 | [-4.15  1.49] | -0.005186633309625856
-0.26489073310865835 | [-4.14  1.48] | -0.005117300129823864
-0.2663496134560049 | [-4.14  1.47] | -0.005048853743071327
-0.2678013217764288 | [-4.14  1.47] | -0.004981279972373168
-0.26924592421252047 | [-4.14  1.46] | -0.004914564923029166
-0.27068348599934466 | [-4.13  1.45] | -0.004848694975807873
-0.2721140714809548 | [-4.13  1.45] | -0.004783656780401992
-0.2735377441265317 | [-4.13  1.44] | -0.004719437248993824
-0.2749545665461606 | [-4.13  1.43] | -0.004656023550038271
-0.2763646005062527 | [-4.13  1.43] | -0.004593403102200051
-0.2777679069446232 | [-4.12  1.42] | -0.004531563568469758
-0.2791645459852339 | [-4.12  1.41] | -0.004470492850458972
-0.2805545769526092 | [-4.12  1.41] | -0.0044101790827936055
-0.2819380583859353 | [-4.12  1.4 ] | -0.004350610627744531
-0.28331504805284846 | [-4.11  1.39] | -0.004291776069931486
-0.28468560296292394 | [-4.11  1.39] | -0.004233664211225255
-0.28604977938086984 | [-4.11  1.38] | -0.004176264065725907
-0.28740763283943654 | [-4.11  1.38] | -0.004119564854947518
-0.2887592181520472 | [-4.1   1.37] | -0.004063556003087303
-0.2901045894251567 | [-4.1   1.36] | -0.004008227132415032
-0.2914438000703472 | [-4.1   1.36] | -0.003953568058832927
-0.29277690281616575 | [-4.1   1.35] | -0.00389956878749474
-0.29410394971971093 | [-4.09  1.34] | -0.003846219508572981
-0.29542499217797535 | [-4.09  1.34] | -0.0037935105931519615
-0.29674008093894905 | [-4.09  1.33] | -0.0037414325891689535
-0.29804926611249083 | [-4.09  1.33] | -0.0036899762175422613
-0.29935259718097323 | [-4.09  1.32] | -0.0036391323683334672
-0.30065012300970645 | [-4.08  1.31] | -0.003588892097029892
-0.30194189185714637 | [-4.08  1.31] | -0.0035392466209500364
-0.303227951384893 | [-4.08  1.3 ] | -0.003490187315685872
-0.3045083486674833 | [-4.08  1.3 ] | -0.0034417057117042994
-0.3057831302019848 | [-4.07  1.29] | -0.0033937934909658903
-0.30705234191739356 | [-4.07  1.28] | -0.0033464424836748643
-0.3083160291838417 | [-4.07  1.28] | -0.0032996446651077597
-0.30957423682162016 | [-4.07  1.27] | -0.0032533921524923945
-0.3108270091100184 | [-4.07  1.27] | -0.0032076772020100354
-0.3120743897959891 | [-4.06  1.26] | -0.00316249220580928
-0.31331642210263916 | [-4.06  1.26] | -0.003117829689192579
-0.31455314873755225 | [-4.06  1.25] | -0.0030736823077452576
-0.3157846119009469 | [-4.06  1.24] | -0.003030042844648348
-0.31701085329367384 | [-4.05  1.24] | -0.0029869042080031857
-0.31823191412505664 | [-4.05  1.23] | -0.0029442594282066544
-0.3194478351205787 | [-4.05  1.23] | -0.0029021016554489102
-0.32065865652942116 | [-4.05  1.22] | -0.002860424157212056
-0.32186441813185396 | [-4.05  1.22] | -0.0028192203158690964
-0.32306515924648505 | [-4.04  1.21] | -0.0027784836263057182
-0.3242609187373694 | [-4.04  1.2 ] | -0.0027382076936564538
-0.3254517350209817 | [-4.04  1.2 ] | -0.0026983862310163676
-0.32663764607305645 | [-4.04  1.19] | -0.0026590130572754765
-0.32781868943529757 | [-4.04  1.19] | -0.002620082094973073
-0.3289949022219609 | [-4.03  1.18] | -0.0025815873682107885
-0.33016632112631256 | [-4.03  1.18] | -0.0025435230005996633
-0.3313329824269659 | [-4.03  1.17] | -0.0025058832132906937
-0.3324949219940993 | [-4.03  1.17] | -0.0024686623230060867
-0.3336521752955581 | [-4.03  1.16] | -0.0024318547401597033
-0.33480477740284337 | [-4.02  1.16] | -0.0023954549669919223
-0.3359527629969896 | [-4.02  1.15] | -0.002359457595751944
-0.33709616637433354 | [-4.02  1.14] | -0.0023238573069390674
-0.33823502145217677 | [-4.02  1.14] | -0.0022886488675719755
-0.33936936177434535 | [-4.02  1.13] | -0.002253827129480764
-0.3404992205166475 | [-4.01  1.13] | -0.002219387027682566
-0.3416246304922321 | [-4.01  1.12] | -0.0021853235787548143
-0.3427456241568492 | [-4.01  1.12] | -0.002151631879247798
-0.34386223361401685 | [-4.01  1.11] | -0.0021183071041697386
-0.344974490620094 | [-4.01  1.11] | -0.002085344505447374
-0.3460824265892633 | [-4.   1.1] | -0.002052739410486595
-0.34718607259842377 | [-4.   1.1] | -0.002020487220708707
-0.3482854593919971 | [-4.    1.09] | -0.001988583410150753
-0.34938061738664883 | [-4.    1.09] | -0.001957023524105094
-0.3504715766759253 | [-4.    1.08] | -0.0019258031777315593
-0.35155836703480947 | [-3.99  1.08] | -0.0018949180547920557
-0.3526410179241968 | [-3.99  1.07] | -0.00186436390633838
-0.35371955849529274 | [-3.99  1.07] | -0.001834136549455696
-0.3547940175939334 | [-3.99  1.06] | -0.0018042318660231827
-0.35586442376483096 | [-3.99  1.06] | -0.001774645801524855
-0.35693080525574655 | [-3.98  1.05] | -0.0017453743638745599
-0.3579931900215898 | [-3.98  1.05] | -0.0017164136222467818
-0.35905160572844896 | [-3.98  1.04] | -0.0016877597059634067
-0.3601060797575517 | [-3.98  1.04] | -0.0016594088033722854
-0.36115663920915825 | [-3.98  1.03] | -0.0016313571607899403
-0.3622033109063876 | [-3.97  1.03] | -0.0016036010814501152
-0.3632461213989797 | [-3.97  1.02] | -0.001576136924424968
-0.36428509696699446 | [-3.97  1.02] | -0.0015489611036628398
-0.36532026362444686 | [-3.97  1.01] | -0.0015220700869904129
-0.36635164712288243 | [-3.97  1.01] | -0.0014954603950955664
-0.3673792729548922 | [-3.96  1.  ] | -0.0014691286006577248
-0.36840316635756926 | [-3.96  1.  ] | -0.0014430028235729142
-0.36942325053420416 | [-3.96  0.99] | -0.0014166645056090277
-0.37043880215537645 | [-3.96  0.99] | -0.0013908147524347187
-0.37145024716271297 | [-3.96  0.99] | -0.0013655494516529314
-0.3724579510935159 | [-3.96  0.98] | -0.0013406250740584675
-0.3734620214655921 | [-3.95  0.98] | -0.0013159772646265794
-0.3744624993440941 | [-3.95  0.97] | -0.0012915887091589364
-0.3754594117162181 | [-3.95  0.97] | -0.0012674530309886693
-0.3764527826058033 | [-3.95  0.96] | -0.0012435664681919815
-0.3774426352786517 | [-3.95  0.96] | -0.0012199258976022939
-0.37842899267306573 | [-3.94  0.95] | -0.0011965283700110358
-0.37941187748548233 | [-3.94  0.95] | -0.0011733710056125916
-0.38039131218938943 | [-3.94  0.94] | -0.0011504509713603018
-0.38136731904126836 | [-3.94  0.94] | -0.001127765475898418
-0.38233992008397044 | [-3.94  0.93] | -0.001105311768014073
-0.38330913714955633 | [-3.94  0.93] | -0.001083087135811939
-0.3842749918619947 | [-3.93  0.93] | -0.0010610889060045222
-0.3852375056397996 | [-3.93  0.92] | -0.0010393144432417226
-0.38619669969862264 | [-3.93  0.92] | -0.0010177611494862793
-0.3871525950538041 | [-3.93  0.91] | -0.000996426463356168
-0.3881052125228831 | [-3.93  0.91] | -0.0009753078595393626
-0.3890545727280691 | [-3.93  0.9 ] | -0.0009544028481699976
-0.39000069609867494 | [-3.92  0.9 ] | -0.0009337089742157498
-0.39094360287351193 | [-3.92  0.89] | -0.0009132238169208846
-0.3918833131032483 | [-3.92  0.89] | -0.0008929449892384064
-0.3928198466527306 | [-3.92  0.89] | -0.0008728701372289194
-0.3937532232032701 | [-3.92  0.88] | -0.0008529969395735853
-0.39468346225489354 | [-3.91  0.88] | -0.0008333231069706586
-0.3956105831285604 | [-3.91  0.87] | -0.0008138463816569038
-0.3965346049683455 | [-3.91  0.87] | -0.0007945645368682532
-0.3974555467435889 | [-3.91  0.86] | -0.0007754753763199469
-0.3983734272510129 | [-3.91  0.86] | -0.0007565767337395725
-0.3992882651168075 | [-3.91  0.86] | -0.0007378664723503184
-0.4002000787986845 | [-3.9   0.85] | -0.0007193424843959194
-0.4011088865879004 | [-3.9   0.85] | -0.0007010026906934836
-0.4020147066112489 | [-3.9   0.84] | -0.0006828449028658623
-0.4029175571907396 | [-3.9   0.84] | -0.0006648636683997242
-0.40381746510596767 | [-3.9   0.83] | -0.0006470561223682317
-0.40471446110620074 | [-3.9   0.83] | -0.0006294224211660963
-0.4056085660368479 | [-3.89  0.83] | -0.000611961391599291
-0.40649979633080735 | [-3.89  0.82] | -0.0005946713703730044
-0.4073881674370927 | [-3.89  0.82] | -0.0005775505956927929
-0.40827369466523383 | [-3.89  0.81] | -0.0005605973130059613
-0.40915639333240406 | [-3.89  0.81] | -0.0005438097846339415
-0.41003627876801363 | [-3.89  0.81] | -0.0005271862874465681
-0.41091336629645187 | [-3.89  0.8 ] | -0.0005107251122485005
-0.41178767121979176 | [-3.88  0.8 ] | -0.0004944245643269667
-0.41265920880329826 | [-3.88  0.79] | -0.00047828296428478376
-0.4135279942635554 | [-3.88  0.79] | -0.00046229864871289166
-0.4143940427587308 | [-3.88  0.79] | -0.00044646997075318304
-0.41525736938056873 | [-3.88  0.78] | -0.00043079530051239826
-0.4161179891477861 | [-3.88  0.78] | -0.000415273025351633
-0.4169759170006212 | [-3.87  0.77] | -0.000399901550083613
-0.4178311677963324 | [-3.87  0.77] | -0.00038467929711459244
-0.41868375630548543 | [-3.87  0.77] | -0.0003696047065245042
-0.4195336972088999 | [-3.87  0.76] | -0.0003546762360664862
-0.42038100509514975 | [-3.87  0.76] | -0.0003398923611451978
-0.42122569445853003 | [-3.87  0.75] | -0.0003252515747975643
-0.4220677796974195 | [-3.86  0.75] | -0.00031075238759248206
-0.42290727511297876 | [-3.86  0.75] | -0.00029639332752419054
-0.423744194908137 | [-3.86  0.74] | -0.0002821729399204991
-0.424578553186823 | [-3.86  0.74] | -0.00026808978727041466
-0.4254103639534092 | [-3.86  0.73] | -0.0002541424490999833
-0.4262396411123349 | [-3.86  0.73] | -0.00024032952183661196
-0.42706639846788874 | [-3.86  0.73] | -0.0002266496185902452
-0.4278906497241254 | [-3.85  0.72] | -0.0002131013690467821
-0.42871240848489983 | [-3.85  0.72] | -0.00019968341922703414
-0.42953168825400384 | [-3.85  0.71] | -0.000186394431361729
-0.4303485024353906 | [-3.85  0.71] | -0.0001732330836721216
-0.43116286433347556 | [-3.85  0.71] | -0.00016019807019491505
-0.43197478715350474 | [-3.85  0.7 ] | -0.00014728810060275635
-0.4327842840019804 | [-3.84  0.7 ] | -0.000134501900002863
-0.4335913678871376 | [-3.84  0.7 ] | -0.00012183820875364608
-0.43439605171946377 | [-3.84  0.69] | -0.00010929578227419781
-0.4351983483122563 | [-3.84  0.69] | -9.687339084988515e-05
-0.43599827038221334 | [-3.84  0.68] | -8.456981945593827e-05
-0.4367958305500522 | [-3.84  0.68] | -7.238386756075379e-05
-0.43759104134115245 | [-3.84  0.68] | -6.031434893396083e-05
-0.43838391518621983 | [-3.83  0.67] | -4.836009147555424e-05
-0.43917446442196767 | [-3.83  0.67] | -3.651993702529096e-05
-0.43996270129181314 | [-3.83  0.67] | -2.4792741159994315e-05
-0.44074863794658725 | [-3.83  0.66] | -1.3177373060032586e-05
-0.4415322864452538 | [-3.83  0.66] | -1.6727152666561051e-06
-0.44231365875563766 | [-3.83  0.65] | 9.722336430250614e-06
-0.44309276675516035 | [-3.83  0.65] | 2.100887321897899e-05
-0.44386962223158 | [-3.82  0.65] | 3.2187973412366264e-05
-0.4446442368837361 | [-3.82  0.64] | 4.326070261973327e-05
-0.4454166223222968 | [-3.82  0.64] | 5.422811393274575e-05
-0.4461867900705081 | [-3.82  0.64] | 6.50912480839698e-05
-0.44695475156494396 | [-3.82  0.63] | 7.585113359163389e-05
-0.44772051815625585 | [-3.82  0.63] | 8.650878697132351e-05
-0.4484841011099224 | [-3.82  0.63] | 9.706521283950808e-05
-0.4492455116069971 | [-3.81  0.62] | 0.00010752140411168895
-0.4500047607448538 | [-3.81  0.62] | 0.0001178783421506872
-0.45076185953793046 | [-3.81  0.62] | 0.00012813699691506964
-0.4515168189184686 | [-3.81  0.61] | 0.00013829832711325036
-0.4522696497372505 | [-3.81  0.61] | 0.00014836328034941305
-0.45302036276433166 | [-3.81  0.6 ] | 0.00015833279329155047
-0.45376896868977007 | [-3.81  0.6 ] | 0.0001682077917871253
-0.45451547812434984 | [-3.8  0.6] | 0.0001779891910313248
-0.4552599016003008 | [-3.8   0.59] | 0.00018767789570501062
-0.45600224957201296 | [-3.8   0.59] | 0.00019727480009585816
-0.4567425324167464 | [-3.8   0.59] | 0.00020678078825862
-0.45748076043533437 | [-3.8   0.58] | 0.00021619673415593623
-0.4582169438528825 | [-3.8   0.58] | 0.0002255235017602508
-0.45895109281946117 | [-3.8   0.58] | 0.00023476194520302197
-0.45968321741079315 | [-3.79  0.57] | 0.00024391290892673205
-0.46041332762893433 | [-3.79  0.57] | 0.00025297722777309047
-0.46114143340294933 | [-3.79  0.57] | 0.00026195572714056664
-0.46186754458958096 | [-3.79  0.56] | 0.00027084922308928477
-0.4625916709739134 | [-3.79  0.56] | 0.0002796585224820389
-0.46331382227002915 | [-3.79  0.56] | 0.0002883844230808497
-0.4640340081216601 | [-3.79  0.55] | 0.0002970277136851362
-0.46475223810283284 | [-3.78  0.55] | 0.0003055891742505198
-0.4654685217185066 | [-3.78  0.55] | 0.0003140695759882219
-0.46618286840520656 | [-3.78  0.54] | 0.0003224696814894104
-0.46689528753164944 | [-3.78  0.54] | 0.00033079024483005713
-0.4676057883993636 | [-3.78  0.54] | 0.000339032011698163
-0.46831438024330346 | [-3.78  0.53] | 0.0003471957194763494
