-1.5, -1.9, 4.4, -0.4, -1.0, -6.2, 4.1, 0.5, 1.8, -3.5, 1.0, 0.5, -3.8, -3.4, -3.0, 3.6, 3.5, 0.6
parameter ends

state | action | reward
[0.06] | [3.2  0.72] | 0.05029993119520965
0.04184115362061283 | [-1.3  -5.91] | 0.05395498138423633
0.020799469720243578 | [ 4.45 -2.89] | 0.04284049883499536
-0.016555279712397356 | [  3.42 -32.01] | -0.10870194296481814
-0.10277979112625653 | [  3.28 -45.72] | -0.2710131974046394
-0.2078430257527212 | [  3.88 -47.65] | -0.34216556320176444
-0.3147123454959688 | [  4.77 -45.06] | -0.3716611649428378
-0.41752080125768665 | [  5.68 -41.17] | -0.4029478069451523
-0.513802188288274 | [  6.5  -36.84] | -0.4603668072566278
-0.601256788656577 | [  7.19 -32.25] | -0.5544077220519755
-0.6775456554441346 | [  7.75 -27.49] | -0.6050269048618527
-0.7433392222424411 | [  4.54 -15.44] | -0.052386310881782354
-0.7680397889400706 | [13.39 15.91] | -0.2568748862082397
-0.7440230351299778 | [11.98 17.47] | 0.0969866327337678
-0.7390134259589612 | [10.47 17.67] | 0.41130608258025037
-0.749332639373077 | [ 9.61 18.43] | 0.6900138282107435
-0.7722221142851465 | [ 8.93 19.26] | 0.9455012969004869
-0.8067518984074247 | [ 8.22 20.02] | 1.17245271371769
-0.852102641540291 | [ 7.43 20.7 ] | 1.3600901401143526
-0.9070461378515894 | [ 6.58 21.23] | 1.4973754339500893
-0.9698955016071165 | [ 5.74 21.54] | 1.5765486745227741
-1.0385994616797356 | [ 4.98 21.52] | 1.597560053486732
-1.1109179718026432 | [ 4.35 21.15] | 1.5704364712198695
-1.1847332934845098 | [ 3.87 20.48] | 1.5110698211219078
-1.2583965922782745 | [ 3.51 19.61] | 1.4335038677265919
-1.3308565452426449 | [ 3.23 18.64] | 1.3475813849813527
-1.401577759080617 | [ 3.   17.61] | 1.2593013875642434
-1.4703996514879243 | [ 2.81 16.54] | 1.1714056251298448
-1.5373929462719216 | [ 2.67 15.43] | 1.0840722120689914
-1.6027251198569104 | [ 2.58 14.28] | 0.9959072756462505
-1.6665534429343118 | [ 2.52 13.1 ] | 0.9050220465405188
-1.7289600828952876 | [ 2.49 11.89] | 0.8098438433361673
-1.789927511808348 | [ 2.47 10.69] | 0.7095257579737382
-1.8493421195746316 | [2.44 9.5 ] | 0.6040235499445935
-1.9070131137125568 | [2.39 8.34] | 0.4939913026704242
-1.9626978817892167 | [2.31 7.24] | 0.380656090924644
-2.016130236060819 | [2.19 6.2 ] | 0.3954753307064336
-2.056227563406354 | [13.51 -6.64] | 0.3928950464659333
-2.0792912619325676 | [15.69 -8.71] | 0.3698158499924646
-2.0952823513434002 | [ 17.41 -10.39] | 0.34322790449657825
