-0.3, 4.5, 3.6, 1.3, -0.9, 0.7, -1.8, -1.4, -3.5, -0.9, -2.6, 0.9, -0.3, -0.7, 3.0, 3.3, -0.6, 4.7
parameter ends

state | action | reward
[-0.09] | [-0.43  3.96] | 0.02055730203333266
-0.07487509302852821 | [ 9.78 16.83] | -0.05074990332244032
-0.05765702248393794 | [ 9.13 15.08] | -0.02706093344832087
-0.07569078461685191 | [ 8.13 12.84] | 0.017470420158963173
-0.12277674425402754 | [ 7.01 10.54] | 0.09962454887552356
-0.19040571585173968 | [6.   8.52] | 0.20954328869950234
-0.27088065729036637 | [5.22 6.87] | 0.3300683889995078
-0.3586277512143399 | [4.67 5.56] | 0.4477006945636387
-0.45001936101367146 | [4.35 4.52] | 0.5543361198141642
-0.5427688951842341 | [4.2  3.69] | 0.6458324190488804
-0.6354146443345633 | [4.2  3.03] | 0.7207519307619612
-0.7270002176903477 | [4.29 2.49] | 0.7791219762563679
-0.8168764560929527 | [4.46 2.04] | 0.8217124101115411
-0.9045851665828976 | [4.67 1.66] | 0.8497135377612672
-0.9897956121258225 | [4.92 1.34] | 0.8646086009996843
-1.0722724575992533 | [5.18 1.06] | 0.8681155151596999
-1.1518612438313214 | [5.46 0.82] | 0.8908950090360036
-1.229563598280113 | [ 5.15 -0.16] | 1.0792482325900088
-1.3115873996718015 | [ 1.76 -5.17] | 1.4602168067128265
-1.4044922358698406 | [ -3.25 -12.46] | 1.3444414672668414
-1.4821230565589252 | [ -3.7  -10.98] | 0.8835064985554811
-1.528339031272428 | [ -4.74 -10.61] | 0.5171298826259019
-1.5503522774682161 | [ -6.03 -10.53] | 0.16630510621359665
-1.5501297375614855 | [ -7.31 -10.33] | -0.18872321149160198
-1.5288981989370574 | [-8.35 -9.96] | -0.527509694588958
-1.489409550097947 | [-9.03 -9.52] | -0.8350022152367482
-1.435089884001087 | [-9.33 -9.01] | -1.1089795543607968
-1.3688626295383204 | [-9.27 -8.38] | -1.3481328473250846
-1.2928734877055592 | [-8.86 -7.6 ] | -1.546764460627694
-1.2087150257939934 | [-8.15 -6.64] | -1.6959435940283418
-1.1177199397545516 | [-7.2  -5.54] | -1.7876610619936133
-1.0211227899687205 | [-6.11 -4.33] | -1.8182819341908978
-0.92007976172064 | [-4.97 -3.09] | -1.7893622468610617
-0.8156225870298951 | [-3.86 -1.84] | -1.7064584966645353
-0.7086107975720674 | [-2.83 -0.63] | -1.5371027342941448
-0.6005516099191733 | [-0.56  2.02] | -1.1277907588049363
-0.4999901041526169 | [6.15 9.29] | -0.6177188313095145
-0.42837424782597106 | [ 8.36 10.26] | -0.2611686850513504
-0.3949781546625251 | [10.2 11.2] | -0.02587312534348628
-0.39326186163852495 | [11.73 11.83] | 0.15528692023939825
-0.41837886910698224 | [12.89 12.08] | 0.3017976326370789
-0.46339722080409645 | [13.65 12.07] | 0.41893914538210153
-0.5210366374539295 | [14.05 11.85] | 0.5133830070859079
-0.5858623496630574 | [14.15 11.43] | 0.5944094049803476
-0.6546069566923769 | [14.05 10.86] | 0.6688561916316117
-0.7255068632196147 | [13.87 10.23] | 0.7391401533973785
-0.7976077698164988 | [13.69  9.61] | 0.8046636385889903
-0.8703379772483064 | [13.54  9.01] | 0.8632583640589626
-0.9432888554721082 | [13.44  8.47] | 0.9124309777942642
-1.0161220084174605 | [13.4   7.98] | 0.9501590897790998
-1.088540279983128 | [13.41  7.54] | 0.9752469354055366
-1.1602848439794364 | [13.45  7.14] | 0.9873708208589103
-1.2311397517328437 | [13.52  6.77] | 0.9869676423631095
-1.300936547595037 | [13.6   6.42] | 0.975072334028952
-1.3695570842810278 | [13.7  6.1] | 0.953153421610914
-1.4369350039366853 | [13.8  5.8] | 0.9229682520776562
-1.5030566987520964 | [13.91  5.5 ] | 0.8864417422643065
-1.5679624591475851 | [14.04  5.22] | 0.8455678098989323
-1.6317484019697202 | [14.18  4.96] | 0.802332626995197
-1.6945697799290482 | [14.35  4.71] | 0.790399545883132
-1.7575591303120814 | [10.33 -0.58] | 1.1564670089853237
-1.8267618300442674 | [ 5.15 -2.42] | 0.2420119185141365
-1.8333461067200518 | [ 2.78 -1.97] | 0.22628014542336103
-1.8337773664904802 | [ 0.33 -4.47] | 0.26570007945968455
-1.8319135392363421 | [-1.64 -6.05] | 0.1389761171447977
-1.8191003885451211 | [-2.95 -5.73] | -0.07369720748345879
-1.7917562603865762 | [-3.88 -5.38] | -0.24363463341135627
-1.7538464128093776 | [-4.49 -5.08] | -0.37539373458271735
-1.7087279189255147 | [-4.88 -4.86] | -0.4794298164821484
-1.6587420715310381 | [-5.15 -4.73] | -0.5665780897185535
-1.6052931354017417 | [-5.37 -4.67] | -0.6460499125312724
-1.5490656302231964 | [-5.58 -4.68] | -0.7253674327328271
-1.490215591061396 | [-5.78 -4.73] | -0.810281516141805
-1.4285211178655504 | [-5.99 -4.79] | -0.90422902224484
-1.3635128228831923 | [-6.16 -4.79] | -1.007797329653812
