-3.2, 5.3, -1.3, -2.7, 0.4, 1.8, 2.3, 0.0, 1.6, 3.3, 2.1, 0.9, 4.5, 0.9, 1.5, -2.5, 1.3, 4.5
parameter ends

state | action | reward
[0.09] | [0.73 5.28] | 0.07495935864153455
0.08412873061689227 | [2.98 2.99] | 0.05396410369731004
0.0506400871509608 | [6.72 3.25] | 0.051116313248141663
-0.0068334400259730515 | [9.59 3.41] | 0.09241186569767058
-0.08015964959669504 | [11.6   3.41] | 0.1672255779738952
-0.16280975649544274 | [12.97  3.25] | 0.259631272148879
-0.2504347667670654 | [13.9   2.93] | 0.35707493700055776
-0.3403630386311459 | [14.52  2.48] | 0.45151110608177597
-0.4309750903598235 | [14.92  1.93] | 0.538210501509502
-0.5212606724828056 | [15.18  1.32] | 0.614546989273795
-0.6105571620629103 | [15.32  0.66] | 0.7276264540597944
-0.7010856637850809 | [16.27  1.72] | 0.8110836647683026
-0.7911790236566894 | [15.97  0.28] | 0.9435299977654399
-0.8830720457305072 | [17.4   2.44] | 1.0246644015566115
-0.9745192965153797 | [16.61  0.08] | 1.1287915407544236
-1.0663152743702649 | [17.85  2.17] | 1.181334285421468
-1.1567989694965544 | [16.78 -0.74] | 1.3421114413225392
-1.2501128191731263 | [18.84  3.98] | 1.4208539551285349
-1.3435993213079231 | [17.33 -0.03] | 1.4012919555769596
-1.4332564828455217 | [17.53  0.78] | 1.3939094992793266
-1.5203384458435436 | [16.51 -2.18] | 0.6641177028806007
-1.5618571736693123 | [ 5.03 -6.72] | -0.2782542117374483
-1.543044983528208 | [ 3.67 -4.02] | -0.31145796651480095
-1.518193321202543 | [ 3.12 -0.98] | -0.38724067966767983
-1.486559690817165 | [2.22 1.3 ] | -0.3853476776641727
-1.4579043317069436 | [ 3.28 -2.47] | -0.37034998629449223
-1.4318223705151585 | [2.18 0.34] | -0.4257399198127799
-1.4032245558014294 | [ 2.51 -1.46] | -0.4790807607590789
-1.3723404728260626 | [1.22 1.27] | -0.4726987308797752
-1.3438267895961882 | [ 2.59 -2.92] | -0.45512797626586293
