-5.7, -1.0, 1.3, 0.1, 0.6, 1.3, -3.6, 5.5, -1.2, -5.3, -0.3, -3.4, 5.9, 1.1, -2.5, -2.9, 1.6, -3.0
parameter ends

state | action | reward
[-0.04] | [ 1.31 -1.65] | 0.17319604251483997
-0.07695428659183594 | [28.36  9.36] | 0.18065432042957724
-0.15068135001684307 | [24.03  5.04] | 0.3180028000089506
-0.2354400107772498 | [20.13  2.16] | 0.4910370956041466
-0.3267510273461678 | [16.24  0.07] | 0.6841554346539463
-0.4268279595112556 | [22.73  4.24] | 0.8230701720207227
-0.5301428325015008 | [17.3   2.13] | 0.9793653151958017
-0.630398865996765 | [13.48  1.07] | 1.0992087788210632
-0.7279058263197637 | [10.86  0.72] | 1.196967515931625
-0.8238247215072688 | [11.7   2.43] | 1.2665181640986334
-0.9179502321079172 | [9.67 2.22] | 1.3074755175937869
-1.008998242872444 | [8.42 2.39] | 1.3265500829316772
-1.0971093181225586 | [7.73 2.78] | 1.3293141943715665
-1.1824908155791247 | [7.43 3.31] | 1.3190476143176366
-1.2653531868219963 | [7.41 3.89] | 1.2974482747480767
-1.3458808804922942 | [7.59 4.48] | 1.2653893526067461
-1.4242249814587555 | [7.91 5.06] | 1.2234574527207163
-1.5005071058541037 | [8.34 5.6 ] | 1.1722704717096093
-1.5748283761168946 | [8.87 6.1 ] | 1.1126414439472414
-1.64728041803556 | [9.48 6.54] | 1.0456392315071492
-1.7179562892814455 | [10.16  6.92] | 0.9725720224309866
-1.7869606260014068 | [10.91  7.26] | 0.8949266341084364
-1.8544193988266835 | [11.74  7.56] | 0.8142843598531726
-1.920489560282196 | [12.62  7.83] | 0.7322274356688565
-1.9853690732846785 | [13.58  8.08] | 0.5196462132626786
-2.0418071411139547 | [10.26  2.04] | 0.27448667184236814
-2.069565128036305 | [16.53  6.97] | 0.28645526264022575
-2.0853101951274895 | [16.47  6.46] | 0.2654193631225231
-2.102630561310172 | [16.38  6.09] | 0.2490484348569762
-2.120525666865429 | [16.48  5.86] | 0.23148479282300377
-2.1379420725030456 | [16.61  5.68] | 0.21485664339329882
-2.1546724672799824 | [16.74  5.52] | 0.19972489945203367
-2.170744085001113 | [16.87  5.37] | 0.1859239976010465
-2.186209059394247 | [17.    5.24] | 0.17325524164989733
-2.201112752346799 | [17.11  5.11] | 0.16157689536697836
-2.2154942264405513 | [17.22  5.  ] | 0.1507809377320535
-2.229388204239944 | [17.33  4.89] | 0.14077721464128687
-2.2428259986089936 | [17.43  4.79] | 0.13148762409312958
-2.2558360063378275 | [17.53  4.69] | 0.12284372875300115
-2.2684440656041613 | [17.62  4.6 ] | 0.1147852754290346
-2.280673753694478 | [17.71  4.52] | 0.10725902824667857
-2.292546642600083 | [17.8   4.44] | 0.1002177955920867
-2.304082519723867 | [17.88  4.37] | 0.09361961168317148
-2.3152995791169237 | [17.96  4.3 ] | 0.087427045878731
-2.326214587792131 | [18.03  4.24] | 0.0816066175345155
-2.3368430309029438 | [18.11  4.17] | 0.07612829823332504
-2.3471992389287433 | [18.18  4.12] | 0.07096508663569306
-2.357296499477539 | [18.25  4.06] | 0.06609264396051329
-2.3671471558853656 | [18.32  4.01] | 0.061488980306770746
-2.3767626944398152 | [18.38  3.96] | 0.05713418378657504
-2.386153821766766 | [18.44  3.91] | 0.05301018585131169
-2.3953305336818165 | [18.5   3.87] | 0.049100557331806266
-2.404302176611413 | [18.56  3.83] | 0.04539033063703443
-2.4130775025252964 | [18.62  3.79] | 0.04186584430901271
-2.4216647181855886 | [18.68  3.75] | 0.03851460674676174
-2.4300715294036017 | [18.73  3.71] | 0.03532517641911731
-2.4383051808993756 | [18.79  3.68] | 0.03228705630375666
-2.446372492277842 | [18.84  3.64] | 0.02939060063585293
-2.4542798905667857 | [18.89  3.61] | 0.026626932337935248
-2.4620334397033714 | [18.94  3.58] | 0.02398786974280489
-2.469638867306173 | [18.99  3.55] | 0.02146586142240519
-2.4771015890270456 | [19.03  3.52] | 0.019053928105015758
-2.484426730740591 | [19.08  3.5 ] | 0.016745610805609656
-2.4916191487975246 | [19.13  3.47] | 0.01453492441474806
-2.4986834485410845 | [19.17  3.45] | 0.012416316093796169
-2.5056240012621442 | [19.21  3.42] | 0.010384627911246266
-2.5124449597482976 | [19.26  3.4 ] | 0.008435063229100932
-2.519150272564489 | [19.3   3.38] | 0.006563156411869192
-2.5257436971872838 | [19.34  3.36] | 0.004764745484984283
-2.532228812101418 | [19.38  3.34] | 0.0030359474164188063
-2.538609027955406 | [19.42  3.32] | 0.001373135735595138
-2.5448875978626497 | [19.46  3.3 ] | -0.0002270797616528153
-2.5510676269253536 | [19.49  3.28] | -0.001767871442956405
