-5.5, 1.1, 5.8, -1.5, -0.0, -1.7, -1.5, -6.5, -4.4, -3.0, -1.4, -1.8, -0.8, -2.4, -0.8, -1.4, -0.4, 4.8
parameter ends

state | action | reward
[-0.06] | [-0.06  4.48] | 0.060809920064434336
-0.048164851880590116 | [1.18 6.09] | 0.03482137947678704
-0.048243383932450236 | [-2.26  2.28] | -0.07569548739967652
-0.03179104498084034 | [2.79 9.46] | -0.21895566254727025
-0.008703404154034962 | [-1.72  5.23] | -0.3606213489988337
0.020190744872465805 | [ 2.06 11.51] | -0.49409983484632425
0.04739478540114543 | [-2.76  6.92] | -0.6051578871616754
0.07445340494121422 | [ 0.23 12.2 ] | -0.7471849507756402
0.11124056018191034 | [-2.15 10.88] | -0.8525569347469516
0.15410810073069997 | [-0.76 14.45] | -0.9624264883835756
0.21308844446730218 | [-1.49 15.7 ] | -0.9752494497714287
0.2798519712194342 | [-1.42 15.8 ] | -0.1065124676538948
0.36690456785396536 | [-1.56 14.86] | 0.11044686732247644
0.45892130135161957 | [-3.41 14.49] | 0.16512141441012781
0.5497322437720416 | [-5.33 14.01] | 0.19185119269111112
0.6314569958382067 | [-10.85  10.43] | -0.4379338761001664
0.6074834035903511 | [-14.15   7.37] | -0.44522074779803256
0.5783420272684856 | [-13.43   7.51] | -0.3719078367911888
0.5579292905370129 | [-13.11   7.52] | -0.3386550799190035
0.5406786005250309 | [-13.01   7.39] | -0.3187197135458676
0.5246637354623277 | [-12.95   7.25] | -0.3025726811402728
0.5094403522822709 | [-12.91   7.11] | -0.2881562642146201
0.49488852026932006 | [-12.86   6.98] | -0.2750150607004424
0.48094635574139954 | [-12.82   6.87] | -0.262966106441886
0.46756462442804436 | [-12.77   6.76] | -0.2518785264776713
0.45470015749722953 | [-12.73   6.66] | -0.2416428817335251
0.4423145763902249 | [-12.68   6.57] | -0.2321656337811464
0.4303736173839076 | [-12.64   6.49] | -0.22336638953208007
0.4188465730320684 | [-12.59   6.41] | -0.2151757076140864
0.4077058180623325 | [-12.55   6.33] | -0.20753330220062188
0.39692640980687416 | [-12.51   6.26] | -0.2003865821354441
0.3864857510905737 | [-12.46   6.2 ] | -0.19368946027835005
0.376363304507623 | [-12.42   6.13] | -0.1874013774914343
0.3665403489944442 | [-12.38   6.08] | -0.1814864975121402
0.3569997713938245 | [-12.34   6.02] | -0.1759130387521221
0.3477258871337427 | [-12.3    5.97] | -0.17065271656061243
0.33870428526586505 | [-12.26   5.92] | -0.1656802751866246
0.3299216939920236 | [-12.22   5.87] | -0.1609730930258181
0.3213658635073608 | [-12.18   5.83] | -0.15651084808792204
0.31302546354786154 | [-12.15   5.79] | -0.15227523321966127
0.30488999347903406 | [-12.11   5.75] | -0.14824971264889691
0.29694970312533714 | [-12.07   5.71] | -0.14441931301291988
0.28919552283478944 | [-12.04   5.67] | -0.14077044329841945
0.28161900151405783 | [-12.     5.64] | -0.1372907391276318
0.2742122515670807 | [-11.97   5.6 ] | -0.1339689276318053
0.2669678998334414 | [-11.93   5.57] | -0.130794709802666
0.25987904375793236 | [-11.9    5.54] | -0.12775865773841893
0.25293921213531717 | [-11.87   5.51] | -0.12485212462861982
0.2461423298683902 | [-11.83   5.48] | -0.12206716567177725
0.23948268625639932 | [-11.8    5.45] | -0.1193964684067425
0.23295490639742086 | [-11.77   5.43] | -0.11683329117548678
0.22655392534451654 | [-11.74   5.4 ] | -0.11437140863087901
0.2202749647032271 | [-11.71   5.38] | -0.1120050633659575
0.214113511398574 | [-11.68   5.35] | -0.10972892287704615
0.20806529837443885 | [-11.65   5.33] | -0.10753804118689067
0.20212628701790475 | [-11.62   5.31] | -0.10542782454952786
0.19629265112668226 | [-11.59   5.29] | -0.10339400073930123
0.1905607622597425 | [-11.56   5.27] | -0.10143259149453998
0.1849271763302893 | [-11.53   5.24] | -0.09953988774426398
0.17938862131667177 | [-11.5    5.23] | -0.09771242729555385
0.17394198598114105 | [-11.48   5.21] | -0.09594697470108585
0.16858430949880732 | [-11.45   5.19] | -0.09424050306249492
0.16331277191001975 | [-11.42   5.17] | -0.09259017755580018
0.15812468531890148 | [-11.4    5.15] | -0.09099334049188608
0.1530174857691019 | [-11.37   5.14] | -0.08944749774776689
0.14798872573515212 | [-11.34   5.12] | -0.08795030642421882
0.1430360671742549 | [-11.32   5.1 ] | -0.08649956360241197
0.138157275089026 | [-11.29   5.09] | -0.0850931960871923
0.13335021155673 | [-11.27   5.07] | -0.08372925103747142
0.12861283018500397 | [-11.24   5.06] | -0.0824058873955867
0.1239431709580104 | [-11.22   5.04] | -0.08112136803729654
0.11933935544047027 | [-11.2    5.03] | -0.07987405257279062
0.1147995823101496 | [-11.17   5.02] | -0.07866239073661484
0.11032212319216056 | [-11.15   5.  ] | -0.07748491631113336
0.10590531877092516 | [-11.13   4.99] | -0.07634024153398765
0.10154757515787508 | [-11.1    4.98] | -0.0752270519452286
0.09724736049495754 | [-11.08   4.96] | -0.07414410163435266
0.09300320177580434 | [-11.06   4.95] | -0.07309020885152742
0.08881368186803196 | [-11.04   4.94] | -0.07206425195092188
0.08467743672158665 | [-11.02   4.93] | -0.07106516563719747
0.08059315274935208 | [-10.99   4.92] | -0.07009193748910286
0.07655956436741568 | [-10.97   4.91] | -0.06914360473662233
0.07257545168345261 | [-10.95   4.9 ] | -0.06821925127039409
0.06863963832264736 | [-10.93   4.88] | -0.0673180048640997
0.06475098938144586 | [-10.91   4.87] | -0.06643903459242954
0.06090840950022029 | [-10.89   4.86] | -0.06558154842867572
0.05711084104664755 | [-10.87   4.85] | -0.06474479100764081
0.05335726240225324 | [-10.85   4.84] | -0.06392804154073359
0.04964668634516778 | [-10.83   4.83] | -0.06313061187129623
0.04597815852268191 | [-10.81   4.83] | -0.06235184465935295
0.042350756007682004 | [-10.79   4.82] | -0.061591111685828884
0.03876358593349651 | [-10.77   4.81] | -0.06084781226716475
0.035215784202095465 | [-10.75   4.8 ] | -0.06012137177208428
0.03170651426096318 | [-10.74   4.79] | -0.05941124023291526
0.028234965944307362 | [-10.72   4.78] | -0.058716891044467555
0.024800354374585186 | [-10.7    4.77] | -0.05803781974422697
0.021401918920617248 | [-10.68   4.76] | -0.05737354286787215
0.01803892220882582 | [-10.66   4.76] | -0.05672359687483753
0.014710649184377773 | [-10.64   4.75] | -0.05608753713894772
0.011416406219240786 | [-10.63   4.74] | -0.055464936999623946
0.008155520264366303 | [-10.61   4.73] | -0.054855386869374016
0.004927338043404366 | [-10.59   4.73] | -0.05425849339384825
0.0017312252855324335 | [-10.57   4.72] | -0.0536738786607706
-0.0014334340048576728 | [-10.56   4.71] | -0.05310117945455463
-0.004567238243719986 | [-10.54   4.7 ] | -0.0525400465535076
-0.00767076893012728 | [-10.52   4.7 ] | -0.05199014406684458
-0.010744591278095171 | [-10.51   4.69] | -0.05145114880888338
-0.013789254819176174 | [-10.49   4.68] | -0.05092274970805907
-0.016805293977430608 | [-10.47   4.68] | -0.05040464724848129
-0.01979322861828121 | [-10.46   4.67] | -0.04989655294200357
-0.022753564572662633 | [-10.44   4.66] | -0.049398188828829466
-0.025686794137788512 | [-10.43   4.66] | -0.048909287004934236
-0.028593396555776335 | [-10.41   4.65] | -0.048429589174628244
-0.03147383847129558 | [-10.4    4.64] | -0.047958846226650295
-0.03432857436933272 | [-10.38   4.64] | -0.04749681783251152
-0.03715804699410066 | [-10.36   4.63] | -0.04704327206553442
-0.03996268775006008 | [-10.35   4.62] | -0.04659798503957711
-0.04274291708596037 | [-10.33   4.62] | -0.04616074056610924
-0.04549914486275673 | [-10.32   4.61] | -0.04573132982861306
-0.04823177070620866 | [-10.3    4.61] | -0.045309551073345056
-0.05094118434491943 | [-10.29   4.6 ] | -0.04489520931542508
-0.05362776593453217 | [-10.28   4.6 ] | -0.04448811605945757
-0.05629188636875678 | [-10.26   4.59] | -0.044088089033786776
-0.05893390757786527 | [-10.25   4.58] | -0.043694951937678264
-0.06155418281525608 | [-10.23   4.58] | -0.04330853420063897
-0.06415305693265588 | [-10.22   4.57] | -0.042928670753286
-0.06673086664449486 | [-10.2    4.57] | -0.04255520180900284
-0.06928794078196206 | [-10.19   4.56] | -0.042187972655944705
-0.07182460053722235 | [-10.18   4.56] | -0.04182683345870236
-0.07434115969824683 | [-10.16   4.55] | -0.04147163906916468
-0.07683792487468735 | [-10.15   4.55] | -0.04112224884608545
-0.07931519571520187 | [-10.14   4.54] | -0.04077852648287862
-0.08177326511661571 | [-10.12   4.54] | -0.04044033984320954
-0.08421241942528448 | [-10.11   4.53] | -0.04010756080399655
-0.08663293863100532 | [-10.1    4.53] | -0.03978006510539077
-0.08903509655380347 | [-10.08   4.52] | -0.0394577322073721
-0.09141916102390953 | [-10.07   4.52] | -0.039140445152405966
-0.09378539405522004 | [-10.06   4.52] | -0.038828090434576704
-0.0961340520125178 | [-10.04   4.51] | -0.0385205578743869
-0.09846538577272966 | [-10.03   4.51] | -0.03821774049879161
-0.10077964088047074 | [-10.02   4.5 ] | -0.03791953442635915
-0.10307705769811565 | [-10.01   4.5 ] | -0.0376258387572834
-0.10535787155062626 | [-9.99  4.49] | -0.03733655546806258
-0.10762231286535412 | [-9.98  4.49] | -0.03705158931058431
-0.10987060730702614 | [-9.97  4.48] | -0.036770847715404564
