1.0, -3.8, 0.5, 7.6, 1.8, 1.9, -0.1, 1.0, 0.7, -0.5, 0.8, 1.4, 2.3, 1.1, 6.5, -7.3, 0.1, 4.2
parameter ends

state | action | reward
[-0.08] | [0.52 3.33] | -0.040725311281576235
-0.08888425451716231 | [ 9.6  -8.19] | 0.06880493728362835
-0.1313642132587746 | [-6.8  20.73] | 0.02535555753404664
-0.16428098623834658 | [ 9.54 -8.31] | 0.06344779846918785
-0.19494107929547666 | [-6.93 20.85] | 0.015100966663345525
-0.21919034819392685 | [ 9.41 -8.12] | 0.051115525618758345
-0.24223527984389592 | [-7.06 21.04] | 0.0013223200032897522
-0.26066317948137785 | [ 9.24 -7.81] | 0.038434309228354085
-0.2785335303459347 | [-7.21 21.27] | -0.012193968856482156
-0.2928740358527258 | [ 9.06 -7.45] | 0.027237000039314396
-0.30708582852004057 | [-7.35 21.52] | -0.024245544532593644
-0.3184630216898844 | [ 8.89 -7.09] | 0.017872713427956488
-0.3300084363308279 | [-7.49 21.76] | -0.03456480067513127
-0.339184271194395 | [ 8.73 -6.75] | 0.010207665196428165
-0.34873698842644824 | [-7.62 21.99] | -0.04323948954855385
-0.35624367642152477 | [ 8.58 -6.43] | 0.0039926030978096674
-0.36427671692066943 | [-7.74 22.2 ] | -0.05045912885620275
-0.370497381082505 | [ 8.45 -6.14] | -0.0010083389100712572
-0.3773547017066809 | [-7.84 22.39] | -0.05641846174634361
-0.38257407023888673 | [ 8.33 -5.87] | -0.005002797527872796
-0.38851220920896756 | [-7.93 22.57] | -0.061301927642914256
-0.39294640943706804 | [ 8.22 -5.63] | -0.00816773410504325
-0.3981603636902022 | [-8.01 22.72] | -0.0652781094004907
-0.40197569540289835 | [ 8.13 -5.41] | -0.010652018354781734
-0.4066157443239909 | [-8.07 22.86] | -0.06849422284120552
-0.409941703327001 | [ 8.04 -5.2 ] | -0.012578488398051181
-0.4141250362432401 | [-8.13 22.98] | -0.07107625910527646
-0.41706344852016475 | [ 7.97 -5.02] | -0.014047971498865669
-0.4208823136921753 | [-8.18 23.08] | -0.07313051312144304
-0.4235139152971265 | [ 7.9  -4.84] | -0.015142860215191192
-0.4270415097013808 | [-8.22 23.18] | -0.07474602433710661
-0.42943076755425813 | [ 7.83 -4.68] | -0.015930376766830734
-0.4327255625938025 | [-8.26 23.27] | -0.07599701946202292
-0.43492426197744094 | [ 7.78 -4.52] | -0.016465417070121575
-0.4380332253653819 | [-8.29 23.34] | -0.07694521556360961
-0.44008317336411756 | [ 7.72 -4.37] | -0.016792895876457062
-0.4430442059208603 | [-8.31 23.41] | -0.0776418371084085
-0.44497929607095404 | [ 7.67 -4.23] | -0.01694966429505623
-0.44782309485689814 | [-8.34 23.47] | -0.07812939094831405
-0.44967089821125883 | [ 7.62 -4.09] | -0.016966056830966147
-0.45242239536783696 | [-8.35 23.53] | -0.07844316320467026
-0.45420539829845086 | [ 7.57 -3.95] | -0.016867125053231263
-0.4568848841977687 | [-8.37 23.58] | -0.07861246050224974
-0.4586214605270786 | [ 7.52 -3.81] | -0.01667362900082002
-0.46124546800183314 | [-8.38 23.63] | -0.07866164474372907
-0.46295064827508103 | [ 7.48 -3.67] | -0.01640283519296644
-0.46553265384063836 | [-8.39 23.67] | -0.07861099196995301
-0.46721873796590824 | [ 7.43 -3.54] | -0.016069157663426092
-0.4697697212658884 | [-8.39 23.71] | -0.07847739931869196
-0.47144676878663655 | [ 7.39 -3.4 ] | -0.015684677029236038
-0.47397566130162844 | [-8.4  23.75] | -0.0782749662691189
-0.4756518859192362 | [ 7.34 -3.27] | -0.015259558005798788
-0.4781659329235251 | [-8.4  23.79] | -0.07801548473296097
-0.4798480213517992 | [ 7.3  -3.13] | -0.014802391574591746
-0.48235307500420316 | [-8.4  23.82] | -0.07770885644972567
-0.4840464450536506 | [ 7.25 -2.99] | -0.014320500835420205
-0.48654720159133213 | [-8.4  23.85] | -0.07736344343393864
-0.4882562113328532 | [ 7.2  -2.85] | -0.013820167735875659
-0.4907564043634472 | [-8.4  23.88] | -0.07698632570011772
-0.49248452312958196 | [ 7.15 -2.7 ] | -0.013306801516869707
-0.49498708210922926 | [-8.4  23.91] | -0.07658351217330457
-0.4967370307533472 | [ 7.1  -2.56] | -0.012785083060408388
-0.4992442110511094 | [-8.4  23.93] | -0.07616012802162844
-0.5010180768425234 | [ 7.05 -2.41] | -0.01225908984279151
-0.5035315665372191 | [-8.39 23.95] | -0.07572056967795643
-0.5053308974718116 | [ 7.   -2.26] | -0.011732398574373849
-0.5078519052196582 | [-8.38 23.98] | -0.07526863307805036
-0.5096777875913309 | [ 6.95 -2.11] | -0.011208169425141402
-0.5122071150606327 | [-8.38 24.  ] | -0.07480761963461821
-0.5140602374026163 | [ 6.89 -1.95] | -0.010689215085618181
-0.5165983391029375 | [-8.37 24.02] | -0.07434042370178767
-0.5184790450220934 | [ 6.84 -1.8 ] | -0.010178057309721081
-0.5210260778232912 | [-8.36 24.03] | -0.07386960462917917
-0.5229344097821712 | [ 6.78 -1.63] | -0.009676973097508621
-0.5254902739931493 | [-8.35 24.05] | -0.07339744596584885
-0.5274260097180622 | [ 6.72 -1.47] | -0.009188032284999429
-0.5299903832530106 | [-8.34 24.06] | -0.07292600393238288
-0.5319530661420531 | [ 6.67 -1.31] | -0.008713127990040613
-0.5345254330254955 | [-8.32 24.07] | -0.07245714668978563
-0.5365143976753008 | [ 6.6  -1.14] | -0.00825399887628088
-0.5390940718683637 | [-8.31 24.09] | -0.0719925845594871
-0.5411084656385461 | [ 6.54 -0.97] | -0.008255511914171485
-0.5435376812565411 | [-7.97 23.62] | -0.06951011723200785
-0.5452887409139319 | [ 6.79 -1.26] | -0.008380027003519457
-0.5476422248503338 | [-8.03 23.75] | -0.06939275500893896
-0.5494890615527849 | [ 6.69 -1.04] | -0.007536148595366944
-0.5519133398635715 | [-8.07 23.85] | -0.06922872278051587
-0.553836625744767 | [ 6.6  -0.82] | -0.00874569929148489
-0.5554670364465011 | [-6.24 21.25] | -0.05815085881907211
-0.5558546587284232 | [ 8.31 -3.25] | -0.013018709613714654
-0.5570243098871746 | [-6.7  21.99] | -0.060690189041111106
-0.5578095716979332 | [ 8.01 -2.78] | -0.010689108082620809
-0.5593425113987487 | [-7.07 22.57] | -0.06233306268843573
-0.5604552397486569 | [ 7.76 -2.37] | -0.008532736369536113
-0.5622798624397631 | [-7.35 23.04] | -0.06340906425375861
-0.5636553799222547 | [ 7.55 -2.01] | -0.006652863646308101
-0.5657084310301634 | [-7.56 23.4 ] | -0.06412087483662585
-0.567291264440125 | [ 7.37 -1.7 ] | -0.005068689567085795
-0.5695198047229877 | [-7.73 23.69] | -0.06459245288861123
-0.5712643855504267 | [ 7.22 -1.41] | -0.003758880974286386
-0.5736255980350534 | [-7.86 23.92] | -0.064900001065484
-0.5754955400669022 | [ 7.09 -1.15] | -0.002686111867784018
-0.5779555650503574 | [-7.95 24.1 ] | -0.06509079662613787
-0.5799223516541469 | [ 6.98 -0.92] | -0.003329268125295333
-0.5820484969756615 | [-7.14 22.96] | -0.06071435139627631
-0.5833313079514313 | [ 7.73 -1.94] | -0.004917442140979591
-0.5852786442417992 | [-7.4 23.4] | -0.06178723020361373
-0.5867917105365698 | [ 7.53 -1.59] | -0.0031996920397950887
-0.58893827402988 | [-7.6  23.74] | -0.06251138177980836
-0.5906330009624259 | [ 7.36 -1.28] | -0.0017586426165072432
-0.5929322714034405 | [-7.76 24.02] | -0.06300397777625746
-0.5947686957259396 | [ 7.21 -1.01] | -0.0005728085492175483
-0.5971829992356318 | [-7.88 24.23] | -0.06333767484605106
-0.5991291373648886 | [ 7.09 -0.76] | -0.0046112491430501884
-0.6004491116149565 | [-5.33 20.61] | -0.05361260392859832
-0.6002168050696763 | [ 9.48 -4.2 ] | -0.014200857666772253
-0.6008461672925373 | [-6.03 21.7 ] | -0.05766297651236468
-0.6011232408577218 | [ 9.03 -3.54] | -0.010652027115327685
-0.6022384808248769 | [-6.56 22.55] | -0.0599050790233657
-0.6029557533344463 | [ 8.67 -2.99] | -0.00711115894098845
-0.6044760403077633 | [-6.97 23.21] | -0.061140621534526124
-0.6055544589693062 | [ 8.37 -2.52] | -0.003937734689506444
-0.6073981911146203 | [-7.28 23.72] | -0.06182678616091593
-0.6087629966731573 | [ 8.14 -2.13] | -0.0012528459621509351
-0.6108571462112269 | [-7.52 24.13] | -0.062218239199352286
-0.6124439736280657 | [ 7.95 -1.8 ] | 0.00094412858688828
-0.6147274755064889 | [-7.71 24.45] | -0.06245250563882608
-0.6164837895879067 | [ 7.79 -1.51] | 0.0027069672972327074
-0.6189076389065422 | [-7.85 24.7 ] | -0.06260161657915791
-0.6207919693064945 | [ 7.67 -1.26] | 0.004106551123851887
-0.6233178982982877 | [-7.95 24.9 ] | -0.06270181759714244
-0.62529826789978 | [ 7.56 -1.04] | 0.005213289914167229
-0.6278969693475798 | [-8.04 25.06] | -0.06277062065743566
-0.6299491229492602 | [ 7.47 -0.83] | -0.000920090699697112
-0.6316790503254095 | [-6.24 22.5 ] | -0.06091852325382109
-0.6320571927558543 | [ 9.11 -3.2 ] | -0.008631245134101587
-0.6332850451421618 | [-6.72 23.27] | -0.06195822533682226
-0.6340881328137691 | [ 8.77 -2.66] | -0.004470883665798184
-0.6357016869831779 | [-7.08 23.86] | -0.0623468698969667
-0.6368454931356444 | [ 8.49 -2.22] | -0.0009343605243717235
-0.6387610453322972 | [-7.36 24.32] | -0.06244106022810907
-0.6401702520901715 | [ 8.27 -1.86] | 0.001955765386845624
-0.6423158863757273 | [-7.57 24.68] | -0.0624212991000376
-0.6439278196104062 | [ 8.1  -1.55] | 0.0042625860965580424
-0.6462449914942866 | [-7.73 24.97] | -0.06237260590097665
-0.6480096585893622 | [ 7.96 -1.28] | 0.006078249439983531
-0.6504522667767741 | [-7.85 25.2 ] | -0.062330340379473485
-0.6523308775974441 | [ 7.85 -1.05] | 0.007497000898727744
-0.654863449435684 | [-7.95 25.38] | -0.0623050983732935
-0.6568265068381535 | [ 7.75 -0.85] | 0.00016075862244583575
-0.6585428304445282 | [-6.33 23.08] | -0.06411104537617276
