-2.0, -4.9, 2.6, -9.5, 1.8, -1.4, 0.4, -0.6, -0.4, 1.4, 5.8, -2.0, 1.9, 0.1, -3.2, 1.0, -0.6, -1.5
parameter ends

state | action | reward
[-0.07] | [-0.61 -0.89] | 0.056011658218841284
-0.058849616220250645 | [ 5.04 -3.11] | 0.07934136922759641
-0.07775493845724339 | [11.08 -0.55] | 0.08592537532413845
-0.14779370542403386 | [11.14  0.83] | 0.1319785827456451
-0.2346123922296929 | [3.89 1.7 ] | 0.30170059243181857
-0.3257270687220956 | [-1.74  2.27] | 0.37251776636381767
-0.3859731223425281 | [-6.32 -1.07] | 0.19197591935667532
-0.4000198539468279 | [ 0.39 -4.7 ] | 0.043028928048687964
-0.4080895207756767 | [ 6.19 -4.8 ] | 0.0382977391283144
-0.4455031534143537 | [10.24 -4.06] | 0.031404612418355904
-0.5097607056639337 | [12.28 -4.21] | -0.01728780868315618
-0.5862449539198729 | [13.2  -5.01] | -0.09865143421631217
-0.6651111684928045 | [13.73 -6.21] | -0.21658266966843076
-0.7398653574710463 | [14.18 -7.67] | -0.37189778516408056
-0.8061186010813002 | [14.63 -9.24] | -0.6023703734308845
-0.8503261661173771 | [ 10.4 -12.8] | -0.4239748892882447
-0.8251067759210596 | [  3.63 -12.66] | -0.3173094790774921
-0.8014605619708434 | [  4.31 -12.52] | -0.3171083296109562
-0.7830402247190711 | [  4.56 -12.52] | -0.30889975040270196
-0.7666002461453879 | [  4.51 -12.57] | -0.29629353323009494
-0.7511216206723941 | [  4.4  -12.62] | -0.2835259298602904
-0.7363560767103983 | [  4.28 -12.67] | -0.27158688379822377
-0.7222188949173823 | [  4.17 -12.72] | -0.26055479006258064
-0.7086564965798545 | [  4.07 -12.77] | -0.2503522828761268
-0.6956240613915636 | [  3.97 -12.81] | -0.24089278549960874
-0.6830819811698985 | [  3.88 -12.86] | -0.23209973201969725
-0.6709949218352054 | [  3.8 -12.9] | -0.22390668762014831
-0.6593312314895874 | [  3.72 -12.95] | -0.21625575845130385
-0.6480624501810299 | [  3.64 -12.99] | -0.20909623245094566
-0.6371628956097125 | [  3.57 -13.03] | -0.2023834916950571
-0.6266093130664311 | [  3.51 -13.07] | -0.19607812381833087
-0.6163805786887977 | [  3.44 -13.11] | -0.1901451859147063
-0.606457446712822 | [  3.38 -13.14] | -0.18455359003133084
-0.5968223331356514 | [  3.33 -13.18] | -0.17927558725961132
-0.5874591296707119 | [  3.27 -13.22] | -0.17428633243149788
-0.5783530430417362 | [  3.22 -13.25] | -0.16956351510645123
-0.5694904555823592 | [  3.17 -13.29] | -0.1650870453689478
-0.5608588038379356 | [  3.12 -13.32] | -0.16083878517301353
-0.5524464724489554 | [  3.07 -13.35] | -0.15680231771695097
-0.5442427010635215 | [  3.03 -13.38] | -0.15296274871609133
-0.5362375024045665 | [  2.99 -13.42] | -0.14930653454572726
-0.5284215899248048 | [  2.95 -13.45] | -0.1458213331118971
-0.5207863137334376 | [  2.91 -13.48] | -0.14249587402144917
-0.5133236036847215 | [  2.87 -13.51] | -0.13931984520139074
-0.5060259186884957 | [  2.83 -13.54] | -0.1362837935882686
-0.4988862014436398 | [  2.8  -13.56] | -0.1333790378935757
-0.49189783791266706 | [  2.76 -13.59] | -0.13059759176760377
-0.4850546209536386 | [  2.73 -13.62] | -0.1279320959451758
-0.47835071760778636 | [  2.7  -13.65] | -0.1253757581729055
-0.47178063961047134 | [  2.66 -13.67] | -0.12292229989750084
-0.465339216751623 | [  2.63 -13.7 ] | -0.1205659088446085
-0.4590215727614446 | [  2.6  -13.73] | -0.1183011967434628
-0.4528231034394172 | [  2.58 -13.75] | -0.11612316155819496
-0.44673945678069976 | [  2.55 -13.78] | -0.11402715367577368
-0.4407665148849157 | [  2.52 -13.8 ] | -0.1120088455759103
-0.4349003774588425 | [  2.49 -13.83] | -0.11006420457216758
-0.42913734674738213 | [  2.47 -13.85] | -0.10818946826795676
-0.42347391374692395 | [  2.44 -13.87] | -0.10638112241758921
-0.4179067455723121 | [  2.42 -13.9 ] | -0.10463588092217808
-0.41243267386347293 | [  2.4  -13.92] | -0.10295066772439357
-0.4070486841306755 | [  2.37 -13.94] | -0.10132260039541278
-0.40175190594867294 | [  2.35 -13.96] | -0.09974897523257936
-0.3965396039198273 | [  2.33 -13.99] | -0.09822725370831871
-0.3914091693349619 | [  2.31 -14.01] | -0.09675505012971619
-0.38635811246827045 | [  2.29 -14.03] | -0.0953301203845907
-0.38138405544929044 | [  2.27 -14.05] | -0.09395035166431495
-0.3764847256608375 | [  2.25 -14.07] | -0.09261375306604569
-0.3716579496170023 | [  2.23 -14.09] | -0.09131844698794644
-0.3669016472799159 | [  2.21 -14.11] | -0.09006266124058189
-0.3622138267780781 | [  2.19 -14.13] | -0.0888447218060359
-0.35759257949266926 | [  2.17 -14.15] | -0.08766304618361548
-0.3530360754815017 | [  2.15 -14.17] | -0.08651613726761286
-0.3485425592131437 | [  2.13 -14.19] | -0.08540257770817841
-0.34411034558632303 | [  2.12 -14.21] | -0.08432102471156537
-0.3397378162120152 | [  2.1  -14.23] | -0.08327020524032401
-0.3354234159376847 | [  2.08 -14.25] | -0.08224891157816347
-0.33116564959499506 | [  2.07 -14.26] | -0.0812559972275733
-0.326963078953963 | [  2.05 -14.28] | -0.08029037311153386
-0.32281431986802855 | [  2.04 -14.3 ] | -0.07935100405338133
-0.3187180395958564 | [  2.02 -14.32] | -0.07843690551142024
-0.31467295428690056 | [  2.   -14.33] | -0.07754714054705096
-0.31067782661886073 | [  1.99 -14.35] | -0.07668081700724302
-0.3067314635761486 | [  1.98 -14.37] | -0.07583708490389895
-0.3028327143593847 | [  1.96 -14.39] | -0.07501513397428512
-0.29898046841675946 | [  1.95 -14.4 ] | -0.07421419140814675
-0.2951736535888293 | [  1.93 -14.42] | -0.07343351972836867
-0.29141123435899535 | [  1.92 -14.44] | -0.0726724148133151
-0.2876922102025205 | [  1.91 -14.45] | -0.07193020404986417
-0.2840156140274978 | [  1.89 -14.47] | -0.07120624460725977
-0.2803805107016938 | [  1.88 -14.48] | -0.07049992182265674
-0.27678599565965095 | [  1.87 -14.5 ] | -0.06981064769005044
-0.27323119358485826 | [  1.85 -14.51] | -0.0691378594449661
-0.2697152571621879 | [  1.84 -14.53] | -0.06848101823791068
-0.2662373658961473 | [  1.83 -14.55] | -0.06783960789020874
-0.26279672499082557 | [  1.82 -14.56] | -0.06721313372629092
-0.2593925642877073 | [  1.81 -14.58] | -0.06660112147706579
-0.2560241372578037 | [  1.79 -14.59] | -0.06600311624935275
-0.2526907200448012 | [  1.78 -14.6 ] | -0.06541868155682612
-0.249391610556159 | [  1.77 -14.62] | -0.06484739840824007
-0.24612612759930183 | [  1.76 -14.63] | -0.06428886444898738
-0.242893610060248 | [  1.75 -14.65] | -0.06374269315248188
-0.23969341612219616 | [  1.74 -14.66] | -0.06320851305794818
-0.2365249225217604 | [  1.73 -14.68] | -0.06268596705161797
-0.23338752384069772 | [  1.72 -14.69] | -0.06217471168843343
-0.23028063183111383 | [  1.71 -14.7 ] | -0.061674416551673605
-0.22720367477226736 | [  1.7  -14.72] | -0.06118476364802446
-0.2241560968572125 | [  1.69 -14.73] | -0.06070544683585308
-0.22113735760763378 | [  1.67 -14.74] | -0.060236171284573786
-0.2181469313153336 | [  1.67 -14.76] | -0.0597766529631797
-0.21518430650892703 | [  1.66 -14.77] | -0.05932661815609206
-0.21224898544439244 | [  1.65 -14.78] | -0.058885803004670466
-0.20934048361820795 | [  1.64 -14.8 ] | -0.058453953072830786
-0.206458329301882 | [  1.63 -14.81] | -0.058030822935256944
-0.20360206309676152 | [  1.62 -14.82] | -0.05761617578691524
-0.20077123750806528 | [  1.61 -14.83] | -0.05720978307255176
-0.19796541653715485 | [  1.6  -14.85] | -0.056811424135031194
-0.19518417529111456 | [  1.59 -14.86] | -0.056420885881380556
-0.1924270996087658 | [  1.58 -14.87] | -0.0560379624655347
-0.18969378570229278 | [  1.57 -14.88] | -0.05566245498681352
-0.18698383981370342 | [  1.56 -14.9 ] | -0.05529417120321167
-0.18429687788539534 | [  1.55 -14.91] | -0.05493292525870576
-0.18163252524413742 | [  1.55 -14.92] | -0.0545785374237576
-0.17899041629781565 | [  1.54 -14.93] | -0.054230833848250615
-0.17637019424433123 | [  1.53 -14.94] | -0.05388964632626812
-0.17377151079207023 | [  1.52 -14.95] | -0.05355481207192409
-0.17119402589139693 | [  1.51 -14.97] | -0.0532261735057839
-0.16863740747665334 | [  1.51 -14.98] | -0.05290357805118376
-0.1661013312181766 | [  1.5  -14.99] | -0.05258687794000562
-0.1635854802838692 | [  1.49 -15.  ] | -0.05227593002735625
-0.16108954510988496 | [  1.48 -15.01] | -0.051970595614664036
-0.15861322318001558 | [  1.47 -15.02] | -0.0516707402808298
-0.15615621881338454 | [  1.47 -15.03] | -0.051376233720908125
-0.15371824296007588 | [  1.46 -15.04] | -0.05108694959200871
-0.1512990130043436 | [  1.45 -15.05] | -0.05080276536601118
-0.14889825257506847 | [  1.44 -15.07] | -0.050523562188751106
-0.14651569136314338 | [  1.44 -15.08] | -0.05024922474534757
-0.14415106494548482 | [  1.43 -15.09] | -0.04997964113137916
-0.1418041146153858 | [  1.42 -15.1 ] | -0.049714702729584004
-0.1394745872189361 | [  1.41 -15.11] | -0.049454304091851954
-0.1371622349972524 | [  1.41 -15.12] | -0.049198342826196576
-0.13486681543427273 | [  1.4  -15.13] | -0.04894671948852963
-0.13258809110987993 | [  1.39 -15.14] | -0.04869933747892572
-0.13032582955813327 | [  1.39 -15.15] | -0.04845610294223272
-0.12807980313039566 | [  1.38 -15.16] | -0.048216924672778466
-0.1258497888631557 | [  1.37 -15.17] | -0.047981714022967276
-0.12363556835035146 | [  1.37 -15.18] | -0.04775038481565605
-0.12143692762001457 | [  1.36 -15.19] | -0.04752285326000974
-0.11925365701505966 | [  1.35 -15.2 ] | -0.04729903787081645
-0.11708555107805281 | [  1.35 -15.21] | -0.04707885939095032
-0.11493240843980171 | [  1.34 -15.22] | -0.0468622407169998
-0.11279403171161514 | [  1.33 -15.23] | -0.04664910682774766
-0.11067022738108917 | [  1.33 -15.24] | -0.04643938471553018
-0.10856080571128073 | [  1.32 -15.25] | -0.04623300332021858
-0.10646558064313925 | [  1.32 -15.26] | -0.04602989346578548
-0.10438436970106903 | [  1.31 -15.27] | -0.045829987799313306
-0.10231699390150328 | [  1.3  -15.28] | -0.04563322073231967
-0.10026327766437604 | [  1.3  -15.29] | -0.045439528384329464
-0.09822304872738118 | [  1.29 -15.29] | -0.045248848528571
-0.09619613806291455 | [  1.29 -15.3 ] | -0.04506112053972776
-0.09418237979759908 | [  1.28 -15.31] | -0.044876285343619135
-0.09218161113429696 | [  1.27 -15.32] | -0.04469428536876609
-0.09019367227651771 | [  1.27 -15.33] | -0.044515064499724796
-0.08821840635513307 | [  1.26 -15.34] | -0.044338568032178075
-0.08625565935731598 | [  1.26 -15.35] | -0.04416474262959774
-0.08430528005762303 | [  1.25 -15.36] | -0.043993536281534476
-0.08236711995114245 | [  1.25 -15.37] | -0.04382489826338813
-0.08044103318863455 | [  1.24 -15.38] | -0.043658779097619144
-0.07852687651359382 | [  1.23 -15.38] | -0.043495130516332504
-0.07662450920116404 | [  1.23 -15.39] | -0.04333390542524848
-0.07473379299884172 | [  1.22 -15.4 ] | -0.04317505786882589
-0.07285459206890596 | [  1.22 -15.41] | -0.043018542996744874
-0.0709867729325138 | [  1.21 -15.42] | -0.0428643170314405
-0.06913020441540425 | [  1.21 -15.43] | -0.042712337236840016
-0.06728475759515545 | [  1.2  -15.44] | -0.04256256188813776
-0.06545030574994201 | [  1.2  -15.44] | -0.042414950242626495
-0.0636267243087419 | [  1.19 -15.45] | -0.042269462511486555
-0.061813890802943465 | [  1.19 -15.46] | -0.04212605983259542
-0.060011684819305876 | [  1.18 -15.47] | -0.041984704244195675
-0.058219987954227746 | [  1.18 -15.48] | -0.041845358659466717
-0.056438683769280906 | [  1.17 -15.49] | -0.04170798684194957
-0.05466765774796685 | [  1.17 -15.49] | -0.04157255338179308
-0.05290679725365598 | [  1.16 -15.5 ] | -0.04143902367275555
-0.05115599148867179 | [  1.16 -15.51] | -0.04130736389000034
-0.04941513145448154 | [  1.15 -15.52] | -0.0411775409685783
-0.04768410991295859 | [  1.15 -15.53] | -0.041049522582642745
-0.045962821348681834 | [  1.14 -15.53] | -0.04092327712531014
-0.044251161932238596 | [  1.14 -15.54] | -0.04079877368919539
-0.042549029484499706 | [  1.13 -15.55] | -0.04067598204754251
-0.0408563234418358 | [  1.13 -15.56] | -0.04055487263596412
-0.03917294482224513 | [  1.12 -15.56] | -0.04043541653478193
-0.03749879619236443 | [  1.12 -15.57] | -0.04031758545188983
-0.035833781635335675 | [  1.11 -15.58] | -0.04020135170617446
-0.03417780671950138 | [  1.11 -15.59] | -0.04008668821144961
-0.03253077846790418 | [  1.1  -15.59] | -0.03997356846088984
-0.030892605328564682 | [  1.1 -15.6] | -0.03986196651195442
-0.029263197145514747 | [  1.1  -15.61] | -0.03975185697172301
-0.027642465130563454 | [  1.09 -15.62] | -0.03964321498277522
-0.02603032183577267 | [  1.09 -15.62] | -0.039536016209424485
-0.024426681126621747 | [  1.08 -15.63] | -0.039430236824369976
-0.022831458155840433 | [  1.08 -15.64] | -0.039325853495808964
-0.021244569337890207 | [  1.07 -15.65] | -0.039222843374867505
-0.019665932324074976 | [  1.07 -15.65] | -0.03912118408345838
-0.018095465978261952 | [  1.06 -15.66] | -0.03902085370246594
-0.01653309035319605 | [  1.06 -15.67] | -0.03892183076031606
-0.014978726667389091 | [  1.06 -15.68] | -0.038824094221832695
-0.013432297282568615 | [  1.05 -15.68] | -0.03872762347746751
-0.011893725681668205 | [  1.05 -15.69] | -0.03863239833281677
-0.010362936447346085 | [  1.04 -15.7 ] | -0.03853839899846969
-0.008839855241015057 | [  1.04 -15.7 ] | -0.03844560608010229
-0.007324408782370175 | [  1.03 -15.71] | -0.038354000568914706
-0.005816524829399458 | [  1.03 -15.72] | -0.03826356383230487
-0.004316132158864391 | [  1.03 -15.72] | -0.03817427760480578
-0.0028231605472374076 | [  1.02 -15.73] | -0.03808612397930914
-0.0013375407520824368 | [  1.02 -15.74] | -0.037999085398516694
0.0001407955061326908 | [  1.01 -15.75] | -0.03791314464661688
0.0016119155618046837 | [  1.01 -15.75] | -0.03782828484124462
0.0030758858215543037 | [  1.01 -15.76] | -0.03774448942560281
0.0045327717811905885 | [  1.   -15.77] | -0.03766174216085389
0.005982638042288236 | [  1.   -15.77] | -0.03757724939017486
0.007426121918441726 | [  0.99 -15.78] | -0.037488717533867365
0.008864338283021855 | [  0.99 -15.79] | -0.037405458767009826
0.010296474734327451 | [  0.99 -15.79] | -0.03732557608313801
0.01172202468046084 | [  0.98 -15.8 ] | -0.037247304487613146
0.013140901074798364 | [  0.98 -15.81] | -0.037170185348673175
0.014553119634931234 | [  0.98 -15.81] | -0.03709406915112906
0.015958726630514286 | [  0.97 -15.82] | -0.03701890222372408
0.017357776644662745 | [  0.97 -15.82] | -0.036944659137853206
0.018750326148768846 | [  0.96 -15.83] | -0.036871322964674824
0.020136431634001455 | [  0.96 -15.84] | -0.036798879441178274
0.02151614907645533 | [  0.96 -15.84] | -0.036727315254919256
0.022889533790478273 | [  0.95 -15.85] | -0.03665661753784398
0.024256640394800598 | [  0.95 -15.86] | -0.03658677371460789
0.025617522811291597 | [  0.95 -15.86] | -0.03651777145459112
0.026972234273023015 | [  0.94 -15.87] | -0.03644959865440907
0.028320827334861194 | [  0.94 -15.87] | -0.03638224342939474
0.029663353884619954 | [  0.94 -15.88] | -0.03631569410776553
0.0309998651542085 | [  0.93 -15.89] | -0.036249939225762445
0.032330411730610395 | [  0.93 -15.89] | -0.03618496752301319
0.03365504356665384 | [  0.93 -15.9 ] | -0.03612076793815738
0.034973809991562445 | [  0.92 -15.91] | -0.036057329604564425
0.03628675972128995 | [  0.92 -15.91] | -0.03599464184618634
0.037593940868641686 | [  0.91 -15.92] | -0.03593269417349447
0.03889540095318847 | [  0.91 -15.92] | -0.03587147627952885
0.040191186910977346 | [  0.91 -15.93] | -0.03581097803604637
0.04148134510404507 | [  0.9  -15.94] | -0.03575118948977839
0.04276592132973793 | [  0.9  -15.94] | -0.03569210085874295
0.04404496082984367 | [  0.9  -15.95] | -0.03563370252869144
0.04531850829953917 | [  0.89 -15.95] | -0.035575985049623615
0.04658660789615867 | [  0.89 -15.96] | -0.03551893913237651
0.04784930324778742 | [  0.89 -15.96] | -0.03546255564531203
0.049106637461683866 | [  0.88 -15.97] | -0.03540682561108664
0.05035865313253529 | [  0.88 -15.98] | -0.03535174020348936
0.05160539235055018 | [  0.88 -15.98] | -0.03529729074435925
0.052846896709392056 | [  0.87 -15.99] | -0.035243468700582634
0.054083207313957396 | [  0.87 -15.99] | -0.03519026568115207
0.05531436478800195 | [  0.87 -16.  ] | -0.03513767343430615
0.05654040928161955 | [  0.86 -16.01] | -0.035085683844726046
0.05776138047857533 | [  0.86 -16.01] | -0.03503429172113165
0.05897731711605192 | [  0.86 -16.02] | -0.0349835588911664
0.06018824522893158 | [  0.86 -16.02] | -0.034933507338382505
0.0613941846439904 | [  0.85 -16.03] | -0.03488405865761407
0.06259516800588041 | [  0.85 -16.03] | -0.034835175212191496
0.06379123332868705 | [  0.85 -16.04] | -0.034786841602794744
0.06498241968202466 | [  0.84 -16.04] | -0.03473904888204576
0.06616876597965247 | [  0.84 -16.05] | -0.0346917900300274
0.06735031064410565 | [  0.84 -16.05] | -0.03464505858709719
0.06852709153355098 | [  0.83 -16.06] | -0.034598848267147424
0.06969914594139327 | [  0.83 -16.07] | -0.034553152856660226
0.07086651061392193 | [  0.83 -16.07] | -0.03450796619359331
