-3.4, -3.0, -4.3, -0.9, 0.3, 5.1, -5.0, 1.4, -6.2, 1.2, -2.8, -4.7, -4.2, -1.4, 0.2, 3.1, 1.7, -3.8
parameter ends

state | action | reward
[-0.02] | [ 1.87 -3.01] | 0.009370845625027966
-0.06050631169971907 | [-19.9   -9.19] | -0.05053752667791914
-0.10386443059067593 | [-10.17 -14.01] | -0.14561069982533778
-0.10702100726689034 | [ -1.97 -17.98] | -0.24649901869381655
-0.07606206209002467 | [  5.01 -21.06] | -0.3463274519447434
-0.06364387160166281 | [-12.03 -22.01] | -0.46850566601613564
-0.061702648072361276 | [ -2.23 -23.94] | -0.5001030604270132
-0.02507164070873491 | [  5.23 -25.85] | -0.6092376626232218
-0.005346640080907803 | [ -9.11 -24.86] | -0.7093017092850543
0.004864842257947519 | [ -0.05 -27.04] | -0.7384973517683788
0.028481202867364847 | [ -1.94 -27.36] | -0.7411131251090013
0.06446488658124738 | [  5.57 -29.33] | -0.8481280480151973
0.08567489424760259 | [ -7.04 -27.17] | -0.8407447135948417
0.10207422486915368 | [  7.94 -22.52] | -0.12865206695929637
0.14122261766856875 | [  1.69 -14.58] | -0.1998218147490446
0.1380371432518462 | [ -7.53 -11.74] | -0.21263413602662937
0.13478927001366536 | [  1.18 -15.65] | -0.2250997398508463
0.13106208627653046 | [ -7.49 -12.24] | -0.2036312216822765
0.12859430417829099 | [  1.34 -15.79] | -0.2051193454750742
0.12602959117603604 | [ -7.22 -12.32] | -0.18347154337245788
0.1245596741333895 | [  1.47 -15.82] | -0.1866263531536428
0.12289707905050562 | [ -7.02 -12.36] | -0.16690189738599415
0.12213986092215591 | [  1.54 -15.83] | -0.17150126663283927
0.12111851277645132 | [ -6.88 -12.4 ] | -0.15329855453356422
0.12086482374960775 | [  1.56 -15.83] | -0.15891327546080003
0.12030102530178047 | [ -6.77 -12.43] | -0.141925473762898
0.12040272982628152 | [  1.56 -15.83] | -0.1482646709480485
0.1201651899030292 | [ -6.7  -12.45] | -0.13227442184350338
0.12051549654109421 | [  1.53 -15.82] | -0.13913608611302333
0.12050873621522734 | [ -6.64 -12.47] | -0.12398293197253835
0.12102958409324077 | [  1.5  -15.81] | -0.13122373071631366
0.12118320535234103 | [ -6.6  -12.48] | -0.11678567302031816
0.12181707304517846 | [  1.45 -15.8 ] | -0.12430110165736413
0.12207885480500717 | [ -6.57 -12.49] | -0.11048271364724307
0.122783068227148 | [  1.4  -15.79] | -0.11819483296894809
0.12311405017661119 | [ -6.55 -12.5 ] | -0.10491981421051148
0.12385684007462125 | [  1.34 -15.78] | -0.1127697657699549
0.12422784914353907 | [ -6.54 -12.51] | -0.09997611863158759
0.12498557015643559 | [  1.28 -15.76] | -0.10791998124587697
0.12537466531635902 | [ -6.53 -12.51] | -0.09555663744996562
0.12612967604239683 | [  1.22 -15.75] | -0.10356108579976289
0.1265203212921298 | [ -6.53 -12.52] | -0.09158538126172674
0.127259463772228 | [  1.16 -15.74] | -0.09962425808871402
0.12763925316075656 | [ -6.53 -12.52] | -0.088000098418653
0.12835280908507643 | [  1.11 -15.72] | -0.09605267624265496
0.12871252418408796 | [ -6.53 -12.53] | -0.08474924867138633
0.12939343392050334 | [  1.05 -15.71] | -0.09279902412107721
0.12972632806611734 | [ -6.53 -12.53] | -0.08178980046630893
0.1303695923232511 | [  0.99 -15.7 ] | -0.08850213873969508
0.1309073850903117 | [ -6.45 -12.58] | -0.07654050583575729
0.13196401959976078 | [  1.02 -15.73] | -0.08482053808457034
0.13265671355578398 | [ -6.46 -12.58] | -0.07425414892544877
0.13362083450262946 | [  0.96 -15.71] | -0.07775057685480263
0.13505509794930384 | [ -6.16 -12.71] | -0.06297733762060446
0.13752243521531685 | [  1.2  -15.83] | -0.0720969813065014
0.1395428315491731 | [ -6.2 -12.7] | -0.06165425306118791
0.14175685669662916 | [  1.13 -15.81] | -0.07070080293035866
0.14354099761887787 | [ -6.24 -12.69] | -0.060447327043497256
0.14552574846245864 | [  1.05 -15.79] | -0.06943340028583167
0.1470959892547119 | [ -6.27 -12.68] | -0.059337991534068324
0.1488731304390797 | [  0.99 -15.77] | -0.06660019722389193
0.15051945337757683 | [ -6.2  -12.72] | -0.0550972511862496
0.15262925729259813 | [  1.02 -15.8 ] | -0.06425204578443809
0.15431896544707122 | [ -6.24 -12.71] | -0.05434647280154822
0.1562034643159288 | [  0.95 -15.78] | -0.05785416043966951
0.15856353363305395 | [ -5.94 -12.85] | -0.04281002008280165
0.16195002765671634 | [  1.21 -15.91] | -0.05281738534156804
0.16483591726386326 | [ -6.   -12.83] | -0.042818783863618565
0.16786051702151708 | [  1.13 -15.88] | -0.05274148268225573
0.17040620164220793 | [ -6.05 -12.81] | -0.042856757941313786
0.17310515307366436 | [  1.06 -15.86] | -0.05270778432471106
0.17534453230878758 | [ -6.1 -12.8] | -0.04290734059680884
0.1777504289157493 | [  0.99 -15.84] | -0.051758105359177624
0.1798502933371736 | [ -6.09 -12.8 ] | -0.04116671465358714
0.1822558256292275 | [  0.98 -15.84] | -0.04822052201141852
0.18462662625606888 | [ -5.98 -12.86] | -0.035881172437349236
0.18755800820166552 | [  1.06 -15.89] | -0.04613757830177705
0.19001187333983252 | [ -6.03 -12.84] | -0.036373207156044474
0.19262272140449568 | [  1.   -15.87] | -0.046019794331324575
0.19484849312213756 | [ -6.05 -12.84] | -0.03582254981847038
0.19731422112013663 | [  0.96 -15.86] | -0.040652160209287636
0.20007666304534388 | [ -5.82 -12.94] | -0.025907581765284834
0.2037190414921444 | [  1.17 -15.96] | -0.03692008088829682
0.20683186719041322 | [ -5.88 -12.92] | -0.027039365265078295
0.21007666878665185 | [  1.1  -15.94] | -0.037958998886973294
0.21281416348307908 | [ -5.93 -12.9 ] | -0.028118098027950247
0.21570135622820724 | [  1.03 -15.92] | -0.038955766511776596
0.21810104899761473 | [ -5.98 -12.88] | -0.02913094745406921
0.22066671756181294 | [  0.97 -15.9 ] | -0.03553056112263374
0.22333752771259785 | [ -5.82 -12.96] | -0.021613861107651247
0.22672834056805133 | [  1.11 -15.97] | -0.0330153524288517
0.2295933518101086 | [ -5.88 -12.94] | -0.02305847591767281
0.2326081870622924 | [  1.05 -15.95] | -0.03436082961549369
0.23511780765267024 | [ -5.93 -12.92] | -0.02441105732038793
0.23779470580301185 | [  0.99 -15.93] | -0.034275660116858175
0.24015630104937785 | [ -5.91 -12.93] | -0.023049322950238857
0.2428617903377945 | [  1.   -15.93] | -0.03371230668010786
0.24516192968974448 | [ -5.93 -12.92] | -0.023061277588321247
0.24772720222795142 | [  0.97 -15.93] | -0.029939908110144207
0.25036555836803165 | [ -5.77 -13.  ] | -0.015680645205870355
0.2537199504594112 | [  1.11 -16.  ] | -0.02771670274795592
0.2565336432130085 | [ -5.83 -12.97] | -0.01754572393058734
0.25951054075932983 | [  1.05 -15.98] | -0.029475639598597895
0.2619670139861382 | [ -5.88 -12.95] | -0.01927995518307522
0.264604990481774 | [  1.   -15.96] | -0.03042036516331336
0.26682409787585526 | [ -5.89 -12.95] | -0.01953588517800068
0.26931955512448513 | [  0.97 -15.95] | -0.027037284147136315
0.27183699573847103 | [ -5.75 -13.01] | -0.012674541380686754
0.27504645978047193 | [  1.1  -16.01] | -0.025164290442672644
0.2777088855023742 | [ -5.8  -12.99] | -0.014759335732543247
0.2805521049906894 | [  1.04 -15.99] | -0.027137248174664896
0.28286776065537866 | [ -5.85 -12.97] | -0.016685381695053545
0.28538260378243335 | [  0.99 -15.97] | -0.027788326145206724
0.28752304518965965 | [ -5.84 -12.98] | -0.016182608226532127
0.29000627417197783 | [  0.99 -15.98] | -0.02709236346156513
0.2921456087193333 | [ -5.83 -12.99] | -0.0151484293263201
