3.0, -2.2, -3.3, 0.4, 7.4, 0.4, -6.2, 6.4, 2.8, -1.1, 6.1, 1.3, -1.4, -1.2, -4.1, 5.4, 5.5, 2.6
parameter ends

state | action | reward
[-0.01] | [5.98 2.2 ] | -0.0932785647591353
-0.024315344235821535 | [-1.62  4.19] | -0.14368802623475926
-0.022481724704721973 | [-2.43 28.76] | -0.3963362671135514
0.03717626432821482 | [ 1.01 40.96] | -0.5809214608807824
0.08662256171502007 | [ 0.26 28.51] | -0.5761130409691996
0.10608902340196723 | [ 1.4  26.78] | -0.6475982167868999
0.1013003513581739 | [-0.04 19.61] | -0.6876780693849661
0.08252206495549276 | [ 2.27 21.06] | -0.7398502984104202
0.0507265024969135 | [ 0.5  15.43] | -0.6982618510555302
0.00028287600373586366 | [ 1.04 14.19] | -0.6227031598766863
-0.06463147362944249 | [-0.74 10.73] | -0.6577379714178371
-0.11376898457778939 | [ 6.87 16.82] | -0.7241792027222882
-0.15551603132964842 | [ 3.83 12.62] | 0.08140794105968134
-0.24280968941052844 | [ 3.78 -6.13] | 0.7463749884507349
-0.3573786481653744 | [  0.96 -11.43] | 1.2585295229869056
-0.4849272479919806 | [ -0.72 -15.46] | 1.2390529411341218
-0.5837650766282724 | [  8.32 -12.17] | 1.38054186518477
-0.6760659843758549 | [  2.54 -19.01] | 1.8544070023968033
-0.7908231993222344 | [  0.03 -24.25] | 1.7692784318190387
-0.89419136890573 | [  4.61 -24.59] | 1.6347923782148517
-0.989173889608548 | [  3.63 -30.18] | 1.4950938809405971
-1.0840553756612976 | [  4.43 -33.8 ] | 1.1291799081361638
-1.1701220131076855 | [  5.54 -35.61] | 0.6889777292633685
-1.244000588019266 | [  6.37 -36.  ] | 0.1831196229214808
-1.2976664800574522 | [ 16.86 -25.82] | -1.4506867661086051
-1.2346628799287755 | [ 30.18 -20.92] | -1.7756454741425005
-1.1571409015388698 | [ 30.07 -24.61] | -1.8148390706315711
