-3.0, 4.9, 1.7, -3.1, -5.4, 0.0, 3.1, 5.8, -3.5, -3.6, 1.9, 4.7, -4.7, -0.9, 1.0, -2.4, 1.0, -0.5
parameter ends

state | action | reward
[0.04] | [ 1.12 -0.55] | -0.026524289699621707
0.005417828342514652 | [-22.53  -9.87] | -0.12591414013298513
-0.03088934357997146 | [-10.73  -0.33] | -0.075280481163137
-0.024234961367397893 | [5.73 8.  ] | -0.0446553802668799
-0.013281159951976112 | [-0.95 -1.65] | -0.03897067077424816
-0.0038241165349449527 | [5.65 6.69] | -0.048849153606067966
0.003232209778066765 | [-1.29 -2.87] | -0.04254047479278604
0.010297742801176303 | [6.41 6.15] | -0.048749305417983696
0.01642974637414624 | [-0.85 -3.38] | -0.05273471953648152
0.019124924047585465 | [4.53 4.33] | -0.0655243863307211
0.017985502165946625 | [-2.69 -5.14] | -0.06459158256163049
0.017346018769381733 | [5.46 4.06] | -0.06488721456451578
0.01644339347689559 | [-2.   -5.39] | -0.06290005158460109
0.015975141311365782 | [6.21 3.83] | -0.06396446280546901
0.015216058684979937 | [-1.44 -5.6 ] | -0.061153932328610855
0.014849001445894757 | [6.83 3.65] | -0.06292079370008422
0.014176971775227639 | [-0.97 -5.78] | -0.06210582698024426
0.013131233874928547 | [6.85 3.17] | -0.06607760912668084
0.011111238230759504 | [-1.02 -6.24] | -0.06319283972509715
0.009534802960534265 | [7.41 3.04] | -0.06466949451426963
0.007732123495516915 | [-0.58 -6.37] | -0.09459823877362827
-0.002881358984600705 | [ 1.55 -1.1 ] | -0.294217957672505
-0.029695347485735976 | [-17.67 -10.37] | -0.47953257518133585
-0.05721586144988234 | [-4.93 -1.2 ] | -0.4600221017346178
-0.04631382281796825 | [5.99 6.74] | -0.4294095230191856
-0.03663989799020442 | [-1.22 -3.33] | -0.39791706950847133
-0.026571330016164182 | [9.03 5.42] | -0.3849745925687432
-0.017658441134080452 | [ 0.75 -4.41] | -0.48397835936847566
-0.04182475647179637 | [-10.25 -10.63] | -0.6206231998604438
-0.05883263228268382 | [ 1.85 -1.41] | -0.7238531409551737
-0.07433790912897306 | [-9.85 -9.77] | -0.6125833528471453
-0.08603995349795629 | [12.73 -3.88] | -0.10564831674351091
-0.09669107891796141 | [  3.06 -12.36] | -0.17440612848107537
-0.1393428936967854 | [ -5.86 -18.96] | -0.2007435460166706
-0.17521496378952733 | [  5.75 -10.15] | -0.1656949160577711
-0.2075388596586781 | [ -2.48 -16.89] | -0.1677123758230007
-0.2356689431392349 | [ 7.98 -9.27] | -0.14339415371163575
-0.2615822495727675 | [  0.02 -15.72] | -0.12892020102738144
-0.2991334871484637 | [  1.54 -15.08] | -0.09061547488798273
-0.3461619955468934 | [ -4.16 -19.95] | -0.0999233672037689
-0.38575806909925364 | [  5.5  -13.24] | -0.07049508120737659
-0.42112595181483964 | [ -0.38 -18.05] | -0.05556951772960074
-0.4593711641210798 | [  4.06 -15.28] | -0.01506246501374096
-0.5006244927633181 | [ -0.77 -19.29] | -0.06638012237907123
-0.5290599843052678 | [14.04 -9.02] | -0.24233170069409032
-0.5161939558706253 | [16.05 -7.46] | -0.23546275763332472
-0.5041021927206469 | [15.34 -7.88] | -0.21902063708868358
-0.49409081532141447 | [15.07 -8.  ] | -0.21038026560630912
-0.4848231309904089 | [14.99 -7.99] | -0.20425353530838947
-0.47589100885929503 | [14.96 -7.96] | -0.19884159274360505
-0.46720645729104227 | [14.94 -7.91] | -0.19377276243130048
-0.458746665409345 | [14.91 -7.87] | -0.18897413059706433
-0.4504993420962941 | [14.89 -7.83] | -0.18442017658694673
-0.4424540559176126 | [14.87 -7.8 ] | -0.18009237457688754
-0.43460117082898536 | [14.84 -7.76] | -0.17597424503371967
-0.42693171915296907 | [14.82 -7.72] | -0.1720508433182808
-0.41943734753438017 | [14.8  -7.69] | -0.16830860621298172
-0.41211026469907264 | [14.78 -7.65] | -0.16473520662153116
-0.4049431923941008 | [14.76 -7.62] | -0.16131941763480717
-0.39792932106702456 | [14.74 -7.59] | -0.15805099217403665
-0.3910622701739327 | [14.71 -7.56] | -0.15492055782802033
-0.38433605261961024 | [14.7  -7.52] | -0.1519195249711431
-0.37774504283094773 | [14.68 -7.49] | -0.14904000627557212
-0.3712839480252466 | [14.66 -7.46] | -0.14627474599944923
-0.36494778229506364 | [14.64 -7.43] | -0.14361705768812416
-0.35873184318275986 | [14.62 -7.4 ] | -0.14106076913905474
-0.35263169046156556 | [14.6  -7.38] | -0.1386001736575435
