0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2.0, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 4.0, 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5.0, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6.0, -0.5, -0.6, -0.7, -0.8, -0.9, -1.0, -1.1, -1.2, -1.3, -1.4, -1.5, -1.6, -1.7, -1.8, -1.9, -2.0, -2.1, -2.2, -2.3, -2.4, -2.5, -2.6, -2.7, -2.8, -2.9, -3.0, -3.1, -3.2, -3.3, -3.4, -3.5, -3.6, -3.7, -3.8, -3.9, -4.0, -4.1, -4.2, -4.3, -4.4, -4.5, -4.6, -4.7, -4.8, -4.9, -5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
parameter ends

state | action | reward
[1.25] | [1.6  1.72 1.86 1.98 2.11 2.23] | 1.1311391053422546
1.246007959598777 | [-77.65 -79.82 -79.01 -81.09 -83.17 -85.25] | -38.646080859152335
1.243580030723454 | [44.63 47.23 51.   53.63 56.26 58.9 ] | -15.615850312597846
1.2404482870591536 | [-77.69 -79.98 -78.43 -80.6  -82.78 -84.95] | -38.43277833015023
1.2366159472667324 | [46.19 48.83 54.09 56.81 59.52 62.23] | -17.363724916492927
1.232074134343256 | [-80.2  -82.59 -80.27 -82.52 -84.77 -87.01] | -40.537677825355246
1.2268451179273403 | [47.9  50.58 57.32 60.12 62.92 65.72] | -19.30322617036943
1.2209233049645583 | [-82.66 -85.15 -82.08 -84.39 -86.71 -89.02] | -42.65230439988006
1.214327597597444 | [49.73 52.45 60.65 63.54 66.43 69.32] | -21.42014173683872
1.2070538133954218 | [-84.97 -87.54 -83.73 -86.11 -88.48 -90.86] | -44.6560914440169
1.1995925106949985 | [32.36 34.54 42.66 45.02 47.39 49.75] | -10.103993720721652
1.1947740262020325 | [-58.37 -60.12 -59.87 -61.56 -63.25 -64.95] | -21.940140750143264
1.191892754697521 | [65.79 68.97 75.09 78.36 81.63 84.9 ] | -34.08206330384844
1.1901992965250405 | [-37.94 -39.07 -40.43 -41.57 -42.7  -43.83] | -9.44015594876039
1.189563704985154 | [ 84.39  88.13  93.31  97.1  100.88 104.66] | -53.53250605970912
1.1894268577624825 | [-26.3  -27.06 -29.21 -30.01 -30.81 -31.61] | -4.522389790225871
