0.7, 0.5, 0.6, 0.7, 0.4, 0.3, 0.2, 0.1, 0.0, -0.1, -0.2, -0.3, -0.4, -0.5, -0.6, -0.7, -0.8, -0.9, -1.0, -1.1, -1.2, -1.3, -1.4, -1.5, -1.6, -1.7, -1.8, -1.9, -2.0, -2.1, -2.2, -2.3, -2.4, -2.5, -2.6, -2.7, -2.8, -2.9, -3.0, -3.1, -3.2, -3.3, -3.4, -3.5, -3.6, -3.7, -3.8, -3.9, -4.0, -4.1, -4.2, -4.3, -4.4, -4.5, -4.6, -4.7, -4.8, -4.9, -5.0, -5.1, -5.2, -5.3, -5.4, -5.5, -5.6, -5.7, -5.8, -5.9, -6.0, -5.9, -5.8, -5.7, -5.6, -5.5, -5.4, -5.3, -5.2, -5.1, -5.0, -4.9, -4.8, -4.7, -4.6, -4.5, -4.4, -4.3, -4.2, -4.1, -4.0, -3.9, -3.8, -3.7, -3.6, -3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
parameter ends

state | action | reward
[1.25] | [0.97 0.72 0.85 0.98 0.6  0.47] | 1.2026679136573502
1.2536353294713398 | [-102.38 -101.04  -99.33  -97.29  -95.76  -93.97] | -57.21902010333202
1.2522418699670839 | [153.12 152.87 152.99 151.46 149.42 147.64] | -136.52244886952832
1.250182724909506 | [-107.74 -106.76 -105.41 -103.37 -101.82 -100.03] | -64.41439232013987
1.2474548483583712 | [154.74 154.47 154.58 153.04 151.   149.21] | -139.42050312759164
1.2440490270560387 | [-109.5  -108.5  -107.12 -105.04 -103.46 -101.62] | -66.53482976163572
1.239979517611187 | [156.38 156.09 156.16 154.62 152.58 150.78] | -142.35719801245028
1.235239225041413 | [-111.07 -110.05 -108.66 -106.54 -104.91 -103.04] | -68.45765061153215
1.2298396750738783 | [158.03 157.71 157.76 156.21 154.17 152.37] | -145.34261070368967
1.2237757276721861 | [-112.48 -111.43 -110.02 -107.86 -106.19 -104.28] | -70.18064178219582
1.2170563680876005 | [159.69 159.35 159.37 157.81 155.77 153.96] | -148.38361061245843
1.2096782719055912 | [-113.71 -112.64 -111.21 -109.01 -107.31 -105.36] | -71.70593912682428
1.2020577647954978 | [128.   128.56 129.47 128.76 127.56 126.61] | -97.80782709013047
1.1972569077794488 | [-85.9  -85.25 -84.24 -82.55 -81.35 -79.91] | -40.84268053268826
1.1946374616845512 | [157.09 157.13 157.53 156.21 154.42 152.87] | -145.09894077181175
1.1934169560405987 | [-68.11 -67.71 -66.96 -65.62 -64.75 -63.64] | -25.58464957918416
1.1934976436025133 | [182.23 181.81 181.75 179.91 177.6  175.52] | -193.35719657791572
1.1942024577513861 | [-52.11 -51.99 -51.5  -50.47 -49.91 -49.12] | -14.885775625322513
1.1955176033401502 | [200.18 199.45 199.08 196.91 194.26 191.84] | -232.1686794206445
1.1968746308561677 | [-57.36 -57.02 -56.31 -55.08 -54.33 -53.34] | -17.91569016250154
1.1978075159636445 | [225.42 224.17 223.28 220.64 217.52 214.64] | -292.34863117536366
1.1980053833519546 | [-57.37 -56.99 -56.26 -54.99 -54.2  -53.17] | -17.851452244967344
1.1974565154454482 | [224.6  223.37 222.49 219.91 216.85 214.03] | -290.3841888482199
