2.5, 1.0, -1.5, 2.5, 0.0, 0.0, 0.5, -0.5, 1.0, -1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[1.25] | [ 3.11e+00  1.24e+00 -1.87e+00  3.11e+00  8.35e-04  0.00e+00] | 1.0072142165284874
1.2455088423343874 | [ 3.12e+00  1.24e+00 -1.86e+00  3.11e+00  2.03e-03  0.00e+00] | 0.8663740382128364
1.2467653413026043 | [ 3.12e+00  1.24e+00 -1.86e+00  3.11e+00  2.62e-03  0.00e+00] | 0.7150353701827742
1.2490931297999406 | [ 3.12e+00  1.25e+00 -1.87e+00  3.12e+00  2.24e-03  0.00e+00] | 0.6139254847627792
1.2527687976309356 | [ 3.13e+00  1.25e+00 -1.88e+00  3.13e+00  1.48e-03  0.00e+00] | 0.5116344086841489
1.2578161812182018 | [ 3.14e+00  1.26e+00 -1.89e+00  3.14e+00  2.48e-04  0.00e+00] | 0.39472856287035113
1.2641890994132359 | [ 3.16e+00  1.27e+00 -1.90e+00  3.16e+00 -1.67e-03  0.00e+00] | 0.25958247021417163
1.2718143563866822 | [ 3.18  1.28 -1.92  3.19 -0.    0.  ] | 0.1056837564709333
1.2806124270049155 | [ 3.19  1.29 -1.94  3.22 -0.01  0.  ] | -0.06743411569253992
1.2904972772169607 | [ 3.21  1.3  -1.96  3.25 -0.01  0.  ] | -0.2615334393467446
1.301362605891554 | [ 3.23  1.32 -1.99  3.3  -0.02  0.  ] | -0.46475323835966204
1.3129818240995008 | [ 3.25  1.34 -2.03  3.34 -0.03  0.  ] | -0.43540920979835274
1.324038467727627 | [ 3.27  1.36 -2.06  3.39 -0.04  0.  ] | -0.34845671568369907
1.3342291990997248 | [ 3.29  1.38 -2.09  3.43 -0.05  0.  ] | -0.29776679392823713
1.3435496286212454 | [ 3.31  1.4  -2.12  3.47 -0.05  0.  ] | -0.26327010707645393
1.3517110443590534 | [ 3.32  1.41 -2.15  3.5  -0.06  0.  ] | -0.2353000222698433
1.3588330444035879 | [ 3.33  1.43 -2.17  3.53 -0.07  0.  ] | -0.21622572148255625
1.3650868529110087 | [ 3.34  1.44 -2.2   3.56 -0.07  0.  ] | -0.20474307111202883
1.3705545779627626 | [ 3.34  1.45 -2.22  3.59 -0.08  0.  ] | -0.19927827959626837
1.3752729902094807 | [ 3.35  1.46 -2.24  3.62 -0.09  0.  ] | -0.19796242041031797
1.3792449006942884 | [ 3.35  1.47 -2.26  3.64 -0.1   0.  ] | -0.19927252171099785
1.3824586945094155 | [ 3.35  1.48 -2.28  3.66 -0.1   0.  ] | -0.20225632565780105
1.3849015720168658 | [ 3.35  1.49 -2.3   3.68 -0.11  0.  ] | -0.2062192680481306
1.3865603178772499 | [ 3.35  1.5  -2.31  3.7  -0.12  0.  ] | -0.21066144160153838
1.3874215374226115 | [ 3.34  1.51 -2.33  3.72 -0.12  0.  ] | -0.21523055974128064
1.3874716984243145 | [ 3.34  1.52 -2.34  3.73 -0.13  0.  ] | -0.21968400132383084
1.3866970669391545 | [ 3.33  1.53 -2.36  3.74 -0.14  0.  ] | -0.2238584473821748
1.3850835911573105 | [ 3.32  1.53 -2.37  3.76 -0.15  0.  ] | -0.22764590156789963
1.3826167654658688 | [ 3.3   1.54 -2.38  3.77 -0.15  0.  ] | -0.23097507079445942
1.3792814934548987 | [ 3.29  1.54 -2.39  3.77 -0.16  0.  ] | -0.233797211511122
1.3750619601924394 | [ 3.27  1.55 -2.4   3.78 -0.17  0.  ] | -0.2360756500207056
1.3699415188382909 | [ 3.25  1.55 -2.41  3.78 -0.18  0.  ] | -0.23777828026672984
1.3639025933979723 | [ 3.22  1.55 -2.42  3.79 -0.19  0.  ] | -0.23887243790026239
1.356926597461075 | [ 3.2   1.55 -2.43  3.79 -0.2   0.  ] | -0.2393216470745193
1.348993867719907 | [ 3.17  1.55 -2.43  3.78 -0.21  0.  ] | -0.23908383453200788
1.340083610670516 | [ 3.14  1.56 -2.44  3.78 -0.21  0.  ] | -0.23811070081582347
1.3301738609829037 | [ 3.1   1.55 -2.44  3.77 -0.22  0.  ] | -0.23634802733206384
1.3192414504571819 | [ 3.06  1.55 -2.45  3.77 -0.23  0.  ] | -0.23373677751656954
1.3072619871502642 | [ 3.02  1.55 -2.45  3.76 -0.24  0.  ] | -0.23021491827179075
1.294209845074551 | [ 2.98  1.55 -2.45  3.74 -0.25  0.  ] | -0.2257199425364387
1.2800581657616825 | [ 2.94  1.54 -2.45  3.73 -0.26  0.  ] | -0.22019211407432707
1.2647788738880958 | [ 2.89  1.54 -2.45  3.71 -0.28  0.  ] | -0.21357848003202698
1.2483427100207845 | [ 2.84  1.53 -2.44  3.69 -0.29  0.  ] | -0.20583770382916727
1.230719284312792 | [ 2.78  1.53 -2.44  3.67 -0.3   0.  ] | -0.19694575811815965
1.2118771556126298 | [ 2.72  1.52 -2.43  3.65 -0.31  0.  ] | -0.1869024815692182
1.1917839409038706 | [ 2.66  1.51 -2.43  3.62 -0.32  0.  ] | -0.1757389397421958
1.1704064602117004 | [ 2.59  1.5  -2.42  3.59 -0.33  0.  ] | -0.163525433866892
1.1477109220469122 | [ 2.53  1.49 -2.41  3.56 -0.34  0.  ] | -0.15037986559561867
1.1236631540378836 | [ 2.45  1.48 -2.4   3.52 -0.36  0.  ] | -0.1364759839229441
1.0982288825414566 | [ 2.38  1.47 -2.38  3.48 -0.37  0.  ] | -0.12205080674923534
1.0713740636103237 | [ 2.3   1.45 -2.37  3.44 -0.38  0.  ] | -0.10741022289733866
1.0430652655812298 | [ 2.21  1.44 -2.35  3.4  -0.39  0.  ] | -0.09293145192349378
1.013270100569506 | [ 2.13  1.42 -2.34  3.35 -0.41  0.  ] | -0.07906070645994345
0.9819576981795998 | [ 2.03  1.4  -2.32  3.3  -0.42  0.  ] | -0.06630415244749616
0.949099209794896 | [ 1.94  1.38 -2.29  3.24 -0.44  0.  ] | -0.05521026430029969
0.9146683263001216 | [ 1.84  1.36 -2.27  3.19 -0.45  0.  ] | -0.046342199340489325
0.8786417871083413 | [ 1.73  1.34 -2.25  3.13 -0.46  0.  ] | -0.04024023684755332
0.8409998559512457 | [ 1.62  1.32 -2.22  3.06 -0.48  0.  ] | -0.03737698256447891
0.8017267419200094 | [ 1.51  1.3  -2.19  2.99 -0.49  0.  ] | -1.0381119265801526
Total reward: -6.577433503297398
