1.7, 1.9, -1.8, -1.0, -3.5, -0.0, -10.0, -0.0, 0.7, -1.5, -3.7, -0.0, 2.9, 3.4, -1.0, -1.9, -3.6, -3.2, -3.8, 1.7, 3.9, -4.2, 0.8, 4.0, 0.8, 3.9, -2.1, -2.4, -1.4, -3.7, 1.9, 1.2, 3.3, -0.0, -5.1, 6.1, -1.0, -3.4, -4.2, -1.6, -2.1, 2.4, 3.5, 3.5, -4.4, -0.6, -2.5, 0.2, 0.8, -1.9, 0.3, 3.3, -5.6, 3.9, -6.8, 0.9, 1.8, -4.2, -6.7, -0.2, 0.6, 1.7, 1.4, 0.5, 0.9, 0.9, -3.8, 3.6, -2.7, -2.5, -3.4, -2.1, -1.7, -0.7, 0.2, -3.3, 4.9, 1.5, -1.4, -1.0, -4.3, -0.6, -2.9, -2.3, -11.1, 0.9, 1.2, 3.4, -2.3, 0.4, 1.9, 2.1, 1.6, 4.1, -1.7, 3.4, -2.6, -2.8, -1.0, -1.2, 3.5, -2.2, -1.7, -2.0, 5.4, 1.5, -0.8, 0.5
parameter ends

state | action | reward
[1.25] | [ 0.39  0.39  3.13  0.26 -5.16  0.47] | 0.8665252082122079
1.2481239480688722 | [-63.27 -48.99 -58.75 -31.18   3.13 -66.95] | -14.829042837481254
1.246280966794193 | [184.71 -13.11  30.01  28.22  11.15  65.15] | -39.88013262769782
1.2431911204979982 | [  6.57  14.4  -61.85  18.19 -85.08 -48.69] | -13.000228581929232
1.2405964387697759 | [-121.3    71.3   -10.9    31.24 -115.95  -33.65] | -34.247374000842555
1.2400611408034314 | [-110.71   61.     44.94   -2.87  -27.6    13.16] | -18.14709256283536
1.239071448008736 | [ 33.24 -69.14  20.41 -55.93 106.51   3.07] | -20.29631954793756
1.2340410690141261 | [ 41.71 -89.76 -50.31 -39.88  60.97 -48.26] | -19.478589334248117
1.228380144188841 | [139.81 -27.7   -5.12  13.24   8.7    1.87] | -19.820686218217244
1.2240033404673356 | [-77.94  45.99  22.48  38.29 -33.36 -19.88] | -10.651776228502639
1.2187422916337887 | [-78.01  21.   -17.47   9.04 -41.23 -40.01] | -9.306141090028007
1.214727042884692 | [-17.45  13.38  52.34 -12.17  34.53  28.86] | -4.657733325246908
1.2109463502103568 | [142.51 -58.99  23.36 -16.19 104.44  44.76] | -36.81186209718477
1.2018122242453966 | [122.68 -83.62 -35.43  -4.98  73.69   4.06] | -28.142492881493176
1.1921322648388406 | [140.28 -73.67 -17.33  18.99  55.37   3.28] | -28.2125942972445
1.1866020893787732 | [ 36.23  -1.06 -19.18   9.83 -18.8  -36.45] | -2.5961517415037263
1.1891779442607016 | [-164.75   29.67  -24.96    7.38  -60.23  -69.46] | -36.20092652117588
1.1964725441892656 | [-167.69   26.12  -17.13   -7.04  -47.16  -75.42] | -36.42508443460729
1.2044134570064784 | [-18.77  -5.67  15.03 -22.47  13.11 -13.97] | -1.385648631649678
1.2102695239700874 | [174.73 -20.79 -14.48  21.71 -22.58  33.06] | -33.30193935046067
1.2143110993120168 | [-84.6   29.54 -10.21  -6.72 -57.03 -57.1 ] | -15.039566261444907
1.2191737161697032 | [161.26 -34.6   40.52 -28.61  54.67  15.99] | -33.451077592216095
1.2203243635962886 | [169.7  -29.03  13.43  16.36   8.96   0.99] | -30.239575422559618
1.2184576013315769 | [-68.98  11.14 -75.07   0.57 -71.66 -83.01] | -22.404999616675816
1.2175932096723254 | [-11.41  16.86   3.03   5.12 -33.23 -39.71] | -3.1583400346030137
1.2179243939705133 | [-41.     4.99 -38.54  -5.21 -65.82 -44.  ] | -9.857158290451517
1.2170418707579667 | [151.51 -48.48  20.77 -51.48  81.37   5.65] | -35.50469242411689
1.211707857050146 | [167.8  -47.85 -30.69 -12.86   9.2  -10.97] | -31.956055061788426
1.2036850048428345 | [216.57  -9.54  56.68  51.    23.04  54.3 ] | -56.15844100626769
1.1971555965858198 | [ 72.48  42.15 -27.4   36.67 -98.3  -16.77] | -18.755564273564755
1.1971246365139498 | [-115.73   64.69   26.92   25.39  -63.02  -33.39] | -23.747087936402213
1.201300395293517 | [-148.42   37.49  -33.26   -1.28  -75.41  -72.86] | -35.51508424668216
1.202789552586522 | [  0.81 -11.12  34.52  -9.93  37.21 -11.28] | -3.065411639109419
1.201583907528266 | [ 75.11 -33.32 -11.86  -2.67   9.2  -18.35] | -7.354323098753291
1.200591386396377 | [143.83  -9.23  43.1   15.67  29.94  22.1 ] | -24.049360521634163
1.2020205139663092 | [-115.72   15.15  -30.74    4.67  -45.61  -77.15] | -22.321573910926237
1.2058345411860156 | [-130.65   40.45   17.77    2.27  -27.99  -43.67] | -21.60540639404439
1.209955356716727 | [-116.79   47.1    -9.95    3.39  -74.23  -37.25] | -22.924219633919037
1.214008655976233 | [-109.61   58.85   37.73   -2.33  -28.02   -9.25] | -18.124197133613592
1.2154670779646588 | [ 40.36 -44.26   7.68 -10.6   36.04   0.79] | -5.360869972031727
1.2129262916253698 | [ 71.27 -54.06 -25.25  -3.07  11.35 -15.58] | -9.152537525307798
1.2090152486060497 | [108.97 -31.26  11.11  13.06  20.11   9.78] | -13.524542137479054
1.2063046101258725 | [-164.73   -5.28  -62.8     4.32  -52.91  -94.02] | -42.53336716714952
1.2035228143096448 | [-128.59   44.58  -22.66   15.22  -80.56  -68.69] | -30.38890332718018
1.1985431494209104 | [-109.3    61.46   28.53   17.29  -45.05  -33.76] | -19.84574394711813
1.1910544530965657 | [-120.62    2.66  -29.63    6.84  -40.22  -59.89] | -20.66428271163372
1.1805533323788096 | [-17.29 -31.22  42.1   -0.96  67.34 -12.9 ] | -7.957547407537321
1.1664821143945063 | [141.84 -84.31 -39.76 -33.05  73.99 -31.86] | -37.58745859494984
Total reward: -1028.7726783912349
1.7, 1.9, -1.8, -1.0, -3.5, -0.0, -10.0, -0.0, 0.7, -1.5, -3.7, -0.0, 2.9, 3.4, -1.0, -1.9, -3.6, -3.2, -3.8, 1.7, 3.9, -4.2, 0.8, 4.0, 0.8, 3.9, -2.1, -2.4, -1.4, -3.7, 1.9, 1.2, 3.3, -0.0, -5.1, 6.1, -1.0, -3.4, -4.2, -1.6, -2.1, 2.4, 3.5, 3.5, -4.4, -0.6, -2.5, 0.2, 0.8, -1.9, 0.3, 3.3, -5.6, 3.9, -6.8, 0.9, 1.8, -4.2, -6.7, -0.2, 0.6, 1.7, 1.4, 0.5, 0.9, 0.9, -3.8, 3.6, -2.7, -2.5, -3.4, -2.1, -1.7, -0.7, 0.2, -3.3, 4.9, 1.5, -1.4, -1.0, -4.3, -0.6, -2.9, -2.3, -11.1, 0.9, 1.2, 3.4, -2.3, 0.4, 1.9, 2.1, 1.6, 4.1, -1.7, 3.4, -2.6, -2.8, -1.0, -1.2, 3.5, -2.2, -1.7, -2.0, 5.4, 1.5, -0.8, 0.5
parameter ends

state | action | reward
[1.25] | [ 0.36  0.37  3.19  0.27 -5.17  0.57] | 0.8139766667651122
1.2464408386474786 | [-44.47 -55.4  -58.28 -31.75  10.07 -64.98] | -13.33951780018531
1.2442894465487904 | [183.55 -16.05  25.36  31.02   7.51  58.58] | -38.671125936176736
1.2408113963015548 | [  6.72   9.08 -65.74  13.1  -78.45 -54.24] | -12.811299930661596
1.2380395560462802 | [-126.1    66.18  -14.65   27.85 -109.99  -39.35] | -33.80103020594558
1.2374773906195975 | [-115.54   67.24   38.27   -5.73  -39.68    2.49] | -20.21157064181453
1.2363139985184892 | [ 14.61 -67.53  18.7  -50.95 101.63   1.25] | -17.608741768638836
1.2310432811484258 | [ 20.63 -83.6  -54.97 -39.05  48.3  -58.17] | -17.238317193572772
1.225010391730111 | [128.93 -15.31  -8.54  16.42 -11.76  -3.64] | -16.883199512737463
1.2210761017623475 | [-88.73  51.8   17.7   15.94 -52.11 -33.05] | -14.718401518197142
