-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0
parameter ends

state | action | reward
[1.25] | [-2.64 -1.51 -0.37  0.76  1.9   3.04] | 0.9103146950776522
1.252329094369935 | [-17.81 -15.59 -13.38 -11.16  -8.94  -6.72] | -0.6254880144053357
1.251811565346624 | [ 43.07  23.08   3.09 -16.89 -36.88 -56.86] | -7.403142279451645
1.2510988467726925 | [ 67.96  45.37  22.78   0.18 -22.41 -45.  ] | -9.673912300035143
1.2495918558264674 | [37.45 29.45 21.46 13.46  5.46 -2.54] | -2.247592740113345
1.249243712386974 | [ 1.25 10.93 20.6  30.28 39.96 49.64] | -3.846188255364507
1.2487143143275563 | [-34.27 -19.34  -4.42  10.51  25.44  40.36] | -1.9123090515281493
1.2451193732433599 | [-68.51 -44.24 -19.97   4.3   28.57  52.84] | -8.941743509103294
1.2407658582879346 | [-46.35 -31.48 -16.61  -1.75  13.12  27.99] | -3.014363341626731
1.2369002065312913 | [  1.4   -2.68  -6.76 -10.84 -14.92 -19.  ] | 0.11146083171852095
1.2335329799322248 | [ 21.98  14.38   6.78  -0.82  -8.42 -16.01] | -0.4793847180153037
1.2301956781930603 | [ 23.49  15.27   7.05  -1.16  -9.38 -17.6 ] | -0.6854426110716586
1.2261052559344696 | [46.42 38.17 29.92 21.67 13.41  5.16] | -4.166816389109927
1.220513729361881 | [-37.69 -20.09  -2.49  15.12  32.72  50.32] | -4.251694199048078
1.2133095918042869 | [-36.31 -23.14  -9.98   3.19  16.35  29.52] | -2.0270627228901463
1.2054965327138076 | [-29.38 -27.75 -26.12 -24.49 -22.86 -21.22] | -3.44226231515543
1.200027883236231 | [  9.61  -3.74 -17.09 -30.44 -43.79 -57.14] | -6.79079077904208
1.1971598121105098 | [ 26.29  12.81  -0.67 -14.16 -27.64 -41.12] | -3.9877261452557153
1.1963377727205433 | [ 44.45  26.43   8.41  -9.62 -27.64 -45.66] | -6.112528698727161
1.1960464655426117 | [ 67.3   51.35  35.41  19.47   3.53 -12.42] | -8.811579352416528
1.1966117799783869 | [29.02 32.98 36.95 40.92 44.88 48.85] | -8.223219986218874
1.1997018282057281 | [-17.48  -1.57  14.34  30.25  46.16  62.07] | -5.83123685939111
1.202193926841403 | [-18.73  -4.79   9.16  23.11  37.05  51.  ] | -3.6265632199600226
1.2024468535421744 | [-26.55 -13.75  -0.94  11.87  24.67  37.48] | -1.9873626104888502
1.2031102897124824 | [-20.47 -10.12   0.23  10.57  20.92  31.27] | -1.1899257551546847
1.2045232395123004 | [-6.89 -2.95  0.99  4.93  8.87 12.81] | 0.46462713634492137
1.2058945986503982 | [ 5.55  3.91  2.27  0.64 -1.   -2.64] | 0.7448145855043227
1.208607948733984 | [-13.84 -18.5  -23.16 -27.81 -32.47 -37.12] | -3.8996005512384975
1.2118836067538175 | [ 62.69  33.65   4.6  -24.44 -53.48 -82.53] | -15.428614106285224
1.2141040231882603 | [ 49.1  21.8  -5.5 -32.8 -60.1 -87.4] | -15.290996171795808
1.2167595844756498 | [ 39.07  13.63 -11.81 -37.24 -62.68 -88.12] | -14.994800823711191
1.2207858822202031 | [ 33.49  10.57 -12.35 -35.27 -58.18 -81.1 ] | -12.639368400698345
1.225630652611317 | [ 37.03  14.84  -7.35 -29.55 -51.74 -73.93] | -10.65050693783647
1.230388681229674 | [ 37.91  15.56  -6.79 -29.13 -51.48 -73.83] | -11.01162681774268
1.2361349596138362 | [ 25.84   4.47 -16.9  -38.27 -59.64 -81.01] | -13.44682143763622
1.2432366758541555 | [ 37.08  13.91  -9.27 -32.44 -55.62 -78.79] | -13.076724899947726
1.249675371589596 | [ 45.72  24.76   3.81 -17.15 -38.1  -59.06] | -8.956541855770688
1.2542487507744728 | [ 41.87  29.54  17.21   4.88  -7.45 -19.79] | -4.175691111533417
1.261029833088444 | [ 2.85  6.02  9.19 12.37 15.54 18.71] | -1.145743787902193
1.2736460947016608 | [-39.86 -25.45 -11.05   3.36  17.76  32.17] | -3.461760384852982
1.2874844591472758 | [-46.77 -30.89 -15.     0.88  16.76  32.64] | -4.232483378040852
1.2997021818058878 | [-51.35 -36.97 -22.59  -8.21   6.17  20.55] | -4.670510538509258
1.3085407511342526 | [-15.25 -18.84 -22.44 -26.03 -29.63 -33.22] | -3.9990678841486327
1.3120872112996154 | [ 22.18   6.88  -8.43 -23.74 -39.04 -54.35] | -6.246747151074212
1.3124408001400172 | [ -2.37 -13.78 -25.19 -36.6  -48.01 -59.42] | -8.801006867756593
1.3062472443564392 | [ 28.78   7.87 -13.04 -33.94 -54.85 -75.76] | -12.808411279629382
Total reward: -265.9841429910387
-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0
parameter ends

state | action | reward
[1.25] | [-2.58 -1.46 -0.35  0.77  1.88  2.99] | 0.9279109942886007
1.2541773657298751 | [-16.15 -13.75 -11.36  -8.96  -6.56  -4.16] | -0.34424127421550654
1.2535742747999796 | [ 43.6   23.64   3.68 -16.28 -36.24 -56.2 ] | -7.32974628350997
1.2527538400679592 | [ 68.34  46.04  23.74   1.44 -20.86 -43.16] | -9.48776985017515
1.251732995505955 | [12.87 12.27 11.68 11.08 10.49  9.89] | 0.14545380864071755
1.2502202461965288 | [-15.93  -6.66   2.61  11.88  21.15  30.42] | -0.48856464737848526
1.2443701785705736 | [-34.92 -21.22  -7.53   6.16  19.86  33.55] | -2.224910223636547
1.2360129123574408 | [-21.36 -11.75  -2.14   7.48  17.09  26.71] | -0.7396140789743235
1.2274497524834986 | [-1.87  4.29 10.45 16.6  22.76 28.92] | -0.6689930555827501
1.2178223430088206 | [-13.13  -5.93   1.27   8.48  15.68  22.88] | 0.25475976310789505
1.2064611399296137 | [-0.11  8.16 16.44 24.71 32.99 41.26] | -2.1317753151692758
1.1988649457396228 | [-30.72 -18.07  -5.43   7.22  19.87  32.51] | -0.887347594304682
1.196465927449 | [-20.72 -15.59 -10.46  -5.33  -0.2    4.93] | 0.45602078670591495
1.1956563872200885 | [ 17.21   6.53  -4.15 -14.82 -25.5  -36.18] | -2.0726178486116535
1.1957328445952047 | [ 38.18  21.35   4.53 -12.3  -29.13 -45.96] | -4.872047090427624
1.1971292878729454 | [ 39.88  22.95   6.01 -10.93 -27.87 -44.81] | -5.0084387744548975
1.1989823284005592 | [ 44.44  31.71  18.98   6.25  -6.48 -19.21] | -3.5495195234284647
1.2035336542274762 | [-2.99  4.77 12.52 20.27 28.03 35.78] | -2.0942441280790054
1.2081334475910297 | [-6.2   2.87 11.93 21.   30.06 39.13] | -2.3400504677724037
1.210040027785348 | [-11.79  -1.55   8.68  18.91  29.15  39.38] | -2.1518289051920174
1.210099406192696 | [-34.74 -22.92 -11.09   0.73  12.56  24.38] | -1.8012699146513995
1.2083785139062977 | [-29.54 -25.57 -21.61 -17.64 -13.67  -9.71] | -2.3078318970600895
1.2062896376614585 | [ 38.08  22.     5.92 -10.16 -26.24 -42.32] | -4.784552858316854
1.2038197077273307 | [ 51.9   31.99  12.09  -7.82 -27.73 -47.64] | -7.232248643339985
1.2001406486794997 | [ 47.06  34.62  22.17   9.73  -2.72 -15.16] | -4.29884504944112
1.1978033798875927 | [ 3.83  8.27 12.71 17.15 21.6  26.04] | -1.1761806256937963
1.1973741561593876 | [ 6.37 13.26 20.15 27.04 33.92 40.81] | -3.133431047185289
1.1973987753734188 | [ 6.62 11.45 16.27 21.09 25.92 30.74] | -0.9591868805694928
1.1988457768517975 | [-30.85 -20.28  -9.71   0.86  11.43  22.  ] | -0.22522656834481447
1.2005916526036127 | [-47.35 -39.15 -30.95 -22.76 -14.56  -6.36] | -4.163279307413588
1.201619095409028 | [ 19.65   9.41  -0.83 -11.07 -21.31 -31.55] | -1.525932179966249
1.2028674463595677 | [ 42.09  26.31  10.53  -5.24 -21.02 -36.8 ] | -4.182732445581469
1.2045700508196577 | [ 34.78  20.82   6.85  -7.12 -21.08 -35.05] | -3.4111397478592633
1.2055814154993885 | [35.32 29.51 23.69 17.88 12.07  6.25] | -2.8334920103858963
1.2072158540758615 | [-22.85  -9.64   3.57  16.79  30.    43.21] | -2.945290346998709
1.2077620984041344 | [-35.44 -19.98  -4.52  10.94  26.4   41.86] | -3.6492692082159914
1.2065007139057091 | [-17.18  -6.75   3.68  14.11  24.54  34.97] | -1.760595373126597
1.204145131625182 | [-4.42  0.4   5.22 10.05 14.87 19.69] | 0.08169412291453515
1.2001539154944585 | [-13.12 -10.44  -7.76  -5.08  -2.4    0.28] | 0.1951007997850267
1.193951628173946 | [ 17.56   4.42  -8.72 -21.86 -35.   -48.14] | -4.313629319499422
1.1865819318500148 | [  6.06  -4.06 -14.17 -24.28 -34.4  -44.51] | -4.155901955718881
1.1804830037127978 | [ 30.34  14.51  -1.32 -17.15 -32.98 -48.81] | -5.3042643979874065
1.175866660273975 | [ 22.42   5.08 -12.25 -29.59 -46.93 -64.27] | -8.2980474997009
1.172381403627213 | [ 40.83  18.02  -4.78 -27.59 -50.39 -73.2 ] | -11.1651790770999
1.1708502825499212 | [ 47.21  21.28  -4.64 -30.57 -56.49 -82.42] | -14.497687906660698
1.1711403654735077 | [ 59.33  30.02   0.71 -28.6  -57.91 -87.22] | -17.2262086043743
1.1714263689475355 | [ 68.46  42.57  16.68  -9.22 -35.11 -61.  ] | -13.858143753590523
Total reward: -173.54033540425272
-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0
parameter ends

state | action | reward
[1.25] | [-2.59 -1.48 -0.37  0.74  1.85  2.96] | 0.9344868084811525
1.2452529813237034 | [-15.12 -13.07 -11.03  -8.98  -6.94  -4.89] | -0.29540216095011196
1.244606939743437 | [ 43.51  23.66   3.81 -16.04 -35.9  -55.75] | -7.239574328734089
1.243687488253623 | [ 67.98  45.67  23.36   1.05 -21.26 -43.57] | -9.43321932829587
1.2426104887679068 | [13.73 12.61 11.48 10.36  9.23  8.11] | 0.19263009770351514
1.2412478556766193 | [-21.63 -11.21  -0.79   9.63  20.04  30.46] | -0.6314830837709338
1.2370018991061613 | [-43.75 -27.95 -12.16   3.64  19.44  35.23] | -3.323762816277859
1.2314122948520263 | [-34.18 -27.51 -20.83 -14.16  -7.48  -0.81] | -2.0474700429424333
1.2266515097702164 | [  8.05  -4.82 -17.7  -30.57 -43.45 -56.32] | -6.593983030868951
1.2231101788532879 | [ 50.78  29.96   9.14 -11.68 -32.5  -53.32] | -8.06365700285619
1.2190954854987672 | [ 42.85  27.86  12.87  -2.12 -17.11 -32.1 ] | -4.558784659461574
1.2136152049076252 | [35.87 27.1  18.33  9.57  0.8  -7.97] | -2.5117126118064776
1.2082377011324157 | [-9.12 -3.41  2.31  8.02 13.74 19.46] | -0.352807519153033
1.201725401079666 | [-10.82  -4.14   2.55   9.23  15.92  22.61] | -0.597209147147014
1.1916373124604682 | [ 1.42  7.46 13.49 19.52 25.55 31.58] | -1.6177283683860042
1.1815050091587687 | [-16.53  -3.03  10.47  23.97  37.47  50.97] | -4.156698942925723
1.174456582641157 | [ 0.36 11.52 22.68 33.83 44.99 56.15] | -6.048644467443507
1.1719855523184552 | [-31.69 -20.69  -9.7    1.3   12.29  23.29] | -1.1518556689861459
1.1736321535998115 | [-9.4  -8.32 -7.25 -6.17 -5.1  -4.02] | 0.20360778246979816
1.1761684338802842 | [ 58.33  40.13  21.92   3.71 -14.5  -32.7 ] | -6.519001293785014
1.1787598027779727 | [-10.26 -12.96 -15.65 -18.34 -21.04 -23.73] | -1.8332238885187144
1.1817212877019276 | [ 43.24  24.24   5.24 -13.76 -32.76 -51.76] | -6.89956313027071
1.183966937777082 | [ 27.7    9.92  -7.86 -25.63 -43.41 -61.19] | -7.731661208786888
1.1870570274110672 | [ 16.43  -0.27 -16.97 -33.67 -50.36 -67.06] | -9.46553083795099
1.1917224784078735 | [ 16.98   1.65 -13.67 -28.99 -44.32 -59.64] | -7.8282864099350045
1.1983988684087963 | [  7.17  -8.32 -23.82 -39.32 -54.81 -70.31] | -11.495517989421405
1.2070791010992485 | [ 20.45   5.16 -10.12 -25.4  -40.68 -55.96] | -7.58345810194986
1.2174382882112509 | [ 18.92   2.93 -13.06 -29.05 -45.04 -61.03] | -8.647252489690072
1.228807539309637 | [  7.98  -8.31 -24.6  -40.9  -57.19 -73.49] | -12.632221423387561
1.238787540069851 | [ 11.52  -0.75 -13.03 -25.31 -37.58 -49.86] | -6.557690660211882
1.2450234635342745 | [ 21.26  12.57   3.88  -4.81 -13.5  -22.19] | -3.095662105913326
1.246413586739247 | [40.16 31.91 23.66 15.42  7.17 -1.07] | -4.980222726660424
1.2460459060685665 | [41.27 32.48 23.69 14.89  6.1  -2.69] | -4.698632078407549
1.24646625586498 | [36.58 30.11 23.63 17.16 10.69  4.22] | -3.909815382028598
1.2482468407321747 | [0.4  1.89 3.38 4.87 6.37 7.86] | -0.3370763121720749
1.2520821456316604 | [-25.64 -17.72  -9.81  -1.89   6.02  13.94] | -1.447610724409148
1.255020089714822 | [ 6.16  9.18 12.21 15.23 18.26 21.29] | -2.31711120216353
Total reward: -165.27280645701418
-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0
parameter ends

state | action | reward
[1.25] | [-2.63 -1.5  -0.36  0.77  1.91  3.04] | 0.9216437439870566
1.2482315791213234 | [-17.32 -14.93 -12.54 -10.14  -7.75  -5.36] | -0.4993959391249173
1.247683723002697 | [ 43.37  23.39   3.4  -16.58 -36.56 -56.54] | -7.3669748552910175
1.2469356149895585 | [ 68.14  45.7   23.26   0.82 -21.61 -44.05] | -9.537447043726058
1.24585310365058 | [17.47 15.   12.53 10.06  7.59  5.12] | 0.009890420733242644
1.2443192667216303 | [-19.94  -9.86   0.22  10.29  20.37  30.45] | -0.6116978270801758
1.239309117729852 | [-38.55 -23.96  -9.37   5.22  19.81  34.41] | -2.653774439578858
1.2322115451964961 | [-24.19 -13.51  -2.84   7.84  18.52  29.19] | -1.0730399853699706
1.224785033931325 | [-10.23  -7.72  -5.21  -2.71  -0.2    2.31] | 0.30129539264070665
1.216996081272534 | [ 27.39  13.11  -1.16 -15.43 -29.7  -43.98] | -3.8785504605426233
1.2094327249067616 | [ 13.46   1.41 -10.65 -22.7  -34.76 -46.82] | -4.111063788419479
1.2034110380605072 | [  1.39  -9.81 -21.01 -32.21 -43.41 -54.6 ] | -6.550398101803975
1.1985550388414807 | [ 53.96  32.92  11.89  -9.15 -30.19 -51.22] | -8.063341668774001
1.1934257853394994 | [ 67.53  48.58  29.64  10.69  -8.26 -27.2 ] | -8.793499798285211
1.1892959321090488 | [ 9.7  11.72 13.74 15.76 17.78 19.8 ] | -0.7384279257248292
1.1869932899199438 | [-11.16  -2.81   5.54  13.89  22.24  30.59] | -0.5809500179220932
1.1822823552795922 | [-8.29 -0.74  6.81 14.36 21.91 29.46] | -0.5788778782301134
1.174458511895642 | [-21.42  -7.94   5.53  19.    32.48  45.95] | -3.2599960399374885
1.1678662801655015 | [ 7.23 15.83 24.42 33.01 41.6  50.19] | -5.342496491137107
1.1639590606658863 | [-6.    3.15 12.3  21.44 30.59 39.73] | -1.9223814568224575
1.16348411177668 | [-11.04  -7.08  -3.12   0.84   4.8    8.75] | 0.9824771975173405
1.1669436046336972 | [-9.83 -9.74 -9.66 -9.58 -9.49 -9.41] | 0.1208061852218153
1.1712568785790634 | [ 41.09  27.8   14.5    1.21 -12.09 -25.38] | -2.9945726811963267
1.175081057310253 | [  9.56   2.68  -4.2  -11.08 -17.96 -24.84] | -0.49252009107361006
1.1811576040850895 | [  2.55  -4.3  -11.16 -18.02 -24.88 -31.74] | -1.6993673744475792
1.1889826679635878 | [ 10.17   3.95  -2.26  -8.48 -14.69 -20.9 ] | -0.747294374998636
1.198667128327226 | [ -0.19  -5.82 -11.46 -17.09 -22.72 -28.36] | -2.1461758423195354
1.2098010389494598 | [ 32.85  19.16   5.47  -8.22 -21.92 -35.61] | -4.054021567149655
1.2205779600893933 | [ 27.66  12.75  -2.15 -17.06 -31.97 -46.88] | -5.281183892509267
1.23252691191043 | [ 22.3    7.99  -6.33 -20.65 -34.96 -49.28] | -5.678187831442062
1.2470892397920572 | [ 18.49   5.29  -7.92 -21.13 -34.34 -47.55] | -5.4978056641872435
1.2635071398358495 | [ 24.01   8.77  -6.46 -21.69 -36.93 -52.16] | -6.481715242291793
1.2799221304436899 | [ 14.95  -0.2  -15.36 -30.52 -45.67 -60.83] | -8.461319705498182
1.293230846907697 | [ 21.8    6.32  -9.15 -24.62 -40.1  -55.57] | -7.194841435802958
1.3031946152702916 | [ 18.82   5.45  -7.92 -21.29 -34.66 -48.03] | -5.569122164532791
1.311317630078161 | [ 13.55   1.77 -10.01 -21.79 -33.57 -45.35] | -4.962578588551643
1.317866447196306 | [  8.74  -2.38 -13.5  -24.63 -35.75 -46.87] | -5.387724626276866
1.3209844896151748 | [ 30.97  17.39   3.8   -9.78 -23.37 -36.95] | -4.278098264217072
1.319980200742397 | [ 34.29  23.69  13.09   2.49  -8.11 -18.71] | -3.018530322516763
1.3164036087074331 | [ 27.64  17.67   7.7   -2.27 -12.24 -22.2 ] | -3.1448669844300987
Total reward: -140.3161274311123
-2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0
parameter ends

state | action | reward
[1.25] | [-2.63 -1.5  -0.36  0.77  1.91  3.04] | 0.9127059472064688
1.248916353597993 | [-17.75 -15.37 -13.   -10.62  -8.24  -5.86] | -0.5684464428965978
1.248378003149285 | [ 43.33  23.3    3.28 -16.75 -36.78 -56.8 ] | -7.41483377736973
1.2476390581366639 | [ 68.12  45.63  23.13   0.63 -21.87 -44.37] | -9.592004068046553
1.2464132713906682 | [23.25 19.12 14.98 10.85  6.72  2.59] | -0.4768600170055386
1.2447260828430344 | [-16.15  -6.85   2.45  11.75  21.05  30.35] | -0.5107928029121311
1.2392725772012192 | [-36.47 -22.92  -9.37   4.18  17.72  31.27] | -2.1469759391605194
1.230994787974907 | [-24.05 -13.38  -2.72   7.95  18.61  29.28] | -1.0920671967955644
1.2223563119100904 | [-3.19  3.45 10.1  16.74 23.38 30.03] | -0.7519545724201586
1.2126638936745369 | [-14.37  -6.66   1.04   8.74  16.44  24.14] | 0.12944621214532925
1.2014388447521738 | [-5.29  3.38 12.05 20.72 29.39 38.06] | -1.4789463209431504
1.1953981730481629 | [-13.62  -6.32   0.99   8.3   15.61  22.91] | 0.5635629526362504
1.1937203248614394 | [-6.18 -3.77 -1.35  1.06  3.48  5.89] | 1.4150241135744126
1.1933818244061967 | [  7.49   1.8   -3.89  -9.58 -15.27 -20.96] | 0.22278774012405111
1.195217501832867 | [ 17.83   9.07   0.31  -8.45 -17.21 -25.98] | -0.7108596740932391
1.1990489843254173 | [ 17.46   8.89   0.33  -8.24 -16.81 -25.37] | -0.8338921372160818
1.2039974691076558 | [ 16.02   8.45   0.89  -6.67 -14.23 -21.79] | -0.6131369316102327
1.2093983809671727 | [21.22 19.83 18.44 17.05 15.67 14.28] | -1.0659226802462058
