3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
parameter ends

state | action | reward
[1.25] | [3.76 3.76 3.77 3.77 3.78 3.78] | 1.0903080006065924
1.2502791298503544 | [-62.68 -62.68 -64.26 -64.26 -34.26 -34.26] | -17.716168462330664
1.2478932723183318 | [78.27 78.27 82.88 82.88 84.71 84.71] | -39.630971871288914
1.2447999752282244 | [-65.35 -65.35 -66.51 -66.51 -36.51 -36.51] | -19.338953008646573
1.2410077665246004 | [80.85 80.85 85.44 85.44 86.19 86.19] | -41.81198570194502
1.236508568846681 | [-67.57 -67.57 -68.79 -68.79 -38.79 -38.79] | -20.885159213634772
1.2313257947122063 | [83.49 83.49 88.04 88.04 87.69 87.69] | -44.0923160425479
1.2254525405479137 | [-69.61 -69.61 -70.88 -70.88 -40.88 -40.88] | -22.352123741055124
1.2189087322380587 | [86.18 86.18 90.68 90.68 89.21 89.21] | -46.48295254819697
1.2116888350845312 | [-71.46 -71.46 -72.76 -72.76 -42.76 -42.76] | -23.719344278576177
1.203829572107028 | [81.28 81.28 85.72 85.72 85.36 85.36] | -41.775018384534526
1.1981492661071962 | [-47.47 -47.47 -48.36 -48.36 -22.9  -22.9 ] | -9.559167601764537
1.1944833539139401 | [ 97.35  97.35 102.13 102.13  95.71  95.71] | -57.48300438238139
1.1921060740608782 | [-35.91 -35.91 -36.45 -36.45 -15.14 -15.14] | -5.072591087071528
1.1908800117453386 | [111.58 111.58 116.62 116.62 105.5  105.5 ] | -73.75473301696088
1.190240075231222 | [-26.86 -26.86 -27.11 -27.11  -8.77  -8.77] | -2.483643091145922
1.1901313358425696 | [122.42 122.42 127.62 127.62 113.19 113.19] | -87.58315756513409
1.1897016957774158 | [-57.25 -57.25 -57.47 -57.47 -30.02 -30.02] | -14.369905260396195
1.188511218163484 | [131.36 131.36 136.4  136.4  118.78 118.78] | -99.33470654045963
1.186551034387856 | [-57.98 -57.98 -58.22 -58.22 -30.95 -30.95] | -14.80493093743611
1.1838168876245365 | [131.7  131.7  136.5  136.5  118.28 118.28] | -99.30909836688242
1.180330598045339 | [-58.59 -58.59 -58.84 -58.84 -31.74 -31.74] | -15.168974532095557
1.1760861299063423 | [131.93 131.93 136.48 136.48 117.69 117.69] | -99.12135217951854
1.1711050877169813 | [-59.09 -59.09 -59.35 -59.35 -32.42 -32.42] | -15.472718652380033
1.1653800729721668 | [132.07 132.07 136.37 136.37 117.04 117.04] | -98.80431985624689
1.1589323164355583 | [-59.51 -59.51 -59.76 -59.76 -33.01 -33.01] | -15.72675590486627
1.1517533421596695 | [132.13 132.13 136.17 136.17 116.35 116.35] | -98.38857990898201
1.1439474459217527 | [-37.45 -37.45 -37.48 -37.48 -18.89 -18.89] | -5.669145617378044
1.1362492518074256 | [116.04 116.04 120.1  120.1  105.   105.  ] | -77.2224378724257
1.1291689897088288 | [ 0.39  0.39  1.15  1.15 10.58 10.58] | 0.8213806475206346
1.1291992317943118 | [-44.89 -44.89 -46.24 -46.24 -37.79 -37.79] | -10.269948708218728
1.1289974753100758 | [105.16 105.16 107.8  107.8   83.59  83.59] | -58.483834959868794
1.1289139379047124 | [-43.96 -43.96 -44.83 -44.83 -36.16 -36.16] | -9.671778956302683
1.1284700643701826 | [128.83 128.83 131.74 131.74 101.74 101.74] | -87.7740605157317
1.1273503025404277 | [-44.06 -44.06 -44.96 -44.96 -36.67 -36.67] | -9.77647758595197
1.1255268035765376 | [126.85 126.85 129.68 129.68  99.68  99.68] | -84.84606081276138
1.123032424569534 | [-44.19 -44.19 -45.12 -45.12 -37.15 -37.15] | -9.890034778017807
1.1198394568999925 | [124.89 124.89 127.62 127.62  97.62  97.62] | -81.97208494143553
1.1159796876651753 | [-44.38 -44.38 -45.34 -45.34 -37.63 -37.63] | -10.024974877162816
1.111425921682921 | [122.93 122.93 125.57 125.57  95.57  95.57] | -79.16810460972064
1.1062085684446812 | [-44.65 -44.65 -45.64 -45.64 -38.12 -38.12] | -10.190923643357104
1.1003013030058808 | [121.01 121.01 123.55 123.55  93.55  93.55] | -76.44681790732946
1.0937329212039102 | [-45.02 -45.02 -46.02 -46.02 -38.62 -38.62] | -10.396395346821517
1.0865168793001276 | [86.51 86.51 88.97 88.97 64.   64.  ] | -38.113397630020465
1.0787237062478952 | [-80.22 -80.22 -81.18 -81.18 -60.01 -60.01] | -32.38309635334695
1.070400161326376 | [49.16 49.16 51.67 51.67 61.29 61.29] | -16.859410690732858
1.061814856118149 | [-78.73 -78.73 -79.06 -79.06 -49.06 -49.06] | -28.947562060950407
1.053023288543907 | [68.72 68.72 71.85 71.85 80.08 80.08] | -31.878984828587782
1.0439183080925734 | [-68.44 -68.44 -68.15 -68.15 -38.15 -38.15] | -21.872683174532717
Total reward: -1914.189159359006
