Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward, Context Size, Num Attempts, Parameters
0, 0.4874766100000001, 138.01397061347961, 40, 2675, 96.69811638731923, 4046, 1, [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1, 1.21262148, 227.57253575325012, 60, 3275, -16462.17862532381, 4046, 1, [-10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.  -10. -10. -10. -10. -10. -10. -10. -10. -10. -10.]
2, 2.207783462, 257.7610924243927, 80, 5600, 94.55037124716434, 3763, 1, [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.  0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3, 2.969130452, 299.5076720714569, 100, 6070, 3.2075323680096846, 3480, 1, [ 0.5 -0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
4, 3.5959901069999995, 332.0608813762665, 120, 6212, -10.752841340085126, 3196, 1, [ 0.3 -0.3  1.2 -1.1  0.7 -0.8  1.5 -1.4  0.9 -0.6  1.  -0.9  1.3 -1.2   0.8 -0.7  1.1 -0.5  1.4 -1.3  0.6 -0.4  1.2 -1.1  0.5 -0.3  1.  -1.   0.9 -0.8  1.1 -0.7  0.8 -0.6  1.  -0.5  0.9 -0.4  0.7 -0.3  0.6 -0.2   0.5 -0.1  0.4  0.   0.3 -0.1  0.5 -0.2  0.6 -0.3  0.4  0.5 -0.4  0.3   0.2 -0.1  0.1 -0.   0.2 -0.1  0.3 -0.   0.4  0.1  0.2 -0.1  0.3 -0.   0.4  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1   0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1  0.2 -0.   0.3  0.1]
5, 4.272207966, 357.68221378326416, 140, 6512, -3.5356120242334854, 2913, 1, [0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1  0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.  0.  0.  0.  0.  0. ]
6, 4.960871559999999, 397.5339105129242, 160, 6812, -38.47200682188726, 2913, 1, [ 1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5   1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5   1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5   1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5  1.  -1.   0.5 -0.5]
7, 5.603175577, 435.7646427154541, 180, 7052, -59.80095615238631, 2629, 1, [ 1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.   1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.   1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.   1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.   1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.   1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  0.  0.  0.  0.  0.  0.]
8, 6.2942746839999995, 475.6894075870514, 200, 7432, -3.5951400286729664, 2913, 1, [ 0.2 -0.2  0.3 -0.3  0.4 -0.4  0.5 -0.5  0.6 -0.6  0.1 -0.1  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. ]
9, 6.969274175999999, 556.7563028335571, 220, 7672, -27.91621224836449, 3480, 1, [ 0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6  0.6 -0.6   0.6 -0.6  0.6 -0.6  0.   0.   0.   0.   0.   0. ]
