-3.7, 4.0, -2.6, 2.5, 3.4, 2.8, -6.8, -1.1, 1.3, -0.8, -2.0, -3.6, 1.6, -2.8, -0.3, 1.7, 3.6, 3.4, 1.2, 2.4, 2.5, -5.5, -0.0, 2.8, -0.3, 1.8, 4.7, -2.6, -5.6, 3.0, 3.7, -1.6, 0.2, -3.1, -4.0, -1.8, 0.6, -1.2, -5.3, -0.2, 0.1, 1.0, -0.8, -0.6, -1.5, 0.9, -1.1, 0.8, -2.6, 0.7, -3.1, -0.6, 5.6, -0.7, -6.0, -0.2, -0.5, -3.0, 4.1, 1.6, 3.0, 0.2, 3.0, 0.4, -2.1, 0.8, -3.2, -0.3, -5.9, 2.6, -2.4, 0.4, 4.5, -6.6, 1.6, -0.4, -6.5, 3.9, 1.7, -7.6, 2.1, 4.1, 2.9, -4.0, -4.4, 3.3, 2.7, 0.6, -0.7, 3.6, 4.6, 3.0, 1.1, 1.0, -5.6, 0.7, -0.8, 0.1, 2.3, -1.1, 0.1, -3.1, -1.3, 1.8, -3.0, 1.8, 2.4, -0.6
parameter ends

state | action | reward
[1.25] | [-5.98  6.81 -6.29  4.92  6.63  2.96] | 0.8097814206724688
1.2544637000449623 | [-27.84  80.79  -2.39 -47.48 -23.88  13.5 ] | -9.833955914996494
1.2534831633791925 | [ -0.27  40.05   3.9  -83.97  38.85 -29.29] | -11.196117261499824
1.2502687198537534 | [ 64.93  45.09  16.13 -57.67 -13.25 -43.03] | -12.226232809707328
1.2433505376796583 | [ 69.82 -57.19   8.91   4.74  57.39 -67.86] | -16.310583437912754
1.2363728819183684 | [-25.77 -17.28 -71.3   73.88  90.62 -60.26] | -23.409042656562473
1.2317482232257337 | [-40.6  -14.95 -73.27  77.99  89.04 -53.15] | -24.346393028719973
1.2284080264961037 | [ -78.4    94.43 -105.37   27.89   43.39   10.31] | -29.187632657002823
1.2253490286555062 | [-57.51 115.98 -85.31  -8.99  51.63  17.06] | -27.434028673916547
1.219576153769177 | [ 46.36  -2.54 -17.85 -33.97  39.9  -18.76] | -6.261076205919931
1.2107442683587735 | [ 19.47  37.27 -17.53 -35.26  74.97 -52.34] | -12.493356988185417
1.2025756730789547 | [ 27.76  37.91 -19.63 -43.07  53.64 -32.73] | -9.222093978356176
1.1954718554415376 | [ 34.1   46.28 -28.17 -51.89  33.22  -6.34] | -8.765277207308488
1.1892249883404733 | [ 42.08  47.74 -37.36 -55.33  17.31  18.32] | -10.83819406706201
Total reward: -200.71420346647776
