-1.3, 0.3, -0.1, -0.8, -4.5, -2.1, -0.1, 2.4, -6.4, -4.5, 2.7, 4.9, 0.1, -9.2, -1.8, 0.8, 0.1, 1.5, 2.7, -2.5, -5.0, 0.5, 0.5, 1.3, -2.2, 1.2, -1.3, 0.9, -0.0, 2.9, 1.4, 0.8, -2.1, 1.1, 0.2, -1.5, -2.1, -3.1, -2.5, 0.1, -1.3, -4.1, -3.8, -0.4, 5.7, -5.4, -4.2, -2.7, -2.1, -0.6, 0.8, -0.4, 3.3, 0.4, -0.6, 1.1, 1.9, -5.7, 0.4, -2.4, -1.5, 5.6, -2.3, -1.1, 7.6, 0.1, -2.1, 0.9, 0.3, 4.4, -2.6, 2.9, -2.4, -5.1, -1.8, -0.3, -2.4, 0.4, 2.5, 3.9, 2.4, 3.0, 1.7, -3.4, 3.3, -1.2, 1.2, 1.2, -0.4, -6.0, 1.4, 2.1, -5.2, -2.6, 0.3, 5.6, 0.5, -1.8, -0.4, -1.6, -1.8, 0.7, 3.1, 0.4, 1.8, 0.1, 5.6, -1.1
parameter ends

state | action | reward
[1.25] | [ 1.48  0.75  1.7  -0.87 -0.06 -3.7 ] | 1.0094356771109092
1.2500189164176019 | [ 22.07  61.88  23.91  42.75  35.47 -34.58] | -8.031485738342301
1.2490189425250382 | [ 20.85  55.55  21.13  48.41  39.19 -47.2 ] | -9.006147277218224
1.247825584067775 | [ 20.97  56.97  23.21  50.7   36.27 -43.25] | -9.08687952539295
1.247385403840598 | [ 21.57  45.79  23.06  43.47  20.38 -33.76] | -5.859721588426895
1.2497980009213336 | [ 24.09  45.1   23.3   37.43  19.32 -35.59] | -5.636563922110183
1.2551422524812026 | [ 15.52  29.52  13.25  21.27  13.33 -23.18] | -1.9949507880675363
1.2621820847303653 | [-1.75  1.9  -3.9  -1.77  1.74  0.13] | -0.07719720739330274
1.269854242338024 | [-17.94 -88.54 -19.43 -78.08 -66.59  63.26] | -24.060494629319322
1.2754922467622198 | [ -17.5  -114.24    6.78  -75.68  -88.4    38.16] | -30.304929666504094
1.2733340438687188 | [ -15.19 -109.4    36.45  -54.84  -87.69   12.19] | -26.91350913222899
1.2563960570099901 | [ 15.44 -56.47  63.01 -20.76 -67.75 -10.71] | -15.208115945056951
1.2262925091062926 | [ 50.82   3.56 100.6   23.25 -43.66 -54.63] | -21.510959102136006
Total reward: -156.68151884508586
