-7.9, 2.9, -3.0, -2.3, -4.0, 0.3, 1.8, -8.3, 3.9, -2.5, 4.7, 3.9, -4.2, -1.0, 1.5, 3.9, 2.8, -0.6, 1.3, 0.3, 2.0, -0.5, 0.5, 1.2, -0.6, 0.2, -2.7, -0.7, -0.9, -2.6, 1.3, 0.4, -1.7, -6.5, 2.8, -7.6, 5.3, 1.3, -1.8, 0.5, -3.3, -2.0, 0.5, -4.1, 3.9, 1.7, 5.1, -1.8, -3.7, -0.6, 0.3, -1.4, 1.2, 0.6, -2.0, 3.9, -1.0, 1.8, -0.2, -4.4, 3.4, 2.6, -2.9, -2.7, 6.1, -1.9, 2.7, -1.6, 1.3, -3.5, 0.4, -1.0, 5.3, -0.1, -1.3, -1.4, 8.7, 0.3, -2.8, -1.8, 3.2, -1.9, -1.2, 0.4, -2.7, 2.1, 0.3, 0.3, -2.5, 1.7, 4.3, -7.5, -5.2, -2.7, -4.0, 1.7, -5.7, 2.6, 1.9, 0.7, -0.1, 3.9, -3.0, -1.2, -1.9, 1.9, 2.6, 6.1
parameter ends

state | action | reward
[1.25] | [-12.91   2.39  -5.62  -0.98  -2.42   6.48] | 0.27208897366019236
1.2535467289712092 | [-83.15  51.94  13.05  93.34  -1.02  47.72] | -20.886942472260973
1.2502068422452481 | [-159.52   88.76   84.8    81.    -11.24   54.98] | -50.5274625126617
1.2416389818437834 | [-191.13   86.94  111.61   58.7   -31.2    67.9 ] | -66.00150710195472
1.226514640020583 | [-199.52   87.27  115.45   60.05  -39.54   75.47] | -72.42663061582
1.2051836832455307 | [-199.87   68.98  119.66   74.4   -43.82   76.75] | -73.31619304172783
1.180648595504563 | [-137.07   35.87  100.42   66.51  -27.95   31.12] | -37.20854617598028
1.1603813468064283 | [-93.7   14.95  86.64  61.6  -15.69  -0.92] | -21.418257608254127
1.1432790038585587 | [-39.19  13.1   51.01  71.7   -4.62 -28.38] | -11.109560308361349
1.1265870623639629 | [-28.23  28.04  31.88  82.75  -3.91 -27.29] | -10.945318915661488
1.1087684021369997 | [-32.36  41.08  24.02  87.04 -12.88 -20.43] | -13.016151984017583
Total reward: -376.5844817630399
