-2.6, -2.9, -2.7, -2.3, 2.7, 4.6, 2.1, 0.8, 2.1, -4.2, -1.1, -2.6, 2.8, 1.4, 3.1, -0.5, -1.2, -1.3, 0.1, -4.6, 1.9, 3.7, 0.3, 2.4, -0.2, 1.1, -2.0, -1.9, 1.0, -5.8, -0.8, -5.0, -1.5, -1.4, -1.6, 4.3, -1.0, -1.2, 0.3, -3.0, 0.1, -2.9, 0.3, -1.1, 4.2, 0.0, -2.7, 4.6, -2.6, -4.7, 3.3, -2.3, -5.3, -2.2, -3.0, 1.6, -5.6, 2.9, -1.5, -1.8, 0.1, -1.3, 0.5, -0.2, 3.5, 2.8, -6.8, 0.4, -0.9, 5.3, -0.7, 4.0, 6.4, -0.1, 2.8, -0.6, 2.4, -2.9, 4.6, -1.2, -4.7, -1.3, 6.3, -4.5, -3.2, 0.7, -0.2, -0.8, 0.8, -0.9, 0.7, -0.2, 1.8, -6.0, 1.5, -2.5, -0.7, -0.7, -1.6, 0.4, -3.1, -2.2, -8.7, -1.7, -3.3, 2.1, -0.1, 1.4
parameter ends

state | action | reward
[1.25] | [-11.98  -5.37  -6.67  -0.77   3.25   7.16] | 0.3165897316223064
1.249887165689175 | [  35.9     3.58   29.71  -26.36 -117.16  -22.97] | -16.95009523314812
1.2481763924367142 | [ 88.56  -2.96  -7.46 -38.03 -20.98 -47.47] | -12.066222876437244
1.2468539128792169 | [-74.57  25.25  22.06  33.08 -72.12  89.57] | -21.227851283077975
1.2445372584236787 | [ -2.16   3.62 -47.44  40.1  -35.82  -8.9 ] | -5.446929987863616
1.2407807619786806 | [80.96 19.68 34.55  4.86  9.39 -6.93] | -8.01704204627264
1.2382985385273646 | [ 26.52  -3.62 -39.14  41.06 112.82   5.17] | -15.643985487570742
1.2374070272921318 | [-132.49   -4.06  -32.5   104.63   26.47  107.19] | -40.72850173060155
1.235705823972749 | [-120.14    2.65    1.91   78.51  -82.15   70.37] | -31.57213175448753
1.2309077671214914 | [ 39.76 -14.79 -60.35  32.77  -3.37 -40.  ] | -7.951258976794241
1.2238181691839833 | [  8.72  -8.84 -80.3   44.17 -21.9  -24.14] | -10.061384161860307
1.2175223922712866 | [-23.63   7.13 -80.83  53.67  11.06  27.73] | -11.400341914915494
1.211711020526003 | [102.05  -3.27 -18.51  -6.26 -46.61 -58.26] | -16.80409496209698
1.2064864353178877 | [ 27.55  11.98 -33.47  27.08  -2.44  17.55] | -3.476921464748001
1.2017103443952974 | [ 19.82   1.99 -34.63  37.72 -33.34  -3.61] | -4.292041580079847
1.198265901936481 | [46.92 15.4  13.15 31.07  3.99 25.48] | -4.063811194107585
1.1956548717168072 | [ 85.54 -15.85 -59.08  11.1   52.52 -58.38] | -17.0158906272573
1.194870336341646 | [-45.23  12.38  -2.09  35.82   6.02  64.83] | -7.2987259850784465
1.1962830102742668 | [ 83.19   1.18  63.61 -30.93 -60.65 -25.72] | -15.665988602992279
1.1967932995633654 | [49.22  9.   42.3  -1.12 10.24 22.  ] | -4.3081198682916195
1.1955680498425425 | [ 85.72 -24.11 -58.58 -26.87  38.84 -75.01] | -18.708058162998228
1.1953814739309365 | [-11.86   2.49  -1.25 -16.59  -0.85  27.51] | -1.074085436535161
1.1933334193140865 | [  30.38    5.72   37.2   -63.67 -109.65  -30.69] | -19.441400150877804
1.18584686601463 | [ 91.5    1.29  -3.37 -67.5    8.47 -44.25] | -14.949370398175619
1.1776512221758795 | [ 82.3   10.31  43.47 -94.37  -0.53 -28.61] | -18.319859072516213
1.1689612888291288 | [ 139.76   -5.67  -18.77 -109.9    81.11  -87.08] | -46.9669720208821
Total reward: -373.13449524804435
