-0.2, 0.3, -4.2, 0.2, -6.1, 1.5, -0.6, 7.0, 0.6, 5.5, 0.3, -6.6, 8.1, 1.0, -7.8, 6.9, 0.5, -2.1, 2.6, 1.6, -0.4, -5.1, 1.7, 8.4, -2.2, 2.8, -2.1, -1.7, 2.4, -3.3, -5.4, 3.9, 4.1, -0.4, -0.2, 1.5, 0.2, -5.2, -2.6, -2.7, -3.2, -3.4, -2.4, -4.4, -2.8, 0.2, 1.0, 3.5, 1.0, 1.4, -4.0, 0.5, -3.4, 4.8, -3.5, -0.6, -0.6, 4.6, -3.6, 0.8, 1.5, -0.4, 2.9, -0.2, 4.1, -0.3, 3.7, -1.5, 5.8, 1.5, 1.8, -0.7, 5.2, 1.3, 0.1, 2.9, -4.1, 0.5, 0.6, 0.7, -3.9, 0.6, 0.6, -1.9, -1.7, -5.1, 4.6, -1.9, -0.5, -3.1, 1.4, 2.1, 2.8, 1.3, 0.7, -0.2, -5.7, 5.0, 2.8, -5.0, 0.7, -1.6, 1.9, -0.2, 0.3, 2.8, -6.9, -6.3
parameter ends

state | action | reward
[1.25] | [  1.66   0.15  -4.95   3.01 -14.55  -4.33] | 0.6186730984386499
1.2557476666469636 | [ 49.54 -63.26   7.26  46.05 -29.71  27.97] | -9.933052387894742
1.2561659719705016 | [-82.86  -9.49 -34.62 -54.18   8.85 -27.74] | -12.215990253877017
1.2552155447797329 | [  7.26  21.72 -98.4   50.34 -54.74  60.7 ] | -19.680006568284494
1.2541749722675846 | [-60.58 -20.63   6.25 -41.68 -27.21   5.99] | -7.112346399135397
1.250141184092903 | [-142.49   76.69 -135.53  -83.55  -26.45   -5.1 ] | -53.39747848435587
1.2404229837256584 | [ -17.19   62.66 -151.09   -1.61  -87.98   27.51] | -36.84662851579852
1.2212256706498335 | [ -43.95  105.21 -119.34  -47.73  -89.74   21.58] | -39.08952404638828
1.1843529712410725 | [ -35.8   104.6  -130.18  -61.86  -79.62   18.88] | -41.36306693020162
Total reward: -219.0194204874973
