5.2, 3.6, -3.8, 4.7, -0.9, -0.8, 1.3, -6.4, 4.5, 0.1, -1.7, -1.4, 0.9, -0.8, 1.7, 0.6, -4.4, -4.4, 3.2, 1.1, -4.6, -0.3, 2.0, 0.3, 4.2, -3.6, 0.9, 4.9, -1.4, -0.4, 0.6, -2.4, -2.2, -4.5, 2.0, -3.4, 2.2, -0.8, 1.4, -3.7, 0.1, -1.0, -4.1, -0.9, -2.6, 1.9, -5.3, 0.8, -5.9, 1.0, 2.8, 3.9, -1.8, -1.9, 0.4, 0.9, 1.6, 1.8, 3.2, -1.4, -2.2, 2.0, -1.8, 1.1, 2.8, -0.7, 0.4, -4.7, 2.5, 0.1, 4.9, -1.3, -3.1, -3.0, -1.7, -1.1, -5.2, 0.9, 2.6, 2.1, -2.4, -2.3, -1.8, 1.0, -6.0, 3.4, 1.8, 1.5, 1.0, -0.4, 1.1, 0.9, -0.8, -5.2, 2.0, 0.1, -0.6, -3.6, -1.5, 2.4, 1.1, -6.4, 2.3, -1.3, 2.2, -3.6, 0.9, 3.7
parameter ends

state | action | reward
[1.25] | [ 8.78  3.17 -2.59  2.22 -0.22  2.68] | 0.8725745581934433
1.2455039196488735 | [-29.4  -55.6    8.79  58.2   26.2  -71.69] | -12.355939128960205
1.2445470874427706 | [ 60.32  15.66  -5.27 -28.08  17.66  13.29] | -4.34833276298519
1.2429050074242163 | [ -3.56 -60.13 -11.41  28.57  -9.78 -60.29] | -7.596353204836592
1.2422928964099544 | [-47.29 -16.81  34.    68.59  12.01 -12.58] | -8.165213915076087
1.2425232644808781 | [ 47.8   61.89  17.14 -24.57  26.7   63.99] | -11.096330695957388
1.2404285643665023 | [100.34  33.72 -34.32 -79.03  -8.52  36.08] | -19.087165099895817
1.2362758391095288 | [ 35.61 -26.97 -46.19  -3.8  -35.06 -45.37] | -6.731450608641994
1.2330949746591133 | [ 7.81 -3.76 39.78 31.63 63.5  -5.9 ] | -6.204861695006837
1.2303609485756046 | [ 62.88  56.14  28.82 -23.9   55.93  58.34] | -14.650770181564274
1.2249370020964103 | [ 82.59  24.64 -10.3  -16.8   23.87   2.04] | -7.8723306419525425
1.2175314098128212 | [ 58.92 -24.46 -30.47   6.    -1.22 -51.79] | -7.429150062061213
1.2109781963845359 | [  6.47 -18.09  32.35  63.99  12.02 -14.99] | -5.813039326361097
1.2049271475981784 | [ 79.79  50.48  14.56 -30.99  -0.34  71.47] | -14.961015392697236
1.199209946514158 | [ 82.82  23.62 -30.69 -21.95 -48.01  22.52] | -11.391435966883853
1.1940322321369268 | [ 19.36 -29.87 -21.2   55.26 -45.64 -47.81] | -9.13668454541565
1.1900209269416455 | [-49.82 -12.46  53.09  99.13  43.67 -37.07] | -18.72928828288245
1.1862511520191608 | [ 4.65 34.99 36.96 50.7   7.67 31.22] | -6.013009846331465
1.1816906790701955 | [-11.55  15.51 -14.03  53.52 -23.38 -22.78] | -4.02530797319185
1.1779045025018067 | [-74.01  13.9    0.8   62.24 -57.03   3.04] | -12.395749089155675
1.1728601566285906 | [ -36.11    2.27  -62.44   45.56 -139.45  -25.66] | -27.187907305863714
1.1681099051629498 | [-3.58e+01  1.44e+01 -7.64e-02  3.09e+01 -1.41e+02  7.45e+01] | -27.63010121468776
1.1664163828555183 | [ -33.05  -34.95   -3.49   55.14 -130.14   22.03] | -22.58848575256691
1.1655427429419272 | [ -37.56  -64.88  -17.71   74.65 -120.59  -30.55] | -26.98031730597683
1.1629734479118479 | [ -26.88    3.81    7.8    27.83 -140.21   90.76] | -29.692915595428698
1.1565498793703763 | [   3.9     1.82  -21.61   37.39 -118.58   30.73] | -16.973729816969882
1.1483404982329453 | [  6.04 -15.43 -31.45  64.24 -89.81 -31.62] | -14.556595804721704
1.140465825952912 | [ 35.14  49.07   0.61  33.46 -68.33  54.18] | -12.34411911049674
1.1319085975079022 | [ 33.97   9.5  -38.95  54.39 -65.61 -30.12] | -10.647122027259075
1.1226479624777366 | [  6.31  42.44  10.59  42.07 -75.12  65.36] | -14.134325663204157
Total reward: -389.86647345883944
