4.4, 3.9, 5.8, -5.1, -4.7, 2.5, -0.8, 2.3, -1.1, 4.2, 1.1, -2.1, 3.2, -0.2, -5.6, 6.0, -0.1, -0.8, 5.2, 0.4, 3.3, 0.4, -2.0, 1.5, -0.3, 2.4, 1.3, 4.8, -0.3, -2.3, 3.0, -6.3, -5.6, 0.2, -2.4, 6.0, -1.1, -3.9, -7.9, -1.3, -1.9, 3.2, -2.4, -0.6, -0.4, -0.7, -2.3, -4.1, -4.6, 1.3, 1.3, 2.1, 0.0, 2.3, -1.0, 1.1, -0.7, -2.6, -1.2, -2.9, -6.0, 4.9, 0.1, -0.4, 4.2, 3.3, 0.6, 3.5, 1.7, -0.9, -1.0, 3.8, -1.8, -3.7, -4.1, 4.2, 0.2, 0.8, -0.1, -0.7, -2.7, -4.6, -3.8, 2.1, 0.8, 3.2, 6.7, 0.1, -2.8, 0.1, 3.5, -2.0, -3.6, 1.2, 0.6, -2.0, -3.4, 2.7, 0.1, -1.7, 3.8, 4.6, -2.1, 6.7, -1.3, 4.0, -4.3, 2.2
parameter ends

state | action | reward
[1.25] | [  3.4   11.53   5.88  -2.31 -10.15   5.34] | 0.6200978785198578
1.2440275610783176 | [-40.98  22.48  -8.93 -64.05 -17.32  69.96] | -11.222396827904156
1.2398745141604062 | [ -9.22 -63.34 -48.83 -23.45   8.41  -1.56] | -7.58931576162216
1.2342778593910395 | [ 49.06 -89.2  -78.38  46.01  66.97 -60.53] | -27.24396708594723
1.2281375489425295 | [ 115.56  -76.66  -32.64   22.15    8.71 -121.74] | -35.68766685356814
1.227072054680545 | [ 70.39  61.65  78.24   7.09 -15.45 -41.75] | -16.47098123373736
1.2306427806646698 | [-12.48 148.78 149.42 -54.49 -51.77  31.29] | -50.728197066438895
1.231117340589968 | [  32.88   71.8    86.44  -91.56 -105.45   15.66] | -33.189447400192144
1.2263826350615754 | [ -28.91  115.34  105.9  -116.01  -51.5    87.55] | -49.15857997230626
1.2168595784373857 | [-17.25 -62.12 -53.71 -56.92 -25.43  20.06] | -12.077244886240152
1.2008700867655127 | [-13.3  -67.85 -66.92 -62.55 -15.85  17.4 ] | -15.182796642558513
1.175065963195034 | [ -6.   -58.51 -51.82 -72.7  -14.7   15.97] | -13.630897832775192
1.1354231920839337 | [  0.13 -40.24  -2.76 -27.69  32.28  -8.54] | -5.727508799382541
Total reward: -277.2889024841528
