1.4, 2.2, 2.6, 1.7, -2.1, -3.3, -4.8, -1.8, -3.7, 0.8, 1.7, 2.6, 3.2, 3.0, 3.3, 2.3, -0.8, -3.5, 0.9, -2.2, -1.5, -4.6, 1.3, 1.9, -1.6, 2.2, 0.0, 1.0, 2.0, -0.1, 2.7, 4.6, -0.1, 1.3, 0.6, -3.8, -2.8, 4.1, 1.2, 2.0, -1.5, 2.6, 3.3, -2.7, 4.2, 3.5, 0.9, -0.1, -1.6, -3.9, 2.7, -1.2, 1.9, -0.1, -3.0, -1.5, 2.7, -0.1, 1.0, -5.8, 0.6, 6.3, 1.7, 1.4, -6.9, -2.7, -0.2, 4.0, 5.4, 5.5, -0.2, -1.1, 0.9, -1.4, 0.4, 3.4, -0.5, 4.4, 2.2, -0.7, 1.5, 0.3, -2.1, 5.2, 3.9, -0.1, -0.8, 2.3, 0.3, 5.5, -0.7, 1.3, 4.0, 5.1, -1.9, -5.3, 0.2, -0.5, -0.9, -0.8, 3.5, -0.7, -0.4, 2.5, -2.7, -4.6, -0.4, 3.1
parameter ends

state | action | reward
[1.25] | [ 1.32  5.22  0.53 -2.49 -3.   -0.95] | 0.9164414643322721
1.2488461521281604 | [ 13.94   5.    14.72   4.25 -48.24  42.8 ] | -3.788444135614923
1.2470554864822163 | [ 35.4  -25.56 -29.7  -44.8   19.    98.89] | -14.205956392417024
1.2431422962249226 | [ 11.53   2.43   9.82 -26.36  23.84   8.83] | -0.6378401650943906
1.2371287044753694 | [-21.06 -25.48  27.89  -9.24  17.43 -51.91] | -4.270010637450058
1.2282323814790408 | [-22.74 -86.05 -28.78 -68.88  63.36 -29.33] | -18.83758907600599
1.21734948054429 | [-19.87 -82.22 -44.86 -90.23  35.93   4.78] | -19.991154092041693
1.199692832426795 | [ -26.49  -79.92  -81.49 -123.18   88.79  -19.84] | -39.01398247836327
1.1689488922832798 | [ -55.37  -60.13 -100.53 -129.91   69.29  -72.85] | -46.42237534205477
Total reward: -146.25091085470984
