-1.9, 0.2, -2.2, 1.9, -0.8, -0.7, -1.8, -1.0, 1.1, 0.2, -2.9, 1.7, 4.2, 6.0, 0.4, 4.1, -1.5, 0.8, -0.9, -0.1, -4.6, -2.4, 1.6, 2.0, 0.3, 2.6, -2.6, -0.7, 4.0, -0.7, -2.1, 0.3, 1.0, 3.9, -5.5, 1.2, -2.1, -0.9, 4.9, 6.7, -3.0, 1.7, -0.0, 4.8, -6.1, -0.5, 3.3, 1.2, -1.7, -0.4, 2.9, 0.6, -0.3, -4.3, 7.2, 5.4, -0.2, -0.7, 4.4, 0.7, 3.2, 0.2, 3.1, -1.2, 0.1, 3.6, -2.0, -0.1, 2.0, 2.5, 0.3, -0.3, 2.2, 0.1, -2.1, -0.0, 1.8, -6.7, 5.6, 0.5, 4.8, -1.9, -5.5, -0.5, 1.3, 0.5, -1.2, -1.3, 5.1, 1.9, 2.4, 3.6, -4.7, 1.2, 0.9, -2.4, -2.5, -0.6, -0.3, 2.0, 1.7, -0.8, 3.0, 3.4, -7.5, 3.9, 0.4, 0.1
parameter ends

state | action | reward
[1.25] | [  0.58   3.64 -10.34   6.22  -0.56  -0.78] | 0.8582105587434108
1.2543726457210762 | [-27.42   2.14 -47.82   3.    47.95  18.18] | -4.81540907517969
1.2559813705086749 | [-56.28  -2.95 -57.92  27.53  59.28   0.87] | -10.008760775371844
1.2571278541380644 | [-79.    -5.17 -65.61  47.44  68.68  -8.13] | -16.835708043465974
1.259492531663001 | [-16.53  19.33 -63.03  17.44  22.66  -7.13] | -4.972743392617092
1.2644521112664422 | [  3.65  16.04 -46.14  -0.42  11.96   2.16] | -2.195904781752186
1.2707245075110951 | [ -0.27   8.98 -31.78   2.77  12.31   3.91] | -0.9130447325921816
1.2769258653513165 | [-28.31  -1.11 -27.85  24.89  31.44  -3.61] | -3.0285856187360367
1.2841980187143467 | [ -1.94   8.07 -34.47  -1.23  14.57  10.4 ] | -2.048938154946832
1.2920981850356288 | [-50.08  -6.39 -70.01  23.23 -24.   -48.1 ] | -12.008401501769281
1.2998710861820653 | [-50.69 -26.11 -37.59  -7.98  -5.32   8.46] | -6.647471776942647
1.3061586307743054 | [-95.88 -46.87 -38.46  19.67 -17.49 -15.3 ] | -16.252081756202205
1.3090451569506343 | [-64.29 -37.24 -45.94 -16.71 -10.09  21.65] | -11.363548979001235
1.305744374921734 | [-90.46 -53.3  -27.1    4.3  -43.8    5.5 ] | -16.716170204630806
1.2926468494494543 | [-101.17  -59.84   -9.57    6.28  -51.67   26.21] | -20.010552501313708
1.2729498017782053 | [-101.27  -61.73   -4.07   -3.38  -41.69   50.87] | -21.7199775985626
Total reward: -148.67908833434092
