Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
1, 0.03521675600000007, 116.26013040542603, 40, 855, 30.1
2, 0.4401489700000001, 188.8847885131836, 60, 10855, 500.0
3, 0.8126736650000002, 255.0051212310791, 80, 20677, 491.1
4, 1.210789557, 350.5895526409149, 100, 30677, 500.0
5, 1.574701315, 412.6280674934387, 120, 40677, 500.0
6, 1.9672176120000002, 542.6160290241241, 140, 50677, 500.0
7, 2.336631984, 608.8985123634338, 160, 60677, 500.0
8, 2.717207206, 727.7174785137177, 180, 70677, 500.0
9, 3.126915272, 826.5172486305237, 200, 80677, 500.0
10, 3.537966222, 930.9286212921143, 220, 89709, 451.6
11, 3.8906008809999997, 1025.1911358833313, 240, 99709, 500.0
12, 4.216503868, 1125.1525857448578, 260, 104651, 247.1
13, 4.565991606000001, 1227.7497062683105, 280, 111552, 345.05
14, 4.952864029000001, 1311.0383241176605, 300, 121552, 500.0
15, 5.286836265, 1375.456750869751, 320, 125941, 219.45
16, 5.684231784, 1497.2486364841461, 340, 135941, 500.0
17, 6.0897992930000004, 1586.0664722919464, 360, 145941, 500.0
18, 6.453443953999999, 1722.4988927841187, 380, 150810, 243.45
19, 6.847690285999999, 1814.8912625312805, 400, 160661, 492.55
20, 7.2248252619999995, 1977.9414942264557, 420, 170661, 500.0
21, 7.602834783999999, 2080.12845659256, 440, 179792, 456.55
22, 8.007195571999999, 2162.7748222351074, 460, 189357, 478.25
23, 8.372343004, 2239.670124769211, 480, 199357, 500.0
24, 8.745020807, 2315.511160135269, 500, 209357, 500.0
25, 9.115497484, 2423.386641025543, 520, 219357, 500.0
26, 9.507122782, 2534.3595221042633, 540, 229017, 483.0
27, 9.832760410999999, 2653.509833097458, 560, 233938, 246.05
28, 10.193601139, 2744.5009231567383, 580, 242914, 448.8
29, 10.559249602, 2863.036214351654, 600, 251171, 412.85
30, 10.947435055, 2972.9242906570435, 620, 261171, 500.0
31, 11.283183883, 3106.8441078662872, 640, 266132, 248.05
32, 11.678135782, 3230.8462312221527, 660, 275820, 484.4
33, 12.076222386, 3321.4722368717194, 680, 285559, 486.95
34, 12.438979407, 3411.718359708786, 700, 290601, 252.1
35, 12.827569419, 3555.6278009414673, 720, 299738, 456.85
36, 13.188640810999999, 3676.325781583786, 740, 304658, 246.0
37, 13.555197822, 3766.584879875183, 760, 311616, 347.9
38, 13.905249178, 3907.744209289551, 780, 316647, 251.55
39, 14.251200132, 4010.825677871704, 800, 321339, 234.6
40, 14.650609954, 4188.731667757034, 820, 330473, 456.7
41, 15.044396088, 4257.9618628025055, 840, 340473, 500.0
42, 15.414086313999999, 4339.158928394318, 860, 344962, 224.45
43, 15.781475845, 4469.908917188644, 880, 354962, 500.0
44, 16.154634854, 4611.769485235214, 900, 364962, 500.0
45, 16.525678797, 4708.542405843735, 920, 374605, 482.15
46, 16.885345501, 4817.966434001923, 940, 384567, 498.1
47, 17.261185181, 4886.735673666, 960, 394567, 500.0
48, 17.619545548, 4975.88118314743, 980, 402386, 390.95
49, 17.972917036, 5085.349727869034, 1000, 409782, 369.8
50, 18.274594431, 5164.197334051132, 1020, 410039, 12.85
51, 18.673589847, 5358.833532094955, 1040, 420039, 500.0
52, 19.061700499, 5464.622339725494, 1060, 429939, 495.0
53, 19.463116909, 5602.977276086807, 1080, 439939, 500.0
54, 19.829597296, 5684.666873693466, 1100, 448134, 409.75
55, 20.172879496, 5811.408877372742, 1120, 452979, 242.25
56, 20.549068411, 5938.534648895264, 1140, 461220, 412.05
57, 20.87949304, 6087.216807842255, 1160, 465685, 223.25
58, 21.252863548, 6172.940739393234, 1180, 475384, 484.95
59, 21.641374014, 6255.275089740753, 1200, 484467, 454.15
60, 22.078445888, 6365.579437494278, 1220, 494467, 500.0
61, 22.475231925, 6450.3615136146545, 1240, 504467, 500.0
62, 22.878065134, 6567.649363040924, 1260, 514147, 484.0
63, 23.266402616, 6688.745133638382, 1280, 523138, 449.55
64, 23.674963321, 6811.6775431633, 1300, 532901, 488.15
65, 24.029476395, 6920.75247168541, 1320, 537298, 219.85
66, 24.357688748, 7034.701838254929, 1340, 537578, 14.0
67, 24.747125929, 7167.626042842865, 1360, 545311, 386.65
68, 25.151410164, 7316.059347629547, 1380, 554992, 484.05
69, 25.547788208, 7405.798899412155, 1400, 563623, 431.55
70, 25.975882108, 7494.291786193848, 1420, 573369, 487.3
71, 26.331420865, 7663.807616472244, 1440, 578078, 235.45
72, 26.731870841, 7844.849848508835, 1460, 588078, 500.0
73, 27.115621824999998, 7921.086131811142, 1480, 596680, 430.1
74, 27.487121583, 8066.344036579132, 1500, 604460, 389.0
75, 27.882557101, 8195.754798650742, 1520, 612903, 422.15
76, 28.309069114, 8309.755718231201, 1540, 622603, 485.0
77, 28.668673877, 8430.412908315659, 1560, 627324, 236.05
78, 29.041547698, 8579.032566785812, 1580, 632090, 238.3
79, 29.453640094, 8647.176741361618, 1600, 641863, 488.65
