Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward
0, 0.028970710999999927, 87.77457666397095, 40, 463, 9.35
1, 0.34717149, 162.90639686584473, 60, 2308, 92.25
2, 0.6576135740000002, 204.59155464172363, 80, 4046, 86.9
3, 0.9785809390000002, 329.70358204841614, 100, 4815, 38.45
4, 1.306679658, 468.710330247879, 120, 7153, 116.9
5, 1.6481186589999999, 547.1159496307373, 140, 10540, 169.35
6, 1.977461976, 618.9530975818634, 160, 14824, 214.2
7, 2.312387236, 714.3036601543427, 180, 19375, 227.55
8, 2.655371401, 784.0122699737549, 200, 22014, 131.95
9, 3.037191986, 874.7247343063354, 220, 25814, 190.0
10, 3.344032907, 1023.8104023933411, 240, 27875, 103.05
11, 3.6431912319999995, 1093.5182785987854, 260, 28062, 9.35
12, 3.960631533, 1222.0555818080902, 280, 32638, 228.8
13, 4.292402667, 1285.642310142517, 300, 35751, 155.65
14, 4.603903396, 1355.9133746623993, 320, 38373, 131.1
15, 4.955976997, 1452.8464696407318, 340, 43316, 247.15
16, 5.312384638, 1508.2733702659607, 360, 48257, 247.05
17, 5.684981286999999, 1660.4095714092255, 380, 53465, 260.4
18, 6.046911435, 1739.9496097564697, 400, 59342, 293.85
19, 6.4201111939999995, 1809.5807137489319, 420, 65438, 304.8
20, 6.786367842000001, 1844.6122188568115, 440, 71071, 281.65
21, 7.160953932, 1943.0262215137482, 460, 77581, 325.5
22, 7.510729405999999, 2015.4027376174927, 480, 83894, 315.65
23, 7.8445707250000005, 2103.7234303951263, 500, 89733, 291.95
24, 8.16800624, 2219.2514460086823, 520, 92340, 130.35
25, 8.567734322, 2315.437605381012, 540, 98631, 314.55
26, 8.90311081, 2411.798382997513, 560, 104339, 285.4
27, 9.250596327, 2456.8685603141785, 580, 110370, 301.55
28, 9.583483528, 2539.436984062195, 600, 114264, 194.7
29, 9.941797137, 2587.7373583316803, 620, 120356, 304.6
30, 10.32259418, 2720.388456106186, 640, 127666, 365.5
31, 10.70714647, 2815.994072675705, 660, 135635, 398.45
32, 11.090556443, 2913.3469347953796, 680, 142688, 352.65
33, 11.468219819, 2977.4665117263794, 700, 147793, 255.25
34, 11.853279116, 3042.0853843688965, 720, 154935, 357.1
35, 12.218333938999999, 3135.953550338745, 740, 160284, 267.45
36, 12.570043354, 3173.7889065742493, 760, 164184, 195.0
37, 12.92487933, 3240.4769172668457, 780, 167605, 171.05
38, 13.317103481, 3312.5005009174347, 800, 174570, 348.25
39, 13.690330417, 3376.073145866394, 820, 178390, 191.0
40, 14.105373198, 3434.7966265678406, 840, 183796, 270.3
41, 14.496148679, 3496.578259706497, 860, 191756, 398.0
42, 14.869598092999999, 3599.7185757160187, 880, 200029, 413.65
43, 15.248409268000001, 3692.9723966121674, 900, 207618, 379.45
44, 15.627490059000001, 3790.201772212982, 920, 214735, 355.85
45, 15.993194088000001, 3868.4985983371735, 940, 222074, 366.95
46, 16.372196499, 3958.6426360607147, 960, 229441, 368.35
47, 16.752691895, 4043.781725168228, 980, 238002, 428.05
48, 17.120249165, 4142.072287559509, 1000, 245961, 397.95
49, 17.447885262000003, 4222.892053842545, 1020, 249853, 194.6
50, 17.793452718, 4318.065313100815, 1040, 255868, 300.75
51, 18.114011081, 4447.145039558411, 1060, 257820, 97.6
52, 18.492502057000003, 4504.087350130081, 1080, 265488, 383.4
53, 18.855036855, 4610.393715381622, 1100, 273008, 376.0
54, 19.244495882000002, 4686.565353631973, 1120, 281539, 426.55
55, 19.597055840000003, 4807.131897926331, 1140, 289638, 404.95
56, 19.960144630000002, 4921.45877122879, 1160, 296947, 365.45
57, 20.284389114000003, 4997.22078704834, 1180, 300486, 176.95
58, 20.662623147, 5086.923063278198, 1200, 306208, 286.1
59, 21.034608302000002, 5224.762640476227, 1220, 313657, 372.45
60, 21.395634436, 5299.402986526489, 1240, 318637, 249.0
61, 21.761815165, 5452.3478055000305, 1260, 325989, 367.6
62, 22.138656010000002, 5521.589421749115, 1280, 332611, 331.1
63, 22.512889582000003, 5611.357352733612, 1300, 339973, 368.1
64, 22.888517033000003, 5686.98849439621, 1320, 347078, 355.25
65, 23.270137217000002, 5830.949873447418, 1340, 355400, 416.1
66, 23.626540253, 5892.9867379665375, 1360, 359318, 195.9
67, 24.034017421, 5945.906192302704, 1380, 367377, 402.95
68, 24.434596749, 6053.46809387207, 1400, 374935, 377.9
69, 24.810011034000002, 6151.932973384857, 1420, 383547, 430.6
70, 25.172757274000002, 6189.051718235016, 1440, 387892, 217.25
71, 25.573761617000002, 6235.517433643341, 1460, 396854, 448.1
72, 25.955798123, 6278.573632478714, 1480, 406123, 463.45
73, 26.362438619000002, 6408.797417163849, 1500, 415957, 491.7
74, 26.757497604, 6521.7204303741455, 1520, 424677, 436.0
75, 27.223697945, 6586.790004730225, 1540, 434414, 486.85
76, 27.587374506000003, 6631.768229961395, 1560, 442236, 391.1
77, 27.969174492, 6720.230522632599, 1580, 450674, 421.9
78, 28.357677891, 6825.821758031845, 1600, 460284, 480.5
79, 28.74944298, 6946.782539129257, 1620, 469879, 479.75
80, 29.145099809, 7011.784627199173, 1640, 478669, 439.5
81, 29.524924326, 7102.136318206787, 1660, 486192, 376.15
82, 29.933089204, 7181.927676439285, 1680, 495358, 458.3
83, 30.279166618, 7317.633934259415, 1700, 500888, 276.5
84, 30.638241109000003, 7412.457669019699, 1720, 509946, 452.9
85, 31.020339472, 7486.215929031372, 1740, 519107, 458.05
86, 31.390069065000002, 7554.285152435303, 1760, 528587, 474.0
87, 31.736839505000003, 7665.408569812775, 1780, 537227, 432.0
88, 32.094775606999995, 7729.384294509888, 1800, 545615, 419.4
89, 32.432974519999995, 7798.126900911331, 1820, 551155, 277.0
90, 32.795333864999996, 7849.413146972656, 1840, 560855, 485.0
91, 33.161026123, 7951.215674161911, 1860, 570108, 462.65
92, 33.532257191999996, 8074.525487422943, 1880, 579948, 492.0
93, 33.920903611, 8180.396562337875, 1900, 588755, 440.35
94, 34.277053855, 8253.726062059402, 1920, 598044, 464.45
95, 34.643593855999995, 8369.66992521286, 1940, 607499, 472.75
