Iteration, CPU Time, API Time, Total Episodes, Total Steps, Total Reward, Parameters
0, 0.03441273700000003, 5.273777961730957, 40, 838, 24.2, [-5.3 -2.5  4.9 -0.3  1.6 -2.5 -2.9 -0.5  2.3  0.7]
1, 0.34345376900000013, 10.657792568206787, 60, 1597, 37.95, [-4.8  3.7 -2.3  1.4 -2.7 -1.7 -4.   2.4  1.8  0.2]
2, 0.655840183, 19.659605979919434, 80, 3136, 76.95, [ 6.6  1.4 -1.8 -0.2  3.7  1.1 -1.   1.5 -2.1 -2.2]
3, 0.9756477710000002, 22.36531352996826, 100, 3504, 18.4, [-4.8  6.6 -1.5  0.8  3.7  1.1 -1.   3.9 -0.7  0.9]
4, 1.2819313449999998, 29.541117906570435, 120, 4252, 37.4, [ 6.4 -3.9 -1.8  0.7  3.7  1.1 -1.   3.9 -0.7  0.9]
5, 1.6012786660000002, 37.51460337638855, 140, 4600, 17.4, [-4.8  6.6 -1.5  0.8  3.7  1.1 -1.   3.9 -0.7  0.9]
6, 1.894832965, 41.62306523323059, 160, 5340, 37.0, [ 6.4 -3.9 -1.8  0.7  3.7  1.1 -1.   3.9 -0.7  0.9]
7, 2.199685074, 71.86846566200256, 180, 5912, 28.6, [-4.7 -2.3  1.   0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
8, 2.5176408279999998, 75.5702531337738, 200, 6270, 17.9, [-4.8  6.6 -1.5  0.8  3.7  1.1 -1.   3.9 -0.7  0.9]
9, 2.840031771, 94.05429697036743, 220, 6872, 30.1, [-4.7 -2.3  1.   0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
10, 3.109619945, 98.7928819656372, 240, 7280, 20.4, [-4.8  6.6 -1.5  0.8  3.7  1.1 -1.5  3.9 -0.7  0.9]
11, 3.3817400789999996, 110.6315290927887, 260, 7664, 19.2, [-4.8  6.6 -1.5  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
12, 3.6568060590000004, 116.99473261833191, 280, 8076, 20.6, [-4.8  6.6 -1.5  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
13, 3.960459113, 120.82884311676025, 300, 8484, 20.4, [ 5.5  5.5  7.5  4.1  3.9  1.1 -1.5  3.9  4.1  0.2]
14, 4.261665718, 132.77478313446045, 320, 8772, 14.4, [-4.5  5.5 -3.9  0.7  2.8  2.9 -2.3  1.4 -0.3 -0.7]
15, 4.564605418999999, 139.07030630111694, 340, 9712, 47.0, [ 5.5  5.5 -3.9  0.7  2.8  2.9 -2.3  1.4 -0.3 -0.7]
16, 4.873779125, 143.90834999084473, 360, 10794, 54.1, [ 4.5 -3.9  2.8  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
17, 5.200069538999999, 149.99404668807983, 380, 11081, 14.35, [-4.8  5.5 -3.9  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
18, 5.511013751, 154.14207077026367, 400, 12494, 70.65, [ 5.   1.4 -3.9  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
19, 5.815344551000001, 157.48960208892822, 420, 12768, 13.7, [-4.8  5.5 -3.9  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
20, 6.129634162, 165.35528445243835, 440, 13146, 18.9, [-4.8  6.6 -1.5  0.7  3.6  1.1 -1.5  3.9 -0.7  0.9]
21, 6.4476074830000005, 176.38781595230103, 460, 13964, 40.9, [ 6.4 -3.9 -1.8  0.7  3.7  1.1 -1.5  3.9 -0.7  0.9]
22, 6.744664796, 182.93989992141724, 480, 14911, 47.35, [ 5.5 -2.5  4.9 -0.7  3.6  1.1 -2.3  3.9 -0.7  0.9]
23, 7.044168422, 189.70494985580444, 500, 15169, 12.9, [ 6.6  1.4 -1.8 -0.2  3.7  1.1 -1.   1.5 -0.7  0.9]
